name,group,Great Circle Distance from London,Total exports from UK
Qatar,grp0,5205.313459,3.009
Romania,grp0,2082.799842,1.784
Russia,grp0,2493.151063,5.339
Rwanda,grp0,6584.152418,0.012
Samoa,grp0,15761.58539,0.009
Saudi Arabia,grp0,4952.210922,6.206
Senegal,grp0,4377.800014,0.145
Serbia,grp0,1681.239927,0.177
Seychelles,grp0,8140.611847,0.036
Sierra Leone,grp0,4934.30864,0.049
Singapore,grp0,10847.75515,7.214
Slovakia,grp0,1280.114311,0.831
Slovenia,grp0,1220.745585,0.427
Solomon Islands,grp0,14993.99481,0.053
Somalia,grp0,6925.109325,0.046
South Africa,grp0,9020.32948,4.332
South Korea,grp0,8853.96566,6.07
Spain,grp1,1268.724269,14.621
Sri Lanka,grp0,8709.097073,0.361
St Kitts and Nevis,grp0,6633.794069,0.009
St Lucia,grp0,6799.716096,0.059
St Vincent and the Grenadines,grp0,6891.040231,0.017
Sudan,grp0,4921.991649,0.08
Suriname,grp0,7151.288568,0.016
Swaziland,grp0,9173.221309,0.004
Sweden,grp0,1426.603617,10.913
Switzerland,grp1,740.0441405,20.988
Syria,grp0,3529.618913,0.007
Taiwan,grp0,9779.335682,1.98
Tajikistan,grp0,5383.850251,0
Tanzania,grp0,7258.85962,0.167
Thailand,grp0,9524.019207,1.537
Togo,grp0,5047.302222,0.189
Tonga,grp0,16612.52238,0.01
Trinidad and Tobago,grp0,7127.578971,0.259
Tunisia,grp0,1821.189998,0.266
Turkey,grp0,2828.965299,5.703
Turkmenistan,grp0,4710.801029,0.056
Turks and Caicos Islands,grp0,6834.533164,0.008
Tuvalu,grp0,15235.36807,0.008
Uganda,grp0,6458.862913,0.171
Ukraine,grp0,2124.513811,0.561
United Arab Emirates,grp0,5486.238832,9.846
United States,grp2,5908.443456,99.569
Uruguay,grp0,11051.67971,0.145
Uzbekistan,grp0,5225.627607,0.067
Vanuatu,grp0,16123.95367,0.012
Venezuela,grp0,7505.096029,0.205
Vietnam,grp0,9226.139275,0.786
Virgin Islands (U.S.),grp0,6695.623905,0.004
Yemen,grp0,5604.5424,0.045
Zambia,grp0,7931.040136,0.09
Zimbabwe,grp0,8279.890278,0.102
