name,group,Region,empchange,popchange
Camberley BUASD,Least Deprived Working,South East,11.803,6.276
Abingdon BUASD,Least Deprived Working,South East,4.540,4.371
Newbury BUASD,Least Deprived Working,South East,17.314,9.461
Bury St Edmunds BUASD,Least Deprived Working,East of England,4.928,5.547
Urmston BUASD,Least Deprived Working,North West,180.928,0.888
Fareham BUASD,Least Deprived Working,South East,2.607,3.873
Wokingham BUASD,Least Deprived Working,South East,21.843,10.175
Locks Heath/Warsash/Whiteley BUASD,Least Deprived Working,South East,47.149,8.922
Salisbury BUA,Least Deprived Working,South West,-2.287,3.895
Winchester BUASD,Least Deprived Working,South East,-2.667,9.938
Hinckley BUA,Least Deprived Working,East Midlands,15.096,7.627
Bridgend BUASD,Least Deprived Working,Wales,1.162,5.578
Durham BUA,Least Deprived Working,North East,7.022,13.737
Horsham BUASD,Least Deprived Working,South East,5.865,6.320
Beeston (Broxtowe) BUASD,Least Deprived Working,East Midlands,-1.390,3.878
Altrincham BUASD,Least Deprived Working,North West,41.251,8.421
Brentwood BUA,Least Deprived Working,East of England,-7.220,6.163
Christchurch BUASD,Least Deprived Working,South West,-1.151,4.422
Royal Tunbridge Wells BUASD,Least Deprived Working,South East,10.448,7.518
Filton BUASD,Least Deprived Working,South West,8.941,15.123
Dewsbury BUASD,Least Deprived Working,Yorkshire and The Humber,4.804,6.376
Maidenhead BUASD,Least Deprived Working,South East,13.315,9.047
Farnborough BUASD,Least Deprived Working,South East,-0.249,3.372
Walton-on-Thames BUASD,Least Deprived Working,South East,1.309,4.691
Harrogate BUASD,Least Deprived Working,Yorkshire and The Humber,-3.454,3.157
Guildford BUASD,Least Deprived Working,South East,16.369,15.303
Bracknell BUASD,Least Deprived Working,South East,20.844,10.274
Eastleigh BUASD,Least Deprived Working,South East,13.831,6.345
Burnley BUASD,Least Deprived Working,North West,65.098,0.800
St Albans BUASD,Least Deprived Working,East of England,2.842,7.987
Halifax BUASD,Least Deprived Working,Yorkshire and The Humber,-4.391,4.284
Hastings BUASD,Least Deprived Working,South East,9.583,3.895
Bath BUA,Least Deprived Working,South West,1.533,8.421
Woking BUASD,Least Deprived Working,South East,-3.717,4.740
Basildon BUASD,Least Deprived Working,East of England,9.613,9.017
Basingstoke BUASD,Least Deprived Working,South East,-2.983,9.790
Sutton Coldfield BUASD,Least Deprived Working,West Midlands,17.708,0.871
Rotherham BUASD,Least Deprived Working,Yorkshire and The Humber,-10.140,0.862
Chelmsford BUASD,Least Deprived Working,East of England,4.398,7.823
Gateshead BUASD,Least Deprived Working,North East,2.347,3.017
High Wycombe BUASD,Least Deprived Working,South East,10.781,5.524
Solihull BUASD,Least Deprived Working,West Midlands,22.682,4.437
Cambridge BUASD,Least Deprived Working,East of England,14.349,8.396
York BUASD,Least Deprived Working,Yorkshire and The Humber,-0.452,9.487
Wolverhampton BUASD,Least Deprived Working,West Midlands,-4.763,5.041
Chalfont St Giles BUASD,Least Deprived Residential,South East,47.686,1.651
Seaton BUASD,Least Deprived Residential,North West,239.849,-1.023
Shipston-on-Stour BUA,Least Deprived Residential,West Midlands,24.503,2.570
Duffield BUASD,Least Deprived Residential,East Midlands,46.111,5.868
Staplehurst BUA,Least Deprived Residential,South East,9.527,4.679
Bayston Hill BUA,Least Deprived Residential,West Midlands,172.410,1.074
Cookham BUASD,Least Deprived Residential,South East,45.504,1.176
Redbourn BUA,Least Deprived Residential,East of England,39.434,4.365
Shevington BUASD,Least Deprived Residential,North West,9.608,1.713
Whaley Bridge BUA,Least Deprived Residential,East Midlands,55.459,0.733
Quorn (Quorndon) BUASD,Least Deprived Residential,East Midlands,-7.616,16.417
Budleigh Salterton BUA,Least Deprived Residential,South West,-7.192,1.940
Edwinstowe BUA,Least Deprived Residential,East Midlands,-42.466,-0.058
Shevington Vale BUASD,Least Deprived Residential,North West,33.437,-0.921
Sawtry BUA,Least Deprived Residential,East of England,75.058,6.774
Long Ashton BUA,Least Deprived Residential,South West,-24.962,8.554
Crofton BUA,Least Deprived Residential,Yorkshire and The Humber,-13.946,2.986
Paulton BUASD,Least Deprived Residential,South West,100.071,19.391
Ouston BUASD,Least Deprived Residential,North East,46.793,-2.241
Abercarn BUASD,Least Deprived Residential,Wales,28.010,9.094
Earls Barton BUA,Least Deprived Residential,East Midlands,19.650,0.890
Creswell BUA,Least Deprived Residential,East Midlands,-19.619,7.773
West Clandon BUA,Least Deprived Residential,South East,-1.362,5.065
Kibworth Harcourt BUASD,Least Deprived Residential,East Midlands,48.426,29.077
Shepley BUA,Least Deprived Residential,Yorkshire and The Humber,71.373,1.469
Chinnor BUA,Least Deprived Residential,South East,36.601,2.276
Hethersett BUA,Least Deprived Residential,East of England,24.163,7.191
Barrowford BUASD,Least Deprived Residential,North West,26.693,-1.594
Trimley St Mary BUASD,Least Deprived Residential,East of England,108.311,0.784
New Waltham BUA,Least Deprived Residential,Yorkshire and The Humber,-15.112,4.732
Wotton-under-Edge BUA,Least Deprived Residential,South West,-9.459,2.476
Bracebridge Heath BUA,Least Deprived Residential,East Midlands,-8.716,6.738
Coedpoeth BUA,Least Deprived Residential,Wales,152.268,3.048
Ravenshead BUA,Least Deprived Residential,East Midlands,25.149,5.049
Benson BUA,Least Deprived Residential,South East,20.713,-4.399
Rainford BUASD,Least Deprived Residential,North West,-2.320,-2.020
East Horsley BUA,Least Deprived Residential,South East,6.618,5.641
Billinge BUA,Least Deprived Residential,North West,0.067,-6.003
Cottenham BUA,Least Deprived Residential,East of England,36.297,-0.860
Burghfield Common BUA,Least Deprived Residential,South East,146.115,1.380
Shefford BUASD,Least Deprived Residential,East of England,26.124,21.857
Barrow upon Soar BUASD,Least Deprived Residential,East Midlands,42.358,16.135
Broughton (Flintshire) BUA,Least Deprived Residential,Wales,16.622,4.520
St Leonards BUA,Least Deprived Residential,South West,-37.153,2.446
Merley BUASD,Least Deprived Residential,South West,114.862,-1.803
West Hallam BUASD,Least Deprived Residential,East Midlands,49.886,1.116
Wingerworth BUASD,Least Deprived Residential,East Midlands,-18.895,1.395
Waltham BUASD,Least Deprived Residential,Yorkshire and The Humber,3.416,-2.426
Hullbridge BUASD,Least Deprived Residential,East of England,-2.261,-1.937
Denmead BUA,Least Deprived Residential,South East,0.518,3.647
Marchwood BUA,Least Deprived Residential,South East,0.128,-0.409
Burry Port BUASD,Least Deprived Residential,Wales,-18.024,-1.684
Rhoose BUA,Least Deprived Residential,Wales,4.639,0.290
Liss BUA,Least Deprived Residential,South East,50.090,4.659
Peasedown St John BUA,Least Deprived Residential,South West,99.449,9.219
Bishop's Waltham BUA,Least Deprived Residential,South East,13.062,4.069
Burwell BUA,Least Deprived Residential,East of England,53.512,2.961
Netley BUA,Least Deprived Residential,South East,27.904,5.843
Countesthorpe BUA,Least Deprived Residential,East Midlands,-20.767,15.134
Haworth BUASD,Least Deprived Residential,Yorkshire and The Humber,17.306,-0.207
Market Weighton BUA,Least Deprived Residential,Yorkshire and The Humber,47.357,15.108
Witley BUA,Least Deprived Residential,South East,30.469,0.205
Washingborough BUA,Least Deprived Residential,East Midlands,58.111,4.084
Abertridwr BUA,Least Deprived Residential,Wales,-5.078,0.680
Steyning BUASD,Least Deprived Residential,South East,91.823,-0.077
Danbury BUA,Least Deprived Residential,East of England,7.572,2.244
Brynna BUA,Least Deprived Residential,Wales,76.195,14.275
Culcheth BUA,Least Deprived Residential,North West,-2.989,0.856
Keyworth BUA,Least Deprived Residential,East Midlands,-1.700,-0.938
Groby BUASD,Least Deprived Residential,East Midlands,4.191,-0.059
Lightwater BUA,Least Deprived Residential,South East,3.994,3.532
Stotfold BUA,Least Deprived Residential,East of England,4.592,27.050
Chalford BUASD,Least Deprived Residential,South West,7.612,-0.235
Billingshurst BUA,Least Deprived Residential,South East,-8.039,13.585
Bolton-le-Sands BUA,Least Deprived Residential,North West,66.529,0.129
Balsall Common BUA,Least Deprived Residential,West Midlands,75.298,4.586
Cefn-mawr BUASD,Least Deprived Residential,Wales,-33.467,4.656
West Mersea BUA,Least Deprived Residential,East of England,10.184,4.656
Wendover BUASD,Least Deprived Residential,South East,15.399,7.431
Easington (County Durham) BUA,Least Deprived Residential,North East,92.134,-2.805
Yatton BUASD,Least Deprived Residential,South West,2.218,-2.489
Braunton BUASD,Least Deprived Residential,South West,10.663,5.703
Dinas Powis BUASD,Least Deprived Residential,Wales,111.369,2.141
Prestwood BUA,Least Deprived Residential,South East,17.351,-5.334
Radcliffe on Trent BUA,Least Deprived Residential,East Midlands,6.918,0.629
Breaston BUASD,Least Deprived Residential,East Midlands,-1.919,4.456
Wivenhoe BUASD,Least Deprived Residential,East of England,3.701,3.056
Oaklands BUASD,Least Deprived Residential,East of England,44.133,6.208
Heathfield BUASD,Least Deprived Residential,South East,5.279,6.062
Great Notley BUASD,Least Deprived Residential,East of England,71.568,-0.629
Penkridge BUA,Least Deprived Residential,West Midlands,-0.441,-2.037
Highworth BUA,Least Deprived Residential,South West,57.384,-0.782
Silsden BUA,Least Deprived Residential,Yorkshire and The Humber,43.113,1.832
Higham Ferrers BUASD,Least Deprived Residential,East Midlands,-5.585,12.138
Whitnash BUASD,Least Deprived Residential,West Midlands,18.125,-3.612
Gowerton BUASD,Least Deprived Residential,Wales,83.698,-0.983
Cambourne BUA,Least Deprived Residential,East of England,178.159,43.166
Beddau BUASD,Least Deprived Residential,Wales,14.593,3.729
Pocklington BUA,Least Deprived Residential,Yorkshire and The Humber,-0.358,8.778
Llantwit Major BUASD,Least Deprived Residential,Wales,9.446,1.082
Bulford Camp BUA,Least Deprived Residential,South West,-3.588,8.113
Bewdley BUA,Least Deprived Residential,West Midlands,0.787,-0.512
Tarleton BUA,Least Deprived Residential,North West,-0.502,-0.984
Storrington BUA,Least Deprived Residential,South East,55.970,4.960
Southwater BUA,Least Deprived Residential,South East,12.430,5.634
Caerleon BUA,Least Deprived Residential,Wales,-18.078,-5.587
Longton BUASD,Least Deprived Residential,North West,-27.924,1.078
Broughton Astley BUA,Least Deprived Residential,East Midlands,5.743,-0.167
Frodsham BUA,Least Deprived Residential,North West,6.473,2.579
Pontarddulais BUA,Least Deprived Residential,Wales,51.865,7.476
Warlingham BUASD,Least Deprived Residential,South East,2.063,7.916
Bingham BUA,Least Deprived Residential,East Midlands,4.724,13.091
Soham BUASD,Least Deprived Residential,East of England,18.176,15.689
Tidworth BUA,Least Deprived Residential,South West,28.012,23.366
Yaxley BUA,Least Deprived Residential,East of England,43.230,4.741
Adlington BUASD,Least Deprived Residential,North West,-8.112,9.232
Maryport BUA,Least Deprived Residential,North West,41.254,-1.816
Sawbridgeworth BUASD,Least Deprived Residential,East of England,26.230,10.593
Penistone BUASD,Least Deprived Residential,Yorkshire and The Humber,-7.683,11.142
Chadwell St Mary BUASD,Least Deprived Residential,East of England,27.789,5.187
Kippax BUASD,Least Deprived Residential,Yorkshire and The Humber,-3.645,-3.777
Ponteland BUA,Least Deprived Residential,North East,0.264,4.113
Baldock BUASD,Least Deprived Residential,East of England,0.756,6.978
Horbury BUASD,Least Deprived Residential,Yorkshire and The Humber,9.854,3.428
Kingsteignton BUASD,Least Deprived Residential,South West,9.861,3.875
Desborough BUA,Least Deprived Residential,East Midlands,16.111,13.216
Hoylake BUASD,Least Deprived Residential,North West,-1.799,0.148
Cil-y-coed BUA,Least Deprived Residential,Wales,12.021,3.916
Codsall BUA,Least Deprived Residential,West Midlands,7.810,-0.588
Catterick Garrison BUA,Least Deprived Residential,Yorkshire and The Humber,1.255,-0.479
Ivybridge BUA,Least Deprived Residential,South West,-5.934,-1.594
Mountsorrel BUASD,Least Deprived Residential,East Midlands,-8.013,10.954
New Mills BUASD,Least Deprived Residential,East Midlands,-3.985,1.419
Hurstpierpoint BUA,Least Deprived Residential,South East,32.300,13.360
Newport (Telford and Wrekin) BUA,Least Deprived Residential,West Midlands,30.747,4.353
Saltdean BUASD,Least Deprived Residential,South East,-16.061,6.885
Chorleywood BUASD,Least Deprived Residential,East of England,45.845,4.315
Haslemere BUASD,Least Deprived Residential,South East,-1.090,4.359
Bishop's Cleeve BUASD,Least Deprived Residential,South West,-25.844,13.261
Alsager BUASD,Least Deprived Residential,North West,-9.435,0.059
Verwood BUA,Least Deprived Residential,South West,1.493,3.214
Wombourne BUA,Least Deprived Residential,West Midlands,1.385,1.376
Market Deeping BUA,Least Deprived Residential,East Midlands,40.764,7.560
Standish BUASD,Least Deprived Residential,North West,57.813,-1.661
Church Village BUASD,Least Deprived Residential,Wales,24.045,3.457
Ashtead BUASD,Least Deprived Residential,South East,-4.889,4.543
Knottingley BUASD,Least Deprived Residential,Yorkshire and The Humber,-5.676,5.679
Frampton Cotterell/Winterbourne BUASD,Least Deprived Residential,South West,18.936,4.158
Yateley BUASD,Least Deprived Residential,South East,16.974,-1.896
West Kirby BUASD,Least Deprived Residential,North West,16.586,-0.599
Neston BUA,Least Deprived Residential,North West,83.749,0.529
Poynton BUASD,Least Deprived Residential,North West,-10.667,-1.026
Taverham BUASD,Least Deprived Residential,East of England,26.447,-1.385
Carterton BUASD,Least Deprived Residential,South East,40.175,3.186
Addlestone BUASD,Least Deprived Residential,South East,-1.155,13.507
Baildon BUASD,Least Deprived Residential,Yorkshire and The Humber,38.441,0.380
Hartley (Sevenoaks) BUASD,Least Deprived Residential,South East,12.100,1.946
Bordon BUASD,Least Deprived Residential,South East,-51.819,-9.050
Nailsea BUASD,Least Deprived Residential,South West,2.411,-1.869
South Woodham Ferrers BUA,Least Deprived Residential,East of England,0.236,-0.921
Connah's Quay BUASD,Least Deprived Residential,Wales,8.715,0.923
Bramhall BUASD,Least Deprived Residential,North West,9.033,-0.383
Ramsbottom BUASD,Least Deprived Residential,North West,20.639,-0.882
Rawmarsh BUASD,Least Deprived Residential,Yorkshire and The Humber,-1.838,2.710
Wantage BUA,Least Deprived Residential,South East,13.365,6.771
Emsworth BUA,Least Deprived Residential,South East,10.038,5.623
Maesteg BUASD,Least Deprived Residential,Wales,-13.527,-1.685
Hebburn BUASD,Least Deprived Residential,North East,-4.592,3.409
Yarm BUA,Least Deprived Residential,North East,17.259,2.574
Mirfield BUASD,Least Deprived Residential,Yorkshire and The Humber,4.275,3.825
Buckley BUASD,Least Deprived Residential,Wales,45.743,3.473
Ampthill BUA,Least Deprived Residential,East of England,6.277,8.089
Hythe BUA,Least Deprived Residential,South East,-4.483,1.082
Clifton (City of Nottingham) BUASD,Least Deprived Residential,East Midlands,-14.896,5.747
Bingley BUASD,Least Deprived Residential,Yorkshire and The Humber,12.912,5.381
Horley BUASD,Least Deprived Residential,South East,13.957,14.298
Formby BUA,Least Deprived Residential,North West,14.742,0.017
Belper BUA,Least Deprived Residential,East Midlands,4.023,2.996
Blackwood BUASD,Least Deprived Residential,Wales,10.630,0.793
Stubbington BUA,Least Deprived Residential,South East,5.753,1.810
Thatcham BUASD,Least Deprived Residential,South East,21.901,2.418
Maghull BUA,Least Deprived Residential,North West,17.950,-6.196
Ashford (Spelthorne) BUASD,Least Deprived Residential,South East,-3.301,4.630
Heswall BUA,Least Deprived Residential,North West,-0.031,-1.329
Wickford BUASD,Least Deprived Residential,East of England,19.468,3.787
Rowley Regis BUASD,Least Deprived Residential,West Midlands,11.727,3.754
Whitley Bay BUASD,Least Deprived Residential,North East,-1.830,0.739
Blyth (Northumberland) BUA,Least Deprived Residential,North East,8.630,4.380
Middleton (Rochdale) BUASD,Least Deprived Residential,North West,3.953,3.798
Wallsend BUASD,Least Deprived Residential,North East,15.667,3.664
Horndean BUASD,Least Deprived Residential,South East,18.632,4.898
Keighley BUASD,Least Deprived Residential,Yorkshire and The Humber,0.971,1.030
Wallasey BUASD,Least Deprived Residential,North West,2.078,1.961
Rayleigh BUASD,Least Deprived Residential,East of England,3.011,3.538
