name,group,Region,empchange,popchange
Worsbrough BUASD,Other,Yorkshire and The Humber,7.091,1.147
Bradford on Avon BUA,Other,South West,16.247,5.104
Tiptree BUA,Other,East of England,38.314,1.441
North Wingfield BUASD,Other,East Midlands,16.308,2.853
Abergele BUASD,Other,Wales,38.561,0.886
Pontllan-fraith BUASD,Other,Wales,-19.496,1.242
Killamarsh BUASD,Other,East Midlands,32.594,1.382
Crook BUA,Other,North East,13.132,1.327
Sherborne BUA,Other,South West,-6.275,1.953
Sandiacre BUASD,Other,East Midlands,-4.449,3.867
Polesworth BUA,Other,West Midlands,837.052,2.784
New Romney BUA,Other,South East,70.276,2.127
Whitchurch (Shropshire) BUA,Other,West Midlands,76.412,4.695
Westergate BUASD,Other,South East,59.453,4.552
Holywell BUASD,Other,Wales,6.020,1.871
Diss BUASD,Other,East of England,32.446,11.513
New Ollerton BUA,Other,East Midlands,48.904,7.848
Cranleigh BUASD,Other,South East,52.549,2.116
Thirsk BUA,Other,Yorkshire and The Humber,-1.617,8.692
St Blazey BUASD,Other,South West,119.303,5.169
Milnrow BUASD,Other,North West,108.710,2.930
Amesbury BUA,Other,South West,7.426,14.914
Chatteris BUA,Other,East of England,52.190,7.907
Platt Bridge BUASD,Other,North West,51.509,5.812
Chigwell BUASD,Other,East of England,8.233,8.592
Shepton Mallet BUA,Other,South West,4.174,3.989
Annfield Plain BUA,Other,North East,45.297,5.351
Barnoldswick BUA,Other,North West,1.355,-2.112
Swanage BUA,Other,South West,11.774,0.264
Wells BUASD,Other,South West,21.728,5.135
Attleborough BUA,Other,East of England,78.285,9.103
Selsey BUA,Other,South East,26.353,-0.437
Ross-on-Wye BUA,Other,West Midlands,8.914,9.021
Banstead BUASD,Other,South East,-20.870,3.406
Immingham BUASD,Other,Yorkshire and The Humber,19.946,3.279
Cleveleys BUASD,Other,North West,-5.813,-0.528
Sarn BUASD,Other,Wales,22.897,12.645
Prudhoe BUASD,Other,North East,-12.672,1.359
Sandy BUASD,Other,East of England,42.853,8.384
Downham Market BUA,Other,East of England,8.983,15.033
Shirebrook BUA,Other,East Midlands,32.695,7.140
Abertillery BUA,Other,Wales,22.116,-2.241
Featherstone (Wakefield) BUA,Other,Yorkshire and The Humber,20.508,3.896
Barton-upon-Humber BUA,Other,Yorkshire and The Humber,77.799,7.684
Southborough BUASD,Other,South East,-30.356,4.538
Ilfracombe BUA,Other,South West,2.276,-0.036
Wellington BUASD,Other,South West,28.336,15.042
Mountain Ash BUA,Other,Wales,-19.158,0.044
Wootton Bassett BUA,Other,South West,23.253,14.871
Gillingham (North Dorset) BUA,Other,South West,5.528,3.715
Helston BUASD,Other,South West,8.141,7.828
Kimberley BUASD,Other,East Midlands,-2.365,1.350
Ulverston BUA,Other,North West,19.163,0.522
Newtown (Powys) BUA,Other,Wales,-4.881,0.106
Cheadle BUA,Other,West Midlands,-9.080,-1.888
Holyhead BUA,Other,Wales,-6.273,2.619
Honiton BUA,Other,South West,1.852,-0.450
Lymm BUA,Other,North West,31.008,4.549
Cleckheaton BUASD,Other,Yorkshire and The Humber,8.987,4.578
Thornbury BUA,Other,South West,-9.419,1.404
Blandford Forum BUA,Other,South West,1.339,9.282
Thorne BUASD,Other,Yorkshire and The Humber,77.302,2.773
Sandown BUASD,Other,South East,-9.497,-0.251
Haxby BUA,Other,Yorkshire and The Humber,0.342,-0.692
Halstead BUA,Other,East of England,-1.111,3.420
Kirkham BUASD,Other,North West,24.048,9.705
Tring BUA,Other,East of England,7.502,2.285
Sheerness BUA,Other,South East,-12.727,13.042
Guiseley BUASD,Other,Yorkshire and The Humber,19.370,8.436
Minehead BUA,Other,South West,-11.346,0.083
Walton-on-the-Naze BUASD,Other,East of England,15.681,1.494
Heckmondwike BUASD,Other,Yorkshire and The Humber,-18.875,8.485
Birstall BUASD,Other,East Midlands,43.890,15.009
Ince-in-Makerfield BUASD,Other,North West,37.659,10.163
Tavistock BUA,Other,South West,-5.671,3.424
Bridgnorth BUASD,Other,West Midlands,17.182,8.000
Littleborough BUASD,Other,North West,20.606,-3.824
Midsomer Norton BUASD,Other,South West,9.966,10.921
Tilbury BUASD,Other,East of England,-19.488,10.970
North Walsham BUA,Other,East of England,21.959,0.936
Little Lever BUASD,Other,North West,19.656,-1.444
Buckingham BUA,Other,South East,7.348,16.740
Street BUA,Other,South West,14.805,7.864
Clay Cross BUASD,Other,East Midlands,-11.391,4.354
Lees BUASD,Other,North West,11.911,-1.040
Stocksbridge BUA,Other,Yorkshire and The Humber,10.428,-0.875
Driffield BUA,Other,Yorkshire and The Humber,-11.229,0.501
Newhaven BUA,Other,South East,25.641,5.956
Mildenhall BUASD,Other,East of England,0.595,14.676
Abergavenny BUASD,Other,Wales,-7.834,0.254
Corsham BUASD,Other,South West,35.515,2.341
Oxted BUA,Other,South East,-4.366,1.062
Cheadle BUASD,Other,North West,6.341,3.808
Shepshed BUA,Other,East Midlands,13.719,4.558
New Rossington BUA,Other,Yorkshire and The Humber,32.444,-0.449
Middlewich BUA,Other,North West,137.883,3.348
Blackfield BUA,Other,South East,-4.715,-1.055
Bridport BUA,Other,South West,2.877,-0.345
Chertsey BUASD,Other,South East,-1.925,10.185
Otley BUASD,Other,Yorkshire and The Humber,-1.449,0.400
Cowes BUASD,Other,South East,4.760,2.185
Armthorpe BUASD,Other,Yorkshire and The Humber,42.757,2.761
Hessle BUASD,Other,Yorkshire and The Humber,59.774,0.048
Dursley BUASD,Other,South West,-20.516,7.983
Haverfordwest BUA,Other,Wales,2.846,3.841
Skipton BUA,Other,Yorkshire and The Humber,-4.378,4.384
Garforth BUA,Other,Yorkshire and The Humber,1.256,-1.778
Risca BUASD,Other,Wales,2.576,0.538
Swallownest BUASD,Other,Yorkshire and The Humber,28.914,2.705
Hythe BUASD,Other,South East,0.968,2.898
Newport Pagnell BUASD,Other,South East,13.496,-1.335
Blaydon BUASD,Other,North East,4.840,0.535
Uckfield BUASD,Other,South East,-3.632,9.677
South Hayling BUA,Other,South East,18.864,2.955
Saltash BUA,Other,South West,12.561,3.223
Keynsham BUA,Other,South West,2.369,11.633
Porthcawl BUA,Other,Wales,-19.131,-1.104
Gorseinon BUASD,Other,Wales,10.140,8.677
Ryton BUASD,Other,North East,69.280,5.813
Tyldesley BUASD,Other,North West,16.444,3.167
Swanley BUASD,Other,South East,19.060,5.277
Ripon BUA,Other,Yorkshire and The Humber,2.761,-1.611
Biggleswade BUA,Other,East of England,6.055,24.124
Houghton Regis BUASD,Other,East of England,37.245,9.785
Whickham BUASD,Other,North East,-3.351,-1.757
Brixham BUA,Other,South West,-6.581,0.718
Shotton BUASD,Other,Wales,6.051,5.872
Prestatyn BUASD,Other,Wales,2.570,0.159
Northallerton BUA,Other,Yorkshire and The Humber,30.782,2.083
Westbury (Wiltshire) BUA,Other,South West,4.571,8.433
Nantwich BUA,Other,North West,3.796,5.912
Calne BUA,Other,South West,1.324,6.225
Lewes BUA,Other,South East,4.502,3.923
Sleaford BUA,Other,East Midlands,49.508,5.065
Poulton-le-Fylde BUASD,Other,North West,-4.982,2.636
Warminster BUA,Other,South West,6.624,1.660
Biddulph BUA,Other,West Midlands,18.953,3.146
Rochford BUASD,Other,East of England,-5.433,3.853
Spennymoor BUA,Other,North East,12.329,6.641
Sandbach BUA,Other,North West,25.893,7.582
Bideford BUASD,Other,South West,3.165,12.743
Devizes BUA,Other,South West,27.121,9.892
Aberystwyth BUASD,Other,Wales,-34.298,-2.577
Ebbw Vale BUASD,Other,Wales,-13.230,1.203
Marple BUA,Other,North West,-4.362,1.874
Great Wyrley BUASD,Other,West Midlands,-5.653,1.450
Eastwood BUASD,Other,East Midlands,-0.402,3.757
Waltham Abbey BUASD,Other,East of England,-8.073,3.371
Darlaston BUASD,Other,West Midlands,9.398,12.012
Horsforth BUASD,Other,Yorkshire and The Humber,-3.534,2.023
Thornton (Wyre) BUASD,Other,North West,2.099,3.112
West Bromwich (East) BUASD,Other,West Midlands,10.255,7.344
Wednesbury BUASD,Other,West Midlands,-10.865,3.850
Dorchester (West Dorset) BUA,Other,South West,14.712,11.289
Ystrad Mynach BUASD,Other,Wales,25.769,5.596
Adwick le Street BUASD,Other,Yorkshire and The Humber,38.661,-1.489
Stowmarket BUASD,Other,East of England,7.934,14.673
Melksham BUA,Other,South West,38.431,2.757
Rothwell BUASD,Other,Yorkshire and The Humber,-1.341,-0.031
Tiverton BUA,Other,South West,2.560,2.880
Stamford BUASD,Other,East Midlands,-14.653,5.469
Tewkesbury BUA,Other,South West,8.189,8.831
Faversham BUA,Other,South East,39.929,6.233
Swanscombe BUASD,Other,South East,119.720,19.128
Dinnington (Rotherham) BUA,Other,Yorkshire and The Humber,5.691,3.286
Portslade-by-Sea BUASD,Other,South East,16.938,2.549
New Milton BUASD,Other,South East,-12.089,4.819
Newquay BUA,Other,South West,6.239,10.439
Brownhills BUASD,Other,West Midlands,31.098,3.635
Ingleby Barwick BUASD,Other,North East,31.846,11.738
Camborne BUASD,Other,South West,-6.929,8.847
Sandhurst BUASD,Other,South East,82.197,0.460
Crowborough BUA,Other,South East,3.443,7.272
Dereham BUA,Other,East of England,20.978,3.938
Goole BUASD,Other,Yorkshire and The Humber,-4.824,9.612
Gainsborough BUA,Other,East Midlands,1.241,11.046
Dukinfield BUASD,Other,North West,-1.292,1.032
Gatley BUASD,Other,North West,14.479,3.155
Dronfield BUA,Other,East Midlands,-15.644,0.264
Walkden BUASD,Other,North West,23.907,1.015
Ossett BUASD,Other,Yorkshire and The Humber,35.769,3.463
Caterham BUASD,Other,South East,-8.097,9.128
Maldon BUA,Other,East of England,-0.006,1.959
Workington BUASD,Other,North West,-11.399,1.696
Newton-le-Willows BUASD,Other,North West,92.136,8.776
Buxton (High Peak) BUA,Other,East Midlands,6.405,3.778
Chesham BUASD,Other,South East,11.752,7.010
Seaford BUA,Other,South East,0.112,5.215
Chapeltown BUA,Other,Yorkshire and The Humber,11.849,-1.829
Burnham-on-Sea BUASD,Other,South West,12.754,4.808
Droitwich BUASD,Other,West Midlands,-6.678,1.634
Felixstowe BUASD,Other,East of England,34.819,2.438
Evesham BUA,Other,West Midlands,15.698,17.889
Broadstairs BUASD,Other,South East,17.465,3.807
Royton BUASD,Other,North West,7.987,-2.121
Huntingdon BUA,Other,East of England,-5.288,11.716
Oldbury (Sandwell) BUASD,Other,West Midlands,41.046,8.469
Whitehaven BUASD,Other,North West,-10.322,-1.988
Rugeley BUA,Other,West Midlands,44.228,2.904
Ormskirk BUA,Other,North West,16.737,11.125
Westhoughton BUASD,Other,North West,11.142,1.238
Golborne BUASD,Other,North West,36.711,1.483
Cheadle Hulme BUASD,Other,North West,15.315,5.079
Gorleston-on-Sea BUASD,Other,East of England,3.593,0.435
Thetford BUA,Other,East of England,8.125,12.135
Hedge End BUASD,Other,South East,25.918,8.033
Rhyl BUASD,Other,Wales,-13.649,2.230
Plymstock BUASD,Other,South West,-1.601,2.645
Bushey BUASD,Other,East of England,29.664,6.679
Fleetwood BUA,Other,North West,20.764,-1.315
Ditton BUASD,Other,South East,35.112,5.235
Congleton BUA,Other,North West,-7.326,0.229
Kidsgrove BUASD,Other,West Midlands,-1.093,-1.038
Stretford BUASD,Other,North West,-14.535,4.812
Farnworth BUASD,Other,North West,8.097,5.010
Haverhill BUA,Other,East of England,7.261,6.261
Northfleet BUASD,Other,South East,19.458,9.868
Ashington (Northumberland) BUA,Other,North East,12.365,1.266
Cramlington BUASD,Other,North East,37.382,-1.598
Darwen BUASD,Other,North West,-2.706,-2.700
Pontypool BUASD,Other,Wales,43.946,1.788
Burntwood BUASD,Other,West Midlands,10.114,0.605
Chichester BUASD,Other,South East,-6.181,13.914
Totton BUASD,Other,South East,5.060,3.568
Shipley BUASD,Other,Yorkshire and The Humber,-1.523,1.797
Stanford-le-Hope BUA,Other,East of England,6.984,0.293
Ashton-in-Makerfield BUASD,Other,North West,14.285,-1.351
East Grinstead BUASD,Other,South East,3.264,6.200
Colwyn Bay BUASD,Other,Wales,1.221,-3.431
Rushden BUASD,Other,East Midlands,-2.065,10.578
Bilston BUASD,Other,West Midlands,-3.621,13.260
Morley BUASD,Other,Yorkshire and The Humber,2.543,1.201
Yate BUASD,Other,South West,34.133,1.451
St Neots BUASD,Other,East of England,15.991,11.435
Pontypridd BUASD,Other,Wales,17.050,-0.210
Loughton BUASD,Other,East of England,15.294,6.593
Spalding BUA,Other,East Midlands,73.034,15.001
Whitstable BUASD,Other,South East,1.505,5.811
Hucknall BUASD,Other,East Midlands,-5.239,11.735
Pudsey BUASD,Other,Yorkshire and The Humber,3.839,6.866
Stroud BUASD,Other,South West,6.926,5.349
Lichfield BUA,Other,West Midlands,13.575,4.758
Glossop BUASD,Other,East Midlands,11.229,-0.003
Brighouse BUASD,Other,Yorkshire and The Humber,113.020,2.060
Bromsgrove BUASD,Other,West Midlands,190.569,5.337
Haywards Heath BUA,Other,South East,-1.651,13.770
Hyde (Tameside) BUASD,Other,North West,-8.870,5.009
Billericay BUASD,Other,East of England,17.290,1.806
Exmouth BUA,Other,South West,0.179,3.738
Coalville BUASD,Other,East Midlands,19.194,6.000
Bridlington BUASD,Other,Yorkshire and The Humber,3.182,0.326
