spine,Cancer,Circulatory (eg Heart disease),Digestive (eg Reflux),Endocrine and nutritional (eg Diabetes),External (eg Car accident),Genitourinary (eg Chronic Kidney disease),Infection (eg Malaria),Mental and behavioural (eg Dementia),Musculoskeletal (eg Arthritis),Nervous (eg Parkinson disease),Respiratory (eg Influenza),Other
53,508,422,186,38,178,5,20,17,4,42,93,39
52,461,421,183,33,210,6,19,18,7,49,95,45
51,418,393,155,40,217,8,20,9,4,42,76,28
50,392,323,171,27,174,9,28,16,4,49,73,37
49,350,289,170,32,252,5,23,17,4,36,55,36
48,268,259,147,26,222,7,22,11,2,35,66,38
47,247,254,156,19,212,3,11,13,4,31,56,45
46,186,219,122,25,207,4,14,20,4,28,35,35
45,169,196,108,33,225,1,12,12,0,23,47,30
44,153,153,85,17,200,5,18,12,5,22,26,17
43,145,139,79,15,215,3,10,16,0,27,24,29
42,120,127,67,14,196,2,8,13,3,22,17,16
41,105,111,75,17,203,3,9,11,4,20,15,14
40,77,88,63,12,172,3,5,14,2,20,15,14
39,76,84,46,16,168,3,8,3,2,15,19,22
38,68,63,50,11,182,3,7,4,1,15,11,8
37,69,75,39,21,198,0,8,3,3,21,15,17
36,66,54,36,12,209,3,3,9,4,23,18,12
35,53,51,28,12,175,1,2,10,1,13,11,19
34,47,46,25,10,173,1,3,3,2,14,9,12
33,46,38,21,10,166,1,3,3,2,10,11,10
32,27,34,21,8,183,0,1,4,0,11,8,8
31,34,24,18,10,161,1,5,3,1,13,8,7
30,24,31,14,8,147,1,2,1,1,8,9,8
29,26,25,10,9,150,0,2,5,1,12,8,7
28,31,28,10,9,137,1,4,2,1,12,5,15
27,19,18,7,5,143,0,1,1,1,16,9,10
26,22,15,9,4,134,1,0,1,1,11,7,7
25,23,26,8,4,136,0,1,1,1,10,3,9
24,18,11,4,6,122,0,0,1,0,10,7,6
23,10,11,3,4,116,1,1,1,0,12,4,10
22,9,12,1,3,120,0,2,2,0,14,2,8
21,12,10,1,5,117,0,0,0,0,11,6,5
20,18,13,3,7,109,1,3,0,1,3,5,5
19,12,5,1,3,106,0,0,0,0,9,2,6
18,15,10,0,10,78,0,1,0,0,8,4,3
17,19,3,4,4,55,0,2,0,0,12,5,4
16,11,3,1,5,39,1,4,1,0,6,4,2
15,7,7,0,1,28,0,3,0,1,4,2,3
14,6,3,0,0,13,0,1,0,0,4,1,6
13,8,2,0,1,18,0,2,1,0,3,2,1
12,5,3,3,4,7,0,2,0,0,2,4,5
11,8,0,0,0,7,0,1,0,1,2,2,4
10,5,3,2,1,4,1,1,0,0,1,0,3
9,13,2,2,2,6,0,2,0,0,4,1,1
8,9,1,0,2,6,0,0,0,0,3,4,4
7,9,0,1,2,6,0,1,0,0,4,3,5
6,8,0,1,1,2,1,3,0,0,4,5,3
5,14,3,1,1,5,0,1,0,0,6,5,2
4,12,0,0,6,5,0,5,0,0,3,2,4
3,9,2,0,1,8,0,5,0,0,6,5,7
2,12,2,0,4,9,0,5,1,0,6,4,8
1,12,4,2,5,10,0,16,0,0,12,8,20
0,6,22,4,6,14,2,16,0,0,33,13,284
