AREANM,AREACD,time1,time2,time3,time4,time5
Chiltern,E07000005,20.15760406,20.44641023,20.72200736,20.30977929,19.36077614
Chorley,E07000118,20.11505915,18.43902994,18.46157797,17.87841951,16.9145102
City of Edinburgh,S12000036,16.95724274,15.11035506,15.14001929,14.96696773,14.06405652
City of London,E09000001,10.01748252,7.995692556,15.28830691,16.71896989,15.10739914
Clackmannanshire,S12000005,21.27659574,18.8650127,17.47081712,16.97198591,16.64241724
Colchester,E07000071,20.0069253,18.62952354,18.7826909,18.62873456,17.74591949
Conwy,W06000003,18.27233336,16.8932684,16.22191311,15.83844597,15.17662783
Copeland,E07000029,20.22064077,17.68495105,16.9151175,16.45132294,15.66778349
Corby,E07000150,22.87162609,20.32768771,22.3925904,21.35060672,19.83058057
Cornwall,E06000052,18.8362625,17.15478701,16.97375117,16.58256986,15.95519846
Cotswold,E07000079,18.92236211,17.2412547,16.39707039,15.70441703,15.01060618
County Durham,E06000047,19.79776434,17.50574051,17.23651751,16.57283804,16.12877801
Coventry,E08000026,21.81406862,19.86460716,19.51824638,19.88142581,19.37871964
Craven,E07000163,19.19980251,17.09423236,15.77984234,15.4291567,14.46562804
Crawley,E07000226,21.29011919,20.0939442,21.9452547,20.51951326,19.04850148
Croydon,E09000008,21.79999159,21.38628374,22.16553435,21.24953162,19.80460396
Dacorum,E07000096,21.18302608,19.82997401,20.35779103,19.77983104,18.58955808
Darlington,E06000005,20.6017749,19.26244527,18.93662144,17.5761917,16.65645009
Dartford,E07000107,21.0591002,20.37553488,22.09481446,21.11036576,19.72603138
Daventry,E07000151,21.20164127,19.80730828,18.45201458,17.2891826,16.38246442
Denbighshire,W06000004,19.58087322,18.35674854,18.11706703,18.39717707,17.5876898
Derby,E06000015,21.33239206,20.2398032,20.99473508,19.90618155,19.05533168
Derbyshire Dales,E07000035,17.96820809,17.20369056,15.17012379,14.37537548,14.05348983
Derry City and Strabane,N09000005,24.51183685,23.18706948,21.77277524,20.69917203,19.31451037
Doncaster,E08000017,21.41905825,19.16598523,19.25472239,18.07627265,17.00742375
Dorset,E06000059,18.19745897,16.69939712,15.91647985,15.26738316,14.36581794
Dover,E07000108,20.4993924,18.46551599,17.5114774,16.16727247,15.06237322
Dudley,E08000027,20.12814456,19.1705571,19.33997867,19.00333732,18.37216295
Dumfries and Galloway,S12000006,19.44466855,17.11078737,15.74299348,14.82774373,14.72967399
Dundee City,S12000042,18.59099412,16.53267725,16.14521008,16.30955247,15.68081991
Ealing,E09000009,20.84286843,19.8523557,21.68067325,20.14759455,18.44811315
East Ayrshire,S12000008,20.53636364,18.0771445,17.33338805,17.21587364,16.69680682
East Cambridgeshire,E07000009,19.74813485,19.35830197,19.91674313,18.85597593,17.68664861
East Devon,E07000040,16.53972778,15.76089416,15.91288622,16.06197281,15.26663834
East Dunbartonshire,S12000045,20.79695525,18.37907376,17.74577679,17.91009318,17.42684879
East Hampshire,E07000085,21.20365903,19.26978405,18.07326754,17.06108263,16.31715069
East Hertfordshire,E07000242,20.24925807,20.24873371,19.74545086,19.2570553,18.13373113
East Lindsey,E07000137,17.95932052,15.62349963,15.34449805,14.61513513,13.73172425
East Lothian,S12000010,20.66545948,19.1043398,18.29095378,17.48409031,16.99406084
East Northamptonshire,E07000152,20.50870666,20.23237601,19.0232786,17.54723831,16.27716195
East Renfrewshire,S12000011,21.65666402,20.05897407,20.30261637,20.4606451,20.13535288
East Riding of Yorkshire,E06000011,18.90400691,17.15373695,16.39920616,15.43076022,14.69376228
East Staffordshire,E07000193,21.06418688,19.54924409,19.44439759,18.79333811,17.79227208
East Suffolk,E07000244,19.68899916,17.78844752,16.94508336,15.87401331,14.96369802
Eastbourne,E07000061,17.3898706,17.07384024,17.26735169,16.14668542,14.83999367
Eastleigh,E07000086,21.27615533,18.97916117,19.22181173,18.49638433,17.83252296
Eden,E07000030,18.24071056,16.68796612,15.24744237,14.41616513,13.72867089
Elmbridge,E07000207,20.53906061,20.87939157,22.32664354,21.36336244,20.14501047
Enfield,E09000010,21.52957015,22.04993898,22.87304302,21.71015035,20.09960529
Epping Forest,E07000072,19.58102435,18.81733069,18.92829636,19.03527832,17.89153169
Epsom and Ewell,E07000208,18.96445665,19.51209422,20.64483035,20.39662401,19.22816896
Erewash,E07000036,20.57981983,18.36042199,17.99463157,17.48053108,16.74335779
Exeter,E07000041,18.42064455,15.84871285,15.48363848,15.00942907,14.42359848
Falkirk,S12000014,19.80330831,18.41215996,17.60633653,16.41587848,16.06706374
Fareham,E07000087,19.53873963,17.94564675,16.83872132,16.38733476,15.85831264
Fenland,E07000010,19.57791689,18.27170512,17.88434442,17.46420982,16.20187875
Fermanagh and Omagh,N09000006,24.51183685,22.2029885,21.70240082,19.82405379,18.36566618
Fife,S12000047,20.08079875,17.91806694,17.33564572,16.6384392,16.1654076
Flintshire,W06000005,20.81347728,18.96555138,18.4744815,17.66719637,17.23729209
Folkestone and Hythe,E07000112,19.72365784,18.2044626,16.93581339,15.56027145,14.31951601
Forest of Dean,E07000080,19.32211587,17.72250576,16.55130975,16.21146406,15.65500627
Fylde,E07000119,17.29474824,15.91386415,15.63495048,14.57365584,13.5033321
Gateshead,E08000037,19.64197505,17.71794898,17.39289312,16.92041538,16.32554777
Gedling,E07000173,19.35253596,17.99043574,17.93676668,17.94191119,17.4344575
Glasgow City,S12000049,19.3622349,16.85248178,15.95408758,16.22950182,15.54397112
Gloucester,E07000081,22.55301719,20.07872021,20.15005608,19.71952565,18.70977868
Gosport,E07000088,21.74371388,19.49223052,18.62504837,16.76530011,15.84633184
Gravesham,E07000109,21.58844073,20.37245709,21.18249753,20.64010467,19.44466266
Great Yarmouth,E07000145,19.65003415,18.20190985,17.81724867,16.96452009,15.96969295
Greenwich,E09000011,22.34106687,21.57056576,22.01225776,21.01962284,19.59801874
Guildford,E07000209,18.26992473,17.71738884,17.75317975,17.37374824,16.83117431
Gwynedd,W06000002,19.46943365,17.57052428,16.79121906,16.56075207,17.11216429
Hackney,E09000012,24.31871642,21.45593206,20.74624998,20.13470129,18.77382524
Halton,E06000006,22.67244535,20.10544558,20.03239068,18.81597932,17.92045868
Hambleton,E07000164,19.63073744,17.60132004,16.1114403,15.57839573,14.96949179
Hammersmith and Fulham,E09000013,16.81740406,16.01181334,18.18029834,16.04887872,14.61653261
Harborough,E07000131,20.29078323,19.73458648,18.3883069,17.98854499,17.1343794
Haringey,E09000014,21.66246502,20.57482032,20.10427752,18.61343627,17.24472647
Harlow,E07000073,21.41725123,20.58989151,22.41263829,21.94849137,20.51925722
Harrogate,E07000165,19.61545799,18.11245933,17.80257019,16.40562794,15.44496094
Harrow,E09000015,20.69175756,20.10001437,21.01867287,20.36153813,18.73130631
Hart,E07000089,20.10021665,20.03069585,20.04299378,18.82038119,17.91072809
Hartlepool,E06000001,22.2265551,19.98270938,19.18985007,18.03393868,17.08031576
Hastings,E07000062,21.08357475,19.08658506,18.55150503,17.88244712,16.73570813
Havant,E07000090,20.48069198,18.4074127,17.63649225,17.00166096,16.29836567
Havering,E09000016,19.67215314,19.03249882,20.08378263,21.27583197,19.93960959
"Herefordshire, County of",E06000019,19.76563322,17.47611268,16.76825936,16.11787755,15.30611263
Hertsmere,E07000098,20.79636999,20.36725999,21.28784607,20.65836692,19.1910182
High Peak,E07000037,20.93259054,18.7215215,17.0199846,15.77826833,15.3048799
Highland,S12000017,20.23796983,18.10115429,16.69992358,15.66065513,15.28465372
Hillingdon,E09000017,21.19899666,20.81662204,21.83358266,21.26813303,19.55141074
Hinckley and Bosworth,E07000132,19.2887538,17.82988894,17.76504808,17.29646091,16.54771502
Horsham,E07000227,20.72051631,19.3076786,18.19543374,17.5446013,16.53936557
Hounslow,E09000018,21.32693168,20.11416226,21.91024514,20.2304855,18.57737413
Huntingdonshire,E07000011,21.81152117,19.56524353,18.43001489,17.94378072,16.71980205
Hyndburn,E07000120,22.90551152,20.98773036,20.83895316,19.7880324,18.67951494
Inverclyde,S12000018,20.15726934,17.40365854,16.15866923,15.74423563,15.54036177
Ipswich,E07000202,21.27130498,19.32143782,20.3189076,19.05714662,17.94725249
Isle of Anglesey,W06000001,20.09986409,17.26214314,17.23102872,17.32857833,16.68054732
Isle of Wight,E06000046,18.20727202,16.83937263,15.58380082,14.94960608,13.91365802
Isles of Scilly,E06000053,17.86817714,15.13073296,15.25423729,15.522399,14.75680271
Islington,E09000019,19.39600672,16.46424314,15.95537379,15.65718129,14.63454346
Kensington and Chelsea,E09000020,15.0167668,15.22152307,16.68085815,14.45889987,13.11160923
Kettering,E07000153,20.7525358,19.82476917,20.57847649,19.46961723,18.31880471
King's Lynn and West Norfolk,E07000146,18.5535813,17.30939671,17.44998716,16.98813152,15.94229859
"Kingston upon Hull, City of",E06000010,21.98957515,18.79172412,19.86533408,19.28028304,18.43750501
Kingston upon Thames,E09000021,19.27172817,18.41412063,20.20573317,19.50812521,18.16057538
Kirklees,E08000034,21.76850588,20.5574456,20.47264016,19.29781664,18.50511162
Knowsley,E08000011,24.05202131,20.30144363,20.15497657,20.3791361,19.4894981
Lambeth,E09000022,20.72027683,18.26228011,17.450762,16.82965003,15.86043537
Lancaster,E07000121,19.23978404,16.97493594,16.80878499,17.19561684,16.1751252
Leeds,E08000035,20.64029053,18.06543385,19.3055193,19.44201784,18.67831716
Leicester,E06000016,22.76825892,21.03951844,21.40488376,21.27209048,20.25205362
Lewes,E07000063,19.3550925,17.37467917,17.31974617,16.38533632,15.68491412
Lewisham,E09000023,21.8139089,20.39113272,20.6034869,19.88256032,18.70704026
Lichfield,E07000194,19.29824561,17.97266057,17.00283749,15.98946241,15.31086679
Lincoln,E07000138,20.94256435,16.96764109,16.65808419,16.43469039,15.4301858
Lisburn and Castlereagh,N09000007,24.51183685,20.63346199,20.17301445,18.65765956,17.4413468
Liverpool,E08000012,21.20607716,17.28196485,17.33499861,17.86537075,17.12683052
Luton,E06000032,24.43667781,23.1586181,24.34367542,23.12327804,21.46630463
Maidstone,E07000110,20.12283002,19.21548459,19.90644582,19.13249526,18.03456759
Maldon,E07000074,20.33295591,18.43334415,16.41598758,15.96563024,15.28942475
Malvern Hills,E07000235,18.59507558,17.48571275,15.99093621,15.35759807,14.7117476
Manchester,E08000003,22.80729473,19.04890576,20.28132287,20.30295452,19.22506676
Mansfield,E07000174,21.1498205,18.50700597,18.78428166,18.023366,17.1914556
Medway,E06000035,22.67415556,20.62511618,20.84072628,20.35026037,19.32296072
Melton,E07000133,20.13425744,18.51198085,17.67710372,17.01041121,16.48888849
Mendip,E07000187,20.75223488,19.07301482,18.06216868,17.32365682,16.47648802
Merthyr Tydfil,W06000024,22.4644782,19.38704757,19.19645082,17.42442729,15.99592988
Merton,E09000024,20.00329029,19.1903359,20.954381,20.14227143,18.80838319
Mid and East Antrim,N09000008,24.51183685,20.14176151,19.30130501,17.69695602,16.60594574
Mid Devon,E07000042,19.97650523,18.9841112,18.46502234,17.4760383,16.84119631
Mid Suffolk,E07000203,19.60034167,18.71082312,16.86261501,15.48996436,14.64939841
Mid Sussex,E07000228,19.80820366,19.57063079,19.65654973,19.17391253,18.09724732
Mid Ulster,N09000009,24.51183685,23.22542011,23.23599653,21.48845446,19.94216214
Middlesbrough,E06000002,22.90756851,20.35174239,20.89224092,20.38535974,19.58108097
Midlothian,S12000019,20.87743385,18.86926662,19.25771841,19.74124839,19.17590985
Milton Keynes,E06000042,23.44807528,21.6802122,23.09880234,21.35477332,19.72924906
Mole Valley,E07000210,18.44587475,18.71914166,17.90654763,17.16852166,16.29370249
Monmouthshire,W06000021,19.94852302,18.52090246,16.42412526,15.23252063,14.70265887
Moray,S12000020,20.70391705,18.10298395,16.93153266,16.03970794,15.38089574
Na h-Eileanan Siar,S12000013,19.54611474,17.29105572,16.13119642,15.54318209,15.28328971
Neath Port Talbot,W06000012,20.10287688,18.15802869,17.46042853,17.17620951,16.56184637
New Forest,E07000091,18.47666081,16.60173706,15.85286476,15.08331208,14.35855272
Newark and Sherwood,E07000175,20.1132061,18.64635642,17.92606485,17.42489098,16.766805
Newcastle-under-Lyme,E07000195,19.37992773,17.24574517,16.32558499,15.97108786,15.55173382
Newcastle upon Tyne,E08000021,19.40901058,17.2494653,17.3776466,17.67722454,16.92156377
Newham,E09000025,27.93775346,24.30066768,22.34201219,21.24038465,19.58122611
Newport,W06000022,22.43897821,20.39455249,20.48896949,19.6096491,19.07194457
"Newry, Mourne and Down",N09000010,24.51183685,23.27891488,22.61015932,21.24598459,19.90027611
North Ayrshire,S12000021,20.56812395,18.31266768,16.83914843,16.43626469,16.39178807
North Devon,E07000043,18.80588674,17.60064673,17.34574966,16.49620039,15.77251539
North East Derbyshire,E07000038,18.84437453,17.02913669,16.24721879,15.98717532,15.68423366
North East Lincolnshire,E06000012,22.33613179,19.30841545,19.44112476,18.13583625,17.08865437
North Hertfordshire,E07000099,20.76986575,19.63888063,19.7291576,19.16649517,17.91107806
North Kesteven,E07000139,19.24217954,17.9600929,17.49622796,17.19268449,16.29546764
North Lanarkshire,S12000050,20.97833509,19.40412254,18.50637898,17.37757313,16.94175483
North Lincolnshire,E06000013,20.42238718,18.83916143,18.57852969,16.9135852,15.93865784
North Norfolk,E07000147,16.55854154,14.87208461,13.9117377,13.30804563,12.58794088
North Somerset,E06000024,18.78270597,18.23522676,18.16715673,17.50076712,16.94179367
North Tyneside,E08000022,19.60366492,17.8431432,18.03626478,16.91933801,16.03229137
North Warwickshire,E07000218,20.48526246,17.78821327,17.35543562,16.68134647,15.98025584
North West Leicestershire,E07000134,19.65074916,19.12594952,18.36065253,17.44644768,16.92192932
Northampton,E07000154,21.52050789,19.8152535,21.72323737,20.09222426,18.7889559
Northumberland,E06000057,19.17712805,17.37518985,16.34694043,15.03619134,14.21790296
Norwich,E07000148,18.61987939,16.21444304,16.9360267,16.82432173,16.18703161
Nottingham,E06000018,21.30910533,18.20532837,18.76950122,18.81724157,18.02240714
Nuneaton and Bedworth,E07000219,21.56360222,19.46911228,19.51249787,18.92610543,18.24220269
Oadby and Wigston,E07000135,19.74414988,17.84951974,18.16636287,18.11761596,17.27608415
Oldham,E08000004,23.04867564,22.50717643,22.59287081,22.10722134,21.09751809
Orkney Islands,S12000023,20.74017356,17.63259402,15.97115818,14.85826448,14.41127232
Oxford,E07000178,17.31382326,16.24005594,17.6566641,16.45035038,15.24460113
Pembrokeshire,W06000009,20.58239576,18.50347549,17.13086242,16.42288227,15.79847485
Pendle,E07000122,23.03485831,20.33144205,21.07762157,20.06357498,18.69686414
Perth and Kinross,S12000048,19.30673206,17.65178509,16.14449071,15.41266347,14.87717566
Peterborough,E06000031,22.35031467,21.0609736,23.17984889,22.2378527,20.48799715
Plymouth,E06000026,20.00699891,17.55053706,18.03230711,17.24682032,16.53419812
Portsmouth,E06000044,19.58132181,18.15584893,18.55968169,18.01560419,17.22147939
Powys,W06000023,19.42234411,17.76690626,16.00489252,15.58979635,14.93225895
Preston,E07000123,21.81575312,19.02949228,20.27175676,19.46875802,18.55258415
Reading,E06000038,20.16041185,18.32034861,20.75697138,19.59396571,18.45785927
Redbridge,E09000026,21.40069577,22.11548604,22.53618467,21.63357158,20.00703573
Redcar and Cleveland,E06000003,21.35489386,18.60349273,18.11685367,17.3187963,16.42245112
Redditch,E07000236,22.28376104,19.80946163,20.0296509,18.64996112,17.73446605
Reigate and Banstead,E07000211,19.51386567,19.62034368,20.5614624,19.87417764,18.52375454
Renfrewshire,S12000038,19.96406571,18.07518536,16.97002081,16.64261371,16.36593963
Rhondda Cynon Taf,W06000016,21.08336105,18.95545407,18.6793875,18.55840736,18.27098838
Ribble Valley,E07000124,18.94452222,18.66405403,17.15370398,16.1449023,15.14740462
Richmond upon Thames,E09000027,18.35299656,19.09340885,21.05137529,19.24909474,17.8481845
Richmondshire,E07000166,20.18091561,17.6498801,16.93336338,15.96961401,15.41039829
Rochdale,E08000005,23.13116446,21.44553719,21.56717469,20.77307756,19.58081622
Rochford,E07000075,19.604587,18.41408207,17.18881135,16.82133149,16.18164349
Rossendale,E07000125,21.98920775,19.78438185,19.61492348,18.5927807,17.47273868
Rother,E07000064,17.73487744,16.06413671,14.94835661,14.18317755,13.17854308
Rotherham,E08000018,21.30193672,19.50476161,19.39842295,18.79424758,18.04900725
Rugby,E07000220,20.34738008,19.19136404,20.12985801,19.42481472,18.37498603
Runnymede,E07000212,18.14369145,16.98477648,17.35909091,17.22667922,16.5369893
Rushcliffe,E07000176,19.17718344,18.58345598,18.57467005,17.71823137,17.24226694
Rushmoor,E07000092,22.17673647,20.31342816,19.99642639,18.56603608,17.60978303
Rutland,E06000017,18.60965195,18.26404824,16.85013981,16.49060158,15.26483334
Ryedale,E07000167,17.79517733,17.00575816,15.64457393,15.77938836,15.25746553
Salford,E08000006,21.19021837,18.99974425,20.24110877,20.12462089,19.01830154
Sandwell,E08000028,21.93478284,21.20908439,22.61269847,21.69240992,20.60251445
Scarborough,E07000168,18.69061381,16.42067605,16.08666863,15.1559457,14.35681132
Scottish Borders,S12000026,19.01263674,17.70642202,16.52294613,16.33224611,16.17563185
Sedgemoor,E07000188,19.31295723,18.16893298,18.00213371,17.80363477,16.87936444
Sefton,E08000014,20.38897597,17.68140208,17.39640372,17.36764577,16.61346416
Selby,E07000169,20.81115404,18.80529892,18.48697057,17.87365905,17.00787245
Sevenoaks,E07000111,20.28476924,19.86442832,20.07431854,19.92588657,19.03827585
Sheffield,E08000019,19.53647246,18.26434597,18.14195905,17.88575969,17.44003206
Shetland Islands,S12000027,22.46255507,19.6886121,18.29056111,17.10271109,16.86878858
Shropshire,E06000051,19.13481437,17.69976004,16.50336899,15.4149888,14.57689857
Slough,E06000039,22.761485,22.83021308,26.20580503,23.90999524,22.04343186
Solihull,E08000029,20.87119401,19.39173153,19.54501673,19.64996536,19.10433596
Somerset West and Taunton,E07000246,18.58670862,17.31750495,17.13828916,16.38131709,15.33198609
South Ayrshire,S12000028,18.58100953,16.79069354,15.67125722,15.0372758,14.63313067
South Bucks,E07000006,20.21527405,19.3573033,19.31527776,19.27904303,17.90100073
South Cambridgeshire,E07000012,20.37947176,19.7268631,20.16328189,19.03399261,17.77405445
South Derbyshire,E07000039,20.16411627,19.96566076,18.85485152,18.0041505,17.12143126
South Gloucestershire,E06000025,20.93792085,19.30185681,18.73841299,18.70706205,18.40808167
South Hams,E07000044,18.98309299,16.28909431,15.8337296,15.37655937,14.74854722
South Holland,E07000140,17.59405241,17.18533685,17.46222601,17.23002714,15.98238568
South Kesteven,E07000141,20.61001683,18.9691963,18.318964,17.5484859,16.34201183
South Lakeland,E07000031,17.28639552,15.75814416,14.76772663,14.00352722,13.30262894
South Lanarkshire,S12000029,20.34714667,18.25163819,17.32179801,16.78303222,16.28803332
South Norfolk,E07000149,18.13962609,17.84060485,18.05357311,17.67821351,16.81926706
South Northamptonshire,E07000155,21.5443742,20.04617699,19.06285467,18.26172454,17.22223933
South Oxfordshire,E07000179,20.83356274,19.48480895,19.18237203,18.01571841,17.05467924
South Ribble,E07000126,20.68709885,18.38913104,18.30502954,17.6464836,16.82286042
South Somerset,E07000189,19.64672967,17.90336578,17.58895753,16.67393276,15.78638757
South Staffordshire,E07000196,19.57269202,17.1142594,15.64044022,15.48386565,14.91892836
South Tyneside,E08000023,20.85918576,18.01703605,17.88506971,17.36587978,16.4218859
Southampton,E06000045,19.49612583,17.09718228,18.3416668,18.03286153,17.18660727
Southend-on-Sea,E06000033,19.94261995,19.15908415,19.52724662,18.52671479,17.47440539
Southwark,E09000028,21.72124716,18.82602275,18.74574476,17.91859706,16.86341077
Spelthorne,E07000213,18.7584043,18.25459853,19.66194858,18.96725937,17.70200139
St Albans,E07000240,20.07053896,21.17453412,22.46340917,21.66663657,20.52526131
St. Helens,E08000013,20.85799823,18.74407502,18.34500608,17.72745523,16.96858123
Stafford,E07000197,19.23380952,17.29270574,17.03561966,16.22512565,15.64495689
Staffordshire Moorlands,E07000198,18.60691723,16.79226533,16.09906806,15.55315575,15.18193332
Stevenage,E07000243,23.57770583,20.59915457,20.76372587,19.87568262,18.66434477
Stirling,S12000030,19.34104865,18.13304721,16.44651754,16.09977324,15.90318691
Stockport,E08000007,20.3666626,18.84487898,19.46431326,19.56593165,18.73879986
Stockton-on-Tees,E06000004,22.14050739,19.63457276,19.88560592,18.83579059,18.08114271
Stoke-on-Trent,E06000021,20.55418308,19.48604735,20.44106898,19.86427617,19.1848276
Stratford-on-Avon,E07000221,18.09946987,17.59396988,16.62172754,15.94950918,15.31229754
Stroud,E07000082,19.95664027,18.69360269,17.91814752,17.56648526,16.95911855
Sunderland,E08000024,20.84022243,17.95731399,17.65284752,17.04436782,16.49473274
Surrey Heath,E07000214,20.82706955,20.09010611,19.15070774,18.27328619,17.4285344
Sutton,E09000029,20.88796186,20.0177553,21.22478915,20.80424267,19.30817548
Swale,E07000113,21.46714634,20.3780747,20.16913661,19.31389398,18.06038956
Swansea,W06000011,19.32415309,17.59809344,17.04129576,16.2257471,15.78693501
Swindon,E06000030,21.30154552,19.7582386,20.45397214,19.40254067,18.08958809
Tameside,E08000008,21.82545038,19.57986689,20.11216846,19.5176468,18.5186221
Tamworth,E07000199,23.33378452,20.10972779,19.42930176,17.94743256,17.12154075
Tandridge,E07000215,19.86447516,19.62154937,19.3277407,18.62426833,17.38149895
Teignbridge,E07000045,18.65713828,16.94427474,16.2536509,16.23791398,15.50119882
Telford and Wrekin,E06000020,22.56311315,20.7113213,20.54904696,19.04680517,18.18424729
Tendring,E07000076,17.42499944,16.54382179,16.53875435,15.95126202,14.90410996
Test Valley,E07000093,20.89742406,19.28914605,18.80337783,18.62433783,17.8430052
