AREANM,AREACD,Distance,mapvar,Health (Q),Retail (47),Education (P),Manufacturing (C),Public admin (O),"Wholesale (45,46,48)",Food and drink (56),Transport (H),Professional (M),Construction (F),Admin (N),Finance (K),"Other Services (S, T, U)",Arts (R),Information and communication (J),"Agriculture, Electricity, Water, Mining (A,B,D,E)",Real estate (L),Accommodation (55)
North Kesteven,E07000139,lessthantwokm,45.53712737,3.544715447,2.521409214,2.536585366,3.80704607,4.628726287,2.380487805,1.472086721,1.185907859,0.795663957,1.879674797,1.003794038,0.201626016,0.578861789,0.398915989,0.531165312,1.363685636,0.130081301,0.273170732
North Lincolnshire UA,E06000013,lessthantwokm,53.78365771,4.400445746,3.813460492,2.412729676,9.612045508,1.259491539,2.850701013,1.473294115,2.344053697,0.720449892,1.799828958,1.140280405,0.465182574,0.555886697,0.50794309,0.246196906,0.935548242,0.396506595,0.303210926
North Norfolk,E07000147,lessthantwokm,40.29236411,3.088282985,3.554768379,2.180257939,2.4072642,0.720931973,1.274727468,1.314640657,0.673535061,0.623643575,0.890563025,0.708459101,0.274403173,0.588719535,0.648589318,0.094793823,1.137525881,0.28438147,0.885573877
North Somerset UA,E06000024,lessthantwokm,48.98785425,5.166989208,4.113882722,2.734277607,2.635734384,1.446092108,1.73934724,1.324990799,1.422346753,1.19795315,1.163522386,1.012739383,0.626877367,0.783596709,0.683866219,0.55682857,0.643499116,0.466596222,0.473719829
North Tyneside,E08000022,lessthantwokm,63.74204688,6.81898815,5.494453511,3.929846969,4.093048558,4.812081648,1.969062655,1.961966934,1.371839447,1.723077651,2.442110741,2.057759171,1.686416424,0.920078526,0.781711961,2.650251898,0.603136309,0.713119989,0.325220559
North Warwickshire,E07000218,lessthantwokm,44.56045891,2.676998943,3.904795451,2.078196548,5.406833392,0.495647361,3.789060534,1.746087657,6.12388668,0.654153877,1.499521964,1.532229658,0.35475268,0.606350325,0.591254466,0.573642631,1.215216626,0.218889951,1.154833191
North West Leicestershire,E07000134,lessthantwokm,43.74327982,2.189388603,2.96244114,2.34140373,5.539282934,0.533906789,3.409217307,1.245782507,4.417707908,1.180898002,1.759297023,1.386674576,0.420822365,0.671091172,0.52834526,0.309591784,0.95843684,0.257684179,0.574691335
Northampton,E07000154,lessthantwokm,58.51639365,6.431644901,5.055232631,3.356734858,4.444612197,2.425706449,3.874252451,1.529067378,3.352541037,1.613782576,1.612105047,1.89728492,3.533714132,0.810246345,0.796826116,0.943609874,0.622363135,0.337183262,0.237370306
Northumberland UA,E06000057,lessthantwokm,46.8231534,4.618312642,3.045147198,2.197934568,3.694007677,2.445272473,1.249538249,1.358752389,1.018261247,0.859258308,1.273629603,0.788590335,0.324430239,0.619147809,0.562131603,0.206382603,0.811878644,0.346915504,0.472993592
Norwich,E07000148,lessthantwokm,60.65197019,3.882368691,6.187246196,4.823954661,3.018876344,2.809139185,2.435405417,2.095140345,1.770493998,2.13530278,1.686822259,1.70467223,4.152349502,1.185907448,0.797670579,1.35101968,0.291177652,0.632558347,0.382658753
Nottingham UA,E06000018,lessthantwokm,66.15594903,9.43769588,5.884977009,7.126598495,3.747169034,3.562441379,2.263628669,2.358566102,2.170406973,2.928762611,1.830691099,2.355134628,1.621371217,0.958524924,1.220460733,1.495550523,0.917347242,0.946514767,0.475259076
Nuneaton and Bedworth,E07000219,lessthantwokm,62.47087784,6.846454789,5.011209284,4.013363225,6.101367093,1.745131654,3.815552332,1.523143874,3.400149457,1.004439756,1.595674535,1.60446613,0.791243571,1.503362786,0.742889797,0.378038595,0.382434392,0.287924744,0.180227702
Oadby and Wigston,E07000135,lessthantwokm,66.43935475,5.728260358,7.007477778,5.634200254,8.785213752,1.38738654,3.644829046,2.078728307,1.749517942,1.321544467,2.074025302,1.805954005,1.114612237,1.020552132,0.926492028,0.484409538,0.366834407,0.442082491,0.159902177
Oldham,E08000004,lessthantwokm,66.64728704,7.495443924,7.040395344,5.093860757,6.109055131,2.416117888,3.262485885,1.899576257,2.583826209,1.284645744,2.447423441,1.706152659,0.703256896,0.960409656,0.758041614,0.616048568,0.552319406,0.806118,0.156527767
Oxford,E07000178,lessthantwokm,55.50211485,6.591538592,3.702740808,9.788314818,1.700880938,1.658883878,1.030927835,2.220844541,1.160918736,2.746807723,0.787944844,1.010929235,0.397972142,0.692951493,0.908936374,2.193846431,0.278980471,0.357974942,0.428969972
Pembrokeshire,W06000009,lessthantwokm,43.23046152,3.753481504,2.783333645,2.38144195,2.5178982,1.515972858,1.35521618,1.261752995,1.058003253,0.800044862,1.932818663,0.700973886,0.280389555,0.463577397,0.624334075,0.168233733,1.046787671,0.284128082,0.755182534
Pendle,E07000122,lessthantwokm,64.06982429,4.742185029,5.328847094,3.747160153,10.23207661,1.550053202,2.107957323,1.552928997,0.897247865,1.170448336,1.826129468,1.285480114,0.612544215,0.69306646,0.730451787,0.681563282,0.342219538,0.437120755,0.465878699
Peterborough UA,E06000031,lessthantwokm,58.10017917,5.404713619,5.888086003,3.368839709,4.38973006,2.572407411,3.031168166,1.664730552,2.42670657,1.566284038,1.401878359,2.876607139,3.043966213,0.834826438,0.729488669,1.393018173,0.615290713,0.576896572,0.31798224
Plymouth UA,E06000026,lessthantwokm,70.56853455,9.20111093,6.086423787,5.263028917,5.553014213,5.892827969,2.155693514,2.091978435,2.704623428,1.940859337,1.979251756,1.775036759,1.021074988,1.025976148,0.957359909,0.84790067,0.698415292,0.751511191,0.420682895
Portsmouth UA,E06000044,lessthantwokm,66.11802599,7.630927685,4.723041089,4.108891073,4.773992794,6.320740983,1.855187975,2.240055319,2.123594279,1.383884704,1.690504786,2.263711468,1.258325145,0.731520909,0.957164174,0.896204098,0.765185428,0.458565346,0.423990974
Powys,W06000023,lessthantwokm,36.94976272,2.63622975,2.225495009,1.86876125,1.968581247,1.137293405,1.217476681,0.774014073,0.648011782,0.652920962,0.937653412,0.499099984,0.212731141,0.399279987,0.432007855,0.130911471,0.919653084,0.220913108,0.423825888
Preston,E07000123,lessthantwokm,56.36517542,6.710058224,5.138353485,3.755390581,2.430766063,5.248166916,2.86315645,1.603733657,1.968634539,1.791331602,1.699820409,1.747863786,1.275437252,0.741240663,0.611981103,1.04437149,0.479289873,0.51818213,0.345454753
Reading UA,E06000038,lessthantwokm,58.33128505,6.065515161,5.525886533,3.469041182,1.451299354,2.633343016,1.988693495,1.452416598,1.879203629,3.005385114,0.975353608,1.587603066,2.347328671,0.793242912,0.718387594,2.908184926,1.040153732,0.472594016,0.330704087
Redbridge,E09000026,lessthantwokm,51.75978744,7.143666654,4.849331973,6.419603843,1.166055935,2.494553788,1.45568106,1.745306184,1.940488333,1.528716961,1.383904399,1.603012101,0.977169985,1.002354778,0.792061753,0.672433984,0.167478876,0.722803571,0.185108232
Redcar and Cleveland UA,E06000003,lessthantwokm,58.2741932,5.673112399,5.061093387,4.164767672,5.275951125,2.315688955,1.990146928,1.742734987,2.478459969,1.441066042,2.037893092,1.53872865,0.483972481,0.83555787,0.727043861,0.256093062,1.697159103,0.71402218,0.444907438
Redditch,E07000236,lessthantwokm,54.82875577,4.97284064,5.357917017,2.784790758,9.096473108,1.30568944,2.782240583,1.127177212,1.241935073,1.428097825,1.196031928,1.535205162,0.545737383,0.619692449,0.374875679,0.788003978,0.219315024,0.265218167,0.094356463
Reigate and Banstead,E07000211,lessthantwokm,43.22729004,5.697630137,2.88103817,3.008465887,1.403169581,1.707824355,1.530597299,1.119020418,1.073615139,1.31821777,1.097050122,1.438322055,4.026422943,0.694261359,0.483346516,0.710372909,0.511175557,0.522893049,0.186015174
Rhondda Cynon Taf,W06000016,lessthantwokm,52.06114279,7.277690161,4.774960573,4.071333252,5.470095839,2.437219459,1.594079825,1.62562174,1.301710542,0.863763193,1.712968579,1.182821788,0.65874075,0.869828945,0.651461846,0.297221885,0.619919932,0.429455295,0.172267378
Ribble Valley,E07000124,lessthantwokm,44.61323206,4.247451529,2.192018122,2.834965687,7.688720101,1.762275968,1.345859151,1.955493371,0.662935572,0.859484309,1.279232461,0.71290559,0.399760144,0.636284896,0.42641082,0.289826104,0.469718169,0.229862083,0.872809648
Richmond upon Thames,E09000027,lessthantwokm,49.60094105,4.086717851,4.692579148,4.968315604,1.040968366,1.551966203,1.075119212,2.295695729,1.544377127,3.726236703,0.871478985,2.103439117,1.106740365,1.183895979,2.041461656,1.740428277,0.273206764,1.070059827,0.428782839
Richmondshire,E07000166,lessthantwokm,44.73477547,2.116798743,1.956164775,1.406439637,1.020918112,6.232597987,1.053044906,1.7705433,0.48547155,0.42835725,0.978082387,0.931677019,0.174912544,0.453344756,0.596130506,0.192760762,0.656814449,0.1713429,0.617548369
Rochdale,E08000005,lessthantwokm,63.12249337,6.420749569,4.785073989,4.386527364,6.229648349,2.298243629,3.3845032,1.770200782,2.738279335,1.291190485,2.117200367,1.64573354,0.64748111,0.896415595,0.790807025,0.832296106,0.492839991,0.709086109,0.262764179
Rochford,E07000075,lessthantwokm,55.35980334,4.16045888,4.234952324,4.357866508,5.467818832,2.625893921,2.525327771,1.92193087,1.772943981,1.679827175,2.350268176,1.564362336,0.942342074,1.035458879,1.016835518,0.387365912,0.871573302,0.581048868,0.230929678
Rossendale,E07000125,lessthantwokm,55.25916198,4.900069766,4.47326302,3.730455124,7.850781795,1.095744244,2.589567858,1.493823614,1.452784504,1.235277219,1.727746542,1.378914105,0.512988878,0.931587803,0.660729675,0.488365412,0.348832437,0.533508434,0.036935199
Rother,E07000064,lessthantwokm,45.62040427,5.18106021,3.531981663,3.898101714,1.396794142,0.772236409,1.399870781,1.53831954,0.941451558,1.319878165,1.175276128,0.830692551,1.778297388,0.941451558,0.750699935,0.175368428,0.541488477,0.532258561,0.892225333
Rotherham,E08000018,lessthantwokm,57.54364551,6.528332594,5.306813138,4.189783992,6.569943779,2.079634561,2.338548602,1.773561178,2.222961977,1.27515165,2.463382157,2.453210534,0.864587957,0.834073088,0.661155496,0.810955763,1.066171031,0.311621542,0.294052375
Rugby,E07000220,lessthantwokm,49.90560497,3.463248867,3.375146837,3.087766404,5.158164121,1.361386139,2.565447223,1.663450243,2.187867092,1.18308441,1.87531465,1.271186441,0.49924484,0.671253566,0.566370196,0.597835207,0.587346871,0.264306092,0.843262292
Runnymede,E07000212,lessthantwokm,42.90330946,6.245885615,2.252189351,3.277543937,1.70958926,0.885714856,1.899100321,1.10115901,1.711584113,2.268148178,1.029344292,1.416345828,0.865766323,0.789961899,1.424325241,1.422330388,0.724131741,0.458816254,0.387001536
Rushcliffe,E07000176,lessthantwokm,46.13703728,4.452521581,3.742887432,4.346509163,2.063996885,3.277730902,1.642110729,1.648601285,0.850262868,2.033707622,1.399796629,0.936803617,0.928149542,0.832954718,1.250513836,1.293784211,1.051470111,0.348326518,0.231496506
Rushmoor,E07000092,lessthantwokm,53.10609237,2.474090936,4.149443879,3.164999301,2.789592444,3.182970906,2.082709319,1.206094371,1.463687374,2.869466243,1.331895605,2.272409593,1.641406578,0.579085046,0.682920985,2.957327423,0.375406857,0.405359532,0.429321672
Rutland UA,E06000017,lessthantwokm,40.48225413,1.874830669,2.264968843,2.953129233,2.779734489,1.788133297,1.034949878,0.888648063,0.850717963,0.698997562,0.785694934,0.563532918,0.092115958,0.384719588,0.422649688,0.205906258,0.623137362,0.17881333,0.590625847
Ryedale,E07000167,lessthantwokm,35.35226797,1.345956428,1.646325235,1.69955515,2.672902171,0.536101289,1.406790616,1.114026083,0.513288468,1.228090187,1.03418121,0.433443595,0.182502566,0.342192312,1.072202578,0.08364701,1.091213262,0.216721798,0.509486331
Salford,E08000006,lessthantwokm,54.4636757,7.008216106,3.140164322,4.171119247,2.68819088,3.331114342,2.644395004,1.522344656,1.554753604,1.881470841,2.097822469,2.21782317,2.073296778,0.712996864,0.698982184,1.185116409,0.559711297,0.6648214,0.450221607
Sandwell,E08000028,lessthantwokm,65.75452301,6.415172228,5.185485087,4.190780125,9.23654608,1.920344217,4.663919916,1.581366548,3.848627021,1.145538117,2.872974668,2.058475633,0.977240071,1.138393389,0.747814904,0.358030278,1.825875031,0.878801591,0.183381362
Scarborough,E07000168,lessthantwokm,59.96386164,5.227155395,4.205386336,2.906126312,4.448459818,1.335828601,1.26484254,1.869299604,0.860437102,0.886250215,1.258389262,0.705558424,0.354930305,0.628119084,0.699105145,0.288246429,0.557133023,0.352779212,1.187403201
Sedgemoor,E07000188,lessthantwokm,49.10177095,3.044411846,3.635435933,2.727639943,4.320003402,0.880158173,2.604332759,1.415906627,1.415906627,0.722835215,1.103386696,0.720709229,0.291260072,0.55275634,0.437953101,0.133937113,0.737717116,0.195590705,0.595276059
Sefton,E08000014,lessthantwokm,58.42230876,6.643927609,5.582986289,3.933599374,1.807851739,3.47849613,1.508314572,1.730551825,1.840704202,1.211676152,1.417487173,1.319896032,2.029122743,0.921801474,0.790391621,0.406790797,0.298570919,0.435778265,0.372005836
Selby,E07000169,lessthantwokm,39.80098108,2.141555711,2.374211633,2.56201822,4.277505256,0.742817099,1.362298528,1.10721794,1.353889278,0.790469516,1.053959355,0.986685354,0.423265592,0.431674842,0.370007008,0.241065172,3.086194814,0.16538192,0.350385424
Sevenoaks,E07000111,lessthantwokm,34.65534529,2.506773622,3.020928893,3.304674333,1.48272993,0.689096068,1.491263627,1.216051885,0.71469716,1.4976639,1.467795959,0.919505899,0.590958548,0.697629766,0.861903441,0.394683506,0.358415292,0.494954451,0.209075587
Sheffield,E08000019,lessthantwokm,64.26945991,7.626540422,5.797664925,5.86932574,5.066572135,3.558264436,2.678894746,2.218817063,1.966098335,2.500886231,2.02594274,1.682504469,1.60970013,0.948362283,1.112648515,1.310478107,0.466938825,0.812664143,0.317137227
Shepway,E07000112,lessthantwokm,49.356098,3.955398008,3.742259715,2.627209908,1.200305124,1.913757516,1.088127075,1.3281881,1.871129857,0.744862245,1.307996051,1.90029615,1.85542493,0.610248587,0.563133806,0.163779952,1.559274882,0.271470879,0.399353854
Shropshire UA,E06000051,lessthantwokm,42.80282084,4.371215379,2.814016835,2.464483448,2.304053085,1.304606058,1.610447771,1.275933398,0.999447027,1.006273851,1.146223742,0.742758446,0.341341198,0.571405165,0.557068835,0.356360211,0.96872632,0.273755641,0.350898751
Slough UA,E06000039,lessthantwokm,47.57678088,3.797333191,3.076573991,2.8082914,3.812015323,1.33206978,2.194311341,1.461539488,4.696947451,1.433509964,0.955673309,1.827258045,0.527222007,0.469828219,0.408430213,2.21433243,0.548577835,0.236248849,0.298981594
Solihull,E08000029,lessthantwokm,49.57113574,4.699596012,5.872753687,3.821966606,4.24187546,1.337340047,1.567195367,2.34631535,2.381141913,1.733367828,1.268681964,2.28263249,1.590081395,0.959223069,0.686580827,1.193058568,0.717427212,0.545284483,0.984099186
Somerset West and Taunton,E07000246,lessthantwokm,48.86646869,5.638489686,3.677679376,2.711194782,1.540541974,2.141114705,1.329744922,1.190539322,0.66818688,1.385427162,1.048682187,0.80208941,0.559473935,0.536935886,0.61250464,0.388449912,0.806066713,0.308903855,0.4176168
South Bucks,E07000006,lessthantwokm,41.19559705,3.842138233,3.895832712,3.361870954,2.61611431,0.772603884,2.043373206,2.222354801,1.745070549,2.234286907,1.190227605,1.604868299,0.569758077,1.112668914,0.871043761,1.35131104,0.456403067,0.516063598,0.978432718
South Cambridgeshire,E07000012,lessthantwokm,33.5451572,3.085241306,1.803617916,2.953073894,3.205393498,0.539349843,1.409785729,0.887791202,0.612776183,3.137307256,1.050664175,0.692877645,0.276350043,0.512649355,0.361791603,1.467191776,0.467258528,0.234964288,0.166878046
South Derbyshire,E07000039,lessthantwokm,47.17472772,3.58063005,2.432954679,3.443026115,6.912401921,0.644103525,1.932310575,1.730296288,1.862044736,1.54584846,1.780067924,0.989577234,0.190303314,0.597259633,0.503571847,0.193231058,0.869539759,0.169809111,0.27520787
South Gloucestershire UA,E06000025,lessthantwokm,52.31108776,5.199509546,4.550709406,3.998598704,3.474513925,3.482921703,1.834997373,1.30881065,2.134874759,1.78805395,1.737607287,1.450341566,1.91346996,0.570327553,0.502364687,1.600280259,0.536696444,0.373445437,0.296374146
South Hams,E07000044,lessthantwokm,44.41429321,2.886917657,3.527694799,2.252981552,4.273367843,2.610995827,1.755866189,1.466262285,1.329441543,1.030716257,1.327161198,0.859690329,0.410462226,0.695505439,0.497115363,1.217704604,0.877933094,0.385378423,0.786719267
South Holland,E07000140,lessthantwokm,45.53995405,2.376818994,3.505233597,1.547102374,6.219045188,0.421240745,3.4950217,0.94460046,2.187898902,1.085014041,1.299463875,1.677304059,0.257850396,0.441664539,0.275721215,0.119989788,2.330865458,0.132754659,0.084248149
South Kesteven,E07000141,lessthantwokm,45.98008258,2.670113467,3.230507651,2.106249349,3.855095597,0.634997745,1.962247129,1.134668101,0.91606232,0.697456539,1.11037857,0.72174607,0.444151428,0.645407544,0.432006662,0.324438738,0.723481036,0.225545647,0.45282626
South Lakeland,E07000031,lessthantwokm,43.28332635,2.832882763,3.209838937,1.997106195,2.829075125,0.555915166,1.397403191,1.425960477,0.592087728,0.873852949,1.132772341,0.500704413,0.274149945,0.514031146,0.595895366,0.270342307,0.557818984,0.234169745,1.254616761
South Norfolk,E07000149,lessthantwokm,40.91787968,9.587391923,2.770785451,2.694173872,2.734303747,0.961292912,1.298748678,1.136405093,0.623837146,1.723760534,1.386304768,0.747874941,0.335631681,0.514392032,0.428660027,0.310094488,1.006895043,0.308270402,0.45054905
South Northamptonshire,E07000155,lessthantwokm,34.08834505,1.984436923,1.504237901,3.254360844,1.877404611,0.512019439,1.394312824,1.021146114,1.770372299,1.203390321,0.940148688,1.064537591,0.309525876,0.737655124,0.836009141,0.575660274,0.428129249,0.231421216,0.425236484
South Oxfordshire,E07000179,lessthantwokm,39.90303575,2.326178742,2.804578511,3.286189016,1.456069095,0.996933746,1.407908045,1.181551107,0.815527123,2.358286109,1.098071953,0.950378064,0.547430608,0.56508966,0.576327238,0.56508966,0.677465444,0.313046829,0.343548827
South Ribble,E07000126,lessthantwokm,57.48259978,4.839593352,4.452020048,3.559181023,7.071690915,2.623729226,3.687019338,1.651752197,2.262535257,1.489417828,2.700838051,1.745094458,0.446419513,0.87051805,0.653395832,0.590491264,0.943568516,0.874576409,0.249589091
South Somerset,E07000189,lessthantwokm,48.06440912,3.289356164,3.25363003,2.186949754,5.337229183,2.237987088,1.81182535,1.006711409,0.863806875,0.953122209,1.236379412,0.842116008,0.303672136,0.584377472,0.484854671,0.375124404,0.608620207,0.32025927,0.39298747
South Staffordshire,E07000196,lessthantwokm,47.77187968,4.570573023,4.486184837,2.929086702,5.150401524,2.00081666,2.23764802,2.226759221,1.976316864,0.846604056,1.968150265,1.420988158,0.424663128,0.805771063,0.879270451,0.304886348,1.064380019,0.348441541,0.620661494
South Tyneside,E08000023,lessthantwokm,68.22418809,8.725682281,5.921352095,4.617150547,5.737299373,3.14472877,2.00676839,2.473826911,2.182904867,1.308159671,2.885471709,1.709909161,0.649132182,1.187436918,1.017237626,0.629341566,0.720378397,0.706524966,0.207801461
Southampton UA,E06000045,lessthantwokm,65.23454393,8.181457129,5.688186753,5.594633953,2.650368474,2.519747584,2.392656988,1.878999162,2.957504082,2.748334142,1.541856052,1.880764309,2.555933101,1.003486165,0.962887781,0.767839019,0.668108204,0.67958166,0.336260536
Southend-on-Sea UA,E06000033,lessthantwokm,66.45275016,8.31657807,5.329550775,5.003167433,2.586278128,2.301209133,1.874294213,1.952791473,1.28074476,1.776516925,1.388162062,1.703528245,4.203046245,1.054892996,1.231167543,0.550857961,0.276806126,0.77808687,0.133583056
Southwark,E09000028,lessthantwokm,43.68858778,4.298448476,2.219797401,3.971097576,0.593900307,2.362572337,0.706274497,2.000477726,1.48692225,6.47698772,0.922336949,2.067250795,1.770843512,0.960337883,1.200829506,2.734981488,0.15851818,0.749704136,0.262749313
Spelthorne,E07000213,lessthantwokm,47.87347413,3.315733385,4.887618679,3.092908351,1.949719047,1.697829878,2.431699283,1.632435575,2.831331137,1.676031777,1.378124394,1.809242395,0.80168572,0.733869406,0.828327843,1.680875799,1.36843635,0.491668281,0.302751405
St Albans,E07000240,lessthantwokm,44.47562825,4.279170296,4.740475499,4.392077164,1.079067067,0.838736733,1.708119617,1.54037227,1.095196619,2.772670086,1.401658118,1.441981999,1.13229459,0.94519178,0.801638763,0.777444434,0.361301978,0.425820188,0.237104423
St. Helens,E08000013,lessthantwokm,63.06581207,6.788211482,6.015394995,4.47436212,5.03250736,2.490186457,3.405605986,1.895240432,2.747791953,1.605434249,2.427318449,2.301582434,0.700748283,1.10095682,0.907752699,0.489143768,0.696148183,0.877085378,0.335807164
Stafford,E07000197,lessthantwokm,45.98153518,5.321950642,3.320115997,2.601053441,2.97242114,2.93839143,1.708883234,1.686689945,1.401136296,0.926199917,1.168846541,1.049002782,0.408356513,0.856660946,0.582943718,0.471977274,0.671716873,0.334378884,0.26336036
Staffordshire Moorlands,E07000198,lessthantwokm,46.5845401,3.576204159,2.489402259,3.012887991,4.520754502,0.748243193,1.28310905,1.388375203,1.226208427,0.714102819,1.385530172,0.711257788,0.992915872,0.651512134,1.544851916,0.125181371,0.677117415,0.193462118,0.352783863
Stevenage,E07000243,lessthantwokm,52.57132715,6.538137285,5.648489151,2.959577584,4.426054932,2.657851533,1.719394773,1.719394773,1.515285974,1.373297245,1.193592759,1.588498913,0.794249456,0.77871944,0.916271021,1.914629276,0.237387407,0.44371478,0.224075964
Stockport,E08000007,lessthantwokm,60.12076246,7.153399897,5.744504519,4.268518884,4.308773038,2.110580528,2.699396188,1.737242985,2.037965192,2.324480051,1.955088993,2.397884684,1.981925096,1.06476183,0.828761987,1.258928924,0.768775406,0.602233711,0.303879395
Stockton-on-Tees UA,E06000004,lessthantwokm,61.8116101,6.173424022,6.183816991,3.753016848,5.287712045,3.144450732,2.844209384,1.980438121,2.251810109,2.525491645,2.662909801,1.965426054,2.269131725,0.882247653,0.725198333,0.988486899,0.982713027,0.583161079,0.226335785
Stoke-on-Trent UA,E06000021,lessthantwokm,69.67825237,9.679473758,6.626884422,4.213777219,7.476619207,2.445386655,3.640598827,1.862611669,2.781267448,1.543306812,2.576249302,2.120847292,1.41069933,0.946573143,1.628803741,1.048646008,1.114949748,0.572305974,0.201528476
Stratford-on-Avon,E07000221,lessthantwokm,34.40440096,2.050448536,2.259869346,2.066076954,2.5380552,0.426655831,1.570656081,1.297158753,0.722032945,1.045541212,0.853311662,0.987716063,1.100240678,0.582940018,0.604819804,0.765792517,0.640765168,0.228174913,0.540743288
Stroud,E07000082,lessthantwokm,47.3404677,4.223147047,3.256044392,3.333333333,6.420927467,0.757035275,2.033293698,1.44470868,1.33967499,1.625049544,1.847007531,0.897740785,0.497423702,0.687673404,0.66587396,0.550931431,1.147443519,0.354736425,0.328973444
Sunderland,E08000024,lessthantwokm,65.48406732,6.84105264,5.463197919,3.988901274,7.091643544,4.520912878,2.279823875,2.139904032,2.389704429,0.922522352,2.150180631,1.972316424,2.181010427,0.92647489,0.854538699,0.90987423,1.750183793,0.83477601,0.216599078
Surrey Heath,E07000214,lessthantwokm,49.46747168,8.217443412,4.463740587,2.85597992,2.998439726,2.390158967,2.037401352,1.671076137,1.20073265,1.809013409,1.322841056,1.684643737,1.397462859,0.92938064,0.762046899,1.227867852,0.472604753,0.483911087,0.402505484
Sutton,E09000029,lessthantwokm,57.00777879,8.285918474,5.22113191,4.862428191,1.360600313,2.302025783,1.702811907,1.496660345,2.592012314,1.976306314,2.020285314,1.951568126,0.916687282,0.915312938,0.709161375,1.223165938,0.328468156,0.533245375,0.096204063
Swale,E07000113,lessthantwokm,48.31916831,2.802018516,2.915844589,2.580057672,4.203976324,2.187357717,2.323949006,1.140157839,1.868644711,0.872666565,1.472150554,1.119289725,0.331992715,0.593792685,0.455304295,0.214372439,0.851798451,0.404082562,0.199195629
Swansea,W06000011,lessthantwokm,61.91500274,8.184787597,6.039610197,4.867141173,2.486210217,5.364743146,2.359335211,2.376431843,1.760953092,1.70426426,1.626879505,1.591786418,2.176671196,0.90792114,0.929516885,1.370430025,0.527296122,0.675766874,0.373426435
Swindon UA,E06000030,lessthantwokm,64.52692787,5.086580087,6.291730868,3.133025167,6.697116443,1.690329445,3.311871744,1.572015555,3.444860225,2.264472815,1.740773351,2.579976521,2.931249541,0.929085039,0.756658596,1.439027075,1.148286741,0.420060166,0.47875853
Tameside,E08000008,lessthantwokm,65.54631323,7.030290883,5.433066921,4.460952572,7.257034049,2.722170721,2.987748353,1.782627214,1.64232205,1.280284619,2.392704131,1.436875204,0.784205647,1.039761481,0.73660211,0.492320798,0.726580312,0.760403878,0.216721369
Tamworth,E07000199,lessthantwokm,55.40149823,2.523327638,6.410172165,2.585753713,5.023656197,1.008673939,3.706137469,1.76764358,2.263766592,1.038244185,1.682218426,1.961492969,1.363516888,0.696543567,0.765540807,0.532264424,0.302273623,0.226705218,0.203706137
Tandridge,E07000215,lessthantwokm,42.86099138,4.579741379,4.304358238,4.947916667,1.338002874,1.002753831,1.631345785,1.463721264,1.164391762,1.355962644,2.080340038,0.993773946,0.871048851,0.924928161,1.068606322,0.434027778,0.431034482,0.386135057,0.413074713
Teignbridge,E07000045,lessthantwokm,49.48320925,4.259068589,4.750118802,2.532472675,3.556153968,1.683035007,2.211706003,1.572152701,1.039521622,1.346428006,2.112703944,1.05338191,0.514810708,0.900918738,0.683114209,0.30096626,0.829637257,0.427688896,0.817757009
Telford and Wrekin UA,E06000020,lessthantwokm,57.78898687,4.085593789,4.866768906,3.593165916,9.341752133,3.25889006,2.968944695,1.528802837,1.763634621,1.019601265,1.455717435,1.737275951,1.359867727,0.877024825,0.61463625,1.883446755,0.770392025,0.523579028,0.462474839
Tendring,E07000076,lessthantwokm,52.90792502,5.337712537,4.135665929,3.078848001,2.189601627,1.300355252,1.919252854,1.50590969,2.010858637,0.786469156,1.226623768,0.97861787,0.455794624,0.987555019,0.645709051,0.218960163,0.752954845,0.303863083,0.665817637
Test Valley,E07000093,lessthantwokm,46.52185156,2.606671839,3.315231446,2.598051892,3.470390484,1.496422722,2.680803379,1.279200069,1.708473407,2.194638393,1.529178519,1.263684165,0.934402207,0.624084131,0.530988708,0.798207051,0.701663649,0.327557969,0.367209723
Tewkesbury,E07000083,lessthantwokm,47.18187101,3.537994706,2.496395291,2.330686293,6.951169647,1.49138098,2.186497945,1.198700153,1.631265199,1.657089978,1.902425377,1.179331569,3.006434674,0.454085695,0.428260916,1.15781092,0.669292186,0.195837906,0.572449265
Thanet,E07000114,lessthantwokm,64.74618759,8.259870483,6.59076666,5.519114268,3.65573428,1.917693754,1.595989137,2.220597451,1.733862544,1.196991853,1.861290996,1.318153332,1.213703781,0.994359724,0.981825778,0.41153123,0.846041362,0.49300188,0.304992689
The Vale of Glamorgan,W06000014,lessthantwokm,52.80869451,6.732573873,3.747108376,3.507049016,2.756317926,2.025228056,1.171926149,1.905198376,1.782986338,0.905678495,1.604032997,1.265767535,0.467024573,0.728907512,0.685260355,0.645977915,0.632883768,0.395006765,0.473571647
Three Rivers,E07000102,lessthantwokm,42.1409746,2.795379353,2.660797398,3.956148713,1.460774968,1.651432737,2.130880951,1.404699153,1.138339034,1.6626479,2.043963439,1.23647171,1.870128414,0.871978915,1.225256547,1.755172994,0.501878541,0.513093703,0.692536309
Thurrock UA,E06000034,lessthantwokm,48.30384854,2.804158908,8.218497827,2.946927374,2.762259466,1.08317815,3.472998138,1.672873991,4.633767846,0.713842334,1.458721291,1.424581006,0.412787089,0.515207945,0.476412166,0.243637492,0.879888268,0.265363128,0.294847921
Tonbridge and Malling,E07000115,lessthantwokm,43.95455372,3.368779665,4.203945954,3.368779665,2.483999537,1.194039724,2.98509931,1.117965171,2.536920965,1.423917178,1.662063605,1.557874543,1.415648205,0.770668299,0.673094415,0.74255379,1.073312717,0.286106471,0.167033258
