AREANM,AREACD,Distance,mapvar,Health (Q),Retail (47),Education (P),Manufacturing (C),Public admin (O),"Wholesale (45,46,48)",Food and drink (56),Transport (H),Professional (M),Construction (F),Admin (N),Finance (K),"Other Services (S, T, U)",Arts (R),Information and communication (J),"Agriculture, Electricity, Water, Mining (A,B,D,E)",Real estate (L),Accommodation (55)
"Cornwall UA and Isles of Scilly UA

",E06000052,lessthantwokm,44.67993477,3.763431869,3.535142367,2.542542961,2.491533219,1.497679475,1.625621943,1.475519505,0.92821006,0.948697579,1.153990885,0.828699252,0.303967889,0.586193921,0.648074591,0.229543839,0.977547351,0.32152862,1.000125434
Cotswold,E07000079,lessthantwokm,35.49290643,1.785348302,2.363764717,2.705349213,1.887823651,0.478218295,1.382278596,1.323070617,0.635347164,0.940495981,1.074852549,0.692277913,0.380297406,0.516931205,0.544257965,0.350693417,0.751485893,0.346138957,1.01109011
County Durham UA,E06000047,lessthantwokm,51.82320107,4.897261659,3.988694738,3.646907738,5.352809125,3.03462363,1.530457469,1.691744529,1.418213809,0.889859645,1.628038668,1.155300732,0.551611859,0.789244833,0.632508191,0.259373862,0.908566921,0.463637099,0.435828985
Coventry,E08000026,lessthantwokm,60.74844829,6.486954886,5.346347099,7.009565521,4.913077357,2.613724911,2.75277427,1.772711395,2.027299352,1.741811538,1.201735766,2.046779697,1.992369079,1.04857995,0.843700459,0.913561007,0.742268319,0.717414085,0.487008625
Craven,E07000163,lessthantwokm,42.61332754,2.532884009,2.337210566,2.851759249,3.029314781,0.55803167,1.710330833,1.500163061,0.793564518,1.224770808,1.289995289,1.065333188,1.261006631,0.427582708,0.380476139,0.322498822,0.644997645,0.275392253,0.623256151
Crawley,E07000226,lessthantwokm,44.72696224,1.916098492,4.276691654,1.613490539,2.224984618,1.245589583,1.849549855,2.42211926,8.559661481,1.113747944,0.728268103,2.980876684,1.121281752,0.405569995,0.362878417,0.696877237,0.411848169,0.164488141,0.754636431
Croydon,E09000008,lessthantwokm,56.19074338,6.076459085,5.668006172,5.069767058,1.160171303,3.168604411,1.996880905,1.726229278,1.753459472,2.281560208,1.689922353,1.698999084,1.77326325,0.924176286,0.641972456,0.966259314,0.272301942,0.706334733,0.159255378
Dacorum,E07000096,lessthantwokm,45.06769826,3.058791777,3.970431679,3.333183393,1.814283358,1.126055208,2.310587318,1.249006642,1.565381674,1.703327186,1.271497758,1.344968737,0.778192614,0.77369439,0.778192614,1.190529741,0.284887469,0.394344234,0.446823505
Darlington UA,E06000005,lessthantwokm,53.71910306,5.142321883,4.486628051,2.30544245,2.947754774,1.982374644,1.517845195,1.535049989,1.837089713,1.158456156,1.477700675,1.215805471,1.544608209,0.692015063,0.615549311,2.047370534,0.321156162,0.258071916,0.619372598
Dartford,E07000107,lessthantwokm,47.999855,5.934277066,9.254862156,2.880136303,2.185931014,0.737706404,2.107991517,1.975675627,2.410686774,1.007775824,2.323684544,1.576915408,0.935273966,0.599952874,0.532888655,0.552826666,0.603577966,0.424135868,0.203005202
