AREANM,AREACD,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21
Southampton,UKJ32,9613,9636,9656,10318,10700,11139,11238,11547,11633,12139,12806,13060,13420,13316,13477,13844,14191,14409,14945,15318,15545
Isle of Wight,UKJ34,9844,10168,10327,10882,11679,11981,12085,12609,13167,13816,14356,14772,15473,15625,15874,16118,16469,16394,16969,16927,16910
South Hampshire,UKJ35,10761,11101,11451,12146,12792,13382,13560,14107,14531,14985,15711,16231,16816,16750,17029,17997,18690,18908,19714,19512,20032
Central Hampshire,UKJ36,13471,13908,14238,15361,15911,16350,16516,17245,17862,18583,19427,20062,20441,20329,20676,21739,22099,22501,23982,24191,24958
North Hampshire,UKJ37,13890,14206,14382,15338,15789,16218,16312,16907,17180,17637,18497,18969,19392,19274,19471,20516,21214,21523,22985,22800,23119
Medway,UKJ41,10816,10763,11071,11752,12263,12637,12749,13322,13675,14067,14699,15060,15576,15497,15711,16157,16369,16635,17525,17605,17569
Kent Thames Gateway,UKJ43,10666,10904,11280,11995,12482,13008,13195,13634,14001,14430,15067,15454,15841,15840,16088,16680,17145,17470,18275,18662,18972
East Kent,UKJ44,9047,9352,9781,10542,11127,11617,11829,12322,12836,13298,13945,14395,15067,15147,15438,16097,16649,16937,17698,17768,18217
Mid Kent,UKJ45,12653,12896,13195,14176,14690,14943,15076,15659,16085,16569,17163,17532,17830,17809,17919,18711,19322,19609,20229,20460,21091
West Kent,UKJ46,15851,16005,16158,17436,17865,18190,18290,19102,19632,20331,21005,21368,21543,21441,21718,22630,23457,24168,25770,25470,25752
"Bristol, City of",UKK11,10369,10638,10967,11691,12221,12394,12581,12943,13094,13692,14286,14706,14698,14999,15348,15692,16187,16676,17505,17853,17951
"Bath and North East Somerset, North Somerset and South Gloucestershire",UKK12,12111,12643,13089,13471,13621,13792,14203,14482,15043,15911,16429,17122,17158,17245,17612,18260,18906,19393,20710,20529,20345
Gloucestershire,UKK13,11781,12086,12443,13187,13691,13763,13854,14460,15392,16141,16574,17144,17286,17454,17655,18305,19043,19820,20613,20490,20663
Swindon,UKK14,11117,11711,12156,12921,13546,13958,14085,14213,14557,15053,15329,15629,16118,15835,16039,16542,16906,17411,18038,18293,18291
Wiltshire CC,UKK15,11865,12073,12399,13376,13881,14166,14522,14919,15470,16145,16664,17057,17115,17260,17700,18214,18994,19526,20335,20257,20103
Bournemouth and Poole,UKK21,11450,11756,12223,13074,13487,13646,13947,14437,15011,15730,16329,16618,16235,16457,16694,17116,17739,18002,19063,18918,19275
Dorset CC,UKK22,11863,12418,12631,13307,13693,13953,14480,14796,15322,16311,16753,17269,17218,17605,18159,18733,19309,19882,20621,20501,20603
Somerset,UKK23,11009,11448,11671,12120,12674,12797,13242,13801,14276,15073,15548,16124,16162,16518,16849,17232,17560,18119,18780,18612,18573
Cornwall and Isles of Scilly,UKK30,9946,10232,10255,10867,11484,11953,12119,12529,12971,13609,14094,14509,14752,15016,15395,15863,16090,16374,16916,17070,17021
Plymouth,UKK41,9237,9605,9776,10394,10663,10855,11169,11500,11685,12121,12603,13037,13385,13865,14059,14299,14622,14916,15403,15366,15515
Torbay,UKK42,10035,10155,10454,11306,11353,11540,11881,12277,12981,13519,13749,14456,14709,14878,15141,15600,16056,16498,16867,17078,17342
Devon CC,UKK43,11201,11420,11638,11994,12513,12940,13121,13612,14225,14983,15465,16196,16607,16455,16630,17245,17750,18049,18850,18801,18698
Isle of Anglesey,UKL11,9619,10026,10136,10701,10883,11169,11703,12379,12533,12624,13140,13952,14228,14388,14750,15310,15653,15815,16232,16314,16600
Gwynedd,UKL12,8938,9050,9447,9889,10459,10938,11180,11825,12229,12845,12996,13134,13332,13354,13531,13956,14179,14526,14959,14935,15071
Conwy and Denbighshire,UKL13,10424,10531,10665,11244,11650,12107,12466,12914,13527,13671,13910,14576,14470,14615,15100,15667,15781,16034,16412,16247,16486
South West Wales,UKL14,9171,9343,9492,9670,10106,10604,11086,11468,12121,12821,13001,13620,13726,13901,14284,14897,15038,15306,15670,15641,15821
Central Valleys,UKL15,8099,8102,8408,9208,9875,10320,10555,11061,11418,11674,12089,12449,12472,12656,12823,13320,13546,13723,14151,14221,14258
Gwent Valleys,UKL16,8832,8959,9377,10259,10491,10672,11150,11486,11561,11615,12071,12388,12324,12481,12747,13356,13594,13665,14200,14346,14435
Bridgend and Neath Port Talbot,UKL17,9747,9972,10107,11010,11319,11246,11630,12002,12200,12537,13008,13441,13446,13503,13555,14160,14512,14746,15160,15064,14971
Swansea,UKL18,9476,9697,10051,10526,11228,11565,11804,12130,12118,12500,12689,13731,13849,13474,13525,14091,14129,14781,15016,14717,15003
Monmouthshire and Newport,UKL21,9904,9968,10605,11690,12118,12671,12889,13050,13459,13939,14717,15209,14797,14958,15367,15996,15961,16572,17080,17135,17292
Cardiff and Vale of Glamorgan,UKL22,9985,10347,10772,11469,11848,12304,12762,13091,13206,13797,14061,14624,14700,14839,15070,15414,15489,15785,16323,16066,16389
Flintshire and Wrexham,UKL23,9746,9884,10213,11266,11519,11818,12266,12765,12988,13287,13572,14046,13995,14239,14762,15266,15617,16066,16782,16904,16968
Powys,UKL24,9333,9289,9819,10721,11061,11348,11858,12727,13203,13679,13895,14538,14511,14973,15182,15753,15906,16036,16379,16337,16578
Aberdeen City and Aberdeenshire,UKM50,11096,11464,11245,12124,12767,13256,13473,14362,15363,16130,17127,17974,18411,18654,19508,20330,21409,21745,21709,20664,20552
Caithness & Sutherland and Ross & Cromarty,UKM61,9805,10137,10299,10832,11385,12004,12128,12456,12992,13827,14030,14699,15314,15496,16030,17006,17685,17409,18093,18127,18425
"Inverness & Nairn and Moray, Badenoch & Strathspey",UKM62,8955,9227,9415,9857,10317,10646,10783,11101,11287,12475,13332,15619,15690,15929,15592,16394,16908,17229,17806,18069,18250
"Lochaber, Skye & Lochalsh, Arran & Cumbrae and Argyll & Bute",UKM63,8324,8574,8450,9459,10126,10842,11118,11638,12280,13207,13803,14847,15395,15556,15574,16178,16326,16434,17079,17433,17549
Na h-Eileanan Siar (Western Isles),UKM64,8712,9081,8968,9446,10101,10671,10935,11315,11882,11548,12700,13245,13750,14112,14319,14568,14760,15202,16457,16171,16463
Orkney Islands,UKM65,8090,8800,9311,9039,9625,9935,10044,11160,11440,12490,13860,14793,15717,16183,17005,17665,17888,17762,17750,18309,18481
Shetland Islands,UKM66,9466,9364,9558,10830,10752,10821,11260,12116,12571,13441,13863,15221,16752,16763,16697,17390,18061,19089,19950,19928,20049
Angus and Dundee City,UKM71,9365,9685,9914,10727,11366,11908,12021,12403,12449,12909,13692,14579,14598,14390,14711,15157,15814,16147,16562,16582,16778
Clackmannanshire and Fife,UKM72,9072,9580,9798,10468,10878,11427,11764,12262,12518,12594,13557,14208,14521,14655,14851,15395,15968,16182,16858,16983,16903
East Lothian and Midlothian,UKM73,10089,10500,10905,11495,11753,12098,13079,14010,14630,15140,15766,16380,16608,17160,17509,17939,18805,19194,19727,19904,20300
"Edinburgh, City of",UKM75,12183,12777,13255,14142,14840,15473,15851,16339,16862,17755,18120,18516,18641,18600,19223,20072,20269,20435,21135,21203,21589
Falkirk,UKM76,8766,9100,9620,10090,10736,11155,11611,12043,12436,13097,13830,14392,14267,14078,14603,15342,15646,15655,16111,16357,16265
Perth & Kinross and Stirling,UKM77,11366,11737,11603,12344,13086,13079,13637,14909,15252,16289,16828,17024,17068,17026,17928,18414,18823,18928,19425,19530,20013
West Lothian,UKM78,8451,8931,9469,10522,11133,11703,12165,12415,12546,13218,14440,14428,14249,14488,14709,15224,15678,16102,16574,16796,17027
"East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond",UKM81,9437,9860,10867,11822,12184,12698,12924,13299,13891,14548,15083,15853,16146,16390,16667,17315,17502,17634,18506,18622,18842
Glasgow City,UKM82,9022,9330,9707,10449,10895,11383,11782,12030,12196,12742,13480,13746,13995,13845,13941,14404,14565,14896,15309,15542,15682
"Inverclyde, East Renfrewshire and Renfrewshire",UKM83,10453,10816,11133,12012,12708,12884,13129,13444,13927,14507,15069,15784,16026,15955,16041,16601,17205,17446,18399,18281,18068
North Lanarkshire,UKM84,8769,9114,9346,10049,10516,10914,11177,11501,11919,12103,12878,13453,13590,13653,13864,14300,14699,15286,15700,15880,16325
Scottish Borders,UKM91,9672,10195,10264,11060,11456,11922,12816,13558,14082,14702,15263,15884,16149,16426,16750,16812,17502,18254,18685,18994,19346
Dumfries & Galloway,UKM92,9413,9730,9810,10352,10639,11125,11523,12129,12272,12943,13697,14461,14967,15054,15264,15840,16211,16487,17114,17645,17652
East Ayrshire and North Ayrshire mainland,UKM93,8448,8668,8711,9486,10150,10720,11023,11617,11954,12348,13082,13313,13569,14031,14162,14511,15157,15375,15826,15766,15892
South Ayrshire,UKM94,9639,9943,10245,10842,11525,12012,12692,13358,13659,14423,14730,15421,15738,16098,16500,17176,17587,17768,18128,18274,18257
South Lanarkshire,UKM95,9730,10186,10443,11139,11389,12163,12231,12847,13446,13734,14441,14920,15071,15378,15688,16192,16424,16525,17278,17330,17611
Belfast,UKN06,10130,10326,10500,11091,11344,11726,11859,12149,12352,12883,12994,13617,13930,13810,14040,14395,14823,14896,15188,15146,15215
"Armagh City, Banbridge and Craigavon",UKN07,8826,8937,9148,9460,9761,10263,10787,11543,12114,12878,13250,13416,13377,13443,13794,13886,14514,15175,15594,15371,15391
"Newry, Mourne and Down",UKN08,8699,8822,9019,9508,9669,10124,10760,11420,12220,12905,13038,13222,13206,13117,13646,13841,14244,14533,14616,14819,14988
Ards and North Down,UKN09,9820,9909,10107,10750,11016,11575,12003,12474,13014,13626,14063,14483,14612,14583,15016,15456,16028,16165,16581,16952,17237
Derry City and Strabane,UKN10,7237,7275,7529,7901,8320,9016,9671,10391,11262,11793,11882,11941,12128,12259,12710,13058,13401,13704,13825,14030,14282
Mid Ulster,UKN11,7982,8055,8331,8806,8962,9321,10170,11059,11735,12309,12432,12378,12294,12265,12768,12942,13355,13944,14503,15016,15292
Causeway Coast and Glens,UKN12,7283,7299,7547,8015,8541,9227,9790,10404,11316,11886,11918,11830,12170,12348,13012,13270,13648,14038,15140,15721,16051
Antrim and Newtownabbey,UKN13,9565,9653,9882,10691,10871,11398,11852,12409,12832,13354,13893,14257,14339,14208,14684,15182,15669,16060,16334,16044,16143
Lisburn and Castlereagh,UKN14,9618,9699,9968,10895,11161,11672,12194,12711,13228,13683,14230,14553,14647,14572,14857,15505,16136,16434,17675,18096,18074
Mid and East Antrim,UKN15,9501,9623,9801,10550,10551,11090,11620,12221,12709,13367,13797,14157,14278,14193,14583,15080,15568,16118,16749,16902,17089
