"id","name","trade_val1","trade_val2","trade_val3","trade_val4","trade_val5","eu_row_split","rank1","rank2","rank3","rank4","rank5"
"c4_3","Processed oils & fats",73,37,30,"20","15",0.494,"Netherlands","United States","Malaysia","Germany","Belgium"
"c5","Fuels",17643,6827,5120,"4521","2694",0.222,"Norway","Russia","United States","Netherlands","Belgium"
"c5_1","Crude oil",9106,2958,2366,"2079","992",0.001,"Norway","United States","Nigeria","Algeria","Russia"
"c5_2","Refined oil",5215,3427,1914,"1776","1618",0.408,"Russia","Netherlands","Saudi Arabia","Belgium","United States"
"c5_3","Coal, coke & briquettes",330,327,160,"160","92",0.108,"United States","Russia","Australia","Japan","Colombia"
"c5_4","Gas",8003,911,677,"376","293",0.158,"Norway","Belgium","Netherlands","Qatar","Russia"
"c5_5","Electricity",794,376,89,"NaN","NaN",1,"France","Netherlands","Ireland",NA,NA
"c6","Chemicals",9545,9338,6242,"5091","5011",0.74,"Germany","Netherlands","Belgium","France","United States"
"c6_1","Organic chemicals",1617,1119,671,"657","629",0.663,"Netherlands","Germany","United States","Belgium","China"
"c6_2","Inorganic chemicals",392,231,229,"214","169",0.527,"Germany","Russia","France","Netherlands","Canada"
"c6_3","Dyeing, tanning & colouring materials",523,229,165,"123","112",0.79,"Germany","Netherlands","Belgium","United States","France"
"c6_4","Medicinal & pharmaceutical products",4629,3343,3052,"2299","2110",0.766,"Netherlands","Germany","Belgium","Switzerland","Ireland"
"c6_5","Toilet & cleansing preparations",1229,976,731,"517","398",0.729,"France","Germany","United States","Ireland","China"
"c6_6","Plastics in primary forms",1256,1141,1030,"519","328",0.82,"Germany","Belgium","Netherlands","France","United States"
"c6_7","Plastics in non-primary forms",836,343,260,"235","216",0.714,"Germany","United States","Italy","France","Belgium"
"c6_8","Processed fertilisers",139,113,88,"85","67",0.678,"Netherlands","Germany","Belgium","Russia","Norway"
"c6_9","Other chemicals",987,933,703,"593","442",0.776,"Germany","Netherlands","France","United States","Belgium"
"c7","Material manufactures",7546,6329,3106,"3082","2705",0.569,"Germany","China","United States","Belgium","Italy"
"c7_1","Leather manufactures",76,57,18,"18","14",0.504,"Italy","China","India","Germany","United States"
"c7_2","Rubber manufactures",752,613,240,"176","169",0.606,"Germany","China","France","Italy","United States"
"c7_3","Wood & cork manufactures",560,267,221,"157","115",0.565,"China","Poland","Germany","Ireland","Indonesia"
"c7_4","Paper & paperboard",1074,662,569,"529","448",0.741,"Germany","Sweden","Finland","China","France"
"c7_5","Textile fabrics",1064,483,428,"428","426",0.445,"China","Belgium","Pakistan","Germany","Turkey"
"c7_6","Mineral manufactures",780,686,633,"504","487",0.492,"China","Germany","Canada","Belgium","United States"
"c7_7","Iron & steel",924,645,593,"536","461",0.694,"Germany","Netherlands","Belgium","Spain","France"
"c7_8","Non-ferrous metals",1817,1198,707,"588","505",0.465,"Germany","South Africa","United States","Switzerland","Russia"
"c7_9","Miscellaneous metal manufactures",2240,2081,1627,"1009","638",0.586,"China","Denmark","Germany","United States","Italy"
"c8","Machinery & transport equipment",37256,19056,17762,"14058","8820",0.581,"Germany","China","United States","Netherlands","France"
"c8_1","Mechanical power generators (consumer)",6,5,3,"2","1",0.412,"Japan","Belgium","China","France","Canada"
"c8_10","Metal working machinery (capital)",200,86,64,"59","55",0.541,"Germany","Japan","China","United States","Italy"
"c8_11","General industrial machinery (capital)",1833,1225,760,"751","616",0.625,"Germany","United States","Italy","China","France"
"c8_12","Office machinery (consumer)",10,7,1,"0","0",0,"China","Thailand","Hong Kong","Taiwan","Philippines"
"c8_13","Telecoms & sound equipment (consumer)",437,420,367,"327","229",0.603,"Poland","Slovakia","China","Turkey","Hungary"
"c8_14","Miscellaneous electrical goods (consumer)",1506,557,523,"398","237",0.411,"China","Germany","Turkey","Poland","Italy"
"c8_15","Electric motors (intermediate)",76,66,43,"41","21",0.644,"Germany","Romania","United States","China","Italy"
"c8_16","Office machinery (intermediate)",614,576,189,"131","72",0.732,"Netherlands","Germany","China","United States","Ireland"
"c8_17","Telecoms & sound equipment (intermediate)",219,210,193,"162","106",0.526,"Netherlands","China","United States","Portugal","Germany"
"c8_18","Miscellaneous electrical goods (intermediate)",2631,1765,1505,"1297","831",0.53,"Germany","United States","China","Netherlands","France"
"c8_19","Electric motors (capital)",219,198,119,"99","73",0.511,"United States","Germany","China","Denmark","France"
"c8_2","Specialised machinery (consumer)",59,38,17,"16","16",0.376,"China","United States","Netherlands","Canada","France"
"c8_20","Office machinery (capital)",3866,2372,1508,"800","784",0.501,"China","Netherlands","Germany","Czech Republic","United States"
"c8_21","Telecoms & sound equipment (capital)",5842,4549,1781,"1167","1065",0.393,"China","Netherlands","Vietnam","Hong Kong","United States"
"c8_22","Miscellaneous electrical goods (capital)",950,659,589,"450","251",0.476,"China","Germany","United States","Netherlands","Hong Kong"
"c8_23","Cars",14128,5271,2574,"1293","1241",0.858,"Germany","Belgium","Spain","Japan","South Korea"
"c8_24","Road vehicles other than cars (consumer)",146,135,128,"109","95",0.482,"Thailand","China","Germany","Netherlands","Taiwan"
"c8_25","Road vehicles other than cars (intermediate)",4333,1272,816,"806","637",0.791,"Germany","France","Poland","Italy","Belgium"
"c8_26","Road vehicles other than cars (capital)",1354,939,879,"844","747",0.807,"Germany","Spain","Turkey","France","Netherlands"
"c8_27","Railway equipment (intermediate)",238,133,56,"38","35",0.692,"Germany","Japan","Sweden","China","France"
"c8_28","Railway equipment (capital)",474,244,5,"5","4",0.358,"Japan","Germany","Poland","Romania","Netherlands"
"c8_29","Aircraft",2589,1763,1069,"525","261",0.442,"United States","Germany","France","Norway","Italy"
"c8_3","General industrial machinery (consumer)",104,39,25,"12","7",0.455,"China","Germany","Italy","Poland","Spain"
"c8_30","Ships",461,241,191,"161","120",0.422,"Spain","Malaysia","China","United States","Norway"
"c8_4","Mechanical power generators (intermediate)",5796,2089,1354,"1301","913",0.284,"United States","Germany","Japan","United Arab Emirates","France"
"c8_5","Specialised machinery (intermediate)",429,293,284,"272","249",0.575,"Germany","China","United States","Italy","France"
"c8_6","Metal working machinery (intermediate)",155,60,59,"31","29",0.575,"Germany","Japan","United States","China","Belgium"
"c8_7","General industrial machinery (intermediate)",1561,1112,830,"747","418",0.569,"Germany","United States","China","Italy","France"
"c8_8","Mechanical power generators (capital)",430,372,209,"148","70",0.588,"United States","Germany","Denmark","Italy","China"
"c8_9","Specialised machinery (capital)",1278,439,418,"386","357",0.672,"Germany","Japan","United States","Italy","France"
"c9","Miscellaneous manufactures",14419,7086,5961,"4733","4598",0.437,"China","Germany","United States","Netherlands","France"
"c9_1","Clothing",3773,2579,1373,"1274","1072",0.327,"China","Bangladesh","Turkey","Italy","India"
"c9_10","Jewellery",996,243,203,"191","174",0.619,"France","Germany","India","Hong Kong","United States"
"c9_11","Plumbing, heating & lighting fixtures (consumer)",112,6,5,"5","3",0.128,"China","Germany","Hong Kong","India","Poland"
"c9_12","Furniture (consumer)",1428,571,429,"321","269",0.437,"China","Italy","Poland","Germany","Vietnam"
"c9_13","Travel goods, handbags etc",696,534,326,"147","129",0.53,"China","France","Italy","Netherlands","India"
"c9_14","Other manufactures (consumer)",3881,1327,1269,"1080","668",0.43,"China","United States","Germany","Netherlands","Hong Kong"
"c9_15","Plumbing, heating & lighting fixtures (intermediate)",772,245,149,"80","77",0.499,"China","Germany","Italy","Slovakia","Poland"
"c9_16","Furniture (intermediate)",186,186,176,"109","63",0.679,"Poland","Germany","United States","China","France"
"c9_17","Other manufactures (intermediate)",834,676,394,"287","206",0.606,"Germany","China","Netherlands","France","United States"
"c9_18","Plumbing, heating & lighting fixtures (capital)",145,117,63,"57","45",0.648,"Turkey","Germany","Italy","China","Netherlands"
"c9_19","Furniture (capital)",581,104,55,"43","37",0.34,"China","Germany","Italy","France","Netherlands"
"c9_2","Footwear",1163,576,543,"505","433",0.532,"China","Italy","Netherlands","Germany","Vietnam"
"c9_20","Other manufactures (capital)",192,81,57,"34","29",0.359,"China","United States","France","Germany","Hong Kong"
"c9_3","Scientific instruments (consumer)",7,3,3,"2","1",0.474,"China","Netherlands","Germany","France","United States"
"c9_4","Photographic & optical goods & clocks (consumer)",682,289,212,"206","135",0.485,"Switzerland","France","Germany","Italy","Ireland"
"c9_5","Scientific instruments (intermediate)",232,218,98,"69","60",0.433,"United States","Germany","Netherlands","China","Japan"
"c9_6","Photographic & optical goods & clocks (intermediate)",264,184,175,"128","97",0.465,"Japan","Netherlands","Germany","Hong Kong","United States"
"c9_7","Scientific instruments (capital)",1576,1454,951,"557","516",0.509,"United States","Germany","Netherlands","China","Belgium"
"c9_8","Photographic & optical goods & clocks (capital)",16,12,11,"7","6",0.639,"France","Netherlands","China","United States","Germany"
"c9_9","Works of art",1308,422,177,"127","51",0.113,"United States","Switzerland","Hong Kong","France","Germany"
