AREACD,AREANM,population change 18_19,birth rate,death rate,natchange rate,internal_in rate,internal_out rate,internal_net rate,international_in rate,international_out_rate,international_net_rate,other_change rate,,,,,"""birth rate"", ","""death rate"", ","""natchange rate"", ","""internal_in rate"", ","""internal_out rate"", ","""internal_net rate"", ","""international_in rate"", ","""international_out_rate"", ","""international_net_rate"", ","""other_change rate"", "
E06000014,York,0.35,0.83,0.87,-0.04,7.78,7.95,-0.17,1.33,0.79,0.54,0.02,,,,,,,,,,,,,,
E06000015,Derby,0.05,1.21,0.92,0.29,5.11,5.76,-0.65,0.92,0.53,0.40,0.01,,,,,,,,,,,,,,
E06000016,Leicester,-0.28,1.31,0.70,0.61,5.97,7.74,-1.77,2.05,1.17,0.89,0.00,,,,,,,,,,,,,,
E06000017,Rutland,0.58,0.79,0.94,-0.15,7.27,6.43,0.84,0.44,0.19,0.25,-0.37,,,,,,,,,,,,,,
E06000018,Nottingham,0.55,1.17,0.68,0.49,9.90,10.67,-0.77,2.19,1.33,0.87,-0.03,,,,,,,,,,,,,,
E06000019,"Herefordshire, County of",0.36,0.87,1.08,-0.21,3.90,3.66,0.24,0.63,0.33,0.30,0.03,,,,,,,,,,,,,,
E06000020,Telford and Wrekin,1.16,1.13,0.85,0.29,4.83,4.20,0.63,0.54,0.33,0.21,0.03,,,,,,,,,,,,,,
E06000021,Stoke-on-Trent,0.21,1.30,1.00,0.30,4.14,4.76,-0.62,0.89,0.36,0.53,0.01,,,,,,,,,,,,,,
E06000022,Bath and North East Somerset,0.61,0.87,0.85,0.01,8.79,8.72,0.08,1.60,1.08,0.52,0.00,,,,,,,,,,,,,,
E06000023,"Bristol, City of",-0.01,1.22,0.73,0.50,7.85,8.01,-0.15,1.53,1.87,-0.34,-0.01,,,,,,,,,,,,,,
E06000024,North Somerset,0.53,0.97,1.04,-0.08,4.74,4.13,0.61,0.35,0.36,-0.01,0.01,,,,,,,,,,,,,,
E06000025,South Gloucestershire,0.87,1.11,0.76,0.35,6.18,5.75,0.42,0.65,0.58,0.07,0.02,,,,,,,,,,,,,,
E06000026,Plymouth,-0.38,1.04,0.97,0.07,5.36,5.86,-0.49,0.68,0.55,0.13,-0.09,,,,,,,,,,,,,,
E06000027,Torbay,0.36,0.93,1.29,-0.35,5.33,4.74,0.59,0.35,0.23,0.12,0.01,,,,,,,,,,,,,,
E06000030,Swindon,0.09,1.18,0.77,0.41,3.67,4.10,-0.43,0.72,0.66,0.05,0.05,,,,,,,,,,,,,,
E06000031,Peterborough,0.61,1.38,0.79,0.59,4.70,5.14,-0.44,1.17,0.69,0.47,-0.02,,,,,,,,,,,,,,
E06000032,Luton,-0.49,1.54,0.66,0.88,4.10,6.31,-2.21,1.77,0.93,0.84,0.00,,,,,,,,,,,,,,
E06000033,Southend-on-Sea,0.36,1.12,1.01,0.11,5.23,5.14,0.09,0.42,0.27,0.15,0.01,,,,,,,,,,,,,,
E06000034,Thurrock,1.05,1.40,0.67,0.73,5.49,5.38,0.11,0.64,0.43,0.21,0.01,,,,,,,,,,,,,,
E06000035,Medway,0.25,1.25,0.83,0.42,4.62,4.88,-0.26,0.46,0.37,0.09,0.00,,,,,,,,,,,,,,
E06000036,Bracknell Forest,0.72,1.11,0.62,0.49,5.75,5.89,-0.14,0.76,0.44,0.32,0.05,,,,,,,,,,,,,,
E06000037,West Berkshire,-0.05,0.97,0.74,0.24,5.31,5.63,-0.32,0.49,0.47,0.02,0.01,,,,,,,,,,,,,,
E06000038,Reading,-0.87,1.33,0.65,0.68,8.23,10.51,-2.29,2.23,1.49,0.74,0.00,,,,,,,,,,,,,,
E06000039,Slough,0.29,1.59,0.54,1.05,5.25,6.34,-1.09,1.20,0.88,0.33,0.00,,,,,,,,,,,,,,
E06000040,Windsor and Maidenhead,0.34,1.03,0.87,0.16,6.38,6.38,0.00,0.75,0.54,0.21,-0.03,,,,,,,,,,,,,,
E06000041,Wokingham,1.87,1.05,0.68,0.37,7.51,6.33,1.17,0.81,0.48,0.33,-0.01,,,,,,,,,,,,,,
E06000042,Milton Keynes,0.32,1.25,0.67,0.58,4.81,5.11,-0.30,0.81,0.77,0.03,0.00,,,,,,,,,,,,,,
E06000043,Brighton and Hove,0.17,0.84,0.73,0.10,7.73,8.29,-0.55,2.03,1.41,0.62,0.00,,,,,,,,,,,,,,
E06000044,Portsmouth,-0.11,1.06,0.82,0.25,6.63,7.63,-1.00,1.39,0.91,0.49,0.16,,,,,,,,,,,,,,
E06000045,Southampton,-0.11,1.17,0.72,0.44,7.07,8.47,-1.40,2.36,1.51,0.85,0.00,,,,,,,,,,,,,,
E06000046,Isle of Wight,0.16,0.78,1.25,-0.46,3.51,2.92,0.59,0.25,0.17,0.08,-0.04,,,,,,,,,,,,,,
E06000047,County Durham,0.59,0.92,1.03,-0.11,4.31,3.94,0.37,0.51,0.18,0.34,-0.01,,,,,,,,,,,,,,
E06000049,Cheshire East,0.88,0.94,1.03,-0.09,4.74,3.86,0.87,0.37,0.26,0.10,0.00,,,,,,,,,,,,,,
E06000050,Cheshire West and Chester,0.75,0.98,1.01,-0.03,5.08,4.49,0.59,0.40,0.23,0.17,0.03,,,,,,,,,,,,,,
E06000051,Shropshire,0.89,0.81,1.07,-0.26,4.71,3.65,1.06,0.39,0.29,0.09,0.00,,,,,,,,,,,,,,
E06000052,Cornwall,0.64,0.86,1.10,-0.23,4.45,3.47,0.98,0.35,0.44,-0.10,-0.01,,,,,,,,,,,,,,
E06000053,Isles of Scilly,-0.80,0.76,0.67,0.09,10.84,11.64,-0.80,0.98,1.34,-0.36,0.27,,,,,,,,,,,,,,
E06000054,Wiltshire,0.39,0.94,0.90,0.04,4.79,4.26,0.53,0.38,0.54,-0.16,-0.03,,,,,,,,,,,,,,
E06000055,Bedford,0.97,1.23,0.87,0.36,5.50,5.01,0.48,0.84,0.71,0.14,0.00,,,,,,,,,,,,,,
E06000056,Central Bedfordshire,1.78,1.19,0.76,0.42,6.23,5.14,1.08,0.67,0.42,0.25,0.02,,,,,,,,,,,,,,
E06000057,Northumberland,0.67,0.81,1.10,-0.29,3.83,2.94,0.89,0.16,0.11,0.05,0.02,,,,,,,,,,,,,,
E06000058,"Bournemouth, Christchurch and Poole",-0.11,0.93,1.03,-0.09,5.58,5.75,-0.17,1.10,0.94,0.16,0.00,,,,,,,,,,,,,,
E06000059,Dorset (unitary authority),0.54,0.74,1.18,-0.44,5.27,4.45,0.83,0.31,0.25,0.06,0.09,,,,,,,,,,,,,,
E06000060,Buckinghamshire,0.72,1.06,0.78,0.27,5.38,5.08,0.30,0.73,0.57,0.16,-0.01,,,,,,,,,,,,,,
E07000008,Cambridge,-0.76,1.07,0.64,0.43,13.01,14.37,-1.36,4.26,4.09,0.16,0.01,,,,,,,,,,,,,,
E07000009,East Cambridgeshire,0.53,0.95,0.80,0.14,5.59,5.16,0.43,0.66,0.66,-0.01,-0.03,,,,,,,,,,,,,,
E07000010,Fenland,0.35,0.99,1.14,-0.15,5.19,5.03,0.15,0.68,0.36,0.32,0.02,,,,,,,,,,,,,,
E07000011,Huntingdonshire,0.34,1.04,0.83,0.21,5.22,5.03,0.19,0.37,0.50,-0.13,0.07,,,,,,,,,,,,,,
E07000012,South Cambridgeshire,0.99,1.00,0.75,0.26,7.08,6.50,0.59,0.56,0.45,0.10,0.05,,,,,,,,,,,,,,
E07000026,Allerdale,0.24,0.82,1.10,-0.28,3.51,3.10,0.42,0.19,0.09,0.10,0.00,,,,,,,,,,,,,,
E07000027,Barrow-in-Furness,-0.13,1.06,1.11,-0.04,2.52,2.77,-0.25,0.16,0.07,0.09,0.07,,,,,,,,,,,,,,
E07000028,Carlisle,0.27,0.99,1.04,-0.05,3.79,3.57,0.22,0.36,0.26,0.10,0.01,,,,,,,,,,,,,,
E07000029,Copeland,-0.35,0.88,1.09,-0.21,2.76,2.96,-0.20,0.11,0.05,0.06,0.00,,,,,,,,,,,,,,
E07000030,Eden,0.70,0.73,0.97,-0.24,4.87,4.09,0.78,0.34,0.18,0.16,0.00,,,,,,,,,,,,,,
E07000031,South Lakeland,0.53,0.78,1.11,-0.32,5.35,4.71,0.65,0.47,0.26,0.20,0.00,,,,,,,,,,,,,,
E07000032,Amber Valley,1.16,0.92,1.00,-0.08,5.47,4.25,1.22,0.13,0.10,0.03,-0.01,,,,,,,,,,,,,,
E07000033,Bolsover,1.30,1.04,1.04,0.00,6.32,5.20,1.12,0.30,0.12,0.18,0.00,,,,,,,,,,,,,,
E07000034,Chesterfield,0.26,0.98,1.10,-0.12,4.58,4.27,0.31,0.17,0.09,0.08,0.00,,,,,,,,,,,,,,
E07000035,Derbyshire Dales,0.48,0.65,1.09,-0.44,5.79,4.99,0.80,0.21,0.10,0.11,0.02,,,,,,,,,,,,,,
E07000036,Erewash,-0.10,0.93,0.98,-0.05,5.00,5.03,-0.03,0.14,0.14,0.00,-0.01,,,,,,,,,,,,,,
E07000037,High Peak,0.48,0.92,1.01,-0.09,4.93,4.41,0.52,0.24,0.18,0.06,0.00,,,,,,,,,,,,,,
E07000038,North East Derbyshire,0.33,0.87,1.16,-0.29,5.51,4.94,0.57,0.11,0.05,0.06,-0.01,,,,,,,,,,,,,,
E07000039,South Derbyshire,2.65,1.03,0.85,0.19,8.06,5.63,2.43,0.20,0.12,0.07,-0.04,,,,,,,,,,,,,,
E07000040,East Devon,1.36,0.80,1.27,-0.47,6.38,4.71,1.67,0.25,0.18,0.07,0.09,,,,,,,,,,,,,,
E07000041,Exeter,0.75,0.93,0.84,0.09,10.90,10.67,0.23,2.03,1.61,0.42,0.02,,,,,,,,,,,,,,
E07000042,Mid Devon,0.75,0.93,0.97,-0.04,6.36,5.55,0.81,0.31,0.32,-0.02,0.01,,,,,,,,,,,,,,
E07000043,North Devon,1.08,0.85,1.17,-0.31,5.74,4.43,1.31,0.26,0.20,0.07,0.01,,,,,,,,,,,,,,
E07000044,South Hams,0.91,0.72,1.06,-0.34,7.12,5.97,1.16,0.29,0.23,0.06,0.03,,,,,,,,,,,,,,
E07000045,Teignbridge,0.99,0.87,1.17,-0.29,6.08,4.87,1.21,0.22,0.16,0.06,0.02,,,,,,,,,,,,,,
E07000046,Torridge,0.18,0.80,1.26,-0.47,5.99,5.48,0.51,0.28,0.16,0.12,0.01,,,,,,,,,,,,,,
E07000047,West Devon,0.48,0.72,1.14,-0.42,6.60,5.83,0.77,0.39,0.20,0.19,-0.06,,,,,,,,,,,,,,
E07000061,Eastbourne,0.57,0.90,1.26,-0.36,6.28,5.68,0.60,0.71,0.39,0.33,0.00,,,,,,,,,,,,,,
E07000062,Hastings,-0.21,1.11,1.03,0.08,4.81,5.21,-0.39,0.50,0.38,0.11,-0.01,,,,,,,,,,,,,,
E07000063,Lewes,0.51,0.79,1.12,-0.32,5.86,5.03,0.83,0.29,0.23,0.06,-0.05,,,,,,,,,,,,,,
E07000064,Rother,0.44,0.73,1.42,-0.69,6.15,5.30,0.85,0.43,0.14,0.28,0.00,,,,,,,,,,,,,,
E07000065,Wealden,0.81,0.81,1.07,-0.26,5.82,4.92,0.90,0.33,0.17,0.16,0.01,,,,,,,,,,,,,,
E07000066,Basildon,0.72,1.38,0.83,0.55,5.20,5.16,0.03,0.35,0.21,0.14,0.00,,,,,,,,,,,,,,
E07000067,Braintree,0.69,1.05,1.00,0.05,5.49,4.86,0.63,0.24,0.22,0.01,0.00,,,,,,,,,,,,,,
E07000068,Brentwood,0.62,1.09,0.91,0.18,6.52,6.25,0.27,0.37,0.21,0.15,0.01,,,,,,,,,,,,,,
E07000069,Castle Point,0.34,0.92,1.19,-0.27,4.96,4.43,0.54,0.12,0.05,0.07,0.00,,,,,,,,,,,,,,
E07000070,Chelmsford,0.74,1.05,0.87,0.18,6.08,5.70,0.38,0.52,0.35,0.17,0.02,,,,,,,,,,,,,,
E07000071,Colchester,1.13,1.08,0.83,0.25,6.62,6.20,0.42,1.19,0.74,0.45,0.01,,,,,,,,,,,,,,
E07000072,Epping Forest,0.42,1.24,0.92,0.32,6.39,6.53,-0.13,0.49,0.26,0.23,0.01,,,,,,,,,,,,,,
E07000073,Harlow,0.55,1.40,0.87,0.52,5.33,5.46,-0.13,0.64,0.50,0.15,0.00,,,,,,,,,,,,,,
E07000074,Maldon,0.78,0.79,1.06,-0.26,5.61,4.68,0.93,0.18,0.08,0.10,0.00,,,,,,,,,,,,,,
E07000075,Rochford,0.44,0.89,0.91,-0.02,5.24,4.85,0.39,0.11,0.06,0.06,0.02,,,,,,,,,,,,,,
E07000076,Tendring,0.52,0.86,1.47,-0.61,4.85,3.83,1.02,0.19,0.10,0.10,0.01,,,,,,,,,,,,,,
E07000077,Uttlesford,2.36,1.01,0.78,0.23,7.28,5.30,1.98,0.36,0.26,0.10,0.05,,,,,,,,,,,,,,
E07000078,Cheltenham,-0.67,1.01,0.98,0.03,7.37,7.78,-0.41,0.88,1.21,-0.32,0.03,,,,,,,,,,,,,,
E07000079,Cotswold,0.94,0.86,1.01,-0.15,7.66,6.52,1.13,0.52,0.60,-0.08,0.04,,,,,,,,,,,,,,
E07000080,Forest of Dean,0.29,0.87,1.05,-0.18,5.41,4.98,0.44,0.28,0.20,0.08,-0.05,,,,,,,,,,,,,,
E07000081,Gloucester,-0.12,1.17,0.90,0.27,5.43,5.91,-0.47,0.59,0.53,0.07,0.01,,,,,,,,,,,,,,
E07000082,Stroud,0.79,0.88,1.00,-0.13,5.65,4.78,0.87,0.27,0.22,0.05,0.01,,,,,,,,,,,,,,
E07000083,Tewkesbury,2.61,1.10,0.95,0.14,8.11,5.70,2.40,0.37,0.31,0.06,0.01,,,,,,,,,,,,,,
E07000084,Basingstoke and Deane,0.49,1.11,0.76,0.35,5.14,4.97,0.17,0.44,0.47,-0.03,0.00,,,,,,,,,,,,,,
E07000085,East Hampshire,1.35,0.90,1.00,-0.10,6.80,5.46,1.34,0.34,0.22,0.12,0.00,,,,,,,,,,,,,,
E07000086,Eastleigh,1.34,1.11,0.85,0.25,6.41,5.41,1.00,0.21,0.14,0.07,0.02,,,,,,,,,,,,,,
E07000087,Fareham,-0.09,0.81,1.00,-0.20,5.26,5.26,0.00,0.23,0.16,0.07,0.04,,,,,,,,,,,,,,
E07000088,Gosport,-0.52,0.97,0.98,-0.02,4.19,4.67,-0.48,0.22,0.17,0.05,-0.08,,,,,,,,,,,,,,
E07000089,Hart,0.81,0.95,0.77,0.18,6.41,5.95,0.47,0.38,0.27,0.11,0.05,,,,,,,,,,,,,,
E07000090,Havant,0.32,0.96,1.04,-0.09,5.24,4.93,0.31,0.19,0.13,0.06,0.03,,,,,,,,,,,,,,
E07000091,New Forest,0.19,0.78,1.19,-0.41,4.76,4.33,0.44,0.31,0.16,0.15,0.01,,,,,,,,,,,,,,
E07000092,Rushmoor,-0.57,1.35,0.71,0.65,6.44,7.57,-1.14,0.61,0.68,-0.07,-0.01,,,,,,,,,,,,,,
E07000093,Test Valley,0.79,1.02,0.93,0.09,6.32,5.53,0.79,0.34,0.37,-0.03,-0.05,,,,,,,,,,,,,,
E07000094,Winchester,0.45,0.88,0.87,0.01,8.84,8.55,0.29,0.67,0.59,0.08,0.07,,,,,,,,,,,,,,
E07000095,Broxbourne,0.42,1.24,0.83,0.41,6.17,6.24,-0.07,0.44,0.37,0.07,0.01,,,,,,,,,,,,,,
E07000096,Dacorum,0.31,1.17,0.80,0.37,5.47,5.62,-0.15,0.54,0.42,0.12,-0.03,,,,,,,,,,,,,,
E07000098,Hertsmere,0.69,1.19,0.88,0.31,7.27,6.96,0.32,0.63,0.59,0.04,0.02,,,,,,,,,,,,,,
E07000099,North Hertfordshire,0.27,1.09,0.93,0.16,6.11,6.05,0.06,0.34,0.30,0.04,0.01,,,,,,,,,,,,,,
E07000102,Three Rivers,0.30,1.06,0.86,0.20,6.73,6.69,0.04,0.37,0.29,0.08,-0.03,,,,,,,,,,,,,,
E07000103,Watford,-0.20,1.41,0.74,0.67,7.26,8.26,-0.99,0.99,0.88,0.11,0.02,,,,,,,,,,,,,,
E07000105,Ashford,0.58,1.07,0.94,0.13,5.04,4.77,0.28,0.49,0.32,0.17,0.00,,,,,,,,,,,,,,
E07000106,Canterbury,0.51,0.78,1.00,-0.22,8.59,8.77,-0.18,1.59,0.66,0.93,-0.01,,,,,,,,,,,,,,
E07000107,Dartford,2.64,1.52,0.80,0.72,8.19,6.38,1.81,0.41,0.29,0.12,-0.01,,,,,,,,,,,,,,
E07000108,Dover,0.99,0.90,1.09,-0.18,4.90,3.81,1.09,0.32,0.25,0.07,0.02,,,,,,,,,,,,,,
E07000109,Gravesham,0.52,1.23,0.86,0.38,5.45,5.43,0.01,0.55,0.42,0.12,0.01,,,,,,,,,,,,,,
E07000110,Maidstone,1.10,1.14,0.90,0.24,5.78,5.09,0.69,0.68,0.51,0.18,-0.01,,,,,,,,,,,,,,
E07000111,Sevenoaks,0.38,1.04,0.94,0.11,6.23,6.03,0.19,0.39,0.31,0.09,0.00,,,,,,,,,,,,,,
E07000112,Folkestone and Hythe,0.37,0.87,1.19,-0.32,4.86,4.26,0.60,0.30,0.16,0.14,-0.06,,,,,,,,,,,,,,
E07000113,Swale,1.05,1.20,0.92,0.28,4.68,4.10,0.59,0.55,0.37,0.18,0.00,,,,,,,,,,,,,,
E07000114,Thanet,0.07,1.04,1.16,-0.12,3.95,3.89,0.06,0.42,0.28,0.14,-0.01,,,,,,,,,,,,,,
E07000115,Tonbridge and Malling,1.26,1.10,0.84,0.26,6.50,5.54,0.96,0.30,0.26,0.04,0.00,,,,,,,,,,,,,,
E07000116,Tunbridge Wells,0.57,1.00,0.90,0.10,6.37,5.97,0.40,0.54,0.47,0.07,0.00,,,,,,,,,,,,,,
E07000117,Burnley,0.44,1.27,1.04,0.23,4.34,4.54,-0.20,0.56,0.16,0.40,0.01,,,,,,,,,,,,,,
E07000118,Chorley,1.19,0.98,0.93,0.04,5.40,4.38,1.02,0.21,0.08,0.14,0.00,,,,,,,,,,,,,,
E07000119,Fylde,1.27,0.79,1.31,-0.52,6.79,5.06,1.73,0.24,0.11,0.12,-0.07,,,,,,,,,,,,,,
E07000120,Hyndburn,0.28,1.26,1.03,0.24,4.43,4.64,-0.21,0.32,0.06,0.26,0.00,,,,,,,,,,,,,,
E07000121,Lancaster,1.24,0.98,1.03,-0.05,6.59,6.55,0.04,1.70,0.43,1.27,-0.01,,,,,,,,,,,,,,
E07000122,Pendle,0.77,1.28,0.93,0.35,4.14,4.33,-0.19,0.75,0.15,0.60,0.01,,,,,,,,,,,,,,
E07000123,Preston,0.93,1.27,0.85,0.43,6.28,6.66,-0.38,1.26,0.45,0.81,0.07,,,,,,,,,,,,,,
E07000124,Ribble Valley,1.38,0.73,1.00,-0.27,6.18,4.75,1.43,0.29,0.07,0.22,0.00,,,,,,,,,,,,,,
E07000125,Rossendale,0.83,1.05,0.98,0.07,5.57,4.98,0.59,0.23,0.05,0.18,-0.01,,,,,,,,,,,,,,
E07000126,South Ribble,0.24,0.94,0.92,0.02,4.91,4.82,0.10,0.18,0.08,0.10,0.02,,,,,,,,,,,,,,
E07000127,West Lancashire,0.31,0.92,1.05,-0.13,6.35,6.14,0.20,0.40,0.17,0.23,0.01,,,,,,,,,,,,,,
E07000128,Wyre,0.78,0.80,1.37,-0.58,5.89,4.73,1.16,0.26,0.05,0.20,0.00,,,,,,,,,,,,,,
E07000129,Blaby,1.10,1.09,0.83,0.26,6.42,5.60,0.83,0.20,0.18,0.02,-0.01,,,,,,,,,,,,,,
E07000130,Charnwood,1.76,0.93,0.80,0.13,8.62,7.60,1.02,1.04,0.42,0.61,-0.01,,,,,,,,,,,,,,
E07000131,Harborough,1.41,0.86,0.89,-0.04,6.45,5.11,1.33,0.29,0.14,0.14,-0.03,,,,,,,,,,,,,,
E07000132,Hinckley and Bosworth,0.63,0.98,0.94,0.04,5.44,4.85,0.59,0.23,0.21,0.02,-0.02,,,,,,,,,,,,,,
E07000133,Melton,0.21,0.88,0.91,-0.04,5.20,4.93,0.26,0.23,0.22,0.00,-0.02,,,,,,,,,,,,,,
E07000134,North West Leicestershire,1.45,1.02,0.84,0.18,6.36,5.12,1.24,0.20,0.16,0.04,0.00,,,,,,,,,,,,,,
E07000135,Oadby and Wigston,-0.07,0.93,1.06,-0.13,9.43,9.72,-0.30,0.57,0.21,0.36,0.00,,,,,,,,,,,,,,
E07000136,Boston,1.16,1.05,1.07,-0.02,4.46,4.61,-0.15,1.89,0.56,1.34,0.00,,,,,,,,,,,,,,
E07000137,East Lindsey,0.70,0.78,1.42,-0.63,6.09,4.94,1.15,0.22,0.09,0.13,0.06,,,,,,,,,,,,,,
E07000138,Lincoln,0.26,1.07,0.94,0.13,11.00,10.89,0.11,1.02,0.95,0.08,-0.06,,,,,,,,,,,,,,
E07000139,North Kesteven,0.80,0.89,1.07,-0.18,6.36,5.61,0.74,0.19,0.13,0.07,0.17,,,,,,,,,,,,,,
E07000140,South Holland,1.11,0.98,1.10,-0.13,4.99,4.23,0.76,0.79,0.33,0.45,0.02,,,,,,,,,,,,,,
E07000141,South Kesteven,0.40,0.88,0.99,-0.11,5.44,5.02,0.42,0.32,0.24,0.08,0.01,,,,,,,,,,,,,,
E07000142,West Lindsey,0.84,0.87,1.08,-0.21,6.64,5.70,0.95,0.18,0.08,0.10,0.01,,,,,,,,,,,,,,
E07000143,Breckland,0.46,0.92,1.14,-0.22,5.46,4.74,0.72,0.46,0.39,0.07,-0.11,,,,,,,,,,,,,,
E07000144,Broadland,1.02,0.85,1.09,-0.24,6.11,4.92,1.19,0.15,0.07,0.08,-0.01,,,,,,,,,,,,,,
E07000145,Great Yarmouth,-0.03,0.99,1.19,-0.19,4.14,4.18,-0.04,0.44,0.25,0.18,0.01,,,,,,,,,,,,,,
E07000146,King's Lynn and West Norfolk,-0.28,0.95,1.19,-0.23,4.38,4.21,0.17,0.43,0.41,0.03,-0.25,,,,,,,,,,,,,,
E07000147,North Norfolk,0.27,0.65,1.35,-0.70,5.39,4.63,0.77,0.32,0.11,0.21,0.00,,,,,,,,,,,,,,
E07000148,Norwich,-0.40,1.04,0.79,0.25,9.68,10.94,-1.27,1.95,1.36,0.59,0.03,,,,,,,,,,,,,,
E07000149,South Norfolk,2.07,0.92,0.99,-0.07,7.40,5.28,2.13,0.23,0.20,0.03,-0.01,,,,,,,,,,,,,,
E07000150,Corby,1.96,1.29,0.81,0.48,4.96,3.96,1.01,1.12,0.62,0.50,-0.02,,,,,,,,,,,,,,
E07000151,Daventry,1.74,1.05,0.84,0.21,7.25,5.82,1.42,0.40,0.32,0.08,0.02,,,,,,,,,,,,,,
E07000152,East Northamptonshire,0.66,0.96,0.90,0.06,6.12,5.54,0.57,0.39,0.41,-0.01,0.04,,,,,,,,,,,,,,
E07000153,Kettering,0.50,1.21,0.91,0.30,5.30,5.23,0.08,0.48,0.36,0.12,0.01,,,,,,,,,,,,,,
E07000154,Northampton,-0.24,1.28,0.75,0.53,5.04,6.46,-1.43,1.52,0.87,0.66,0.00,,,,,,,,,,,,,,
E07000155,South Northamptonshire,2.13,0.93,0.78,0.15,7.93,6.00,1.93,0.24,0.20,0.05,0.00,,,,,,,,,,,,,,
E07000156,Wellingborough,0.29,1.14,0.88,0.27,5.38,5.80,-0.42,0.84,0.39,0.45,-0.01,,,,,,,,,,,,,,
E07000163,Craven,0.55,0.78,1.10,-0.32,5.96,5.21,0.75,0.26,0.15,0.11,0.01,,,,,,,,,,,,,,
E07000164,Hambleton,0.50,0.77,1.02,-0.25,5.51,4.87,0.64,0.23,0.13,0.11,0.01,,,,,,,,,,,,,,
E07000165,Harrogate,0.19,0.83,1.01,-0.18,4.96,4.61,0.35,0.57,0.66,-0.09,0.10,,,,,,,,,,,,,,
E07000166,Richmondshire,0.91,0.86,0.91,-0.04,5.97,6.39,-0.42,0.42,0.16,0.26,1.11,,,,,,,,,,,,,,
E07000167,Ryedale,0.84,0.81,0.96,-0.16,5.80,4.87,0.93,0.33,0.29,0.04,0.03,,,,,,,,,,,,,,
E07000168,Scarborough,0.02,0.85,1.20,-0.35,4.44,4.24,0.19,0.40,0.24,0.16,0.02,,,,,,,,,,,,,,
E07000169,Selby,1.70,1.04,0.88,0.16,6.47,5.01,1.46,0.27,0.22,0.05,0.03,,,,,,,,,,,,,,
E07000170,Ashfield,0.60,1.09,0.99,0.10,5.32,4.90,0.41,0.21,0.12,0.09,0.00,,,,,,,,,,,,,,
E07000171,Bassetlaw,0.53,0.95,1.04,-0.09,4.42,3.92,0.50,0.34,0.21,0.13,-0.02,,,,,,,,,,,,,,
E07000172,Broxtowe,0.67,0.93,1.02,-0.09,7.70,7.21,0.49,0.59,0.30,0.29,-0.01,,,,,,,,,,,,,,
E07000173,Gedling,0.09,0.97,0.97,0.00,5.82,5.78,0.03,0.18,0.12,0.05,0.01,,,,,,,,,,,,,,
E07000174,Mansfield,0.43,1.10,0.99,0.11,4.94,4.81,0.13,0.54,0.35,0.19,0.01,,,,,,,,,,,,,,
E07000175,Newark and Sherwood,0.70,0.92,1.00,-0.08,5.86,5.11,0.76,0.31,0.27,0.04,-0.02,,,,,,,,,,,,,,
E07000176,Rushcliffe,1.29,0.87,0.91,-0.04,7.61,6.51,1.10,0.32,0.11,0.21,0.02,,,,,,,,,,,,,,
E07000177,Cherwell,0.90,1.20,0.82,0.38,6.15,5.48,0.67,0.74,0.82,-0.09,-0.06,,,,,,,,,,,,,,
