AREACD,AREANM,male,female
E07000139,North Kesteven                                    ,165.6639396,113.3328516
E07000140,South Holland                                     ,238.9591468,144.5404181
E07000141,South Kesteven                                    ,192.6940879,109.79528
E07000142,West Lindsey                                      ,189.706655,113.7503582
E07000143,Breckland                                         ,192.4225242,120.2020955
E07000144,Broadland                                         ,171.0935499,97.94524674
E07000145,Great Yarmouth                                    ,284.4446,151.5880683
E07000146,King's Lynn and West Norfolk                      ,211.1111803,135.2759908
E07000147,North Norfolk                                     ,198.0597333,122.067312
E07000148,Norwich                                           ,289.8390847,163.1463271
E07000149,South Norfolk                                     ,158.6441702,108.0334757
E07000150,Corby                                             ,319.4094201,186.406701
E07000151,Daventry                                          ,190.011961,117.9507547
E07000152,East Northamptonshire                             ,206.3196331,122.4005128
E07000153,Kettering                                         ,216.4435137,136.3254284
E07000154,Northampton                                       ,259.9100177,156.0222152
E07000155,South Northamptonshire                            ,173.8753725,109.1199045
E07000156,Wellingborough                                    ,241.217104,171.7877812
E07000163,Craven                                            ,178.9390459,104.4798933
E07000164,Hambleton                                         ,179.7963403,104.428803
E07000165,Harrogate                                         ,197.7128252,116.2298904
E07000166,Richmondshire                                     ,168.3869736,119.1502444
E07000167,Ryedale                                           ,217.1713572,93.72536205
E07000168,Scarborough                                       ,254.7140333,143.8543292
E07000169,Selby                                             ,191.9450217,130.9588659
E07000170,Ashfield                                          ,256.335296,156.6918206
E07000171,Bassetlaw                                         ,235.1759068,166.2407216
E07000172,Broxtowe                                          ,199.0245773,127.2990967
E07000173,Gedling                                           ,201.527968,128.621213
E07000174,Mansfield                                         ,285.0239842,179.2918051
E07000175,Newark and Sherwood                               ,204.0955709,141.5657946
E07000176,Rushcliffe                                        ,172.4963825,99.27643989
E07000177,Cherwell                                          ,203.4227611,119.4989369
E07000178,Oxford                                            ,215.3466387,136.908734
E07000179,South Oxfordshire                                 ,141.803855,83.02473334
E07000180,Vale of White Horse                               ,154.5018747,90.50236168
E07000181,West Oxfordshire                                  ,176.0865333,103.6335598
E07000187,Mendip                                            ,192.9761776,116.1093194
E07000188,Sedgemoor                                         ,205.2817266,117.8701413
E07000189,South Somerset                                    ,200.8829355,112.5483102
E07000190,Taunton Deane                                     ,209.9247501,112.9549607
E07000191,West Somerset                                     ,183.2213352,152.2971135
E07000192,Cannock Chase                                     ,247.5526328,169.6657022
E07000193,East Staffordshire                                ,247.7595686,168.0911117
E07000194,Lichfield                                         ,183.9412932,124.2477058
E07000195,Newcastle-under-Lyme                              ,267.8377352,155.9529696
E07000196,South Staffordshire                               ,201.7762851,124.616732
E07000197,Stafford                                          ,202.7850528,132.9170922
E07000198,Staffordshire Moorlands                           ,210.8247594,125.2664958
E07000199,Tamworth                                          ,233.3716837,167.339758
E07000200,Babergh                                           ,164.5744864,102.1277907
E07000201,Forest Heath                                      ,224.2849298,115.8438667
E07000202,Ipswich                                           ,242.3791886,129.600205
E07000203,Mid Suffolk                                       ,149.6960822,105.6704377
E07000204,St Edmundsbury                                    ,170.8402037,119.2521507
E07000205,Suffolk Coastal                                   ,158.7433361,99.67776346
E07000206,Waveney                                           ,237.9868115,150.4209168
E07000207,Elmbridge                                         ,143.1467239,93.11578964
E07000208,Epsom and Ewell                                   ,157.8513969,99.50812438
E07000209,Guildford                                         ,156.3674717,106.0106211
E07000210,Mole Valley                                       ,173.4365908,89.86727143
E07000211,Reigate and Banstead                              ,191.400201,112.6342935
E07000212,Runnymede                                         ,203.2434473,123.0711719
E07000213,Spelthorne                                        ,181.5947275,116.6703787
E07000214,Surrey Heath                                      ,130.4878042,115.8889962
E07000215,Tandridge                                         ,178.0678494,104.3439926
E07000216,Waverley                                          ,161.9097402,91.59225454
E07000217,Woking                                            ,178.6645499,126.9372259
E07000218,North Warwickshire                                ,236.3435131,127.9930104
E07000219,Nuneaton and Bedworth                             ,260.4078298,169.2990906
E07000220,Rugby                                             ,216.6210543,142.071678
E07000221,Stratford-on-Avon                                 ,182.0371023,115.307437
E07000222,Warwick                                           ,196.9659291,113.2295325
E07000223,Adur                                              ,203.5312918,114.2789271
E07000224,Arun                                              ,233.4046769,134.8860495
E07000225,Chichester                                        ,196.0984793,109.8107518
E07000226,Crawley                                           ,224.2520209,143.2787252
E07000227,Horsham                                           ,150.3746532,105.1793082
E07000228,Mid Sussex                                        ,162.5780248,99.33343182
E07000229,Worthing                                          ,234.5718692,123.7389745
E07000234,Bromsgrove                                        ,194.9601729,104.630556
E07000235,Malvern Hills                                     ,180.5318211,111.7820193
E07000236,Redditch                                          ,239.9582335,136.8901916
E07000237,Worcester                                         ,254.3386437,135.274503
E07000238,Wychavon                                          ,189.7390458,106.3906225
E07000239,Wyre Forest                                       ,238.2094611,146.11387
E07000240,St Albans                                         ,171.6925744,105.7075166
E07000241,Welwyn Hatfield                                   ,200.225861,110.430222
E07000242,East Hertfordshire                                ,160.4550516,91.01748298
E07000243,Stevenage                                         ,239.6403026,154.2601759
E08000001,Bolton                                            ,291.747764,175.0831574
E08000002,Bury                                              ,266.1321155,173.5157289
E08000003,Manchester                                        ,402.0487717,256.4116404
E08000004,Oldham                                            ,315.9087649,194.0906736
E08000005,Rochdale                                          ,314.4636808,210.1788415
E08000006,Salford                                           ,324.6854979,195.3177192
E08000007,Stockport                                         ,236.2472455,151.7870035
E08000008,Tameside                                          ,323.5667783,198.1651559
E08000009,Trafford                                          ,242.430644,135.4202156
E08000010,Wigan                                             ,267.5142467,175.4522115
E08000011,Knowsley                                          ,315.6408697,219.1776242
E08000012,Liverpool                                         ,340.0021243,219.4647789
E08000013,St. Helens                                        ,289.3250116,170.7663514
E08000014,Sefton                                            ,256.2857134,157.2771767
E08000015,Wirral                                            ,261.0554102,173.6085677
E08000016,Barnsley                                          ,246.8392877,160.7353892
E08000017,Doncaster                                         ,272.7758821,160.6896989
E08000018,Rotherham                                         ,256.8446983,163.0964454
E08000019,Sheffield                                         ,237.03324,152.8893396
E08000021,Newcastle upon Tyne                               ,290.9325369,188.7433682
E08000022,North Tyneside                                    ,294.7237666,177.7186138
E08000023,South Tyneside                                    ,286.3555032,178.1340108
E08000024,Sunderland                                        ,298.2899335,177.1978491
E08000025,Birmingham                                        ,286.3796051,160.7662787
E08000026,Coventry                                          ,289.2602101,155.8598192
E08000027,Dudley                                            ,261.7410287,151.3094453
E08000028,Sandwell                                          ,323.0433445,173.9888253
E08000029,Solihull                                          ,202.9807827,123.1664875
E08000030,Walsall                                           ,294.0216056,173.532351
E08000031,Wolverhampton                                     ,308.1471164,167.9284372
E08000032,Bradford                                          ,274.9518901,154.0409576
E08000033,Calderdale                                        ,237.4274982,158.0916508
E08000034,Kirklees                                          ,235.8433064,137.8251764
E08000035,Leeds                                             ,281.2190299,158.2399797
E08000036,Wakefield                                         ,263.8698247,160.6128058
E08000037,Gateshead                                         ,296.1582277,180.962886
E09000002,Barking and Dagenham                              ,267.6535134,142.9020024
E09000003,Barnet                                            ,167.0338846,93.22234039
E09000004,Bexley                                            ,207.1631272,123.1733247
E09000005,Brent                                             ,214.0695652,107.4462546
E09000006,Bromley                                           ,175.0883196,95.52868826
E09000007,Camden                                            ,201.2908193,113.1582505
E09000008,Croydon                                           ,202.3357851,117.8387904
E09000009,Ealing                                            ,222.6496009,117.8566008
E09000010,Enfield                                           ,203.0299361,103.1463132
E09000011,Greenwich                                         ,255.7588025,149.7026843
E09000012,Hackney and City of London                                           ,300.4,155.6
E09000013,Hammersmith and Fulham                            ,265.7506403,144.6330142
E09000014,Haringey                                          ,229.0591348,117.4134231
E09000015,Harrow                                            ,165.205885,97.74378796
E09000016,Havering                                          ,231.6552767,116.736633
E09000017,Hillingdon                                        ,203.4903729,120.7389263
E09000018,Hounslow                                          ,226.8894806,123.2993896
E09000019,Islington                                         ,275.347375,160.5747312
E09000020,Kensington and Chelsea                            ,190.4324807,102.4482651
E09000021,Kingston upon Thames                              ,187.3039508,108.6178779
E09000022,Lambeth                                           ,277.9198833,137.8571225
E09000023,Lewisham                                          ,264.9360347,141.4051097
E09000024,Merton                                            ,195.8056361,110.9992745
E09000025,Newham                                            ,227.9421344,130.5096675
E09000026,Redbridge                                         ,186.0550603,104.5550477
E09000027,Richmond upon Thames                              ,175.9215213,107.1621677
E09000028,Southwark                                         ,267.7879059,137.8492096
E09000029,Sutton                                            ,176.4144046,113.443615
E09000030,Tower Hamlets                                     ,260.7106189,150.8065474
E09000031,Waltham Forest                                    ,229.0942307,136.5203797
E09000032,Wandsworth                                        ,213.2183072,129.1541498
E09000033,Westminster                                       ,185.3630244,96.32233238
W06000001,Isle of Anglesey                                  ,241.9908195,139.9744572
W06000002,Gwynedd                                           ,248.4598659,141.8352809
W06000003,Conwy                                             ,267.2615454,168.6687629
W06000004,Denbighshire                                      ,281.0352041,158.970618
W06000005,Flintshire                                        ,252.7855734,163.4442082
W06000006,Wrexham                                           ,276.6754505,170.0039872
W06000008,Ceredigion                                        ,238.1021229,129.0103165
W06000009,Pembrokeshire                                     ,255.0588488,143.4115326
W06000010,Carmarthenshire                                   ,282.2405515,148.8179929
W06000011,Swansea                                           ,296.6373224,174.4877889
W06000012,Neath Port Talbot                                 ,327.6632979,187.269674
W06000013,Bridgend                                          ,265.0399236,179.328041
W06000014,Vale of Glamorgan                                 ,216.4004941,122.6266386
W06000015,Cardiff                                           ,263.5577107,147.6754141
W06000016,Rhondda Cynon Taf                                 ,288.0346584,189.8418927
W06000018,Caerphilly                                        ,294.2421197,175.0200858
W06000019,Blaenau Gwent                                     ,325.8337889,177.9114415
W06000020,Torfaen                                           ,284.535197,175.9677506
W06000021,Monmouthshire                                     ,214.7506832,134.291005
W06000022,Newport                                           ,292.0864333,162.3330479
W06000023,Powys                                             ,223.9675496,120.2331116
W06000024,Merthyr Tydfil                                    ,303.5016669,196.3345659
