name,International_net_migration,Short-Term_International_Migration_Inflow_Estimates,Non-British_Estimate_%,Non-UK_born_%,Live_births_to_non-UK_born_mothers_%,"New_Migrant_GP_Registrations_per_1,000_pop","Migrant_NINo_Registrations_per_1,000_pop",name2
Cardiff / Caerdydd,9.4,4.516634538,7.3,12,26.7,18.77067956,18.50125522,CardiffCaerdydd
Carlisle,-0.1,1.256261507,5.6,6.5,9.6,3.929563044,7.678464307,Carlisle
Carmarthenshire / Sir Gaerfyrddin,1.3,0.739726003,3.8,5.5,8.3,3.308011422,5.231512597,CarmarthenshireSirGaerfyrddin
Castle Point,0.9,0.172784001,-10000000,-10000000,6.3,1.537930035,3.120718526,CastlePoint
Causeway Coast and Glens,-1.8,-1000000,-10000000,-10000000,6.9,4.173488939,-1000000,CausewayCoastandGlens
Central Bedfordshire,4.3,0.645930018,5.8,9.5,16,7.912180887,8.60015802,CentralBedfordshire
Ceredigion / Ceredigion,-1000000,3.587124774,4,6.7,11.1,10.2365603,10.84617749,CeredigionCeredigion
Charnwood,7.4,2.796925032,6.3,10.2,17.8,10.88695516,10.94651117,Charnwood
Chelmsford,2.2,1.256056329,7,11.6,18.3,7.507654131,13.21472076,Chelmsford
Cheltenham,1.5,3.124830053,9.6,13,21.5,13.91985025,16.35308833,Cheltenham
Cherwell,2.1,2.297194854,9.7,12.5,27.7,12.42329402,24.21355128,Cherwell
Cheshire East,0.1,1.2934839,4.3,6.2,12.8,6.22519545,11.37746007,CheshireEast
Cheshire West and Chester,1,1.24232938,6,7.9,10.7,5.132864633,8.683039937,CheshireWestandChester
Chesterfield,1.1,0.426714652,-10000000,4.9,8.7,2.82458828,4.744704298,Chesterfield
Chichester,2.6,3.564615352,4.3,6.1,17.2,7.759678443,21.82347957,Chichester
Chiltern,2.1,0.910996026,9.7,17.2,22.7,5.667539405,10.59789489,Chiltern
Chorley,1.1,0.41318871,2.7,4.5,8.9,1.766490892,3.130835217,Chorley
Christchurch,0.7,0.411382338,-10000000,2,12.8,3.031466624,5.64433088,Christchurch
City of Edinburgh,13.4,-1000000,14,18.3,34.6,-1000000,33.89916722,CityofEdinburgh
City of London,73.2,38.55831044,-10000000,-10000000,66.7,33.18795873,142.7532014,CityofLondon
Clackmannanshire,1.2,-1000000,4,8,8.1,-1000000,4.161144161,Clackmannanshire
Colchester,6.2,1.939617615,6,12.6,21,15.33474429,18.10787743,Colchester
Conwy / Conwy,0.7,0.494296857,3.5,5.3,8,2.28251729,4.028850797,ConwyConwy
Copeland,0.9,0.522426204,-10000000,1.5,4.7,1.15428456,1.482213439,Copeland
Corby,9.5,3.872257651,14.7,17.6,31.7,16.22010061,45.53800955,Corby
Cornwall,0,0.936566781,3.5,5.1,7.8,3.828878048,8.578269409,Cornwall
Cotswold,1.3,1.937413705,6,10.7,14.9,6.180325575,12.57574253,Cotswold
County Durham,2.4,0.748639123,1.6,2.9,6.3,5.238028663,3.583912081,CountyDurham
Coventry,17.7,4.666263832,21.3,26.1,40.4,30.58561507,40.89506502,Coventry
Craven,1.3,0.537999194,1.8,7.3,7.4,3.143425446,4.688936561,Craven
Crawley,7.8,6.223349939,15.2,19.6,42.1,16.86195286,37.39478405,Crawley
Croydon,6.8,3.104190904,19.4,33.5,53.2,16.81907592,30.90516649,Croydon
Cumbria,0.4,0.940573138,2.3,3.9,7.6,3.470534599,7.380259062,Cumbria
Dacorum,2.8,1.336638221,7.3,9.3,22.6,7.950645744,15.22442545,Dacorum
Darlington,0.9,0.725761804,5.8,7.7,11.5,4.628665543,6.595103869,Darlington
Dartford,3.9,1.500887965,12.5,14.4,28.7,7.560899349,14.80542079,Dartford
Daventry,2.9,1.28897367,6.4,7.7,17.5,6.493187073,12.53974921,Daventry
Denbighshire / Sir Ddinbych,0.8,0.387453411,2.1,5.3,6.5,3.090554296,4.14840042,DenbighshireSirDdinbych
Derby,4.1,1.818549908,12.2,14.6,31,13.05842729,18.95904796,Derby
Derbyshire,0.7,0.422576232,2.2,4.4,7.1,2.46129568,3.929913113,Derbyshire
Derbyshire Dales,0.5,0.18200842,1.4,5.7,5.8,1.809561216,2.353506244,DerbyshireDales
Derry City and Strabane,-0.5,-1000000,-10000000,-10000000,8.3,3.696500646,-1000000,DerryCityandStrabane
Devon,2.5,1.326433673,4.6,7.1,11,6.482148765,8.12629591,Devon
Doncaster,3.8,2.024507471,7,8,17.9,8.456349116,18.94547018,Doncaster
Dorset,1.5,0.641993736,4.1,6.8,9.7,3.609894802,5.630587626,Dorset
Dover,0.8,1.056672313,8,10.7,12.7,4.569847759,7.547948639,Dover
Dudley,1.5,0.462550368,3.2,6.4,13.7,3.752746872,6.590580293,Dudley
Dumfries and Galloway,0.1,-1000000,2,4.1,7.3,-1000000,4.314655221,DumfriesandGalloway
Dundee City,5.4,-1000000,6.9,8.3,19.5,-1000000,13.62057408,DundeeCity
Ealing,10.7,5.683280658,32.1,50,71.3,38.03948764,62.20600055,Ealing
East Ayrshire,-0.3,-1000000,2.5,3.3,4.5,-1000000,2.090257582,EastAyrshire
East Cambridgeshire,2.2,2.675444616,5.7,6.8,23.9,12.85510959,16.50730312,EastCambridgeshire
East Devon,0.1,0.396764346,5.2,7.4,9.6,2.873316751,6.291299015,EastDevon
East Dorset,1.1,0.142074691,1.1,2.3,7.5,2.020360747,2.823913316,EastDorset
East Dunbartonshire,0.5,-1000000,1.9,4.7,6.9,-1000000,2.632988902,EastDunbartonshire
East Hampshire,0.7,0.638030908,6,12.9,16.7,3.009622314,7.481618437,EastHampshire
East Hertfordshire,3.5,1.121915256,7.6,10.4,18.4,8.939983186,13.81677565,EastHertfordshire
East Lindsey,0.9,0.422128335,2.2,4.4,6.2,2.492000318,5.869033366,EastLindsey
East Lothian,2.8,-1000000,2.9,4.9,12.5,-1000000,8.469468185,EastLothian
East Northamptonshire,1.8,0.962619684,8,10.2,14,5.208848449,9.28703068,EastNorthamptonshire
East Renfrewshire,0.5,-1000000,4.3,7.5,12.5,-1000000,3.063649969,EastRenfrewshire
East Riding of Yorkshire,0.6,0.774050726,2.4,4.5,9.2,3.275135033,5.764532477,EastRidingofYorkshire
East Staffordshire,4.9,2.285052242,11.3,13,30.2,10.8653739,26.78398226,EastStaffordshire
East Sussex,1.4,1.240490807,5,8.8,15.4,5.73387587,10.11255521,EastSussex
Eastbourne,2.5,1.421247408,10.9,14.9,24.2,11.92578648,20.2984876,Eastbourne
Eastleigh,1.1,0.754172357,3.1,6.2,13.7,2.946735064,5.442769959,Eastleigh
Eden,1,0.991478061,-10000000,-10000000,8.6,3.799464276,8.921669673,Eden
Elmbridge,-0.5,1.492454266,16.5,24.1,31.1,13.12855895,19.97402994,Elmbridge
Enfield,10.3,4.008076461,18.1,36.1,60.8,18.99244104,41.86846025,Enfield
England,5.1,2.7,9.3,14.1,26.9,11.3,19.8,England
Epping Forest,2.9,1.141431624,6.2,11.5,21.4,6.345869046,14.11153061,EppingForest
Epsom and Ewell,4.1,1.133243192,11.4,17.7,34.9,9.612001809,15.06457696,EpsomandEwell
Erewash,-0.1,0.256807445,3.5,6.1,8.2,2.471908156,2.938706969,Erewash
Essex,2.3,0.982936549,5.6,9.2,16.6,6.491266646,11.00949063,Essex
Exeter,11.9,5.339476032,12.8,15.2,22.2,23.05837397,17.91287676,Exeter
Falkirk,1,-1000000,3.8,5.7,11.1,-1000000,4.545276054,Falkirk
Fareham,1.2,0.563353285,-10000000,4.4,10.5,2.616462923,4.456392047,Fareham
Fenland,8.2,3.137712425,5.1,6.1,25.2,12.75678266,30.80242304,Fenland
Fermanagh and Omagh,1.1,-1000000,-10000000,-10000000,15.4,5.664988471,-1000000,FermanaghandOmagh
Fife,2.8,-1000000,5.8,8.3,13,-1000000,10.03013345,Fife
Flintshire / Sir y Fflint,1.2,0.783340489,5.2,6.5,11.3,4.552548585,11.60953784,FlintshireSiryFflint
Forest Heath,-6.2,2.13454675,23.8,25.4,44.7,8.766893727,19.19202096,ForestHeath
Forest of Dean,1.3,0.677208628,2.4,4.9,7.8,3.068454647,4.723518045,ForestofDean
Fylde,0.9,0.386218666,3.9,5.3,11.3,3.346582895,4.398696021,Fylde
Gateshead,2.7,0.847876028,4.5,5.5,13.1,6.200642883,6.619812321,Gateshead
Gedling,0.8,0.325854398,6,7.8,10.4,2.738173921,4.160694655,Gedling
Glasgow City,12.9,-1000000,11.7,15.4,28.4,-1000000,20.65421576,GlasgowCity
Gloucester,4.3,2.522632379,8.7,10.2,23,8.179752195,15.14502247,Gloucester
Gloucestershire,2.1,1.753654844,5.6,8.8,16.5,6.696847683,10.44541622,Gloucestershire
Gosport,0.7,0.284917962,7.1,8.3,12,2.729519815,4.172356243,Gosport
Gravesham,4.7,2.053677581,15.9,20.6,33,11.27256385,21.38110808,Gravesham
Great Yarmouth,5,1.541840654,12.2,12.2,17.8,9.630511073,17.58513507,GreatYarmouth
Greater Manchester (Met County),5.2,2.124140907,9.4,14.2,27.1,12.81315361,16.25645607,GreaterManchesterMetCounty
Greenwich,11.4,5.438345031,24.3,35.5,58,20.1382584,36.54983108,Greenwich
Guildford,13.3,4.733535594,5.5,12.4,25.7,20.14592623,25.82496413,Guildford
Gwynedd / Gwynedd,6.7,2.315348817,3.3,5,8.7,6.996853438,10.62298403,GwyneddGwynedd
Hackney,10.1,5.810171661,23.5,36,49.6,27.44894452,43.11912624,Hackney
Halton,0.3,0.579034862,2.4,3.2,5.5,3.088973468,8.884352198,Halton
Hambleton,1.3,0.273365675,-10000000,3.4,9.5,2.131725151,3.635336222,Hambleton
Hammersmith and Fulham,12.9,5.577055276,30.4,45.3,59.2,45.33158182,68.67222818,HammersmithandFulham
Hampshire,1.4,1.089215463,4.4,7.9,16.9,5.059444615,8.576926624,Hampshire
Harborough,1.6,0.800010065,2.3,2.3,11,4.136436029,4.823121642,Harborough
Haringey,21.7,8.280804218,26.9,38.9,62,34.0059831,70.35723887,Haringey
Harlow,5.4,2.145263829,15.1,17.4,29.5,12.97749869,24.29837518,Harlow
Harrogate,-2.1,1.986234266,5.2,5.9,17.4,7.734530938,8.661058839,Harrogate
Harrow,14.4,6.884745452,31.2,53.2,70.9,29.76056474,61.77057716,Harrow
Hart,1.2,0.625417976,6.5,10.9,17.6,4.721485411,9.020686273,Hart
Hartlepool,1.8,0.296623826,2.2,3.3,4.6,2.542637663,3.504206783,Hartlepool
Hastings,1.7,1.514795863,3.3,8.9,16.8,5.984648077,12.48205595,Hastings
Havant,0.8,0.845670474,1.6,5.7,8.8,1.908767389,4.85045567,Havant
Havering,3.4,1.416742172,8.4,14.4,31.4,7.575667668,17.25467208,Havering
"Herefordshire, County of",6.6,3.229533012,8.1,10.2,17.8,7.654152734,23.77404017,HerefordshireCountyof
Hertfordshire,3.4,1.992531897,9.1,14.8,28.4,10.73662384,17.55779108,Hertfordshire
Hertsmere,3.3,1.99560936,16.5,22.3,36.6,11.63936326,21.48702879,Hertsmere
High Peak,0.6,0.320974529,2.2,5.5,5.4,2.018284567,2.871113122,HighPeak
Highland,1.5,-1000000,3.5,5.6,15,-1000000,11.98159229,Highland
Hillingdon,14,3.389618206,16.9,32.8,57.3,21.30782786,34.31763767,Hillingdon
Hinckley and Bosworth,1.5,0.711235529,3.7,7.4,10.5,3.251530399,5.956448115,HinckleyandBosworth
Horsham,2.1,0.980293903,6.8,9,13.8,6.817951282,8.853211566,Horsham
Hounslow,16.2,5.578185279,29.2,48.2,68.5,37.37566341,59.98462637,Hounslow
Huntingdonshire,0,1.022181756,6.9,9.8,23.7,8.094907381,10.82241156,Huntingdonshire
Hyndburn,1.4,0.391939408,7.6,8.9,16.7,2.81858028,5.512992014,Hyndburn
Inverclyde,0.5,-1000000,1.3,2.6,5,-1000000,3.609892302,Inverclyde
Ipswich,1.8,0.109835001,13.3,15.6,29.1,18.26971186,33.31521048,Ipswich
Isle of Anglesey / Ynys Mon,1.2,-1000000,1.4,2.9,4.6,-1000000,-1000000,IsleofAngleseyYnysMon
Isle of Wight,0.9,0.451900386,3.7,5.2,8,2.854118085,6.76740637,IsleofWight
Isles of Scilly,-1.7,-1000000,-10000000,-10000000,-10000000,16.4644714,32.16374269,IslesofScilly
Islington,23.4,8.674644297,24.3,37,51.9,33.91235265,50.83470599,Islington
Kensington and Chelsea,12.4,6.669966861,37.2,52.6,70.7,40.70798719,63.01571207,KensingtonandChelsea
Kent,4.1,2.187430838,7.2,11.2,19.5,8.608898283,15.56273748,Kent
Kettering,3.5,1.524203232,5.1,7.1,19.4,8.838205289,19.0927645,Kettering
King's Lynn and West Norfolk,1.4,1.519203702,12.8,15.4,19.9,7.137721075,18.24137931,KingsLynnandWestNorfolk
"Kingston upon Hull, City of",4.2,3.240410537,7.4,9,20.3,13.84491239,21.46995143,KingstonuponHullCityof
Kingston upon Thames,12.8,4.34343176,17.7,31.4,46.1,23.00873901,28.09350385,KingstonuponThames
Kirklees,4.1,2.641720074,6.7,12.7,22.9,8.184474439,9.215091859,Kirklees
Knowsley,0.4,0.28306984,2.8,3.4,5.7,2.021431227,3.059897222,Knowsley
Lambeth,9,5.205843655,20.6,31.7,53.6,26.17181544,43.55535943,Lambeth
Lancashire,3,2.114176817,4.2,6.2,15,6.822667372,9.785762712,Lancashire
Lancaster,9.2,6.342613386,4.3,6.4,13.7,11.68502686,12.25680296,Lancaster
Leeds,4.4,3.3676809,9.3,12.3,27,16.09352434,18.56936698,Leeds
Leicester,15.2,6.030357661,19.8,35,52.2,33.31486495,39.40393222,Leicester
Leicestershire,3.1,1.184950622,5.2,8.1,13.7,5.795386825,7.138725469,Leicestershire
Lewes,1.4,0.616945748,2,6,14.1,3.245184009,6.320332974,Lewes
Lewisham,10.3,4.006633536,20.3,30.7,53.7,17.94830174,36.34543274,Lewisham
Lichfield,2.1,0.446254317,2,4,8.3,2.580995721,4.513353357,Lichfield
Lincoln,5.8,5.954458433,8.3,11.5,25.4,15.84948106,24.14330218,Lincoln
Lincolnshire,4.2,2.860411006,7.3,10,19.7,8.73807695,20.24915825,Lincolnshire
Lisburn and Castlereagh,-1.7,-1000000,-10000000,-10000000,12,3.017403192,-1000000,LisburnandCastlereagh
Liverpool,7.1,4.947468617,9.3,11.4,22.6,19.13211083,21.73381658,Liverpool
Luton,12.3,5.884197715,21.3,33.3,57.8,27.80558234,59.05701486,Luton
Maidstone,6.3,3.304079257,9.2,13.5,20.7,8.205097379,26.69708848,Maidstone
Maldon,1.1,0.416654156,-10000000,-10000000,6.8,2.162588792,4.701694735,Maldon
Malvern Hills,2.5,1.284922929,2.7,5.3,11,5.477472744,9.952441712,MalvernHills
Manchester,12.3,7.004073407,17.7,26.4,47.1,33.11698749,34.84240388,Manchester
Mansfield,4.4,2.234380418,7.6,8.6,17.1,11.89556476,23.92117291,Mansfield
Medway,3.6,1.416639166,7.9,12.3,21.1,7.040230917,16.30130545,Medway
Melton,0,0.613761101,2,3.9,10.5,2.712370769,5.986861267,Melton
Mendip,-0.1,1.054133729,3.7,9.2,13.3,7.321515838,8.90420153,Mendip
Merseyside (Met County),2.7,1.954192151,5.3,6.7,13.2,8.217159978,11.08714737,MerseysideMetCounty
Merthyr Tydfil / Merthyr Tudful,3.2,0.496631853,3.4,3.4,8.1,3.945828457,7.709485325,MerthyrTydfilMerthyrTudful
Merton,5.8,4.383431888,26.6,39.6,58.7,28.29355847,45.48606296,Merton
Mid and East Antrim,4,-1000000,-10000000,-10000000,11.3,7.154207269,-1000000,MidandEastAntrim
Mid Devon,0.9,0.944720026,-10000000,2.5,9.9,4.424168745,6.366433088,MidDevon
Mid Suffolk,-0.1,0.316915548,-10000000,5.1,9.8,2.229687844,3.573000982,MidSuffolk
Mid Sussex,2.1,1.461023695,4.9,9,17.8,6.920979815,11.58123166,MidSussex
Mid Ulster,4.2,-1000000,-10000000,-10000000,16.5,8.721430094,-1000000,MidUlster
Middlesbrough,7.9,1.722725494,8.6,10.8,20.4,12.72097893,14.85509277,Middlesbrough
Midlothian,1,-1000000,3.4,4.6,11.8,-1000000,5.295116926,Midlothian
Milton Keynes,4.7,2.91945729,11.7,19.7,39.1,15.05979681,31.05365911,MiltonKeynes
Mole Valley,0.3,1.194038437,3.5,11.8,22.7,7.295037287,11.02275411,MoleValley
Monmouthshire / Sir Fynwy,0.6,0.178900515,2.2,4.4,9.6,3.069698308,4.203592161,MonmouthshireSirFynwy
Moray,0.8,-1000000,4.3,5.4,12,-1000000,4.281724063,Moray
Na h-Eileanan Siar (Western Isles),0.7,-1000000,-10000000,3.7,10.9,-1000000,3.948852952,NahEileananSiarWesternIsles
Neath Port Talbot / Castell-nedd Port Talbot,1.2,0.106650238,2.1,2.9,4.9,1.765686358,2.385089782,NeathPortTalbotCastellneddPortTalbot
New Forest,1.8,0.960009337,2.2,4.5,11.9,3.927782365,7.583165373,NewForest
Newark and Sherwood,1.3,1.01604992,6.8,10.3,12.5,5.436146191,11.46779507,NewarkandSherwood
Newcastle upon Tyne,12.3,6.47826566,11.6,16.1,28.1,24.55494168,20.10402031,NewcastleuponTyne
Newcastle-under-Lyme,4.4,2.456110387,4,4.8,10.3,5.674609044,6.49453702,NewcastleunderLyme
Newham,32.4,13.84315318,32.7,54,75.7,49.2495117,101.5592042,Newham
Newport / Casnewydd,4.2,0.980903992,8.2,9.5,21.8,8.173089817,14.62465883,NewportCasnewydd
"Newry, Mourne and Down",2.2,-1000000,-10000000,-10000000,12.6,6.450488145,-1000000,NewryMourneandDown
Norfolk,4.1,1.673905635,9.6,11.6,17.5,9.019230123,14.93022237,Norfolk
North Ayrshire,-0.3,-1000000,1.5,3,3.9,-1000000,2.513916322,NorthAyrshire
North Devon,0.6,0.722370668,3.3,7.6,7.3,3.012207367,6.779537461,NorthDevon
North Dorset,2.7,0.628701392,7.4,8.8,13.2,5.530226275,6.654084398,NorthDorset
North East Derbyshire,0.7,0.539754224,1,2,4.5,1.344313554,1.998767427,NorthEastDerbyshire
North East Lincolnshire,0.4,0.896594108,3.2,5.1,10.3,4.957774091,11.21535752,NorthEastLincolnshire
North Hertfordshire,0.8,0.62883571,3,6.8,18.1,5.356053244,7.531992687,NorthHertfordshire
North Kesteven,0.9,0.39768903,0.9,5.4,10.5,2.621428634,3.105359345,NorthKesteven
North Lanarkshire,0.8,-1000000,2.7,4.5,8.2,-1000000,5.92001603,NorthLanarkshire
North Lincolnshire,3.1,1.72741836,8.3,9.5,17.2,6.885810312,13.46911014,NorthLincolnshire
North Norfolk,3.2,0.952410873,-10000000,2,9.5,5.407124682,11.89901913,NorthNorfolk
North Somerset,0.8,0.862164313,4.3,7.2,14.8,5.087844445,9.86400608,NorthSomerset
North Tyneside,1.9,0.451169572,3,5.4,9.6,2.749536415,4.002516317,NorthTyneside
North Warwickshire,1.6,0.514077211,1.6,4.8,6.2,2.514668902,5.665430573,NorthWarwickshire
North West Leicestershire,1.9,0.468110671,8.3,11.5,8.9,3.750861684,5.627783306,NorthWestLeicestershire
North Yorkshire,0.2,0.903650574,3.4,5.3,12.1,4.589446258,7.986507959,NorthYorkshire
Northampton,12.3,7.696065041,13.9,17.5,40.8,24.61037636,49.86682859,Northampton
Northamptonshire,6.6,3.515305541,8.9,11.7,28,13.55561375,29.74786271,Northamptonshire
Northumberland,0,0.147091399,1.6,3.2,5.2,1.373409029,1.725356943,Northumberland
Norwich,12.9,4.232458542,18,21.6,26.9,26.36112903,26.38779487,Norwich
Nottingham,13.7,8.794798646,16.5,22.5,37.9,30.13385309,29.27241665,Nottingham
Nottinghamshire,2.1,1.248605045,4.9,6.8,12.9,6.121794476,10.17984052,Nottinghamshire
Nuneaton and Bedworth,-0.8,0.660614123,3.2,7.1,17.2,5.87313709,10.87386067,NuneatonandBedworth
Oadby and Wigston,3.6,0.58909196,7.3,12.7,21.3,8.777429467,6.511299019,OadbyandWigston
Oldham,6.3,0.968752777,7,13.5,31,12.75330434,14.83410238,Oldham
Orkney Islands,0.1,-1000000,0,4.8,7.3,-1000000,4.713099424,OrkneyIslands
Oxford,21.8,16.98177148,25.9,32.3,50.6,57.46135866,51.94434102,Oxford
Oxfordshire,6.7,5.12952649,13,17,29,20.61422576,25.59585278,Oxfordshire
Pembrokeshire / Sir Benfro,0.8,0.339934514,2.5,4.1,8.3,2.37991513,5.073948619,PembrokeshireSirBenfro
Pendle,5.4,1.418858221,6.7,8.9,28.9,13.97536097,23.75884589,Pendle
Perth and Kinross,2.8,-1000000,5.4,6.8,16.8,-1000000,28.98644986,PerthandKinross
Peterborough,10,8.859317215,21.2,24.4,45.3,25.08942388,43.26199464,Peterborough
Plymouth,4.4,2.733653533,6.1,9.6,14.1,9.201397431,9.161435057,Plymouth
Poole,2.8,1.59637842,6.7,10,20.2,6.587458746,11.76006401,Poole
Portsmouth,8.8,4.616959826,8.5,13.3,24.8,16.44540851,22.49055149,Portsmouth
Powys / Powys,0.5,0.345982558,3.1,3.8,7.5,2.898002421,5.343661787,PowysPowys
Preston,4.9,6.593287279,9.4,15.8,26.4,19.41453163,22.69776027,Preston
Purbeck,1.7,0.468147122,4.4,8.9,9.8,2.827175414,6.669698348,Purbeck
Reading,12,6.4876557,15.4,25.3,49.8,35.7358022,51.30964541,Reading
Redbridge,13.2,5.205269244,23.5,42.1,65,27.97001828,58.64865838,Redbridge
Redcar and Cleveland,1.7,0.345990065,1.5,3,5.2,1.698620425,1.9975735,RedcarandCleveland
Redditch,4.4,2.235677742,14.3,15.5,21.7,8.967765473,16.73687167,Redditch
Reigate and Banstead,3.2,1.453728633,7,11.9,25.7,7.923212128,13.36738093,ReigateandBanstead
Renfrewshire,2.9,-1000000,5.8,6.9,12.6,-1000000,7.836838436,Renfrewshire
Rhondda Cynon Taf / Rhondda Cynon Taf,2.5,1.326899097,2.5,3,4.7,3.751479191,4.732401173,RhonddaCynonTafRhonddaCynonTaf
Ribble Valley,0.7,0.660665422,-10000000,-10000000,7.5,4.232822221,4.394600919,RibbleValley
