AREANM,AREACD,pooled,single,supergroup
Guildford,E07000209,0,1,Affluent England  
Mole Valley,E07000210,3,2,Affluent England  
Reigate and Banstead,E07000211,0,0,Affluent England  
Runnymede,E07000212,1,2,Affluent England  
Spelthorne,E07000213,0,1,Affluent England  
Surrey Heath,E07000214,2,3,Affluent England  
Tandridge,E07000215,2,3,Affluent England  
Waverley,E07000216,1,2,Affluent England  
Woking,E07000217,0,1,Affluent England  
Adur,E07000223,3,5,Town and Country Living
Arun,E07000224,3,3,Countryside Living
Chichester,E07000225,3,3,Countryside Living
Crawley,E07000226,0,1,Urban Settlements
Horsham,E07000227,1,3,Affluent England  
Mid Sussex,E07000228,1,1,Affluent England  
Worthing,E07000229,1,2,Urban Settlements
Bath and North East Somerset,E06000022,0,0,"Business, Education and Heritage Centres "
"Bristol, City of",E06000023,0,0,"Business, Education and Heritage Centres "
North Somerset,E06000024,0,1,Countryside Living
South Gloucestershire,E06000025,0,0,Town and Country Living
Plymouth,E06000026,0,0,"Business, Education and Heritage Centres "
Torbay,E06000027,1,1,Countryside Living
Bournemouth,E06000028,0,0,"Business, Education and Heritage Centres "
Poole,E06000029,2,0,Town and Country Living
Swindon,E06000030,0,0,Urban Settlements
Cornwall,E06000052,0,0,Countryside Living
Wiltshire,E06000054,0,1,Town and Country Living
East Devon,E07000040,3,3,Countryside Living
Exeter,E07000041,0,2,"Business, Education and Heritage Centres "
Mid Devon,E07000042,3,5,Countryside Living
North Devon,E07000043,4,4,Countryside Living
South Hams,E07000044,2,4,Countryside Living
Teignbridge,E07000045,2,3,Countryside Living
Torridge,E07000046,5,5,Countryside Living
West Devon,E07000047,3,3,Countryside Living
Christchurch,E07000048,5,4,Countryside Living
East Dorset,E07000049,3,4,Countryside Living
North Dorset,E07000050,2,3,Countryside Living
Purbeck,E07000051,3,4,Countryside Living
West Dorset,E07000052,2,3,Countryside Living
Weymouth and Portland,E07000053,4,4,Countryside Living
Cheltenham,E07000078,1,1,"Business, Education and Heritage Centres "
Cotswold,E07000079,4,4,Countryside Living
Forest of Dean,E07000080,4,2,Town and Country Living
Gloucester,E07000081,0,1,Urban Settlements
Stroud,E07000082,2,4,Town and Country Living
Tewkesbury,E07000083,1,1,Town and Country Living
Mendip,E07000187,2,2,Countryside Living
Sedgemoor,E07000188,2,3,Countryside Living
South Somerset,E07000189,1,4,Countryside Living
Taunton Deane,E07000190,2,2,Countryside Living
West Somerset,E07000191,5,4,Countryside Living
Isle of Anglesey,W06000001,4,4,Countryside Living
Gwynedd,W06000002,2,2,Countryside Living
Conwy,W06000003,2,3,Countryside Living
Denbighshire,W06000004,3,2,Countryside Living
Flintshire,W06000005,1,1,Town and Country Living
Wrexham,W06000006,0,1,Services and Industrial Legacy   
Ceredigion,W06000008,2,2,Countryside Living
