CountryName,CountryId,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
Hong Kong,HK,29756,35238,38284,30054,34960,47274,65400,78037,86315,102521,81603,111804,122051,126146,162421,175006,170302,231349,223823
India,IN,5099,4996,6006,5531,7386,10402,15486,18483,38482,33035,37280,53011,44084,41826,42879,39634,50866,55376,58847
Israel,IL,1376,1606,1642,2316,2419,2950,3146,3968,4004,6118,6109,9577,9876,8727,9841,9969,9699,11875,12582
Japan,JP,234352,259141,214682,220656,221025,287565,321409,301478,324546,433094,343653,472707,564869,612633,596683,500189,435979,574677,491543
Malaysia,MY,4763,5920,5520,5602,5617,7244,7819,8222,9141,7502,6406,9443,11862,12436,16478,15251,15001,11909,12266
Saudi Arabia,SA,5300,6304,5447,5319,5226,4787,6896,6644,12724,16732,14355,17591,16989,14325,17258,18792,22706,31017,28694
Singapore,SG,32270,31065,43794,36621,40765,41800,44781,45656,63568,101414,60120,90869,144365,101915,110847,134096,130063,129657,127797
Taiwan,TW,7055,5642,8464,6030,12013,21320,25975,22472,22416,16572,20080,33152,29360,27355,42738,34621,31988,37286,45791
Thailand,TH,2501,2919,3186,4129,4744,5114,5531,5835,6431,5847,5366,8563,7241,7990,8717,9517,10574,10396,12913
Australia,AU,35940,36513,46777,51657,56391,83387,101303,109491,135044,179473,147007,198251,196814,196717,197809,214834,194841,234424,186550
New Zealand,NZ,6265,5622,5298,6619,6054,8915,7467,7922,8838,12571,10087,11420,12124,10607,15295,7597,9526,10142,9119
South Africa,ZA,14574,12024,11905,19005,21497,29039,36195,28394,30761,41289,40001,42794,40652,45689,39436,43066,52666,48456,52112
Worlddata,W1,2570648,3162752,3321336,3340558,3757663,4967217,6005768,6567825,8246504,11517436,8887772,10191548,11058171,10441578,9639975,10213710,9620476,10966485,10730703
