AREANM,AREACD,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17
Wycombe,E07000007,1377.2,1254.3,1324.7,1185.5,1268.5,1061.8,1038.4,1071.9,1061.2,1056.4,961.5,953.1,924.1,946.9,921.2,887.9,948
Cambridge,E07000008,1402.0,1395.0,1359.8,1334.5,1257.6,1319.4,1253.7,1284.3,1117.9,1111.2,1000.0,1168.0,1129.0,1060.5,1159.9,1036.9,923.2
East Cambridgeshire,E07000009,1438.9,1305.0,1372.6,1326.3,1185.6,1144.7,1144.4,1136.9,1026.0,1030.3,1091.9,862.9,978.4,963.3,952.5,1016.1,1023.2
Fenland,E07000010,1678.4,1476.1,1638.6,1304.4,1438.6,1369.8,1359.2,1345.3,1347.4,1211.3,1167.2,1147.5,1153.1,1123.9,1230.8,1200.0,1200.1
Huntingdonshire,E07000011,1414.7,1368.6,1375.2,1228.6,1102.5,1256.4,1254.8,1120.6,1083.1,1078.4,1020.6,994.4,1020.8,970.1,1055.1,938.3,1001.3
South Cambridgeshire,E07000012,1160.0,1320.9,1165.8,1211.4,1207.7,1107.4,907.5,999.9,1005.9,979.6,865.3,872.7,953.3,953.4,930.2,879.3,954.5
Allerdale,E07000026,1594.4,1612.5,1464.6,1399.1,1502.8,1456.2,1353.4,1302.0,1267.9,1322.9,1255.7,1229.6,1138.8,1196.6,1141.9,1156.6,1181.8
Barrow-in-Furness,E07000027,1818.3,1792.3,1537.0,1725.5,1513.2,1478.0,1581.2,1381.2,1208.9,1278.7,1308.6,1206.8,1384.0,1308.9,1293.6,1354.2,1248.2
Carlisle,E07000028,1628.7,1501.3,1559.7,1550.5,1516.7,1374.5,1354.7,1379.2,1374.8,1212.0,1117.9,1212.5,1113.7,1172.0,1148.7,1190.3,1270.8
Copeland,E07000029,1511.7,1634.1,1543.1,1641.2,1635.4,1357.6,1481.8,1309.2,1240.3,1345.1,1264.9,1302.6,1391.0,1207.1,1279.3,1226.6,1216.9
Eden,E07000030,1291.2,1379.2,1266.3,1383.9,1326.6,1225.5,1209.0,1273.6,1093.6,1171.9,1081.7,1022.4,1061.1,924.2,1054.8,951.5,915.7
South Lakeland,E07000031,1329.6,1435.3,1255.3,1290.9,1208.6,1165.2,1128.1,1136.1,1133.6,1119.9,1038.0,986.8,1093.6,1023.8,987.7,932.4,904.2
Amber Valley,E07000032,1528.6,1545.6,1582.4,1399.9,1346.2,1329.9,1254.7,1298.3,1222.8,1178.7,1236.7,1151.0,1208.0,1124.2,1228.3,1091.2,1130.9
Bolsover,E07000033,1585.0,1774.4,1795.8,1569.1,1562.6,1517.6,1618.8,1524.5,1369.2,1279.0,1379.4,1373.3,1383.6,1508.0,1524.9,1292.8,1455.1
Chesterfield,E07000034,1645.1,1729.1,1810.0,1380.8,1505.3,1544.9,1428.9,1431.7,1414.7,1375.5,1271.4,1273.5,1273.8,1218.5,1359.5,1287.9,1399.2
Derbyshire Dales,E07000035,1476.3,1361.3,1421.2,1358.3,1140.3,1276.6,1214.8,1105.8,1072.0,1092.7,1088.8,1015.9,1091.8,1071.8,1072.6,1071.8,954.3
Erewash,E07000036,1613.5,1611.7,1446.0,1415.8,1443.7,1355.7,1258.5,1359.6,1084.3,1226.6,1076.9,1171.1,1185.9,1132.2,1138.3,1195.9,1136.8
High Peak,E07000037,1432.1,1417.8,1308.9,1241.1,1390.8,1247.4,1243.3,1278.0,1250.8,1054.9,1160.2,1151.2,1185.9,1123.6,1105.5,1170.3,1082
North East Derbyshire,E07000038,1620.3,1565.8,1425.4,1472.4,1323.9,1316.4,1390.8,1303.0,1129.5,1100.9,1171.1,1073.8,1061.5,1085.8,1140.5,1130.4,1145
South Derbyshire,E07000039,1601.4,1551.7,1442.9,1523.8,1434.9,1253.8,1336.5,1333.6,1138.6,1139.4,1239.8,1206.8,1158.2,1234.9,1317.0,1218.5,1098.7
East Devon,E07000040,1375.1,1315.5,1134.0,1171.0,1222.5,1228.0,1075.5,1025.2,1105.6,993.5,920.3,1069.7,981.6,919.1,1005.0,975.8,971
Exeter,E07000041,1465.5,1415.7,1505.5,1489.6,1434.9,1335.5,1316.7,1258.7,1200.8,1119.5,1075.4,1173.2,1226.3,1201.8,1265.5,1235.8,1219.8
Mid Devon,E07000042,1331.4,1256.6,1214.0,1303.1,1287.7,982.2,1111.4,1102.5,1036.1,1091.9,1154.1,966.1,902.7,939.0,1113.6,1026.6,969.7
North Devon,E07000043,1474.0,1371.1,1506.2,1363.9,1211.3,1311.1,1204.9,1241.4,1229.9,1152.2,1090.5,1110.6,1083.9,1113.9,1184.8,1141.0,1101.3
South Hams,E07000044,1148.2,1351.5,1222.8,1080.2,1217.0,1135.2,1109.3,1148.1,1053.1,1029.2,950.1,1037.4,1008.0,909.9,1027.7,907.2,936.2
Teignbridge,E07000045,1337.6,1320.9,1245.6,1208.0,1232.6,1122.2,1146.4,1104.8,1081.3,1125.3,1054.6,1201.5,1089.2,1037.5,1092.0,1082.4,1058.4
Torridge,E07000046,1429.0,1596.4,1403.9,1313.3,1218.5,1166.9,1326.8,1239.4,1054.2,1206.7,1150.9,1090.8,1053.8,1299.6,1135.6,1045.5,1160.6
West Devon,E07000047,1486.9,1319.0,1318.8,1204.5,1178.2,1179.6,1311.6,1285.8,1111.0,983.1,1091.4,1194.0,1034.3,1055.2,1031.3,1050.4,1035.3
Christchurch,E07000048,1273.7,1276.3,1284.3,1097.5,1086.0,1095.3,1040.5,1104.3,942.7,967.1,963.6,834.0,919.4,981.0,1033.8,958.0,912.4
East Dorset,E07000049,1140.7,1077.9,1111.2,1004.9,1079.4,1016.2,1002.8,999.0,920.1,912.9,869.9,904.5,913.8,826.6,892.0,918.2,904.8
North Dorset,E07000050,1215.3,1231.9,1081.5,1123.9,1210.1,1065.3,1047.6,1027.6,920.7,1014.8,983.5,1006.2,994.4,995.0,998.1,945.9,974.7
Purbeck,E07000051,1160.0,1196.7,1109.3,1180.3,1100.3,1062.0,1244.6,964.7,1016.3,1070.0,986.1,898.0,1001.0,932.4,992.1,957.2,886.7
West Dorset,E07000052,1315.6,1293.3,1286.5,1171.0,1176.8,1056.2,1144.9,1138.3,1170.2,1053.7,1012.5,1051.7,999.8,912.3,995.9,1083.4,1000.5
Weymouth and Portland,E07000053,1464.9,1507.8,1423.2,1166.5,1259.0,1219.9,1148.3,1336.5,1102.7,1222.0,1074.2,1160.3,1210.2,1199.9,1122.5,1105.4,985
Eastbourne,E07000061,1519.9,1436.3,1303.8,1335.0,1264.5,1193.7,1189.4,1157.1,1133.6,1338.2,1034.4,1109.3,1102.5,1029.3,1028.7,1042.2,1070.8
Hastings,E07000062,1642.3,1659.6,1618.0,1522.0,1397.9,1611.7,1445.8,1373.5,1478.4,1259.3,1343.5,1247.2,1324.9,1197.3,1376.5,1331.9,1264.4
Lewes,E07000063,1257.9,1218.4,1239.0,1127.0,1139.7,1089.4,1004.5,1036.9,1027.4,983.7,1042.1,986.1,1083.4,934.7,980.7,976.1,896.1
Rother,E07000064,1305.3,1451.1,1322.8,1345.0,1207.5,1198.7,1118.3,1162.0,1105.6,1126.6,1012.5,1093.9,1089.3,1054.7,1091.6,935.1,1004.8
Wealden,E07000065,1247.4,1211.1,1208.2,1234.8,1123.3,1131.3,1020.4,1079.3,1047.0,1063.7,1041.8,990.3,989.4,947.7,1003.7,981.6,998.9
Basildon,E07000066,1489.2,1509.4,1422.1,1460.0,1401.4,1373.4,1254.5,1244.4,1154.2,1230.3,1079.8,1101.1,1197.9,1134.4,1126.8,1081.7,1190.5
Braintree,E07000067,1453.7,1482.8,1582.6,1306.0,1276.8,1334.9,1168.9,1219.5,1122.1,1293.3,1081.8,1214.7,1074.9,1100.6,1176.0,1024.3,1176.6
Brentwood,E07000068,1283.3,1215.3,1149.6,1279.2,1075.3,1166.6,1116.6,1198.3,982.1,1000.1,921.4,1045.0,921.5,1098.5,1083.9,1001.6,1064.2
Castle Point,E07000069,1316.9,1530.4,1438.4,1259.6,1181.3,1243.4,1177.0,1192.5,1144.5,1117.8,1184.3,1076.9,1171.0,1122.8,1232.5,1099.1,1160.6
Chelmsford,E07000070,1403.4,1282.5,1354.3,1218.2,1172.4,1101.5,1140.8,1097.5,1008.5,1045.6,1052.6,1077.5,960.0,976.9,1003.1,964.3,958.5
Colchester,E07000071,1479.4,1442.9,1406.6,1353.2,1365.2,1341.2,1248.7,1173.4,1108.4,1146.4,1094.9,1162.9,1122.6,1092.6,1119.2,1164.4,1103.5
Epping Forest,E07000072,1363.5,1411.8,1254.7,1366.9,1338.8,1365.7,1208.2,1241.8,1158.9,1089.2,1050.6,1092.0,955.6,1179.6,1091.3,1032.6,1044.6
Harlow,E07000073,1333.8,1516.1,1422.8,1331.0,1340.1,1242.4,1233.7,1245.1,1311.8,1203.0,1202.4,1291.3,1223.5,1192.5,1121.5,1284.0,1224.1
Maldon,E07000074,1367.9,1315.4,1317.5,1413.9,1292.3,1253.7,1247.4,1303.6,1179.3,1037.0,1020.7,1113.7,1013.1,1049.1,1227.1,1089.0,1027.7
Rochford,E07000075,1387.3,1308.6,1299.2,1214.8,1261.5,1198.7,1100.7,1273.0,1061.1,1130.5,1012.9,978.2,1067.1,938.7,1061.2,1023.7,1082.1
Tendring,E07000076,1423.0,1439.0,1395.7,1349.5,1397.7,1320.8,1248.8,1232.4,1218.8,1295.4,1292.9,1193.1,1207.4,1097.1,1233.5,1238.4,1261.1
Uttlesford,E07000077,1399.8,1268.5,1185.3,1154.0,1156.5,1320.2,1153.0,1299.2,1079.0,906.5,1071.6,888.5,878.6,992.0,970.4,941.4,974.5
Cheltenham,E07000078,1452.0,1267.6,1368.5,1280.3,1155.8,1281.5,1216.5,1116.4,1076.7,1053.0,1064.6,1069.2,1047.0,1064.7,1062.8,1136.7,998.1
Cotswold,E07000079,1362.8,1275.7,1235.2,1331.1,1135.5,1018.7,1124.4,1173.0,1081.1,982.4,969.3,1050.2,991.4,998.3,977.6,923.1,904.2
Forest of Dean,E07000080,1539.6,1571.6,1545.0,1418.2,1224.1,1315.3,1259.5,1273.9,1206.6,1049.5,1109.2,1197.2,1209.7,1103.2,1037.6,1133.5,1087.7
Gloucester,E07000081,1485.1,1424.8,1457.7,1552.4,1352.8,1232.6,1304.4,1315.1,1299.3,1258.8,1333.9,1237.2,1184.0,1114.3,1284.4,1291.3,1218.5
Stroud,E07000082,1329.3,1399.3,1388.6,1272.0,1336.4,1296.1,1310.7,1177.4,1200.4,1067.2,1032.4,1160.0,1261.8,1124.6,1171.8,1298.1,1142.7
Tewkesbury,E07000083,1280.0,1269.1,1315.4,1272.0,1189.5,1189.3,1144.6,1116.3,1166.7,1123.5,1102.3,1080.6,1122.4,1049.0,1051.2,1077.9,939.4
Basingstoke and Deane,E07000084,1365.9,1562.7,1457.0,1418.0,1206.4,1168.3,1242.4,1089.3,1061.8,1156.2,1009.7,960.3,1013.0,1063.2,1124.9,1041.0,1084.9
East Hampshire,E07000085,1314.8,1387.9,1385.8,1187.4,1183.9,1235.9,1137.6,1209.2,1084.6,1065.0,1013.2,1060.6,995.7,970.9,930.3,980.2,944.6
Eastleigh,E07000086,1362.4,1492.8,1394.5,1335.2,1243.3,1185.1,1258.7,1297.6,1001.5,986.5,981.2,1031.9,1006.7,958.2,923.0,874.8,978.1
Fareham,E07000087,1307.6,1264.2,1214.3,1140.6,1180.9,1106.6,978.3,1030.0,1101.0,1061.9,1030.5,1034.4,1154.4,999.8,950.5,1093.9,955
Gosport,E07000088,1610.7,1466.0,1595.0,1355.4,1469.8,1389.5,1311.9,1130.2,1143.1,1275.6,1198.9,1181.8,1333.6,1147.4,1152.6,1080.9,1074.4
Hart,E07000089,1253.3,1187.0,1124.8,1109.4,1167.2,934.8,1067.6,995.0,1033.6,927.2,848.4,912.8,927.5,991.7,829.7,878.9,796.6
Havant,E07000090,1372.7,1335.9,1400.4,1276.3,1225.2,1152.5,1150.9,1165.1,1124.7,1132.6,1098.7,1101.4,1169.3,962.6,1077.6,1059.7,1047.1
New Forest,E07000091,1128.2,1219.6,1191.6,1158.5,1149.6,1066.4,1059.4,1111.6,984.4,981.8,926.6,951.6,946.6,897.4,969.8,896.3,926.5
Rushmoor,E07000092,1476.1,1680.0,1246.8,1244.4,1304.8,1225.2,1164.0,1320.5,1270.8,1212.2,1180.3,1174.8,1304.3,1150.0,1111.7,1198.3,1103
Test Valley,E07000093,1494.7,1357.9,1345.0,1262.3,1306.2,1140.2,1348.8,1112.4,1147.4,1060.5,1086.7,1011.3,1010.9,933.9,1050.4,1045.2,1021.9
Winchester,E07000094,1245.5,1135.9,1298.8,1132.1,1114.2,1071.3,1171.9,1081.8,932.6,1032.6,966.6,916.8,941.7,994.7,975.1,809.0,952.9
Broxbourne,E07000095,1536.8,1380.2,1446.3,1318.8,1124.9,1166.5,1174.9,1115.2,1068.7,1005.5,1085.7,1085.3,1062.2,964.9,987.4,965.6,988.8
Dacorum,E07000096,1451.7,1342.8,1261.5,1282.0,1227.3,1216.5,1191.1,1086.1,1056.2,1140.8,1090.5,1097.4,1083.0,937.2,993.1,1022.5,964.3
Hertsmere,E07000098,1248.4,1415.2,1365.1,1444.2,1283.1,1228.8,1149.7,1291.7,1250.2,1053.3,1009.7,1011.3,1063.7,1094.6,1055.5,944.6,1051.2
North Hertfordshire,E07000099,1587.6,1471.8,1437.1,1272.4,1409.4,1331.5,1207.3,1314.9,1086.3,1263.9,1122.9,1148.1,1095.7,1090.7,1044.1,980.9,1061.7
Three Rivers,E07000102,1331.9,1467.7,1247.2,1285.8,1175.9,1125.3,1083.2,1129.7,1110.8,1133.2,1085.7,1157.6,1021.1,1012.0,1026.0,942.6,1049.4
Watford,E07000103,1552.8,1518.5,1631.2,1500.5,1293.3,1386.2,1484.7,1365.6,1198.5,1255.1,1181.3,1252.7,1310.5,1192.2,1229.8,1142.2,1295.7
Ashford,E07000105,1396.4,1217.1,1226.5,1196.2,1151.9,1047.8,1128.0,1001.3,1073.1,1054.1,1014.3,986.0,1124.3,1036.1,1108.2,1038.2,999.5
Canterbury,E07000106,1379.1,1446.1,1408.1,1452.1,1339.2,1218.6,1231.0,1250.0,1232.4,1148.9,1133.6,1046.7,997.0,1114.7,1073.6,1099.8,1140.1
Dartford,E07000107,1577.1,1446.1,1601.1,1600.7,1567.2,1288.2,1206.5,1198.6,1208.1,1257.0,1200.6,1328.6,1213.4,1126.6,1352.7,1222.1,1099.3
Dover,E07000108,1465.2,1500.4,1494.4,1363.4,1370.7,1308.2,1326.9,1213.0,1294.5,1073.1,1186.5,1117.0,1113.3,1147.8,1220.4,1130.3,1149.1
Gravesham,E07000109,1398.6,1453.7,1531.8,1339.6,1396.0,1205.4,1311.2,1328.7,1231.5,1184.3,1131.6,1058.0,1155.8,1151.2,1055.4,1106.4,1166.7
Maidstone,E07000110,1461.1,1380.7,1466.6,1357.6,1343.3,1245.0,1266.2,1144.6,1228.0,1250.8,1124.6,1104.6,1178.3,1082.8,1080.9,1127.1,1126.2
Sevenoaks,E07000111,1250.6,1127.7,1272.7,1191.0,1082.8,1116.2,1070.2,1033.1,1054.3,968.2,1003.5,986.2,1066.3,971.6,993.9,936.0,952.4
Shepway,E07000112,1514.8,1451.7,1558.0,1358.5,1347.9,1245.4,1212.7,1258.7,1158.7,1142.6,1156.7,1074.6,1062.2,1138.7,1226.7,1068.0,1120.5
Swale,E07000113,1406.4,1523.1,1547.2,1514.1,1296.9,1526.4,1393.1,1368.9,1389.2,1255.2,1192.1,1115.3,1307.7,1226.0,1248.5,1104.5,1126.7
Thanet,E07000114,1563.9,1606.8,1624.8,1454.9,1610.7,1444.3,1314.4,1403.7,1503.5,1303.5,1377.0,1226.2,1240.3,1239.2,1254.3,1310.2,1235.7
Tonbridge and Malling,E07000115,1406.0,1380.5,1397.2,1226.1,1206.0,1191.7,1142.9,1096.8,1142.0,1132.7,1048.6,1054.3,1069.8,911.8,1056.3,1045.7,1061.1
Tunbridge Wells,E07000116,1261.2,1316.2,1277.2,1293.3,1198.4,1158.3,1150.7,1094.0,984.2,956.3,1034.7,975.5,987.4,896.7,967.9,1010.8,945.1
Burnley,E07000117,1528.6,1764.3,1696.4,1694.3,1416.0,1487.1,1470.6,1424.2,1472.9,1333.1,1433.5,1491.4,1425.0,1292.8,1464.7,1365.3,1416.7
