AREANM,AREACD,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17
Derby,E06000015,1238.2,1304.2,1250.7,1153.1,1150.5,1155.6,1145.7,1172.7,1078.7,1043.7,955.1,1010.5,1065.3,991.2,1030.3,1014.2,1001.8
Leicester,E06000016,1385.6,1349.2,1421.3,1311.3,1319.4,1286.2,1216.6,1268.5,1196.9,1185.9,1088.6,1077.7,1156.9,1107.7,1173.2,1104.4,1128.4
Rutland,E06000017,982.2,953.9,1027,920,895.9,813.1,897.8,935.8,852.8,849.5,867.3,866.1,741.1,752.1,856.5,704,783.7
Nottingham,E06000018,1442,1365.6,1428.5,1308.7,1294.8,1230,1276.1,1269.1,1195.9,1168.8,1124.1,1125.5,1114.7,1108.3,1189.6,1134.5,1128.2
"Herefordshire, County of",E06000019,1107,1115.4,1110.9,1069.4,1109.8,1008.4,1054,1042.6,970.6,940.1,938,917.1,882.2,873.6,949.7,936.9,910.2
Telford and Wrekin,E06000020,1316,1313.4,1262.9,1254.4,1206.6,1150.8,1138.4,1097.6,1136.4,1124.7,1073.3,1094.4,1084.5,982.5,1120.5,1057.8,1091.1
Stoke-on-Trent,E06000021,1389.1,1453.8,1479.4,1371.4,1302.6,1281.7,1353.8,1347.4,1253.2,1192.4,1138.1,1198.9,1195.4,1133.3,1215.8,1188.5,1205.5
Bath and North East Somerset,E06000022,1035.3,1083.7,1040.1,1047.1,1035.1,952.2,965,964.7,938.6,965.7,882.1,858.1,909.4,827.9,898.3,909.8,861.2
"Bristol, City of",E06000023,1254.7,1253.4,1300.3,1169.7,1162.3,1147.3,1126.3,1145.7,1087.9,1062.3,1019,993.2,1083.1,974.3,991.3,1015.3,1002.6
North Somerset,E06000024,1145.9,1133.6,1124.1,1048.2,1054.6,1010.7,988.8,1013.9,928.1,960.9,954.6,910.6,931.1,881.5,953.3,946.2,904.8
South Gloucestershire,E06000025,1065.9,1069.3,1152.4,973.5,1007.9,966.8,994.9,966.1,903.1,910,886.5,864.3,870.7,805.8,868.8,846.3,881.2
Plymouth,E06000026,1242,1257.6,1287.8,1204.2,1158,1116.6,1112.4,1086.4,1105.8,1076.5,1005.5,1081.9,1035.3,968.7,1023.7,1027.7,1055
Torbay,E06000027,1170.4,1135.8,1199.1,1086.4,1106.5,1005.8,1089.1,1039.1,1034.4,1016.3,979.8,972.6,998.6,980,1012,1044.5,991.4
Bournemouth,E06000028,1177.8,1157.9,1176.2,1064.6,1058,1018.3,1016.7,1047.9,1000.4,1032.1,980.7,1008.3,995.8,953.9,1010.6,994.5,984.7
Poole,E06000029,1018.4,1110.5,1095.9,1049.1,1011.1,981.5,946.7,1046,925.9,917.8,888.7,910.5,914.1,888,979.7,920.2,935.5
Swindon,E06000030,1272.5,1297.6,1235,1162.1,1206.9,1171.3,1127.8,1076.5,1014.1,1016.9,1034.7,1003.3,1019.8,953.7,996,958.9,998.2
Peterborough,E06000031,1327.1,1356.5,1346.1,1134.3,1262.5,1204.1,1170.5,1147.4,1069.2,1075.2,1028.7,1050.7,1013.7,1015.7,1006,1045,1038
Luton,E06000032,1375.7,1365.5,1387,1294.1,1259.8,1238.8,1220,1209.6,1138.2,1047.9,1026.8,1106,984.7,1033.8,999.3,1041.3,1047.7
Southend-on-Sea,E06000033,1301,1240.8,1254.5,1157.4,1154.7,1146.7,1094,1105.2,1081.4,1082.2,978.1,924.3,1023.3,953.3,1046.4,1020.2,1056.1
Thurrock,E06000034,1210.8,1303.3,1294.7,1162.4,1138.2,1111.5,1145,1139.2,1076.5,1060.1,1049.7,1033,1043.1,1011,1055,1062.6,1100.4
Medway,E06000035,1327.4,1319.7,1319.6,1227.7,1225.3,1257,1144.2,1175,1085.7,1110.7,1048.3,1080,1021.2,1065.3,1104.1,1001.9,1015.5
Bracknell Forest,E06000036,1212.1,1144.1,1181.1,1067,1102.4,999.1,967.5,966.8,942.7,891.3,887.1,916.4,843.7,797.1,865.3,822.4,808.2
West Berkshire,E06000037,1139.1,1119.9,1144.1,1005.1,996,996.3,975.2,957.1,923.1,877.5,888.9,870.9,918.6,841.4,857.6,867,839.9
Reading,E06000038,1184.9,1214.8,1180.1,1152.2,1116.9,1061.7,1062.5,1087.4,1048,1026.5,985.3,1077.2,1056.2,944.1,991.3,1003.9,1043
Slough,E06000039,1349.6,1248.3,1170.3,1249.8,1078,1055.4,1095,1057.4,1038.8,1004,1037.6,998.1,1048.9,965.6,1025.3,1056.5,956.4
Windsor and Maidenhead,E06000040,1211.2,1144.3,1132.8,1127.8,1030.2,1046.2,974.5,1009.9,984,881.8,862.5,889.1,877.3,832.8,832.2,824.2,830.7
Wokingham,E06000041,1109.9,1100.2,1034.8,983.5,963.4,969.6,877.3,909.4,856.9,881.2,832.2,876.4,858,830.1,842.9,826.5,750.6
Milton Keynes,E06000042,1278.3,1260.5,1316.7,1268.8,1200.8,1094.4,1102.3,1134.2,1062.1,1077.9,1018.1,1054.2,997.8,1002.1,1029,991,972.1
Brighton and Hove,E06000043,1227.6,1164,1265.2,1100.3,1132.1,1122.2,1102.3,1041.5,1037.5,984.3,975.6,1007.7,965.2,907.9,974.5,976.1,1004.7
Portsmouth,E06000044,1265.9,1270.2,1299.8,1217.8,1129.8,1161.6,1114.7,1104.2,1047.1,1034.2,1091.3,1022.9,1086.3,1075.2,1072.3,1070.8,1073.2
Southampton,E06000045,1143.5,1240.8,1253.1,1140.5,1164.6,1120.4,1057.6,1152.9,982.2,987,1000.5,1053.9,1061.8,991.4,1014.9,1067.2,1047.8
Isle of Wight,E06000046,1114.6,1189.1,1143.9,1030.9,1014.1,1010.2,990.3,1024.4,959.7,976,902.2,967.6,955.1,916.7,932.9,928.1,958.1
County Durham,E06000047,1365.6,1360.6,1393.3,1292.8,1322.9,1249.2,1207.2,1244.4,1186.5,1118,1109.7,1117.7,1141.1,1081.8,1107.6,1118.5,1084.6
Cheshire East,E06000049,1239.1,1198.6,1178.6,1145.3,1071.9,1071.1,1049.8,1045.3,1002.1,971.1,902.1,949.3,923,870.1,924.4,924.1,899.6
Cheshire West and Chester,E06000050,1207.3,1211.5,1191.5,1152.2,1132,1098.3,1088.4,1118.5,1006.3,1007.4,988.3,1021,964.6,951.5,973.4,998.5,954.2
Shropshire,E06000051,1171,1213.7,1198.5,1100.9,1067.4,1013.9,1008.5,1028.3,995.3,983.4,910.6,925.6,956.9,857.4,945,939.5,935.2
Cornwall,E06000052,1129.3,1134.2,1141.4,1068.8,1068.4,1010.4,1062.4,1027.2,1017.1,965.1,940,954.9,969.6,923.5,960.9,960.8,948.1
Isles of Scilly,E06000053,1129.3,1134.2,1141.4,1068.8,1068.4,1010.4,1062.4,1027.2,1017.1,965.1,940,954.9,969.6,923.5,960.9,960.8,948.1
Wiltshire,E06000054,1133.6,1143.1,1097.5,1048.8,1024.5,987.3,982.5,991,949.3,925.2,898.8,899,897.7,859.1,924.4,879.3,891.2
Bedford,E06000055,1167.7,1191.1,1174.4,1126.5,1117.6,1071.7,1077.7,1057.5,1025.9,1028.6,938.5,924.2,924.4,885.3,973.4,919.6,929
Central Bedfordshire,E06000056,1220.5,1183.1,1180.5,1143.5,1147.5,1052,1055.7,1056.5,1030.9,961.5,887.5,928.9,909.9,851.3,897.5,872.4,814
Northumberland,E06000057,1287.2,1264.3,1280.6,1248.3,1184.2,1122.7,1139.3,1112.1,1034.3,1042.9,1004,1035.3,1016.9,983.7,1015.6,1011.8,985.2
Aylesbury Vale,E07000004,1188.9,1192,1146.7,1109.5,1164.6,1059.9,1005.3,1000.5,995.1,962.6,916.6,915,909,889.9,924.7,852.6,908.3
Chiltern,E07000005,1081.1,1103.3,982.9,963.7,936.9,972.2,826.4,836.7,841.7,834.5,766.8,736.1,766,729.1,769.9,690.2,748.3
South Bucks,E07000006,1119.4,1157,1056.6,1034.1,1052.6,944.7,848.4,908.5,900,864.9,796,869.6,797.4,809.9,845.2,849.5,808.2
Wycombe,E07000007,1107.2,1058.4,1074.2,996.8,974.4,901,910.2,886,858.3,873.1,852,860.8,789.4,813,828.8,750.3,804
Cambridge,E07000008,1112.9,1119.5,1167.7,1082.5,1045.3,1090.1,999.9,1033.2,954.7,900.4,826.5,968.5,949.1,873.5,942.4,896.5,896.7
East Cambridgeshire,E07000009,1026.2,1086.4,1131.5,1039.6,955.6,929.6,992.3,937.5,894.4,830.3,885.5,747.9,790.5,837.6,851.6,828.4,827.6
Fenland,E07000010,1344.7,1217,1313.2,1124.9,1214.4,1174.1,1104.3,1120.1,1063.8,1022.7,991.4,977.3,986.3,997.6,1014.3,1005.2,1037
Huntingdonshire,E07000011,1131.7,1133.9,1159.9,1051.4,1033.4,1068.3,1032.4,969.5,913.7,921.9,826.1,897.3,893.7,795.2,891.5,856.3,845.6
South Cambridgeshire,E07000012,1029.5,1021.9,979.7,996.5,939.3,909.8,857,847.2,879.4,814.1,728.4,771.3,795.6,791.1,818.1,757.3,779.4
Allerdale,E07000026,1321.3,1328.3,1311.5,1189,1210.3,1202.6,1177.9,1125.2,1086,1088.6,1117.2,1064.6,992.6,1023.6,1018.8,999.2,1051.1
Barrow-in-Furness,E07000027,1332.1,1377.2,1256.4,1301.4,1196.7,1204.9,1244.7,1189.5,1054.6,1126,1147.1,1020.9,1150.8,1110.8,1138.5,1163.7,1101.2
Carlisle,E07000028,1336.5,1269.2,1293.9,1218.3,1212.6,1124,1147.6,1161,1131.8,1068.5,1007.1,1072.3,992.8,951.2,1010.9,1022.4,1039
Copeland,E07000029,1273.8,1361,1346.5,1319.5,1279.7,1201.2,1241.4,1204.1,1099.5,1100.5,1152.6,1088.4,1162.1,1046.6,1088.3,1048.6,1072.1
Eden,E07000030,1071.1,1159.4,1136.5,1138.1,1091.5,979.6,1051.2,1006.2,899.2,999.3,889.8,875.7,848.3,761.5,864.8,819.6,798
South Lakeland,E07000031,1132.1,1142.7,999.9,1086.7,966.4,982.6,987.6,970.3,960.9,934,915.4,875.7,887.5,844.6,844.2,835.5,804.5
Amber Valley,E07000032,1212.7,1233.8,1309,1158.7,1114.2,1119.8,1043.1,1117,1081.1,1032.6,1001,948.8,1008.9,975.6,1074.7,948,977.5
Bolsover,E07000033,1332.4,1393,1456,1319.8,1351.4,1247.1,1257.9,1314.8,1173.1,1126.1,1102.2,1173.1,1127,1186.2,1240.4,1101.1,1190.8
Chesterfield,E07000034,1344.7,1353.5,1404.1,1178.1,1286.2,1243.3,1124.8,1169.9,1107.9,1112.8,1093.8,1051.3,1077,1030.3,1099.7,1062.4,1152.6
Derbyshire Dales,E07000035,1232.4,1113.2,1185.6,1080.4,1016.4,1072.5,1003.5,953.8,900.1,902,910.1,874,894.7,875.8,985.4,898,809.7
Erewash,E07000036,1292.1,1301.1,1212.1,1202.3,1135.4,1175.4,1106.2,1070.9,985.2,995.5,924.2,949.6,1015.6,978.5,996.5,997.9,936.1
High Peak,E07000037,1181.8,1242.9,1158.4,1156.3,1187.2,1092.7,1047.7,1074.8,1092.4,926,993.4,1007.6,986.9,935,992,999.4,932.8
North East Derbyshire,E07000038,1277.3,1302.1,1254.8,1202.6,1206.2,1138.6,1169.2,1151.2,998.9,974.8,1008.1,986.5,930.7,954.2,1032.9,994.3,1048.1
South Derbyshire,E07000039,1312.4,1267.9,1290.8,1254.5,1190.2,1092.7,1117.1,1168.4,1071.4,991.8,999.2,1042.2,1048.4,1010.8,1163.2,1032.1,961.7
East Devon,E07000040,1058.9,1066.6,993.4,969.1,1000.9,955.5,909.1,898.7,918.5,835.9,819.3,893.3,857.5,827.6,853.8,854,825.5
Exeter,E07000041,1127.2,1167.2,1110.8,1107.5,1074.3,987.3,1001.7,1029.1,943.3,922.7,910.2,942,917,931.1,950.4,971.9,942
Mid Devon,E07000042,1069.2,1037.3,1041.7,1002.9,1000.9,929.3,939.6,956.1,891.4,891.2,876.7,829.5,768.3,792.7,898.3,875.1,818.4
North Devon,E07000043,1183.8,1087.8,1197.5,1107.5,1035.6,1068.4,989.7,1038.6,981.4,929.9,950,957.5,932.5,947.1,985.7,968,937.1
South Hams,E07000044,998.1,1068.6,1020.9,965.6,981.9,944.1,969.5,921.2,902.6,885.8,831.3,876.3,833.1,794.1,875.2,832.4,810.6
Teignbridge,E07000045,1076.3,1026.3,1061,1016.3,955.8,928.7,930.2,965.3,946.4,946.9,894.2,945.3,890.6,868.4,872,898.5,874.9
Torridge,E07000046,1184.3,1184.8,1197.8,1077.4,1029.8,938.9,1037.7,1022.4,939.5,898.7,991.8,948.7,932.6,977.4,992.3,945.7,988.7
West Devon,E07000047,1168.8,1048.8,1050.4,971.6,939.8,968.6,931.3,974.9,918,886.5,896.7,943.2,891.5,825,879.4,911.6,842.9
Christchurch,E07000048,1000.5,1004.1,1046,897.6,896.5,879.2,906.7,868.4,794.8,867.1,784.3,731.4,803.9,793.1,837.9,809.1,801.1
East Dorset,E07000049,963.1,934.7,961.6,853.1,904.7,832.6,839.8,858.5,790,755.3,743.4,761.8,764,713,788.5,789.2,758.1
North Dorset,E07000050,1008.7,1035,983.6,924.3,987.6,906.2,870.6,862.7,807.1,836.8,794.5,836.5,808.7,766.8,830.7,828.4,797.6
Purbeck,E07000051,974.3,1044.1,962.1,987.5,892.3,939.3,958.7,875.9,871.8,819.3,818,758.6,906.3,784.5,871.7,822.6,822.4
West Dorset,E07000052,1062.8,1077.3,1083,970.5,996.2,938.1,919.6,936,912,871.9,829.9,868.8,858.1,797.1,884,906,884.2
Weymouth and Portland,E07000053,1177.9,1240.2,1154.9,1047.8,1058.9,1032,1043,1101,992.9,1013.2,958,980.6,982.9,993.3,942.1,1018.7,913.5
Eastbourne,E07000061,1152,1122.2,1081,1075.3,1087.1,1013.9,984,972.2,952.1,1031.6,908,948.4,956,893.6,912.2,904,916.1
Hastings,E07000062,1364.9,1321.2,1327,1239.1,1154.8,1304.2,1187.9,1140.4,1197.6,1093.8,1129.8,1072.8,1069.9,1050.6,1129.2,1110.8,1053
Lewes,E07000063,1033.2,1024.1,1003,966.3,955,890.8,878.2,892.9,826.8,859,849.4,809.8,838.9,751.5,813.4,807.5,779.8
Rother,E07000064,1100.4,1160.4,1118.7,1082.2,1003.1,1011.4,963.1,936.1,936.1,913.7,872.7,901.9,914.5,875.6,942.6,826.5,881.3
Wealden,E07000065,1023.2,988.8,1029.7,1021.8,940.8,950.6,870.7,941.9,840.3,933.3,870.1,848.6,841,807.5,857.8,834,850.5
Basildon,E07000066,1165.9,1258.8,1181.4,1212.8,1138.3,1150.7,1074.8,1088.3,998.8,1027.7,950.6,996.1,970,965.6,976.1,980.2,967
Braintree,E07000067,1285.1,1253.2,1270.4,1091,1098.8,1063,996.8,1068.5,985.5,1059.7,919.5,1010.9,950,916.8,1039.1,945.5,1001
Brentwood,E07000068,1087.3,1070.2,1111.2,1003,956.3,962.9,947.9,1005.3,860.8,841,849.7,893.4,854.8,922.4,918.2,861.6,928.7
Castle Point,E07000069,1153.2,1246.6,1240.3,1138.5,1053.2,1083.6,1071.3,1098.2,943,969,957.5,1010.4,1044.7,956.7,1048.9,999.2,984.9
Chelmsford,E07000070,1090.1,1020.5,1047.9,1026.1,978,918.7,936.7,895.7,878.2,907.1,880.4,913.4,839.3,819.7,888.8,863.6,879.6
Colchester,E07000071,1160.8,1130.6,1099,1088,1067.1,1062.8,992.6,981,957.7,954.7,967.6,955.6,919.9,971.1,963.5,992.7,985.6
Epping Forest,E07000072,1130.1,1163.5,1195.6,1163.9,1135,1095.2,1088.7,1089.1,984.3,954.2,907,917.9,852.4,1023.6,937,909.3,909.1
Harlow,E07000073,1167.1,1114.6,1114,1020.2,1096.5,1008.5,1037.1,1000.2,1042.8,1026.9,1029,1020,939.2,1029.6,927.5,1000.4,1019.9
Maldon,E07000074,1206.6,1073.6,1188.5,1162.7,1060.7,1089.9,1056.1,1056.8,953.5,910.2,932.2,951.8,911.7,915,984.2,927.1,876.7
Rochford,E07000075,1081.6,1100.9,1079.1,997,989.4,954.2,918.9,983.8,899.3,961.7,820.9,834.5,871.2,808.9,855.3,861.8,887.6
Tendring,E07000076,1191.2,1219.6,1143.5,1105.2,1176.2,1070.2,1078.5,1072.3,998.1,1053.1,1083.8,1026,1039.4,965.5,1056.6,1063.2,1069.2
Uttlesford,E07000077,1195.1,1053.2,1018.5,1050.2,994,1007.9,1000.7,941.8,913,796.2,887.2,772.9,770.2,847.7,838.3,840.7,809.5
Cheltenham,E07000078,1123.4,1063.1,1183,996.4,1010.6,1060.7,967.9,958,912.7,895.4,870.7,905.8,923.4,888,960.4,973.4,898.5
Cotswold,E07000079,1080.4,1018.6,1059.1,1050.7,1017.8,900,943.9,983.3,927.8,829,800.9,804.8,862.9,822.9,823.1,819,789.4
Forest of Dean,E07000080,1201.2,1271.2,1207.5,1143.6,1017.5,1075.4,1057,1116.7,939.9,933.1,951.1,951.4,982.3,923.2,936.2,995.9,954.5
Gloucester,E07000081,1208.3,1190.2,1211.6,1250.2,1171.3,1073.2,1126.3,1095.3,1074.6,1050.3,1020.1,977.8,1034.5,1002.1,1039.6,1042,1017.1
Stroud,E07000082,1157.6,1156.2,1160.7,1056,1057.6,1084.2,1036.8,1034.1,961.3,955.1,910.7,985.3,1091,971,967.5,1040.1,1021.3
Tewkesbury,E07000083,1081.1,1071,1116.5,1046.5,1029.8,986.7,945.6,917.2,982.9,907.9,912.1,912.5,890.9,866.3,818.4,908.3,805.8
Basingstoke and Deane,E07000084,1123.5,1207.7,1189.2,1112.5,1012.9,1009,1031.5,998.9,942.8,1017.3,934.5,902.8,919.2,916,973.7,900.3,935.4
East Hampshire,E07000085,1143.5,1136.4,1156.8,1043,1034.5,1042.2,973.9,1018.4,922.1,898.5,874.3,929.1,875.4,832.2,829.3,870.4,812.2
Eastleigh,E07000086,1124.4,1211.7,1165.8,1115.8,1059,1013.7,1023.3,1022.9,862.5,896.2,809.1,847.8,888,818.6,847.6,806.2,820.6
Fareham,E07000087,1111,1093.3,1051.6,974.2,954.3,943.8,889.8,903,949.8,906.9,907.3,890.9,951.1,902.3,846.3,935.8,849
Gosport,E07000088,1265.7,1209.9,1229.1,1178.1,1215.8,1129.4,1138.9,1002.4,1061.1,1063.6,1007.5,1051.3,1067.6,951.2,998.2,957.9,928.2
Hart,E07000089,978.8,955.6,1035.1,962.6,965.2,809.8,885.4,808.2,836,767.1,764.7,804.3,747.1,739,747.8,766.7,754.7
Havant,E07000090,1196.5,1145.9,1164.8,1074.6,1039.9,1012.7,997.3,986.1,954.4,953.2,943,935,978.8,875.9,900.6,920.7,904.4
New Forest,E07000091,950.3,983.6,1001.6,945.4,933.6,878.6,883.1,899.2,828.5,828.6,796.4,816.8,799.8,764.7,815.2,761.6,805.1
Rushmoor,E07000092,1259.2,1371.5,1233.2,1115.8,1095.6,1100.9,1058.6,1099.9,1027.9,1033.8,990.8,984.3,1076,932.5,986.6,1011.2,992.1
Test Valley,E07000093,1156,1106.5,1100,1090,1056.1,985.1,1031.7,948.5,928.6,898.1,855.5,895.3,884.5,821.2,873.5,849.3,854.3
Winchester,E07000094,1047.1,1033.8,1100.2,1010,933.8,930.6,986.3,953.1,865.1,817.3,806.4,758.1,801.4,827.6,831.6,756.1,813.3
Broxbourne,E07000095,1180.9,1148.1,1151,1134.9,1011.5,1027.5,1000.4,963.1,872.3,882.4,872.9,923.3,860.9,784.4,848.8,825,809.8
Dacorum,E07000096,1162.8,1112.6,1106.3,1079.1,1084.6,1026.7,940.5,987.9,900.1,934.9,874.1,920.1,931.3,802.8,878.6,864.7,849.3
Hertsmere,E07000098,1192.8,1233.2,1179.6,1213.1,1151.7,1036.6,1044.9,1056.8,1034.8,909,886,942.3,864.9,884,917.7,834.9,886
North Hertfordshire,E07000099,1317.8,1235.1,1202.7,1086.9,1106.7,1090.6,1031.5,1134.9,987.3,1089.4,981.7,980.9,967.8,953,958.1,901.5,917.1
Three Rivers,E07000102,1080.3,1159.6,1108.5,1003.7,1048.4,985.9,954.2,946.2,876,923.7,876.8,909.9,878.1,850.6,894.5,840.2,896.8
Watford,E07000103,1353.6,1296.4,1301.6,1248.4,1171.7,1171.1,1177.2,1137.4,1066.5,1098.2,992.4,1104.2,1034.5,1047.1,1056.1,990.4,1129.3
Ashford,E07000105,1077.2,1099.4,1145.5,1031.8,1038.2,992.1,965.7,908.3,949.2,920.9,834,866.9,904.5,929.4,909.4,891.7,868.8
Canterbury,E07000106,1160.3,1162,1174.7,1163.6,1109.1,1068.4,1043.3,1044.7,1023.3,963.2,934.5,936.2,895.5,927,955.7,937.8,957.2
Dartford,E07000107,1328.2,1269.2,1402.7,1320.1,1332.2,1110.9,1139.9,1135,1166.5,1130.4,1122.8,1115.8,1088.6,1005.9,1116.1,1073.8,1028.2
Dover,E07000108,1242.9,1198.4,1201.1,1109.2,1160.4,1081.4,1102.1,1060.2,1043.2,1005.6,1025.6,1000.2,961.1,974.9,1051.7,999.8,1012.1
Gravesham,E07000109,1145.2,1247.4,1218.7,1123.6,1107.8,1062.1,1134.6,1077,1062.5,1010.8,970.7,935,1013.1,986.9,944.7,934.5,996.7
Maidstone,E07000110,1167.6,1187.4,1189.6,1131.5,1162.3,1094.5,1073.2,1032.8,988,1054.2,934.4,955.9,977.5,941.9,930.2,959.5,944.3
Sevenoaks,E07000111,1022.3,1006.9,1035.9,980.3,913.2,905.6,952.9,956.9,896.3,864.3,862.2,858.3,869.2,811.6,865.6,773.9,819.5
Shepway,E07000112,1245.7,1191.2,1237.3,1102.2,1162.3,1080.6,1031.2,984,970.2,951.1,946.8,949.8,922.8,945.1,1007.8,929.5,967.5
Swale,E07000113,1280.1,1304.6,1266.3,1222.1,1126.4,1203.2,1185.3,1153.9,1147.2,1062,1003.4,966.7,1048,1014.1,1038.7,1001.5,976.2
Thanet,E07000114,1247.4,1249,1311,1213,1276.2,1186.6,1103.1,1127.5,1194.6,1071,1084,1033.9,1033.9,1036,1058.6,1097.1,1037
Tonbridge and Malling,E07000115,1141.8,1115.4,1111.5,1007.5,1064.6,961.8,943.5,968.7,922.1,948.1,888.8,847.8,872.3,771.6,868.1,865.4,844
Tunbridge Wells,E07000116,1075.9,1157.1,1099.5,1074.5,1010,979.3,990.2,934,900.3,871.2,823.9,821.7,842,806.4,868.1,872.9,834.4
Burnley,E07000117,1363.4,1453,1417.2,1431.8,1255.6,1359.6,1316.7,1295.9,1267.8,1107.8,1217.2,1297.3,1187.9,1167.1,1185.9,1084.8,1178.9
Chorley,E07000118,1335.9,1348.6,1349.6,1322.4,1272.2,1110.5,1113.1,1260.4,1114,1031.2,1056.1,1043.2,1028.7,1050.5,1005,1053.3,1087.9
Fylde,E07000119,1202.8,1214.5,1188.4,1138.5,1117.4,1081.5,1055.2,1068.4,1055.7,949.7,988.2,1005.1,1021.3,969.7,1007.5,993.2,1005.2
Hyndburn,E07000120,1430.5,1427,1406.7,1249.3,1277.7,1322.8,1263.9,1398.8,1265.9,1236.1,1189,1161.7,1229,1163.3,1140.4,1182.4,1183.2
Lancaster,E07000121,1253.3,1275.6,1245.2,1187.6,1151.2,1151.3,1190.6,1211.4,1076,1089.6,1074.6,1069.8,1098.3,1057.5,1066.5,1081.1,1009.9
Pendle,E07000122,1274.2,1252.7,1313.9,1216,1250.5,1180.4,1130,1088.9,1136.8,1069.5,1037.1,1042.5,1068.4,1083.8,1072.8,1024.5,1155.5
Preston,E07000123,1440.5,1399,1421.5,1304.9,1376.7,1273.5,1275.8,1356.9,1201.1,1173.5,1073.8,1152.5,1134.7,1126.4,1149,1085.2,1140.9
Ribble Valley,E07000124,1213.9,1221.8,1124.5,1167.6,1081.4,1061.2,1091.3,899.3,1104.5,1007.3,921.1,902.5,879.4,944.8,828.9,892.4,883.7
Rossendale,E07000125,1461.8,1370.8,1461.4,1345.3,1391.3,1227.6,1258.9,1291.5,1313.5,1141.9,1199.2,1066.8,1110.5,1086.3,1109.8,1011.9,1039.2
South Ribble,E07000126,1267.9,1202.8,1247.6,1094.1,1053.4,1131.8,1165.2,1085.9,1022.2,954.6,992.6,961.6,955,886.6,927.9,915.8,927
West Lancashire,E07000127,1395.5,1407.7,1377.5,1307.9,1280,1180,1198.4,1207,1116.5,1111.7,1039.6,976.8,1088.3,964.3,1015.6,1026.5,998.6
Wyre,E07000128,1169.8,1238.5,1214.4,1219,1270.9,1080.7,1136.1,1098.9,1060,1015.9,1052.4,1064.9,1015,974.9,993.2,999,1000.9
Blaby,E07000129,990.8,1088.1,1106.1,1005.3,1000,962.4,945.8,967.3,898.9,942.3,850.2,845.7,924.9,830.4,850.6,911.1,842.6
Charnwood,E07000130,1224.8,1129.3,1204.6,1135.6,1157.4,1093.3,942.3,1028.9,935.1,971.7,925.5,957.5,922.2,895.6,868.2,937.3,879.4
Harborough,E07000131,1182,1142.6,1120.5,1072.1,1095.5,938.4,1009.7,917.9,906.5,882,844.8,904.1,870.6,871.2,862.9,813.1,813.8
Hinckley and Bosworth,E07000132,1149,1131.6,1166.7,1129.9,1137.8,1082.4,1003.9,1029.5,964.3,950.4,880.9,942,886.3,848.7,962.9,856,893.6
