Area code,Area name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
E08000032,Bradford,3500,3000,2500,2500,2500,2500,2500,2500,2500,2250,2000,2000,2000,2000,2250,2250,2250,2250,2250
E08000033,Calderdale,1750,1500,1500,1500,1500,1250,1500,1500,1500,1250,1500,1500,1500,1500,1750,1500,1750,1750,1750
E08000034,Kirklees,3000,3000,2500,2500,2500,2500,2500,2500,2000,2000,2000,2000,2000,2250,2500,2500,2500,2500,2500
E08000035,Leeds,6000,6000,6000,5000,5000,5000,5000,6000,5000,4500,4500,4500,4500,5000,5000,5000,5000,5000,6000
E08000036,Wakefield,2500,2250,2250,2250,2250,2250,2250,2500,2500,2250,2000,2000,2000,2000,2000,2000,2000,2000,1750
E12000004,East Midlands,34000,34000,34000,35000,35000,34000,34000,34000,34000,31000,30000,31000,31000,33000,35000,35000,35000,36000,36000
E06000015,Derby,2250,2250,2000,2000,2000,2000,1750,1750,1750,1500,1500,1500,1750,1500,1750,1750,1750,1750,1500
E06000016,Leicester,1750,1500,1500,1500,1500,1500,1500,1250,1250,1000,1000,1250,1250,1250,1250,1000,1250,1250,1250
E06000018,Nottingham,3000,3500,3000,3000,3000,2500,3000,2500,2500,2500,2250,2000,2000,2000,2500,2250,2500,2250,2500
E06000017,Rutland,400,400,400,400,350,400,350,400,400,350,350,400,400,400,500,500,600,500,500
E07000032,Amber Valley,1250,1250,1250,1250,1250,1250,1250,1250,1250,1000,1000,900,900,1000,1000,1000,1000,1250,1000
E07000033,Bolsover,400,400,350,350,450,500,600,600,500,450,400,400,400,400,400,500,500,450,500
E07000034,Chesterfield,700,700,700,700,700,800,800,900,800,700,700,700,700,700,800,700,800,700,600
E07000035,Derbyshire Dales,1000,1000,1000,1000,900,1000,1000,1000,1000,1000,1000,1250,1250,1250,1500,1500,1500,1500,1500
E07000036,Erewash,800,600,600,600,700,800,900,900,900,800,800,700,800,700,900,800,800,800,800
E07000037,High Peak,900,800,700,700,800,700,800,800,800,800,700,800,800,900,1000,1000,1000,1000,1000
E07000038,North East Derbyshire,900,1000,800,800,800,800,800,800,900,800,800,900,900,800,900,900,800,800,800
E07000039,South Derbyshire,800,800,800,800,900,800,900,900,900,900,800,900,1000,900,800,900,800,900,900
E07000129,Blaby,600,700,900,800,800,600,600,700,700,700,600,600,700,700,800,900,900,900,1000
E07000130,Charnwood,1250,1250,1250,1250,1250,1250,1500,1250,1500,1250,1250,1500,1250,1500,1500,1500,1500,1500,1500
E07000131,Harborough,900,800,900,800,900,900,900,900,1000,1000,800,800,900,1000,1250,1000,1000,1250,1250
E07000132,Hinckley and Bosworth,900,700,1000,1000,900,800,800,800,900,800,800,700,700,700,800,800,800,800,800
E07000133,Melton,500,450,450,450,450,450,450,450,450,400,400,450,450,450,500,500,500,500,500
E07000134,North West Leicestershire,800,700,800,700,700,700,700,700,700,600,600,600,600,700,800,800,800,700,800
E07000135,Oadby and Wigston,350,400,350,350,400,300,300,300,300,250,300,300,250,250,300,300,300,225,300
E07000136,Boston,400,450,500,300,350,400,350,400,450,300,300,300,250,300,350,300,400,350,300
E07000137,East Lindsey,1000,900,900,1000,1000,1000,1000,1000,1000,1000,1000,1250,1250,1250,1250,1250,1250,1250,1500
E07000138,Lincoln,700,700,700,800,900,800,800,800,700,700,700,700,900,900,900,800,800,800,900
E07000139,North Kesteven,700,600,600,600,600,700,700,700,700,700,500,600,600,600,600,600,700,700,700
E07000140,South Holland,300,350,350,400,350,400,450,450,450,350,300,300,250,350,350,350,400,400,400
E07000141,South Kesteven,1000,800,800,900,900,1000,1000,1000,1000,900,800,900,900,1000,1250,1250,1250,1250,1250
E07000142,West Lindsey,700,600,600,600,600,600,600,600,600,600,600,500,600,600,600,600,600,600,700
E07000150,Corby,175,150,175,150,125,150,175,175,175,225,200,225,225,225,250,250,300,250,250
E07000151,Daventry,500,450,450,500,600,600,600,600,600,600,600,700,700,700,800,700,700,800,700
E07000152,East Northamptonshire,450,500,450,450,500,500,500,500,600,500,450,450,500,500,600,600,600,600,500
E07000153,Kettering,500,450,450,500,500,450,450,600,500,500,450,450,500,500,600,600,700,700,700
E07000154,Northampton,1500,1750,1625,1625,1625,1500,1500,1500,1500,1250,1250,1250,1250,1250,1250,1250,1250,1500,1250
E07000155,South Northamptonshire,600,500,600,600,700,700,700,700,700,700,700,700,700,800,900,800,800,900,1000
E07000156,Wellingborough,450,450,400,500,500,450,450,500,450,450,450,400,400,450,400,350,350,350,350
E07000170,Ashfield,600,700,700,700,800,800,700,800,700,800,800,700,700,700,700,700,700,700,700
E07000171,Bassetlaw,800,800,800,800,800,800,800,800,800,700,800,800,800,900,900,900,1000,1000,900
E07000172,Broxtowe,800,900,800,800,900,900,900,900,700,600,500,500,600,700,700,700,800,800,800
E07000173,Gedling,900,900,800,800,800,800,800,800,800,800,800,800,700,800,800,800,800,900,900
E07000174,Mansfield,1000,800,900,900,800,800,900,800,800,900,900,900,800,900,900,900,800,700,800
E07000175,Newark and Sherwood,1000,1000,1000,900,1000,1000,1250,1250,1000,1000,1000,1000,1000,1250,1250,1250,1250,1250,1250
E07000176,Rushcliffe,900,800,800,800,800,800,800,800,900,800,800,800,800,800,900,800,900,1000,900
E12000005,West Midlands,46000,44000,43000,42000,41000,41000,41000,40000,39000,36000,36000,36000,36000,39000,41000,39000,41000,41000,41000
E06000019,"Herefordshire, County of",1250,1250,1250,1250,1250,1250,1250,1500,1500,1500,1250,1500,1250,1500,2000,1750,1750,1750,2000
E06000051,Shropshire,3000,2500,3000,2500,2500,3000,3000,3000,3000,2500,2500,2500,3000,3500,3500,3500,3500,3000,3000
E06000021,Stoke-on-Trent,1750,1750,1750,1500,1500,1500,1500,1250,1250,1000,1000,1000,1000,1000,1000,1000,1250,1000,1000
E06000020,Telford and Wrekin,1000,1000,1000,1250,1000,1000,1000,1000,1000,900,900,900,900,1000,1000,1000,1000,1000,1000
E07000192,Cannock Chase,700,600,700,700,600,600,700,600,700,500,600,600,600,600,600,600,600,600,600
E07000193,East Staffordshire,1500,1750,900,900,1250,1750,900,900,900,800,1250,1250,1250,1500,1500,1250,1500,1500,1250
E07000194,Lichfield,1250,1000,1500,1500,1000,1000,1000,900,1000,900,800,900,800,1000,1000,1000,1000,900,1000
E07000195,Newcastle-under-Lyme,1500,1000,1000,1000,1000,1000,1000,1000,1000,900,900,1000,1000,1000,1000,1000,1000,1250,1000
E07000196,South Staffordshire,1250,1000,1000,1000,1000,1000,1000,1250,1250,1000,1000,1000,1250,1250,1250,1250,1250,1250,1250
E07000197,Stafford,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1000,1000,1000,1250,1250,1250,1250,1500,1500
E07000198,Staffordshire Moorlands,900,900,1000,1000,900,1000,1000,1000,1000,900,700,800,800,900,1000,900,900,1000,1000
E07000199,Tamworth,500,500,500,400,400,300,350,350,400,600,400,400,300,300,400,350,400,400,450
E07000218,North Warwickshire,700,700,800,800,800,800,800,800,700,700,900,800,700,700,800,700,700,700,700
E07000219,Nuneaton and Bedworth,900,700,600,600,600,600,600,700,700,600,600,700,600,700,700,700,700,700,700
E07000220,Rugby,900,900,1000,1000,1000,900,1000,800,800,700,900,800,800,900,900,900,1000,900,900
E07000221,Stratford-on-Avon,1500,1750,1500,1500,1500,1500,1500,1500,1500,1500,1250,1500,1500,1500,1500,1500,1750,1750,1750
E07000222,Warwick,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1000,1000,1250,1250,1500,1500,1500,1500,1500
E08000025,Birmingham,7000,7000,7000,6000,6000,6000,6000,6000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
E08000026,Coventry,2000,1750,1750,1750,1750,1500,1750,1500,1500,1500,1250,1250,1250,1250,1500,1250,1500,1500,1500
E08000027,Dudley,2500,2250,2500,2250,2000,2000,2250,2000,2000,1750,1750,1750,1750,1750,2000,1750,1750,1750,1750
E08000028,Sandwell,2000,2000,1750,1500,1500,1500,1500,1250,1250,1000,1000,1000,1000,1250,1250,1250,1250,1250,1250
E08000029,Solihull,2250,2250,2000,2000,2000,2000,2250,2250,2500,2250,2250,2250,2000,2250,2500,2500,2500,2500,2500
E08000030,Walsall,2000,1750,1750,1500,1500,1750,1500,1500,1250,1250,1250,1250,1000,1250,1250,1250,1250,1250,1250
E08000031,Wolverhampton,2000,1500,1750,1750,1750,1750,1500,1500,1500,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
E07000234,Bromsgrove,1000,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1000,1000,1000,1000,1000,1000,1000,1000
E07000235,Malvern Hills,700,700,600,700,700,700,700,700,700,600,600,700,700,800,800,800,900,900,900
E07000236,Redditch,250,250,250,250,250,250,250,225,225,250,225,225,225,250,300,300,300,350,400
E07000237,Worcester,900,800,900,800,800,800,800,800,800,800,700,800,800,900,900,800,900,1000,900
E07000238,Wychavon,1250,1250,1250,1250,1250,1250,1250,1250,1000,1000,1000,1000,1250,1250,1500,1500,1250,1500,1500
E07000239,Wyre Forest,900,700,800,800,800,800,900,800,800,800,700,700,700,700,700,700,700,700,800
E12000006,East of England,36000,34000,34000,34000,34000,34000,34000,35000,36000,33000,32000,33000,33000,36000,38000,38000,38000,39000,41000
E06000055,Bedford,1000,900,900,1000,800,800,900,800,900,900,800,900,800,900,900,1000,1000,1000,1250
E06000056,Central Bedfordshire,1500,1500,1750,1750,1500,1500,1500,1500,1750,1750,1500,1750,1500,1750,1750,1750,1750,1750,2000
E06000032,Luton,800,800,700,700,700,600,900,800,600,600,500,500,500,500,500,450,400,400,400
E06000031,Peterborough,1000,900,900,900,900,900,800,800,700,700,700,600,600,700,800,800,900,900,1000
E06000033,Southend-on-Sea,800,800,800,700,700,700,700,700,800,800,700,900,900,800,1000,1000,1000,1000,1000
E06000034,Thurrock,450,500,450,450,450,350,400,500,450,400,400,350,400,350,400,400,400,450,400
E07000008,Cambridge,1000,1250,1000,1000,1000,900,900,1000,1000,1000,1000,1000,1000,1000,1250,1250,1250,1250,1250
E07000009,East Cambridgeshire,350,300,350,400,400,400,300,350,350,350,350,400,400,450,500,500,500,450,450
E07000010,Fenland,300,300,300,300,300,300,350,450,450,350,350,350,400,400,450,400,400,400,450
E07000011,Huntingdonshire,1000,900,1000,1000,1000,1250,1250,1000,1000,1000,1000,1000,1000,1250,1250,1000,1250,1250,1250
E07000012,South Cambridgeshire,900,800,900,900,900,1000,900,1000,900,800,900,900,900,1000,900,1000,1000,1000,1000
E07000066,Basildon,800,800,700,800,800,700,700,600,700,600,600,600,600,700,700,600,700,700,700
E07000067,Braintree,700,700,800,800,800,800,800,800,900,700,700,800,800,900,1000,900,1000,1000,1000
E07000068,Brentwood,700,700,700,700,700,700,600,600,600,600,600,700,500,700,700,600,600,600,600
E07000069,Castle Point,300,250,250,300,225,350,300,300,250,250,250,225,225,225,225,250,250,250,250
E07000070,Chelmsford,1500,1250,1500,1500,1500,1250,1250,1250,1250,1250,1250,1250,1250,1500,1500,1750,1750,1500,1750
E07000071,Colchester,900,800,1000,900,900,800,900,900,900,800,800,800,900,1000,1000,1000,1000,1000,1000
E07000072,Epping Forest,1250,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
E07000073,Harlow,300,300,250,250,225,225,350,300,350,300,350,400,350,350,300,300,300,300,350
E07000074,Maldon,450,450,450,400,400,400,400,400,450,350,350,350,350,400,450,450,450,500,500
E07000075,Rochford,500,500,450,500,500,450,500,500,450,400,400,400,400,450,450,400,400,400,400
E07000076,Tendring,700,700,700,600,700,700,600,600,600,600,600,600,500,600,600,600,700,700,800
E07000077,Uttlesford,600,500,500,500,500,500,500,700,500,600,700,600,600,600,800,800,800,800,900
E07000095,Broxbourne,450,450,350,400,350,350,350,400,350,450,400,400,350,350,300,350,350,350,350
E07000096,Dacorum,900,900,900,900,900,900,800,900,1000,900,800,900,900,900,900,1000,1000,1000,1000
E07000242,East Hertfordshire,1500,1250,1250,1250,1250,1000,1250,1250,1250,1250,1250,1250,1250,1250,1500,1500,1500,1500,1500
E07000098,Hertsmere,500,500,500,600,500,500,500,500,500,500,500,500,500,450,500,450,500,500,500
E07000099,North Hertfordshire,900,900,1000,900,1000,1000,1000,1000,1000,1250,1000,1000,1000,1000,1250,1250,1250,1250,1250
E07000240,St Albans,1000,1000,1000,1250,1000,1000,1250,1250,1000,1000,1250,1000,1000,1000,1250,1250,1250,1250,1250
E07000243,Stevenage,600,500,600,500,450,400,350,400,450,400,400,350,400,400,400,400,400,400,450
E07000102,Three Rivers,600,600,500,500,450,500,500,500,500,600,500,500,600,600,500,500,500,600,600
E07000103,Watford,600,450,600,500,500,600,500,500,500,500,450,450,450,400,450,400,500,500,450
E07000241,Welwyn Hatfield,450,450,450,450,500,500,500,500,450,400,350,400,400,500,500,600,700,700,700
E07000143,Breckland,500,450,500,500,600,500,600,600,600,500,450,600,600,700,700,700,700,800,800
E07000144,Broadland,700,700,700,700,800,800,800,800,800,700,700,700,700,800,800,800,800,700,800
E07000145,Great Yarmouth,600,600,600,500,600,600,600,700,600,600,600,600,600,500,600,700,600,700,700
E07000146,King's Lynn and West Norfolk,700,700,700,700,800,800,800,900,900,900,800,900,800,1000,1250,1000,1000,1000,1000
E07000147,North Norfolk,700,700,700,600,700,700,700,800,800,800,700,900,1000,1000,1000,1000,1000,1250,1250
E07000148,Norwich,1000,1250,1250,1250,1000,1250,1000,1000,1125,1250,1000,1000,1250,1250,1250,1250,1250,1500,1500
E07000149,South Norfolk,1250,1000,600,600,600,600,600,600,600,700,600,600,700,800,900,900,900,800,900
E07000200,Babergh,600,500,600,700,700,700,700,700,600,600,600,600,600,700,600,700,700,800,900
E07000201,Forest Heath,400,350,350,350,350,400,400,400,400,300,300,250,250,300,300,300,300,300,350
E07000202,Ipswich,700,700,700,600,700,700,700,700,600,700,600,900,800,800,900,800,800,700,800
E07000203,Mid Suffolk,700,500,600,500,500,500,500,600,500,500,450,450,600,600,700,600,700,700,700
E07000204,St Edmundsbury,900,600,800,700,700,800,1000,700,700,700,700,900,700,800,900,900,800,800,900
E07000205,Suffolk Coastal,900,900,1000,1000,1000,1000,1000,1000,1000,1250,1250,1250,1000,1250,1250,1500,1500,1500,1500
E07000206,Waveney,700,700,600,700,600,700,800,800,800,700,600,600,600,700,700,700,700,700,700
E12000007,London,42000,43000,41000,40000,40000,40000,40000,39000,40000,39000,39000,42000,43000,44000,47000,46000,46000,46000,47000
E09000007,Camden,2500,2500,2250,2250,2250,2500,2500,2500,3000,3000,3000,3500,3000,3000,3500,3500,3500,3500,3500
E09000001,City of London,2000,2000,2000,2000,2250,2000,2000,2250,2250,2250,2000,2500,2250,2500,2500,2250,2500,3000,3000
E09000012,Hackney,700,800,800,800,800,800,800,800,900,900,1000,1250,1500,1750,1750,2000,2000,2250,2250
E09000013,Hammersmith and Fulham,1500,1250,1500,1500,1500,1500,1500,1500,1250,1250,1250,1500,1750,1500,1500,1500,1500,1250,1500
E09000014,Haringey,800,900,800,700,700,600,600,500,600,600,600,600,600,600,700,700,900,900,700
E09000019,Islington,1750,2000,1750,2000,1750,1750,1750,1750,1750,1500,1500,2000,2250,2250,2500,2500,2500,3000,3000
E09000020,Kensington and Chelsea,1250,1250,1250,1250,1250,1250,1250,1250,1500,1500,1250,1500,1500,1500,1750,1500,1500,1250,1250
E09000022,Lambeth,1250,1500,1250,1500,1500,1500,1500,1500,1500,1750,1500,1750,1750,1750,1750,2000,2000,2000,2250
E09000023,Lewisham,800,700,600,500,600,600,700,600,600,500,500,450,450,700,500,600,700,800,1250
E09000025,Newham,600,600,600,600,500,500,500,450,400,400,350,350,600,450,450,500,500,400,450
E09000028,Southwark,1500,1750,1500,1500,1500,1500,1500,1500,1500,1500,1500,1750,1750,2000,2500,2500,2500,2500,2250
E09000030,Tower Hamlets,1000,1250,1250,1000,1250,1250,1250,1250,1250,1250,1500,1500,1500,1500,1250,1250,1250,1500,1750
E09000032,Wandsworth,1500,1500,1500,1500,1500,1500,1500,1500,1500,1250,1500,1750,1750,2000,2000,2000,2000,2000,2000
E09000033,Westminster,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,6000,6000,6000,6000,7000,7000,6000,6000,6000
E09000002,Barking and Dagenham,500,600,500,500,450,450,350,350,250,225,200,200,175,200,225,225,225,200,225
E09000003,Barnet,1500,1250,1250,1000,1000,1250,1000,1000,1000,1000,1000,1000,1000,900,1000,1250,1000,1000,800
E09000004,Bexley,1000,1000,1000,1000,900,900,1000,1000,1000,900,1000,1000,1000,1000,1000,1000,1250,1000,1000
E09000005,Brent,800,800,700,700,700,600,700,600,700,700,800,600,700,600,700,600,600,600,600
E09000006,Bromley,1500,1500,1250,1250,1250,1250,1500,1500,1500,1250,1250,1250,1250,1500,1500,1500,1500,1250,1250
E09000008,Croydon,1500,1500,1500,1500,1500,1250,1250,1250,1000,900,900,1000,900,900,1000,900,900,900,900
E09000009,Ealing,1500,1250,1250,1250,1250,1000,1000,1000,1000,1000,900,900,900,1000,1000,900,900,1000,1000
E09000010,Enfield,1000,1000,1000,900,900,1000,1000,900,1000,900,900,900,800,900,900,900,900,800,800
E09000011,Greenwich,800,800,700,800,600,700,700,700,800,700,1000,1000,1500,900,1000,900,900,900,900
E09000015,Harrow,700,600,600,500,500,500,500,400,450,450,450,500,500,500,500,500,500,500,500
E09000016,Havering,1250,1000,1000,1000,900,1000,1000,900,900,900,900,900,900,1000,1000,900,900,900,800
E09000017,Hillingdon,1500,1250,1250,1250,1250,1250,1250,1250,1250,1000,1000,1250,1250,1250,1250,1250,1250,1250,1250
E09000018,Hounslow,1250,1000,1000,900,900,800,700,700,800,600,600,600,600,600,700,700,900,800,800
E09000021,Kingston upon Thames,900,900,900,900,900,900,900,900,900,1000,900,900,900,1000,1000,1000,900,900,900
E09000024,Merton,800,800,800,800,800,900,800,800,800,800,700,800,700,800,800,700,600,600,700
E09000026,Redbridge,900,900,900,800,800,800,800,800,800,800,800,800,700,800,800,900,800,800,800
E09000027,Richmond upon Thames,1500,1500,1500,1500,1500,1750,1750,1500,1500,1500,1500,1500,1750,1750,1750,1750,1750,1500,1500
E09000029,Sutton,700,800,700,700,800,800,700,700,600,600,600,600,600,600,600,600,600,600,600
E09000031,Waltham Forest,700,800,700,600,600,700,700,600,600,500,500,500,500,500,500,500,500,450,500
E12000008,South East,59000,60000,58000,57000,57000,56000,59000,58000,57000,56000,54000,55000,56000,61000,64000,64000,65000,66000,66000
E06000036,Bracknell Forest,700,700,500,500,500,500,500,500,500,500,450,450,450,450,450,450,450,500,500
E06000043,Brighton and Hove,2250,2500,2500,2500,2250,2250,2500,2500,2500,2500,2250,2500,2500,2500,3000,3000,2500,3000,3000
