id,parentId,name,size,fake_size
c5_4,c5,Vehicle Trades,7670,8.4
c5_5,c5,Electrical and Electronic Trades,12757,14
c5_6,c5,"Skilled Metal, Electrical and Electronic Trades Supervisors",1167,1.3
c5_7,c5,Construction and Building Trades,9095,10
c5_8,c5,Building Finishing Trades,3231,3.5
c5_9,c5,Construction and Building Trades Supervisors,1544,1.7
c5_10,c5,Textiles and Garments Trades,1088,1.2
c5_11,c5,Printing Trades,2008,2.2
c5_12,c5,Food Preparation and Hospitality Trades,17408,19.1
c5_13,c5,Other Skilled Trades,4271,4.7
c6,c0,"6  Caring, Leisure and Other Service Occupations",158753,6.8
c6_1,c6,Childcare and Related Personal Services,58655,36.9
c6_2,c6,Animal Care and Control Services,9747,6.1
c6_3,c6,Caring Personal Services,61841,39
c6_4,c6,Leisure and Travel Services,13139,8.3
c6_5,c6,Hairdressers and Related Services,11758,7.4
c6_6,c6,Housekeeping and Related Services,0,0
c6_7,c6,Cleaning and Housekeeping Managers and Supervisors,0,0
c7,c0,7  Sales and Customer Service Occupations,181422,7.7
c7_1,c7,Sales Assistants and Retail Cashiers,88942,49
c7_2,c7,Sales Related Occupations,19118,10.5
c7_3,c7,Sales Supervisors,13559,7.5
c7_4,c7,Customer Service Occupations,48657,26.8
c7_5,c7,Customer Service Managers and Supervisors,11146,6.1
c8,c0,"8  Process, Plant and Machine Operatives",38360,1.6
c8_1,c8,Process Operatives,4233,11
c8_2,c8,Plant and Machine Operatives,2526,6.6
c8_3,c8,Assemblers and Routine Operatives,13725,35.8
c8_4,c8,Construction Operatives,3357,8.8
c8_5,c8,Road Transport Drivers,8703,22.7
c8_6,c8,Mobile Machine Drivers and Operatives,3297,8.6
c8_7,c8,Other Drivers and Transport Operatives,2519,6.6
c9,c0,9  Elementary Occupations,130873,5.6
c9_1,c9,Elementary Agricultural Occupations,1799,1.4
c9_2,c9,Elementary Construction Occupations,4081,3.1
c9_3,c9,Elementary Process Plant Occupations,8177,6.2
c9_4,c9,Elementary Administration Occupations,9795,7.5
c9_5,c9,Elementary Cleaning Occupations,10223,7.8
c9_6,c9,Elementary Security Occupations,8582,6.6
c9_7,c9,Elementary Sales Occupations,3580,2.7
c9_8,c9,Elementary Storage Occupations,20307,15.5
c9_9,c9,Other Elementary Services Occupations,64329,49.2
