AREACD,time1,time2,time3,time4,time5,time6,time7
E09000005,30,33,94,46,56,65,77
E09000006,8,42,19,58,1,10,10
E09000007,9,65,6,2,9,77,74
E09000008,34,7,53,83,71,76,115
E09000009,106,135,125,115,123,148,112
E09000010,78,102,76,48,86,124,93
E09000011,55,77,58,67,129,144,118
E09000012,141,118,126,134,148,146,91
E09000013,74,56,82,110,116,69,94
E09000014,133,139,102,84,90,83,65
E09000015,32,41,24,25,39,66,105
E09000016,81,50,8,79,73,81,52
E09000017,44,79,66,106,119,68,96
E09000018,87,73,139,127,111,104,122
E09000019,130,111,148,137,127,89,71
E09000020,41,27,18,7,35,7,3
E09000021,116,91,33,49,23,11,62
E09000022,105,146,97,52,6,8,8
E09000023,124,105,65,131,79,94,95
E09000024,80,59,85,74,29,62,85
E09000025,150,149,143,38,135,123,125
E09000026,119,128,112,98,110,133,66
E09000027,19,11,47,3,8,32,86
E09000028,149,123,141,143,142,117,1
E09000029,3,46,44,51,34,67,88
E09000030,148,150,150,147,149,145,126
E09000031,103,145,137,132,146,80,56
E09000032,2,30,23,42,7,19,9
E09000033,60,25,38,35,45,23,20
E10000002,15,17,7,12,4,6,2
E10000003,27,22,35,14,22,51,49
E10000006,76,69,55,56,32,25,32
E10000007,88,114,127,81,94,41,75
E10000008,16,8,16,19,20,22,23
E10000009,12,20,12,18,28,18,19
E10000011,5,6,21,45,62,55,48
E10000012,22,21,50,53,65,53,53
E10000013,26,23,39,31,37,37,37
E10000014,7,5,22,16,26,15,18
E10000015,46,35,27,30,51,70,55
E10000016,39,39,41,33,42,52,47
E10000017,45,68,48,70,66,88,78
E10000018,59,57,31,41,48,30,41
E10000019,61,60,57,80,85,78,63
E10000020,37,54,51,66,54,90,72
E10000021,31,31,67,65,43,84,101
E10000023,42,51,30,27,11,29,15
E10000024,67,63,40,99,93,85,104
E10000025,35,10,26,9,2,9,5
E10000027,49,32,4,29,5,5,25
E10000028,70,90,78,88,68,49,84
E10000029,33,18,54,37,21,24,34
E10000030,20,13,5,10,31,12,17
E10000031,58,37,29,32,57,58,42
E10000032,6,12,3,1,17,35,43
E10000034,10,4,10,17,44,36,29
