United Kingdom	England	North East	North West	Yorkshire and The Humber	East Midlands	West Midlands	East	London	South East	South West	Wales	Scotland	Northern Ireland	toplevel	secondlevel	name
0.7	0.7	0.7	0.7	0.7	0.7	0.8	0.8	0.6	0.7	0.6	0.8	0.9	0.9	Food	Food and non-alcoholic drinks	Confectionery products
0.6	0.6	0.5	0.5	0.5	0.6	0.6	0.7	0.6	0.7	0.6	0.6	0.6	0.6	Food	Food and non-alcoholic drinks	Edible ices and ice cream
2.6	2.6	2.2	2.3	2.3	2.7	2.5	2.8	2.7	2.9	2.6	2.3	2.4	2.6	Food	Food and non-alcoholic drinks	Other food products
0.8	0.8	0.6	0.8	0.7	0.8	0.7	1	0.8	0.8	0.9	0.9	0.8	0.8	Non-alcoholic drinks	Food and non-alcoholic drinks	Coffee
0.5	0.5	0.4	0.4	0.4	0.5	0.5	0.5	0.5	0.5	0.5	0.4	0.4	0.6	Non-alcoholic drinks	Food and non-alcoholic drinks	Tea
0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0	Non-alcoholic drinks	Food and non-alcoholic drinks	Cocoa and powdered chocolate
1.1	1.1	0.9	1	0.9	1	1.1	1.3	1.3	1.3	1.3	1	1.1	1	Non-alcoholic drinks	Food and non-alcoholic drinks	Fruit and vegetable juices (inc. fruit squash)
0.3	0.3	0.2	0.3	0.2	0.3	0.3	0.3	0.5	0.3	0.3	0.3	0.3	0.4	Non-alcoholic drinks	Food and non-alcoholic drinks	Mineral or spring waters
1.9	1.8	1.9	2	1.7	1.8	1.9	1.9	1.8	1.9	1.7	1.9	2.4	2.5	Non-alcoholic drinks	Food and non-alcoholic drinks	Soft drinks
1.7	1.6	1.7	1.8	1.5	1.8	1.7	1.5	1.6	1.7	1.5	1.2	2.7	2.2	Alcoholic drinks	Alcoholic drink, tobacco and narcotics	Spirits and liqueurs (brought home)
4	4.1	3.2	3.8	3.4	4.1	3.3	5	3.8	5.1	4.1	3.2	4.4	3.3	Alcoholic drinks	Alcoholic drink, tobacco and narcotics	Wines, fortified wines (brought home)
2.1	2.1	2.6	2.3	2.4	2.2	2.1	2	1.6	2.2	2	2.1	1.8	2.4	Alcoholic drinks	Alcoholic drink, tobacco and narcotics	Beer, lager, ciders and perry (brought home)
0	0	0	0	0	0	0	0	0	0	0.1	0.1	0	0.1	Alcoholic drinks	Alcoholic drink, tobacco and narcotics	Alcopops (brought home)
3.2	2.9	3.6	3.8	3.4	3.2	3.1	2.5	2.3	2.8	1.9	3	4.9	6.6	Tobacco and narcotics	Alcoholic drink, tobacco and narcotics	Cigarettes
0.8	0.8	0.7	0.9	1	0.9	0.8	0.9	0.4	0.8	1.1	1.1	0.8	1	Tobacco and narcotics	Alcoholic drink, tobacco and narcotics	Cigars, other tobacco products and narcotics
4.8	4.7	4.3	4.7	4.5	4	4.2	5.7	5.9	4.7	3.6	3.4	4.8	9.9	Clothing	Clothing and footwear	Men's outer garments
0.5	0.5	0.6	0.5	0.6	0.4	0.5	0.6	0.5	0.6	0.4	0.5	0.4	0.8	Clothing	Clothing and footwear	Men's under garments
8.2	8.3	6.8	8.5	7.7	7.2	7.7	9	8.6	9.7	7.2	7.2	7.2	12.1	Clothing	Clothing and footwear	Women's outer garments
1.1	1.1	1.2	1.1	0.9	1.1	1	1.2	0.9	1.3	1.2	0.8	1.1	1.6	Clothing	Clothing and footwear	Women's under garments
0.8	0.8	0.7	0.7	0.7	0.6	0.9	0.7	0.9	0.9	0.5	1.3	1	1.2	Clothing	Clothing and footwear	Boys' outer garments (5-15)
1	1	1.2	1	1	0.8	0.9	0.8	1.1	1.1	0.7	1.3	0.9	1.3	Clothing	Clothing and footwear	Girls' outer garments (5-15)
0.7	0.7	0.6	0.6	0.6	0.8	0.8	0.7	1	0.7	0.7	0.8	0.7	0.7	Clothing	Clothing and footwear	Infants' outer garments (under 5)
0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.3	0.4	0.5	0.3	0.5	0.4	0.4	Clothing	Clothing and footwear	Children's under garments (under 16)
0.8	0.8	0.6	0.7	0.6	0.7	0.7	0.9	0.8	1	0.8	0.6	0.9	1	Clothing	Clothing and footwear	Accessories
0.2	0.2	0.1	0.2	0.2	0.2	0.3	0.3	0.1	0.3	0.3	0.2	0.2	0.2	Clothing	Clothing and footwear	Haberdashery, clothing materials and clothing hire
0.2	0.3	0.1	0.1	0.1	0.2	0.1	0.3	0.6	0.3	0.2	0.1	0.2	0.2	Clothing	Clothing and footwear	Dry cleaners, laundry and dyeing
4.6	4.6	4.1	4.3	4.6	4.3	4.6	4.6	5.1	4.7	4.3	4.4	3.9	8.3	Footwear	Clothing and footwear	Footwear
47.4	50.5	37.5	41.4	38.8	39.2	43.7	42.3	98.1	48.9	41	31.8	31.8	31.4	Actual rentals for housing	Housing (net), fuel and power	Gross rent
15.6	16.2	18.5	17.1	13.7	12.5	16.6	11.8	28	13.2	11.6	12.5	12.6	14.2	Actual rentals for housing	Housing (net), fuel and power	less housing benefit, rebates and allowances rec'd
31.8	34.3	19	24.4	25.1	26.6	27.1	30.4	70.1	35.7	29.4	19.3	19.2	17.3	Actual rentals for housing	Housing (net), fuel and power	Net rent
0.1	0.1	-	0.1	0.1	0.3	0.1	0.4	-	0.1	0.1	0.2	0.1	0.2	Actual rentals for housing	Housing (net), fuel and power	Second dwelling rent
7.5	7.6	5.4	5.3	6	8	5.7	8	11	9	7.8	4.9	8	4.8	Maintenance and repair of dwelling	Housing (net), fuel and power	Maintenance and repair of dwelling
8.9	9.3	7.8	9.3	8.1	8.1	8.4	9	11.6	9.3	10.5	8.8	7.5	0.5	Water supply, dwelling services	Housing (net), fuel and power	Water supply, dwelling services
11.9	11.7	10.5	11.9	11.1	11.4	11.6	11.7	11.7	12.2	11.8	12.5	13.1	14.1	Electricity, gas and other fuels	Housing (net), fuel and power	Electricity
11.7	12.1	12.6	12.7	12.7	11.9	11.9	11	13.4	11.9	10.2	11.6	11.3	3.4	Electricity, gas and other fuels	Housing (net), fuel and power	Gas
1.6	1.1	0.4	0.6	0.9	1.2	1.7	1.9	0.1	1.4	1.8	2.2	1.9	13.5	Electricity, gas and other fuels	Housing (net), fuel and power	Other fuels
16.3	16.6	16.8	14.6	15.6	14.4	14.8	15.1	23.2	17.7	14.9	15	14	15.4	Furniture and furnishings, carpets and other floor coverings	Household goods and services	Furniture and furnishings
3.5	3.5	4.1	3.4	2.8	4.5	2.5	4.6	3.8	3.3	2.5	3.4	3.8	2.3	Furniture and furnishings, carpets and other floor coverings	Household goods and services	Floor coverings
1.8	1.8	1.5	1.8	1.7	2.2	1.7	1.9	1.6	2.1	1.6	2.1	1.9	1.6	Household textiles	Household goods and services	Household textiles
3	3	2.2	3.9	2.8	3.8	2.6	2.9	2.1	3.1	3.9	2.7	2.5	2.5	Household appliances	Household goods and services	Household appliances
1.7	1.7	1.6	1.4	1.5	1.6	1.5	2.1	2	2.2	1.3	1.6	1.4	1.5	Glassware, tableware and household utensils	Household goods and services	Glassware, tableware and household utensils
2.5	2.4	4.5	2.4	1.8	2.4	2.2	2.7	2	3	1.9	3.6	2.2	2.4	Tools and equipment for house and garden	Household goods and services	Tools and equipment for house and garden
2.4	2.4	2	2.1	2.1	2.5	2.4	2.8	2.4	2.7	2.4	2.5	2.2	2.6	Goods and services for routine household maintenance	Household goods and services	Cleaning materials
1.4	1.4	1.1	1.2	1.1	1.3	1.3	1.6	1.6	1.7	1.5	1.4	1.5	1.7	Goods and services for routine household maintenance	Household goods and services	Household goods and hardware
2.3	2.4	1.5	1.7	1.7	1.8	2	3	3.1	2.8	3	1.2	1.5	3	Goods and services for routine household maintenance	Household goods and services	Domestic services, furniture costs
8.7	8.3	5.2	8.3	8.1	9.3	6.8	12.1	6.4	9.9	6.9	6.7	13.9	5.7	Purchase of vehicles	Transport	Purchase of new cars and vans
13.9	14.4	10.5	12.7	13.3	17	13.9	16.8	8	17.8	18.6	11.9	13.4	7	Purchase of vehicles	Transport	Purchase of second hand cars or vans
1	0.9	1	1.2	0.9	1	0.5	0.4	1.1	1	1.1	1.3	1.4	0.7	Purchase of vehicles	Transport	Purchase of motorcycles and other vehicles
2.4	2.4	1.7	2.8	2.1	2.7	1.5	3.5	1.3	2.6	3	3.1	2.1	2.7	Operation of personal transport	Transport	Spares and accessories
21.6	21.1	17.4	18.5	19.7	22	23.2	24.6	15.3	25.6	22.4	24.5	21.4	33	Operation of personal transport	Transport	Petrol, diesel and other motor oils
6	6.2	3.6	4.4	5.1	6.5	4.1	7.5	5.3	9	8.3	4	5.1	4.7	Operation of personal transport	Transport	Repairs and servicing
2.6	2.6	1.9	2.1	2.2	3.2	2.4	3.1	2.3	3.4	2.6	3.2	1.6	2	Operation of personal transport	Transport	Other motoring costs
3.9	4.3	1.5	2	1.8	1.7	2	7.7	8.8	7	1.6	1.3	2.6	0.9	Transport services	Transport	Rail and tube fares
1.5	1.5	2.1	1.7	1.6	1.4	1.3	1.2	1.7	1.3	1.4	0.9	1.7	1.7	Transport services	Transport	Bus and coach fares
0.7	0.8	0	0.1	0.1	0	0.1	0.5	4.8	0.3	0	0	0.1	0.1	Transport services	Transport	Combined fares
10.4	10.6	7.2	8.8	8.8	8	7.2	8.6	16.8	14.1	10.4	6.4	10.7	7.9	Transport services	Transport	Other travel and transport
0.6	0.6	0.5	0.4	0.5	0.9	0.4	0.7	0.6	0.7	0.7	0.5	0.6	0.4	Postal services	Communication	Postal services
0.7	0.7	0.6	0.9	0.4	1.4	0.4	0.6	0.7	0.9	0.4	0.5	0.4	1.7	Telephone and telefax equipment	Communication	Telephone and telefax equipment
11.1	11.2	9.7	10.7	10.6	10.8	10.7	11.3	12.8	12	10.7	10.4	10.5	12.1	Telephone and telefax services	Communication	Telephone and telefax services
3	3	2.6	2.8	2.7	3	2.8	3.1	3.3	3.3	3	2.7	2.8	3.3	Internet subscription fees	Communication	Internet subscription fees
1	1.1	0.8	0.9	0.9	1.9	0.6	1.2	1.3	1.2	1	0.9	0.5	1.3	Audio-visual, photographic and information processing equipment	Recreation and culture	Audio equipment and accessories, CD players
4.3	4.5	2.6	4.3	4.7	6.2	3.4	4.1	5	5.1	3.4	2.4	4.2	4.2	Audio-visual, photographic and information processing equipment	Recreation and culture	TV, video and computers
0.4	0.4	0.6	0.5	0.1	0.2	0.2	0.1	0.3	1.3	0.3	0.1	0.2	0.5	Audio-visual, photographic and information processing equipment	Recreation and culture	Photographic, cine and optical equipment
2.2	2.1	0.8	1.5	3.2	3.1	2.4	1.4	1.8	2.2	2.5	4.7	1.5	0.5	Other major durables for recreation and culture	Recreation and culture	Other major durables for recreation and culture
2.5	2.5	2.3	2.2	2.7	2.5	2.2	2.4	2.2	3.6	2.3	2.1	2.6	2.1	Other recreational items and equipment, gardens and pets	Recreation and culture	Games, toys and hobbies
0.9	0.8	0.6	0.9	0.7	0.9	0.8	0.8	0.6	1.2	1	0.5	1.1	1.4	Other recreational items and equipment, gardens and pets	Recreation and culture	Computer software and games
1.2	1.1	1.4	1.3	1.3	1.2	0.9	1.8	0.8	1.1	0.8	0.8	1.2	1.9	Other recreational items and equipment, gardens and pets	Recreation and culture	Equipment for sport, camping and open-air recreation
2.5	2.6	1.9	2	2	2.6	2.3	3.5	2	3.5	3	2.4	2.1	2.9	Other recreational items and equipment, gardens and pets	Recreation and culture	Horticultural goods, garden equipment and plants
4.3	4.3	3.4	3.5	3.8	4.7	4.9	5.1	2.4	5.3	5.1	4.6	4.7	4	Other recreational items and equipment, gardens and pets	Recreation and culture	Pets and pet food
6.4	6.8	4.8	5.5	5.1	4.9	4.3	6.4	11.7	8.1	6.4	4	4.9	6	Recreational and cultural services	Recreation and culture	Leisure classes and admissions
2.6	2.7	2	2.5	2	2	2.4	2.7	3.2	3.2	3.1	1.7	2.3	2.2	Recreational and cultural services	Recreation and culture	Cinema, theatre and museums etc
6.7	6.7	6.6	7.2	6.8	6.7	6.1	7.1	6.2	7.1	6.2	7.3	7.1	6.4	Recreational and cultural services	Recreation and culture	TV, satellite, cable, TV licences
1.3	1.4	1	1	1.1	1.4	1.2	1.7	1.2	1.9	1.4	1	1	1.4	Recreational and cultural services	Recreation and culture	Miscellaneous entertainments
0.2	0.2	0.2	0.1	0.2	0.3	0.2	0.4	0.2	0.2	0.2	0.2	0.2	0.1	Recreational and cultural services	Recreation and culture	Film development, school photos
2.7	2.6	4	2.8	3.2	2.7	2.5	2.6	2	2.3	2.4	2.8	3.1	3.8	Recreational and cultural services	Recreation and culture	Gambling payments
1.2	1.2	1	0.9	1	1.1	0.8	1.1	1.6	1.5	1.2	1.3	1	0.8	Newspapers, books and stationery	Recreation and culture	Books
2	2	1.7	1.6	1.6	2	1.7	2.3	2	2.6	2.2	1.7	1.8	1.6	Newspapers, books and stationery	Recreation and culture	Diaries, address books, cards etc
1.5	1.4	1.6	1.4	1.4	1.4	1.2	1.7	1.3	1.5	1.7	1.4	2.1	2.3	Newspapers, books and stationery	Recreation and culture	Newspapers
0.7	0.7	0.7	0.7	0.6	0.8	0.7	0.9	0.6	0.8	0.9	0.8	0.7	0.8	Newspapers, books and stationery	Recreation and culture	Magazines and periodicals
1.4	1.4	1.3	1.1	1.2	2.1	1.4	2.2	1	1.7	1	1.7	1.3	0.2	Package holidays	Recreation and culture	Package holidays - UK
21.7	22.3	20.8	23.2	23	19.2	14.3	23	25.5	26.7	19.8	18	19.5	15.1	Package holidays	Recreation and culture	Package holidays - abroad
16.9	17.1	13.1	14.5	15	14.2	14.6	19.3	21.5	20.3	16.4	14.2	15.1	19.4	Catering services	Restaurants and hotels	Restaurant and café meals
7.3	7.4	7.5	7.2	8	6.2	6.6	7.3	8.8	7.7	6.5	5.2	6.4	9.6	Catering services	Restaurants and hotels	Alcoholic drinks (away from home)
4.5	4.4	4.4	4.6	4.6	4.2	4.1	4.6	4.9	4.2	3.5	3.7	4.3	9.6	Catering services	Restaurants and hotels	Take away meals eaten at home
4.4	4.5	3.8	4.3	4.3	3.5	3.7	4.7	6.3	4.5	4	3.6	4.1	5.9	Catering services	Restaurants and hotels	Other take-away and snack food
2.1	2.1	1.8	1.9	2.8	1.7	1.4	1.7	3.3	2	2.2	2	2	2.5	Catering services	Restaurants and hotels	Contract catering (food) and canteens
4.6	4.7	3.8	4	4.3	5	3.9	5.6	4	5.6	5.8	3.5	5	1.6	Accommodation services	Restaurants and hotels	Holiday in the UK
3.1	3.4	1.7	2.3	2.1	1.8	2	3.7	6.8	4.6	3	0.9	1.9	1.5	Accommodation services	Restaurants and hotels	Holiday abroad
0.2	0.2	0.3	0.1	0	0.1	0.1	0.3	0.1	0.1	0.4	0	0.3	0	Accommodation services	Restaurants and hotels	Room hire
3.60	3.60	3.10	3.20	3.10	3.80	2.90	4.20	4.00	4.50	3.20	2.40	3.70	5.60	Personal care	Miscellaneous goods and services	Hairdressing, beauty treatment
0.80	0.80	0.70	0.70	0.70	0.80	0.80	0.90	0.80	0.80	0.80	0.80	0.80	1.00	Personal care	Miscellaneous goods and services	Toilet paper
2.40	2.40	2.00	2.20	2.10	2.40	2.30	2.60	2.70	2.70	2.40	2.10	2.30	3.10	Personal care	Miscellaneous goods and services	Toiletries and soap
0.70	0.70	0.60	0.60	0.60	0.70	0.60	0.70	0.90	0.70	0.70	0.50	0.50	0.70	Personal care	Miscellaneous goods and services	Baby toiletries and accessories (disposable)
3.90	3.90	3.40	3.80	3.80	3.70	3.50	4.20	4.40	4.40	3.60	3.20	3.70	4.90	Personal care	Miscellaneous goods and services	Hair products, cosmetics etc.
3.40	3.50	2.30	2.60	2.10	3.10	2.60	6.40	3.30	5.00	2.60	1.80	3.10	3.60	Personal effects	Miscellaneous goods and services	Personal effects
4.10	4.10	2.20	2.80	3.00	4.00	3.60	6.30	6.30	3.60	4.30	3.70	3.50	5.20	Social protection	Miscellaneous goods and services	Social protection
4.90	5.00	3.90	4.60	4.40	4.40	4.30	5.30	5.70	5.70	5.10	4.80	4.80	3.90	Insurance	Miscellaneous goods and services	Household insurance
1.80	2.00	0.60	1.40	1.30	1.20	1.00	2.30	3.50	3.00	2.00	1.20	0.70	0.90	Insurance	Miscellaneous goods and services	Medical insurance premiums
9.40	9.70	7.80	9.40	9.20	9.30	10.20	10.20	9.40	10.90	9.30	8.50	7.10	9.60	Insurance	Miscellaneous goods and services	Vehicle insurance including boat insurance
0.20	0.20	0.10	0.10	0.10	0.00	0.30	0.10	0.30	0.20	0.50	0.10	0.10	0.00	Insurance	Miscellaneous goods and services	Non-package holiday, other travel insurance
2.40	2.60	1.20	1.60	1.90	2.60	1.60	3.80	2.20	4.30	3.00	0.70	2.00	0.70	Other services	Miscellaneous goods and services	Moving house
0.50	0.60	0.40	0.50	0.50	0.50	0.40	0.50	0.80	0.60	0.70	0.40	0.50	0.20	Other services	Miscellaneous goods and services	Bank, building society, post office, credit card charges
1.50	1.50	1.00	2.20	1.30	1.00	2.00	1.90	0.70	1.50	1.40	4.10	0.90	0.90	Other services	Miscellaneous goods and services	Other services and professional fees
