AREACD,AREANM,All_2012,All_2013,All_2014,All_2015,All_2016,All_2017,All_2018,Male_2012,Male_2013,Male_2014,Male_2015,Male_2016,Male_2017,Male_2018,Female_2012,Female_2013,Female_2014,Female_2015,Female_2016,Female_2017,Female_2018
E08000006,Salford,27.5383,23.9631,24.5163,22.3407,20.3415,21.2286,19.97204254,28.071,25.9254,26.5654,22.3368,21.2863,23.5784,20.93649869,27.0106,22.039,22.4742,22.3445,19.3838,18.9116,18.96456167
E08000007,Stockport,15.8905,14.4706,15.8869,15.144,12.1698,14.3127,13.26252673,19.2791,15.4277,18.4163,16.1456,13.667,16.9807,13.81287089,12.6049,13.5897,13.4834,14.1893,10.7816,11.8156,12.74617561
E08000008,Tameside,25.7224,23.9739,22.8475,21.7358,22.0652,17.6457,17.02051813,27.2786,26.613,25.5295,23.4381,22.581,18.6905,18.44088554,24.2236,21.445,20.2727,20.123,21.5579,16.6481,15.75356855
E08000009,Trafford,19.2232,19.2392,15.8445,16.4267,12.604,12.7191,13.54652097,19.8778,20.347,19.0574,19.1171,13.9674,14.8267,16.22943478,18.608,18.1684,12.8219,13.8932,11.3684,10.725,10.99986576
E08000010,Wigan,22.7441,20.1036,20.7397,18.6632,17.6946,15.6451,15.54854214,21.7644,21.4485,24.9225,19.7385,20.6875,14.9412,14.87432839,23.6633,18.8075,16.6703,17.5826,14.6489,16.3685,16.2155935
E08000011,Knowsley,22.8867,22.6625,21.7314,21.4197,20.4665,19.678,18.0562309,21.039,21.119,21.5154,21.4538,18.272,19.1989,19.02568807,24.5191,24.0408,21.9288,21.3887,22.4127,20.092,17.18533659
E08000012,Liverpool,23.7231,23.4755,22.8191,23.0917,18.8629,15.4758,14.7252238,26.11,24.7344,25.7002,24.6923,18.0748,16.6572,14.82270004,21.4605,22.2967,20.1666,21.576,19.6316,14.4028,14.6314183
E08000013,St. Helens,23.6454,18.3179,18.2671,20.2535,17.5548,16.1112,15.81073072,24.7974,19.6253,19.0459,21.418,16.9106,17.8985,17.50473888,22.5375,17.04,17.5338,19.1532,18.1678,14.4154,14.18176077
E08000014,Sefton,18.6297,18.0929,15.8221,14.3377,12.8068,12.4431,11.14022004,20.4289,19.7785,18.6094,16.0247,13.8984,12.5152,12.25302061,17.0444,16.5163,13.2356,12.7904,11.7725,12.3752,10.12553928
E08000015,Wirral,18.6366,19.2827,17.2428,18.8653,15.6979,15.9423,11.95185902,19.2676,19.8857,18.7491,21.8316,17.1894,18.7497,13.80344884,18.0466,18.7351,15.8591,16.1988,14.3902,13.4264,10.26254357
E06000010,"Kingston upon Hull, City of",29.2134,27.7174,25.8328,26.8243,24.152,23.0691,26.07297471,30.5641,31.7476,27.5693,26.2522,24.0164,24.3522,26.2762685,27.886,23.7585,24.1107,27.3819,24.2825,21.7829,25.86969355
E06000011,East Riding of Yorkshire,16.5711,15.1078,15.0552,15.6632,12.1658,10.8122,12.78298381,20.082,16.7525,15.0361,16.7193,12.7807,13.0507,12.77808598,13.2267,13.5892,15.0733,14.6677,11.5688,8.6921,12.7876726
E06000012,North East Lincolnshire,25.567,24.697,23.8175,22.7765,19.9249,19.9892,21.1987738,28.4156,27.5023,26.4943,24.5363,21.9242,22.2249,23.84030925,22.8947,22.0148,21.2895,21.0862,17.9659,17.9263,18.71950457
E06000013,North Lincolnshire,23.9598,22.233,18.9359,20.9006,18.5386,20.8373,20.95135491,27.1956,25.7205,21.9225,23.479,20.7157,22.7503,24.47101976,20.8881,18.8783,16.0192,18.3705,16.5089,18.9914,17.52060988
E06000014,York,17.013,18.7229,17.2439,14.6359,12.5926,9.0074,11.53566645,17.8215,18.8356,17.2049,16.4737,12.7077,10.4668,13.03445257,16.2619,18.6177,17.2802,12.8437,12.4809,7.614,10.15068873
E07000163,Craven,11.6068,17.1598,13.3947,14.6168,10.1449,7.3582,12.79322491,11.6775,14.9799,14.9479,20.2796,14.0906,7.1654,11.43987614,11.5426,18.9513,11.9004,9.0829,7.124,7.5038,13.83798141
E07000164,Hambleton,21.8551,12.9807,15.4748,17.2402,13.169,16.9837,13.50586504,23.9377,17.3416,18.4272,19.8731,14.6023,21.4887,15.64606173,19.9845,9.2428,12.5733,14.854,11.8988,12.9421,11.45642901
E07000165,Harrogate,19.9654,12.6526,11.234,10.1199,13.1922,18.9035,13.95178333,23.7799,14.413,13.1105,10.9832,14.6787,19.4302,15.84389768,16.5387,11.0567,9.523,9.3249,11.8006,18.3621,12.09974739
E07000166,Richmondshire,19.4289,17.2235,24.1257,10.5671,14.1985,14.2805,6.310221516,17.8138,20.6476,23.7725,14.1735,23.6843,18.4556,6.498231948,21.0822,13.581,24.454,6.393,4.6079,10.5401,6.133461816
E07000167,Ryedale,22.1848,14.7083,11.8398,12.566,14.9629,14.4301,14.55784062,20.938,21.1135,12.3212,12.5297,16.5016,12.0743,8.49997305,23.4875,8.3031,11.3617,12.6016,13.452,16.4867,20.08158451
E07000168,Scarborough,24.5604,21.9745,19.4996,12.8447,13.8327,17.8947,13.57568723,25.5493,24.4895,20.8525,15.2936,20.1084,19.7197,14.95087122,23.6572,19.6141,18.3176,10.8337,8.175,16.2051,12.18158153
E07000169,Selby,13.1683,11.9623,19.2341,15.8523,12.3244,13.4627,6.80820472,11.7902,12.0143,18.1171,15.5954,15.5966,17.6186,6.764022974,14.6526,11.9069,20.311,16.0665,9.1029,9.453,6.852504212
E08000016,Barnsley,24.4361,22.3997,22.5358,21.2289,20.5594,18.1557,17.40702807,24.5412,24.5138,24.7182,21.9698,21.5035,18.99,19.58673157,24.3328,20.3642,20.4025,20.5131,19.6445,17.3818,15.30166374
E08000017,Doncaster,23.4389,22.0367,21.4891,19.5756,19.8392,19.7291,19.561646,25.5247,21.5761,22.2651,18.7086,20.791,19.4614,20.82935708,21.477,22.4889,20.7589,20.4097,18.9502,19.9902,18.31507242
E08000018,Rotherham,22.1016,20.8409,19.4244,18.1208,18.3441,16.249,18.92297288,24.9738,23.2981,21.2369,19.4285,20.8968,18.5998,20.9847875,19.4275,18.5925,17.6385,16.8338,15.7959,13.8759,16.92073324
E08000019,Sheffield,20.1639,18.7739,17.21,18.3608,16.0181,16.9784,12.50570134,24.3929,19.893,18.2694,20.8157,18.622,19.7715,13.5449201,16.1843,17.684,16.1929,16.0075,13.4984,14.267,11.51901681
E08000032,Bradford,22.3415,22.7542,20.3283,20.8691,22.1745,18.8684,18.47354775,26.0592,23.3038,23.0173,25.111,25.9305,22.5271,21.52811148,18.9202,22.2285,17.7721,16.8817,18.4945,15.286,15.50802433
E08000033,Calderdale,21.5656,21.1053,19.9148,18.7339,18.6666,17.057,15.5449658,23.4783,22.3822,22.0805,21.1717,19.9434,17.2826,15.77333065,19.7194,19.8759,17.8868,16.4586,17.4258,16.8482,15.33324787
E08000034,Kirklees,20.6057,19.1776,20.6436,16.4185,16.8178,17.0568,15.06856718,23.8149,20.2198,23.2942,15.4648,17.2569,20.2129,15.67076971,17.4768,18.1755,18.1123,17.3558,16.3949,13.9121,14.49081283
E08000035,Leeds,22.7238,21.4819,22.1554,18.5067,17.8356,16.6914,18.19960967,25.1565,24.8964,24.4367,20.5257,18.1777,17.0429,20.78811603,20.4387,18.3206,19.9896,16.591,17.5175,16.3636,15.70987348
E08000036,Wakefield,25.1198,23.4459,22.382,21.9125,19.4912,17.9403,19.33644764,25.8232,25.901,23.3714,22.4465,18.3724,17.1695,22.6294362,24.4438,21.0673,21.4561,21.4004,20.6062,18.6677,16.38171093
E06000015,Derby,19.5784,21.5156,17.5995,18.6622,17.8258,18.9108,19.24812337,20.676,24.8253,19.1819,18.9598,18.9785,20.4995,21.64112369,18.5284,18.372,16.0258,18.3652,16.7514,17.3554,16.88243065
E06000016,Leicester,21.0466,21.7036,19.2057,20.0534,16.966,17.7246,17.33418887,25.5866,26.8995,23.378,24.8892,21.4391,21.858,20.96309747,16.688,16.8283,15.1851,15.4799,12.3864,13.8612,13.62155944
E06000017,Rutland,10.966,11.9276,13.6466,11.5652,12.2738,9.2572,10.75874126,12.1538,14.9888,15.7071,12.7219,14.3054,9.9339,12.09523135,9.9009,9.0535,11.71,10.4966,10.2738,8.5804,9.456754331
E06000018,Nottingham,24.175,25.4153,24.9841,24.053,21.5387,19.4379,20.58185113,25.9547,27.5923,25.8226,28.4048,24.1948,21.7525,23.1242504,22.3379,23.2069,24.1345,19.7343,18.8483,17.1878,17.97948072
E07000032,Amber Valley,20.9814,9.9684,17.1384,18.4336,10.6843,15.239,15.42176039,28.3787,14.7802,19.875,21.9085,14.0134,14.8768,13.93638992,13.8718,5.6602,14.6238,15.1849,7.9439,15.5769,16.8677121
E07000033,Bolsover,18.7928,22.9988,25.55,19.5708,18.013,16.7134,18.23880701,21.6297,31.7751,29.4566,19.6441,16.6721,17.9669,17.89943427,16.0092,14.7976,21.7345,19.5014,19.3966,15.3967,18.57405672
E07000034,Chesterfield,18.2066,22.4962,26.1267,18.2085,16.2729,17.4755,17.29139525,18.3032,20.6179,25.7338,18.4089,17.5449,18.1933,19.96628829,18.1191,24.5835,26.5024,18.0125,14.9021,16.6748,14.90874114
E07000035,Derbyshire Dales,20.0633,11.6941,12.1359,12.1893,14.2571,10.379,9.483524549,17.1385,16.8341,13.3485,18.0592,19.5646,12.8591,5.324111308,22.7508,6.6996,10.9267,6.7267,9.5248,8.0991,13.32788226
E07000036,Erewash,16.0499,23.6902,22.462,20.3871,10.6661,15.4149,11.00078421,22.4981,23.9815,20.7721,23.7692,9.9159,18.0074,10.26531235,9.7206,23.4414,23.9324,17.2802,11.4413,13.2516,11.71199782
E07000037,High Peak,18.4685,21.2792,15.3782,17.1623,16.1709,15.7982,15.50533213,24.2759,24.5997,15.5544,20.4159,24.3006,19.7566,17.14063714,12.6041,18.1529,15.1853,14.0751,8.0372,12.2696,14.02043235
E07000038,North East Derbyshire,18.3128,17.2248,14.6015,20.8256,14.6852,15.8929,9.307853204,17.7035,17.0042,12.3237,19.8965,17.3168,20.6801,9.589508719,18.8432,17.4461,16.7972,21.6882,12.0043,11.2546,9.05050295
E07000039,South Derbyshire,15.1144,13.1305,21.6007,13.9263,13.3578,12.9535,14.39135212,14.0776,14.527,25.7598,17.451,16.7571,13.6205,19.77353743,16.1114,11.7688,18.1279,10.6847,10.3163,12.3082,9.101080588
E07000129,Blaby,20.2978,17.9287,16.0396,15.5131,20.2877,12.5009,11.44023189,23.8318,21.4578,18.4869,12.8389,16.9382,10.8021,11.63896954,16.9699,14.3704,13.7566,17.8334,23.3758,14.3568,11.266196
E07000130,Charnwood,20.7093,15.5127,17.4588,18.0175,10.4724,13.4566,12.8088115,22.4926,15.9205,17.8661,17.279,11.5963,13.0817,12.2552229,18.9421,15.1145,17.0565,18.7553,9.2805,13.8351,13.35242632
E07000131,Harborough,16.1824,14.0735,14.718,10.5445,11.1843,10.5527,8.220449601,20.6934,15.1218,25.0033,12.5933,7.5098,8.4846,7.936461331,12.0062,13.1436,5.7018,8.8054,14.7915,12.8285,8.497649891
E07000132,Hinckley and Bosworth,22.1263,18.0554,18.0276,23.5078,11.596,11.9066,15.03620633,25.4964,18.0341,23.4592,28.1399,11.9393,14.7494,17.21081646,19.1346,18.0739,12.3331,19.3566,11.2791,9.3155,12.90712823
E07000133,Melton,16.5098,19.1743,19.4959,14.1758,10.5037,14.6932,17.34816677,15.1862,10.313,16.6469,15.6539,13.3641,11.6064,21.25732861,17.7056,28.5661,21.855,12.8691,7.914,17.5768,14.00872756
E07000134,North West Leicestershire,18.3877,18.1433,17.4442,22.0577,19.0407,12.0078,19.25231928,22.302,17.4135,21.9867,20.6593,18.151,13.977,24.80788459,14.5202,18.8082,13.2291,23.3636,19.9611,10.1721,14.53256965
E07000135,Oadby and Wigston,17.9242,20.784,12.0129,13.0126,11.0936,7.4583,6.33252912,23.2778,25.7653,16.6813,10.6791,9.6208,10.1219,9.141791045,13.1003,15.1624,7.3734,14.983,12.6497,5.2818,3.669075656
E07000136,Boston,18.9061,24.7432,17.5605,23.2906,24.9094,20.5324,22.40968511,14.0633,22.4659,17.3863,30.7115,29.0491,26.8705,28.90806197,23.1615,26.9084,17.7232,16.7299,21.0697,14.1227,16.8124975
E07000137,East Lindsey,24.1567,22.8959,19.7047,20.4771,18.4259,16.8407,16.61298222,27.4063,25.2108,24.7497,20.8366,18.7295,19.8975,19.35204268,20.9842,20.672,15.2753,20.1135,18.1372,14.0154,13.99214877
E07000138,Lincoln,28.1434,19.1801,17.8111,19.8297,21.0117,17.6183,26.1497745,28.0398,21.8552,19.5716,14.6186,23.0416,13.8717,29.99481328,28.2411,16.5106,15.9568,24.6277,19.0757,21.2256,21.97306891
E07000139,North Kesteven,17.6819,18.5306,12.7239,11.7307,11.063,15.6975,13.61773681,17.2628,21.43,15.2552,12.3043,13.7339,16.1099,13.56628448,18.0475,16.0718,10.2356,11.1199,8.599,15.3028,13.66505667
E07000140,South Holland,14.8156,24.5869,24.0032,16.6921,19.0296,15.5916,19.10415936,19.1135,25.5639,24.3412,17.8347,20.3954,18.6241,22.1605068,10.8309,23.6759,23.675,15.6462,17.7517,13.0704,16.20929902
E07000141,South Kesteven,13.26,16.2956,12.6663,12.2758,15.9776,14.4532,15.84887051,12.6703,18.0972,14.3033,16.0105,19.9973,16.0441,15.24875722,13.8328,14.5395,11.054,9.0238,12.1156,12.8747,16.37955683
E07000142,West Lindsey,17.3183,15.4972,12.0086,18.8957,17.9796,15.3952,13.28960947,22.3331,23.1949,13.9142,21.9982,17.5747,16.9255,17.36363395,12.6959,8.5766,10.4816,16.2706,18.3365,13.964,9.013998275
E07000150,Corby,21.5451,18.9157,29.7755,32.2868,20.0008,15.9763,19.697135,21.4865,20.3871,36.2508,36.8329,19.5252,16.1173,24.24269109,21.6117,17.3156,22.7295,28.2457,20.4933,15.8422,15.23121512
E07000151,Daventry,20.2493,9.3702,11.7938,13.5272,19.0746,12.8237,16.07580343,19.3531,8.9378,11.3808,17.7046,17.3528,11.0351,20.75972374,21.2061,9.7781,12.1952,8.9048,20.8755,14.4326,11.47418042
E07000152,East Northamptonshire,18.931,16.6358,18.3037,21.6324,20.2666,14.4481,9.881471099,20.6149,18.5775,19.5703,25.6161,25.7308,20.065,12.8509389,17.4134,15.0268,17.1086,17.544,15.3207,9.2415,6.933819065
E07000153,Kettering,19.2894,13.125,14.2488,19.0111,13.1537,18.5155,16.47360861,16.7966,10.6325,15.279,28.8177,12.1893,26.4178,15.58685446,21.7417,15.3856,13.2553,8.6334,14.0089,10.9719,17.31963688
E07000154,Northampton,21.8317,20.6992,24.374,18.7417,17.9569,21.4601,17.18759599,21.9262,21.1749,29.4124,19.7927,14.7122,26.5794,18.32494206,21.7404,20.2203,19.4919,17.6442,20.9954,16.5169,15.99204738
E07000155,South Northamptonshire,12.3143,8.3857,10.4391,12.1802,7.9838,9.1779,7.166210622,11.6595,10.6179,11.6773,14.1027,11.0114,10.5751,5.577552074,12.9561,6.1214,9.1013,10.2902,5.0572,7.8476,8.686935267
E07000156,Wellingborough,28.448,20.3409,15.9398,18.2627,15.2303,10.0931,19.87112535,36.1293,25.1905,22.503,22.7124,21.085,5.5125,24.39505091,21.6002,15.9405,10.424,14.1022,10.4267,13.9972,15.61017532
E07000170,Ashfield,25.5152,18.9355,19.6572,17.4075,21.1089,15.7443,16.57793977,31.1855,27.7492,23.1233,21.4559,21.7225,16.4106,18.5116922,20.7086,11.0852,16.6569,13.6819,20.5257,15.1056,14.65133361
E07000171,Bassetlaw,18.9539,22.7873,16.2697,23.5791,14.8646,19.5562,18.59834086,16.9753,28.8092,19.3947,23.3499,18.4457,21.7923,22.8805682,20.8873,17.2195,13.5579,23.801,11.424,17.7369,14.28982518
E07000172,Broxtowe,18.5816,17.4411,14.9169,12.0475,16.54,18.6838,13.44378698,18.967,16.3094,16.8319,12.0079,16.6949,16.9966,15.7439673,18.234,18.6715,12.916,12.086,16.4069,20.2272,11.35888667
E07000173,Gedling,15.4887,16.8328,19.0464,17.4244,12.0681,12.6062,15.22270088,18.1781,19.5417,18.6787,19.8104,12.8896,12.4565,18.67667642,12.8535,13.8789,19.3885,15.1553,11.3531,12.7546,12.00512067
E07000174,Mansfield,24.4695,24.7947,18.7851,15.6221,20.9285,18.6172,23.07019283,26.8972,29.662,27.5809,19.5917,21.4001,18.1528,22.3991687,22.1691,20.3017,10.8998,11.6,20.4019,19.0687,23.69643663
E07000175,Newark and Sherwood,18.4851,19.171,20.9486,17.0741,16.3479,12.1723,16.49967063,19.6013,19.9382,16.7023,18.7045,18.2504,9.6265,16.72531081,17.4974,18.4338,24.7203,15.577,14.5871,14.5241,16.28055309
E07000176,Rushcliffe,13.8465,10.8943,10.1085,7.4672,8.6454,9.7122,3.584692001,12.9369,14.4813,14.5723,6.4692,2.8835,9.9041,2.891194546,14.6211,7.7176,5.733,8.4272,14.0471,9.519,4.249332316
E06000019,"Herefordshire, County of",16.644,16.5962,14.6137,17.527,14.0212,12.1972,12.63579008,19.5094,17.6109,15.2978,18.3749,14.9588,13.4378,14.48143896,13.9882,15.6166,13.9692,16.699,13.1251,11.0018,10.84045814
E06000020,Telford and Wrekin,21.9213,21.0017,19.976,18.1672,15.6459,16.4587,16.18277548,23.2472,22.1638,22.6743,19.7039,17.2453,17.0531,16.86850949,20.6019,19.8493,17.2727,16.6271,14.0645,15.8828,15.5055911
E06000021,Stoke-on-Trent,24.2687,18.9446,17.9818,18.729,20.2935,18.8657,18.67214438,26.9976,21.9117,20.959,19.3474,22.2611,20.6177,21.69687152,21.6637,16.1113,15.0559,18.1582,18.3193,17.0695,15.62827945
E06000051,Shropshire,18.9598,16.5257,15.0972,14.519,17.1628,14.0359,13.55160112,19.3966,15.8023,18.5544,17.3049,19.9244,14.4825,14.5813597,18.5377,17.2197,11.8233,11.8504,14.4701,13.5996,12.56138666
