occupation,code,earningsa,earningsm,earningsf,earningsannm,earningsannf,jobsm,jobsf,hierarchy
"Planning, process & production technicians",3116,10.16,11.3,8.62,0,0,,,3
Plant & machine operatives,812,9.33,9.33,9.23,,,,,8
Plant & machine operatives n.e.c.,8129,8.56,8.47,8.68,8003,7798,,,8
Playworkers,6123,8.98,9.91,8.97,,5248,,33,6
Podiatrists,2218,19.31,19.21,19.23,0,19991,,,2
"Postal workers, mail sorters, messengers & couriers",9211,12.3,12.3,12.04,,14659,21,16,9
Primary & nursery education teaching professionals,2315,23.22,22.5,23.24,,20306,21,115,2
Prison service officers (below principal officer),3314,15.65,15.71,12.31,15893,,,,3
Process operatives,811,8.62,8.81,8.4,13437,10069,11,12,8
Production managers & directors,112,17,17.55,14.65,9615,10528,78,36,1
Production managers & directors in manufacturing,1121,17.15,17.74,14.94,9000,10492,70,34,1
Programmers & software development professionals,2136,20.27,20.22,19.63,,,7,,2
"Property, housing & estate managers",1251,14.24,15.06,12.93,,15949,7,9,1
Protective service associate professionals n.e.c.,3319,19.09,19.14,18.14,,,,,3
Psychologists,2212,27.56,27.72,27.25,,30452,,9,2
Public services & other associate professionals,356,14.01,14.47,13.77,16979,15722,13,50,3
Public services associate professionals,3561,16.81,17.47,16.61,19815,20279,,9,3
Publicans & managers of licensed premises,1224,10,9.61,9.81,0,8451,,,1
Quality & regulatory professionals,246,19.5,20.46,18.67,,21236,,9,2
Quality assurance & regulatory professionals,2462,19.57,19.42,19.34,,,,6,2
Rail travel assistants,6215,10.3,11.89,9.45,14694,,,,6
Receptionists,4216,9,8.99,9,10070,10140,7,137,4
Records clerks & assistants,4131,10.51,9.72,10.67,,12014,4,34,4
Research & development managers,2150,20.51,27.46,20.07,,,,,2
Research & development managers ,215,20.51,27.46,20.07,,,,,2
"Residential, day & domiciliarycare managers & proprietors",1242,15.33,15.8,15.02,,21828,,6,1
Restaurant & catering establishment managers & proprietors,1223,8.58,8.48,8.63,,9728,,,1
Retail cashiers & check-out operators,7112,8.87,9.13,8.85,9945,8820,18,72,7
Road transport drivers,821,8.95,8.99,8.68,10254,9511,100,18,8
Roundspersons & van salespersons,7123,8.21,8.18,6.43,0,0,,,7
Routine inspectors & testers,8133,11,11.86,9.99,,,,,8
Sales & retail assistants,7111,8.46,8.53,8.42,9426,8457,224,540,7
Sales accounts & business development managers,3545,16.93,15.55,17.15,,20031,6,23,3
Sales administrators,4151,9.96,9.69,9.98,,11390,,12,4
Sales assistants & retail cashiers,711,8.5,8.7,8.5,9515,8606,246,642,7
Sales related occupations,712,8.69,8.38,8.77,,9464,6,15,7
Sales related occupations n.e.c.,7129,8.95,8.29,9.52,,,,5,7
Sales supervisors,713,9.01,9.39,9,,12106,3,10,7
"Sales, marketing & related associate professionals",354,11.78,11.41,11.86,12177,12611,24,79,3
School midday & crossing patrol occupations,9244,9.23,9.36,9.23,2977,2878,5,91,9
School secretaries,4213,9.98,6.57,10,0,11042,,10,4
"Science, engineering & production technicians",311,10.67,10.94,10.64,13741,12300,11,21,3
"Science, engineering & production technicians n.e.c.",3119,10.61,10.02,10.78,,11867,,7,3
Secondary education teaching professionals,2314,25.08,26.77,24.38,29096,22142,39,84,2
Secretarial & related occupations,421,9.63,9,9.66,,10289,19,281,4
Security guards & related occupations,9241,9.12,8.99,9.48,9271,,18,7,9
Senior care workers,6146,9.6,9.22,9.73,,11788,,21,6
Senior professionals of educational establishments,2317,40.75,42.34,35.95,59215,47502,10,16,2
Sewing machinists,8137,8.22,8.21,8.29,0,,,5,8
Shelf fillers,9251,8.87,8.88,8.47,10394,9968,12,16,9
Shopkeepers & proprietors – wholesale & retail,1254,10.77,11.84,9.36,,,,,1
Social workers,2442,18.61,18.03,18.62,,19268,,23,2
Sports & fitness occupations,344,11.46,11.22,11.79,,,35,37,3
Sports & leisure assistants,6211,8.92,8.87,8.97,,,25,24,6
"Sports coaches, instructors & officials",3442,12.09,12.19,12.05,,,19,23,3
Stock control clerks & assistants,4133,9.18,9.15,9.19,11698,11130,6,10,4
Tailors & dressmakers,5414,8.21,7.91,8.21,,9880,,,5
Taxi & cab drivers & chauffeurs,8214,8.22,8.29,8.21,,,6,,8
Teaching & educational professionals,231,23.48,24.99,23.25,17761,19713,130,305,2
Teaching & other educational professionals n.e.c.,2319,20.49,20.2,20.48,,8527,19,33,2
Teaching assistants,6125,9.77,10.68,9.72,10984,10424,15,189,6
Telephone salespersons,7113,9.61,8.36,9.78,,10249,,,7
Telephonists,7213,8.96,8.68,8.96,,10227,,4,7
Therapy professionals,222,21.12,21.24,20.85,,21022,,43,2
Therapy professionals n.e.c.,2229,22.07,27.01,20.56,32839,22123,,7,2
Transport & distribution clerks & assistants,4134,10.52,10.24,10.54,,,,4,4
Travel agents,6212,8.88,8.29,8.89,,11712,,9,6
Typists & related keyboard occupations,4217,9.95,8.85,9.98,,11632,,5,4
Van drivers,8212,8.57,8.62,8.44,9772,8912,64,12,8
Vehicle valeters & cleaners,9236,8.21,8.21,8.21,6908,,4,,9
Vocational & industrial trainers & instructors,3563,13.65,13.52,13.66,,14291,,16,3
Waiters & waitresses,9273,8.21,8.15,8.21,,6325,44,118,9
"Weighers, graders & sorters",8134,10.39,9.42,10.33,,,,,8
Welfare & housing associate professionals,323,11.76,11.29,11.9,,12982,17,88,3
Welfare & housing associate professionals n.e.c.,3239,11.5,11.32,11.51,,13216,7,37,3
Welfare professionals,244,18.52,17.6,18.55,17212,19381,16,34,2
Youth & community workers,3231,11.41,10.43,11.74,,10662,7,26,3
