occupation,code,earningsa,earningsm,earningsf,earningsannm,earningsannf,jobsm,jobsf,hierarchy
Cleaning & housekeeping managers & supervisors,624,9.63,10.21,9.47,20624,14434,13,36,6
Clergy,2444,13.58,13.39,13.87,25941,24168,31,11,2
Collector salespersons & credit agents,7121,10.25,10.39,9.27,,,,,7
Communication operators,7214,13.88,14.36,13.43,27924,22672,7,8,7
Conference & exhibition managers & organisers,3546,12,11.99,11.99,26325,23644,10,32,3
Conservation & environment professionals,214,18.21,18.71,16.97,35566,30752,30,15,2
Conservation & environmental associate professionals,355,11.2,11.06,11.88,22209,22757,,,3
Conservation professionals,2141,16.42,18.21,15.2,35264,27611,7,,2
Construction & building trades,531,13,13,11.03,26911,21451,221,,5
Construction & building trades n.e.c.,5319,12.03,11.99,13.64,26502,22613,31,,5
Construction & building trades supervisors,533,16,16.23,13.52,38257,22893,36,,5
Construction operatives,814,11.8,12,9.13,26684,15077,135,10,8
Construction operatives n.e.c.,8149,11.08,11.31,9.02,24214,15027,90,9,8
Construction project managers & related professionals,2436,18.06,18.02,18.65,38558,,18,5,2
Cooks,5435,8.88,8.54,8.94,,12794,13,49,5
Counsellors,3235,14.49,12.25,14.9,,18088,,13,3
Credit controllers,4121,11.91,12.35,11.75,24270,21774,7,19,4
Customer service managers & supervisors,722,13.87,14.97,12.82,32424,25466,41,49,7
Customer service occupations,721,9.99,10.1,9.95,20298,16483,178,293,7
Customer service occupations n.e.c.,7219,9.99,10.21,9.93,20549,16528,148,250,7
"Debt, rent & other cash collectors",7122,9.97,9.97,9.98,19611,17768,9,6,7
Dental nurses,6143,10.15,9.47,10.18,18911,14614,,41,6
Dental practitioners,2215,28.49,35.46,21.52,,,,5,2
Design & development engineers,2126,20.99,20.94,22.08,41302,40590,86,7,2
Design occupations,342,13.9,14.12,13.43,28952,26000,50,39,3
Dispensing opticians,3216,12.52,13.16,12,24563,17972,,,3
Draughtspersons,3122,14.85,15.12,14.49,30510,26927,28,6,3
Draughtspersons & related architectural technicians,312,14.7,14.83,14.38,30344,27322,39,12,3
Driving instructors,8215,12.93,13,11.96,,,,,8
Educational support assistants,6126,9.92,9.58,9.96,12908,12332,18,147,6
Electrical & electronic trades,524,15.22,15.26,14.42,33347,25543,298,12,5
Electrical & electronic trades n.e.c.,5249,15.31,15.33,14.52,34397,,119,8,5
Electrical engineers,2123,24.13,24.35,20.46,50016,,21,,2
Electricians & electrical fitters,5241,15.04,15.08,11.93,32851,,139,,5
Elementary administration occupations,921,12.3,12.45,11.57,26308,17699,118,49,9
Elementary administration occupations n.e.c.,9219,8.75,9.06,8.55,17172,12285,10,16,9
Elementary agricultural occupations,911,9.12,9.24,8.68,20967,,43,13,9
Elementary cleaning occupations,923,8.69,8.9,8.61,15026,7799,179,464,9
Elementary cleaning occupations n.e.c.,9239,9.25,10,9.07,,,,,9
Elementary construction occupations,912,10,10,8.61,22382,,71,4,9
Elementary process plant occupations,913,9.26,9.76,8.7,21822,17658,149,75,9
Elementary process plant occupations n.e.c.,9139,9.88,10.18,9,22723,18003,86,23,9
Elementary sales occupations,925,8.94,9.06,8.85,13041,11153,21,20,9
Elementary sales occupations n.e.c.,9259,9.13,9.49,8.95,,13360,,,9
Elementary security occupations,924,9.47,9.83,9.33,21307,3203,112,117,9
Elementary security occupations n.e.c.,9249,10,10,9.55,,16697,12,3,9
Elementary storage occupations,926,9.64,9.9,9,21379,17514,424,109,9
Energy plant operatives,8124,16.33,16.58,9.76,34152,,6,,8
Engineering professionals,212,20.65,20.74,20.04,42341,36894,373,47,2
Engineering professionals n.e.c.,2129,20.43,20.62,18.97,43184,,144,24,2
Engineering technicians,3113,16.07,16.35,14.39,34215,26470,69,12,3
Environment professionals,2142,18.47,19.06,17.49,,31705,23,10,2
Environmental health professionals,2463,19.33,18.35,19.63,34411,35342,,6,2
Estate agents & auctioneers,3544,11.69,12.98,11.07,,18954,11,18,3
"Estimators, valuers & assessors",3531,15.27,16.01,14.37,33268,25176,29,18,3
Farm workers,9111,9.21,9.21,9.05,21885,,28,8,9
Farmers,5111,10.97,11.1,10.38,25559,,,,5
Finance & investment analysts & advisers,3534,19.14,19.79,18.23,38693,32637,80,58,3
Finance officers,4124,13.68,15.33,13.5,28892,22449,5,18,4
Financial & accounting technicians,3537,21.99,22.39,20.6,43542,36078,15,17,3
Financial accounts managers,3538,18.36,22.59,16.44,45120,29606,48,68,3
Financial administrative occupations n.e.c.,4129,11.16,11.24,11.13,21080,19000,36,90,4
Financial institution managers & directors,115,24.77,29.4,19.61,53565,37993,38,27,1
Financial managers & directors,1131,31.42,36.06,25.24,72878,44288,194,135,1
Fire service officers (watch manager & below),3313,15.86,15.93,15.52,35454,34679,46,7,3
Fishing & other elementary agriculture occupations n.e.c.,9119,8.88,9.03,8.42,,,13,5,9
Fishmongers & poultry dressers,5433,9.03,9.18,8.9,,,,,5
Fitness instructors,3443,10.33,9.74,10.99,,,15,18,3
Food preparation & hospitality trades,543,9.62,9.88,9.36,20726,15805,274,149,5
"Food, drink & tobacco process operatives",8111,9.31,9.73,8.82,21206,17837,96,47,8
Footwear & leather working trades,5413,10.1,10.55,8.62,21528,,,,5
Fork-lift truck drivers,8222,10.45,10.45,9.92,23686,,29,,8
Functional managers & directors,113,29.95,34.05,25.82,67477,45970,492,361,1
Functional managers & directors n.e.c.,1139,26.23,30.49,23.48,57724,42191,36,34,1
Further education teaching professionals,2312,20.42,20.52,20.41,34406,29704,72,70,2
Gardeners & landscape gardeners,5113,10.24,10.23,10.2,20252,,35,,5
"Glass & ceramics makers, decorators & finishers",5441,10.77,10.82,9.63,21843,17517,,,5
Glass & ceramics process operatives,8112,10.06,10.43,8.27,24174,,,,8
Graphic designers,3421,13.44,13.65,13.06,27647,23864,32,20,3
Groundsmen & greenkeepers,5114,9.93,9.93,9.81,19696,,41,,5
Hairdressers & barbers,6221,8.21,8.22,8.21,,10856,9,45,6
Hairdressers & related services,622,8.52,8.32,8.52,,11151,12,82,6
Hairdressing & beauty salon managers & proprietors,1253,11.54,10.11,11.59,19968,,,7,1
Health & safety officers,3567,17.34,17.52,16.76,37081,28401,25,8,3
Health & social services managers & directors,118,23.93,26.97,22.42,49656,41048,22,42,1
Health associate professionals,321,15.39,18.81,13.46,35958,22968,32,58,3
Health associate professionals n.e.c.,3219,12.2,12.17,12.19,,17443,,9,3
Health care practice managers,1241,16.65,16.22,16.76,,28240,,16,1
Health professionals,221,24.24,26.76,22.85,52381,36665,217,266,2
Health professionals n.e.c.,2219,18.8,19.27,18.64,37028,28057,13,31,2
Health services & public health managers & directors,1181,25.31,28.07,23.51,50988,43756,18,27,1
Higher education teaching professionals,2311,26.76,27.91,25.56,49807,41879,102,69,2
Horticultural trades,5112,8.85,8.64,8.97,,17837,,,5
Hospital porters,9271,10.21,10.22,9.79,19682,,4,,9
Hotel & accommodation managers & proprietors,1221,13.8,14.35,12.43,31438,25616,9,9,1
Housekeepers & related occupations,6231,9.02,9.08,9,,12532,7,35,6
Housekeeping & related services,623,9.78,10.21,9.05,18754,,68,47,6
Houseparents & residential wardens,6144,12.13,12.5,11.9,24249,,,11,6
Housing officers,3234,14.9,15.24,14.65,29263,25966,10,30,3
Human resource managers & directors,1135,24.51,25.35,23.94,52194,42214,40,100,1
Human resources & industrial relations officers,3562,14.37,14.37,14.42,30693,26537,48,105,3
Human resources administrative occupations,4138,10.94,9.86,11.24,18036,19304,5,18,4
Importers & exporters,3536,14.92,16.17,13.5,32479,24207,,,3
Industrial cleaning process occupations,9132,8.52,8.81,8.28,18948,,13,10,9
Information technology & telecommunications directors,1136,36.04,36.32,35.57,67952,,28,7,1
Information technology & telecommunications professionals,213,22.41,22.69,21.08,44360,38266,597,127,2
Information technology & telecommunications professionals n.e.c.,2139,20.36,20.54,19.65,42257,,88,21,2
Information technology technicians,313,15.36,15.65,14.38,31496,27057,191,73,3
Inspectors of standards & regulations,3565,15.6,15.4,15.79,30981,25498,17,6,3
Insurance underwriters,3533,18.58,19.15,17.5,36857,29306,12,12,3
"IT business analysts, architects & systems designers",2135,24.35,24.92,22,48368,38475,102,20,2
IT operations technicians,3131,15.93,16.21,15.49,32073,28500,86,35,3
IT project & programme managers,2134,26.54,26.1,27.69,47101,50579,16,6,2
IT specialist managers,2133,24.32,24.44,24.27,47774,43318,133,38,2
IT user support technicians,3132,15.05,15.43,13.73,31072,25113,106,38,3
"Journalists, newspaper & periodical editors",2471,17.72,19.05,16.92,35158,27344,25,17,2
Kitchen & catering assistants,9272,8.35,8.22,8.43,11694,9231,195,349,9
Laboratory technicians,3111,10.87,11.31,10.64,22323,18595,27,44,3
Large goods vehicle drivers,8211,11.86,11.87,11.04,30246,26193,210,,8
"Launderers, dry cleaners & pressers",9234,8.25,8.28,8.25,,12750,5,13,9
Legal associate professionals,352,15,15.96,14.31,30756,27037,20,44,3
Legal professionals,241,26.14,29.66,24.69,54498,42538,65,74,2
Legal professionals n.e.c.,2419,39.48,42.18,38.38,81570,59718,23,24,2
Legal secretaries,4212,11.28,11.26,11.27,,19206,,26,4
Leisure & sports managers,1225,14.37,14.73,14.07,31635,25529,23,15,1
Leisure & theme park attendants,9275,8.51,8.5,8.52,,,15,12,9
Leisure & travel service occupations n.e.c.,6219,10.33,10,10.7,,,11,6,6
Leisure & travel services,621,10.02,10.52,9.76,19782,16158,84,82,6
Librarians,2451,13.83,16.94,12.87,,20729,,10,2
Librarians & related professionals,245,14.35,14.89,14,,21750,,17,2
Library clerks & assistants,4135,10.36,10.54,10.33,18528,12735,5,18,4
Local government administrative occupations,4113,12.75,14.05,12.35,27098,20550,17,49,4
Management consultants & business analysts,2423,21.32,22.28,20.43,42697,36086,125,70,2
Managers & directors in retail & wholesale,119,13.15,14.48,11.7,31727,22545,188,154,1
Managers & directors in storage & warehousing,1162,13.98,14.32,12.77,30324,26263,96,31,1
Managers & directors in transport & distribution,1161,18.05,18.13,17.79,39687,34620,60,12,1
Managers & directors in transport & logistics,116,15.42,15.67,14.2,33550,28816,156,42,1
Managers & proprietors in agriculture related services,121,13.57,14.02,11.55,31268,,15,,1
Managers & proprietors in health & care services,124,16.63,16.42,16.76,32280,31005,13,61,1
Managers & proprietors in hospitality & leisure services,122,12.28,12.95,11.5,29730,23660,67,58,1
Managers & proprietors in other services,125,16.15,17.6,14.62,35118,26581,132,97,1
Managers & proprietors in other services n.e.c.,1259,15.4,16.73,13.81,34144,25827,45,38,1
Market research interviewers,7215,9.98,10.15,9.93,,,,4,7
Marketing & sales directors,1132,37.01,38.33,34.13,80051,68770,143,56,1
Marketing associate professionals,3543,14.27,14.71,13.8,28957,26471,57,96,3
Mechanical engineers,2122,20.3,20.19,21.45,40087,,31,,2
Media professionals,247,17.95,19.94,16.62,37432,29658,56,47,2
Medical & dental technicians,3218,14.84,15.38,14.32,28227,24121,10,12,3
Medical practitioners,2211,31.28,33.98,28.05,74169,48775,151,125,2
Medical radiographers,2217,20,19.44,20,38104,33696,11,24,2
Medical secretaries,4211,11.56,11.29,11.55,20281,16821,,41,4
Merchandisers & window dressers,7125,9.58,9.04,9.7,20963,15801,6,15,7
"Metal forming, welding & related trades",521,12.48,12.49,11.29,27708,20250,68,,5
"Metal machining, fitting & instrument making trades",522,14,14.01,11.19,31620,22354,380,13,5
Metal working machine operatives,8125,10.49,10.81,9.32,24084,,17,,8
Metal working production & maintenance fitters,5223,14.37,14.39,11.78,32900,24197,305,11,5
Mobile machine drivers & operatives,822,11.44,11.49,9.78,27895,,78,,8
Mobile machine drivers & operatives n.e.c.,8229,12.31,12.5,9,29969,,40,,8
Musicians,3415,19.38,18.35,19.06,,,,,3
National government administrative occupations,4112,12.27,12.62,11.85,26478,23216,47,65,4
Natural & social science professionals,211,19.67,19.93,19.47,37690,34321,74,61,2
Natural & social science professionals n.e.c.,2119,19.93,20.37,19.24,39373,34870,28,20,2
Nursery nurses & assistants,6121,8.85,8.93,8.85,16048,13310,7,182,6
Nurses,2231,18.04,18.48,18,32718,27453,139,813,2
Nursing & midwifery professionals,223,18.24,18.49,18.19,32736,27667,140,856,2
Nursing auxiliaries & assistants,6141,10.93,10.91,10.93,20774,16692,79,319,6
Occupational therapists,2222,18.37,17.44,18.42,29476,25841,,32,2
Office managers,4161,15.55,17.27,15,35010,27971,56,139,4
Office supervisors,4162,12.73,13.4,12.44,27475,23530,16,22,4
Ophthalmic opticians,2214,23.14,22.96,23.33,,,,,2
Other administrative occupations,415,11.08,11.69,10.96,21867,16705,252,857,4
Other administrative occupations n.e.c.,4159,11.13,11.77,10.98,21720,16315,235,801,4
Other drivers & transport operatives,823,19.53,19.35,24.26,46204,,55,,8
Other drivers & transport operatives n.e.c.,8239,12.21,12.11,11.44,,0,6,,8
Other elementary services occupations,927,8.29,8.24,8.31,10411,8697,348,610,9
Other elementary services occupations n.e.c.,9279,8.59,8.59,8.57,16189,,8,6,9
Other skilled trades,544,10.99,11.43,9.83,25018,16228,27,8,5
"Packers, bottlers, canners & fillers",9134,9.03,9.43,8.75,20480,17829,49,42,9
Painters & decorators,5323,11.64,11.69,8.81,24878,,21,,5
Paper & wood machine operatives,8121,10.04,10.35,8.49,22398,14596,15,,8
Paramedics,3213,19.83,20.74,18.83,40284,34861,16,13,3
Parking & civil enforcement occupations,9242,10.13,10.06,10.22,19465,19402,9,,9
Pensions & insurance clerks & assistants,4132,11.64,12.09,11.34,23639,19788,15,22,4
Personal assistants & other secretaries,4215,12.24,9.95,12.41,,19529,16,198,4
Pharmaceutical technicians,3217,11.52,11.64,11.43,21162,,,20,3
Pharmacists,2213,21.13,21.87,20.98,40000,33539,19,34,2
Pharmacy & other dispensing assistants,7114,8.85,8.83,8.85,16803,12724,6,48,7
"Photographers, audio-visual & broadcasting equipment operators",3417,13.43,13.54,13.38,25815,19253,13,,3
Physiotherapists,2221,18.69,17,19.23,29818,27994,18,39,2
"Planning, process & production technicians",3116,14.58,15.02,12.83,31917,26735,30,12,3
Plant & machine operatives,812,10.99,11.3,9.35,25366,,76,11,8
Plant & machine operatives n.e.c.,8129,10.79,10.99,9.24,24752,,12,,8
Plastics process operatives,8116,10.25,10.63,9.36,22488,,11,,8
Playworkers,6123,9,10.23,8.97,,5945,,37,6
Plumbers & heating & ventilating engineers,5314,14.66,14.67,11.73,30963,,58,,5
Podiatrists,2218,19.55,20.95,19.21,30516,,,,2
Police community support officers,3315,14.07,14.17,13.79,26807,24941,6,6,3
Police officers (sergeant & below),3312,19.19,19.39,18.78,42225,38407,133,61,3
"Postal workers, mail sorters, messengers & couriers",9211,12.45,12.56,12.3,26695,21256,108,32,9
Primary & nursery education teaching professionals,2315,22.04,22.44,21.86,35100,30788,104,376,2
Print finishing & binding workers,5423,10.72,10.86,10.07,23155,17012,10,,5
Printing machine assistants,8127,10.18,10.93,9.24,24339,18738,13,5,8
Printing trades,542,11.41,11.96,10.03,24762,18681,28,,5
Prison service officers (below principal officer),3314,14.85,14.85,13.26,30946,26418,20,9,3
Probation officers,2443,18.14,17.79,18.44,33755,28771,,8,2
Process operatives,811,9.85,10.48,8.87,23133,17842,157,58,8
"Product, clothing & related designers",3422,14.83,15.04,14.23,32252,27872,17,20,3
Production & process engineers,2127,20.49,20.47,20.75,40728,37068,45,5,2
Production managers & directors,112,21.77,22.51,19.71,45375,33323,607,151,1
Production managers & directors in construction,1122,21.28,21.48,19.92,46630,39522,102,8,1
Production managers & directors in manufacturing,1121,21.92,22.96,19.76,44948,33009,495,141,1
Programmers & software development professionals,2136,21.97,22.31,20.8,42984,35897,219,30,2
"Property, housing & estate managers",1251,17.34,18.61,15.69,37544,27597,68,47,1
Protective service associate professionals n.e.c.,3319,16.83,17.22,16.31,35596,30059,15,10,3
Protective service occupations,331,18.52,18.76,17.32,39342,34132,220,93,3
Psychologists,2212,24.75,24.3,24.71,42845,32593,7,23,2
Public relations professionals,2472,15.46,16.43,14.82,33932,28000,16,18,2
Public services & other associate professionals,356,15.65,15.86,15.25,31711,27239,194,247,3
Public services associate professionals,3561,16.79,17.19,16.48,33381,30576,44,45,3
Publicans & managers of licensed premises,1224,11.98,11.98,11.81,,,7,,1
Purchasing managers & directors,1133,24.48,25.18,23.7,50808,42357,43,25,1
Quality & regulatory professionals,246,20.64,20.81,20.21,40549,35696,89,54,2
Quality assurance & regulatory professionals,2462,22.39,23.22,21.07,45101,37980,51,39,2
Quality assurance technicians,3115,13.61,13.71,12.97,27985,25237,23,9,3
Quality control & planning engineers,2461,18.73,18.92,16.56,37416,29264,34,10,2
Quantity surveyors,2433,21.75,22.24,20.52,44960,,32,6,2
Rail travel assistants,6215,17.51,17.98,13.88,37393,31251,17,6,6
Receptionists,4216,9.27,9.75,9.24,17696,13247,23,238,4
Records clerks & assistants,4131,11.22,11.87,11.13,24345,18765,32,103,4
Refuse & salvage occupations,9235,9.96,10,8.88,20322,16425,18,,9
Research & development managers,2150,25.53,26.04,22.94,48960,38744,38,24,2
Research & development managers ,215,25.53,26.04,22.94,48960,38744,38,24,2
"Residential, day & domiciliarycare managers & proprietors",1242,16.6,16.39,16.7,30865,31613,11,45,1
Restaurant & catering establishment managers & proprietors,1223,11.19,12,10.45,26473,22472,29,26,1
Retail cashiers & check-out operators,7112,8.87,9.09,8.85,12565,9534,26,83,7
Road transport drivers,821,10.8,10.9,9.31,24931,17147,621,38,8
Routine inspectors & testers,8133,12.22,13.31,10.26,27407,19674,40,18,8
Sales & retail assistants,7111,8.74,9,8.52,14768,9959,407,711,7
Sales accounts & business development managers,3545,22.43,24.15,20.6,50200,39089,360,227,3
Sales administrators,4151,10.77,10.79,10.77,22966,19880,17,57,4
Sales assistants & retail cashiers,711,8.8,9.01,8.69,14997,10134,459,853,7
Sales related occupations,712,9.97,10,9.88,21046,17224,33,35,7
Sales related occupations n.e.c.,7129,10.07,10.26,10.02,22063,18259,13,13,7
Sales supervisors,713,10.13,10.97,9.88,23481,19049,35,39,7
"Sales, marketing & related associate professionals",354,18.23,19.82,15.94,42173,30000,634,489,3
School midday & crossing patrol occupations,9244,9.23,9.36,9.23,2974,2884,5,92,9
School secretaries,4213,10.17,8.96,10.15,,16203,,22,4
"Science, engineering & production technicians",311,13.5,14.31,11.73,29973,21522,292,108,3
"Science, engineering & production technicians n.e.c.",3119,13.06,13.5,11.39,29080,20013,130,29,3
Secondary education teaching professionals,2314,23.61,24.46,23.25,39928,33720,190,284,2
Secretarial & related occupations,421,10.23,10,10.27,17951,15594,48,551,4
Security guards & related occupations,9241,9.89,9.76,10.68,22901,21265,87,20,9
Senior care workers,6146,9.75,9.78,9.73,20594,17642,16,66,6
"Senior officers in fire, ambulance, prison & related services",1173,20.15,19.98,20.34,44259,37211,6,,1
Senior officers in protective services,117,25.55,26.06,23.46,52690,44698,13,,1
Senior professionals of educational establishments,2317,32.35,35.9,30.18,59933,50037,42,64,2
Sewing machinists,8137,8.89,8.9,8.85,21108,16346,,16,8
Shelf fillers,9251,8.87,9.01,8.79,13080,10994,19,19,9
Shopkeepers & proprietors – wholesale & retail,1254,12.98,13.06,11.81,25988,19570,7,,1
"Skilled metal, electrical & electronic trades supervisors",525,16.02,16.07,15.27,34997,,39,,5
Social & humanities scientists,2114,17.12,17.09,16.77,,33007,,,2
Social workers,2442,18.93,19.42,18.76,33225,32131,25,90,2
Solicitors,2413,23.09,25.19,21.89,,38416,38,45,2
Special needs education teaching professionals,2316,21.64,21.81,21.44,34659,28384,9,34,2
Sports & fitness occupations,344,11.71,11.86,11.46,,,60,45,3
Sports & leisure assistants,6211,9.24,9.31,9.19,13397,10902,40,32,6
"Sports coaches, instructors & officials",3442,12.09,12.1,12.09,,,33,27,3
Stock control clerks & assistants,4133,10.72,11.14,10.3,22914,19251,44,35,4
Street cleaners,9232,10.04,10.06,9.32,19378,0,6,,9
Taxation experts,3535,26.09,26.63,25.49,49551,41828,9,8,3
Taxi & cab drivers & chauffeurs,8214,8.72,9.16,8.21,,,12,,8
Teaching & educational professionals,231,23.15,24.24,22.41,39290,32254,561,978,2
Teaching & other educational professionals n.e.c.,2319,17.25,18.48,16.13,,19645,37,69,2
Teaching assistants,6125,9.91,10.72,9.84,15859,12707,34,301,6
Telephone salespersons,7113,10.24,10.27,10.23,20701,18824,34,10,7
Telephonists,7213,9.3,11.83,9.16,,12143,,6,7
Textile process operatives,8113,10.12,11.44,9.1,26317,,7,,8
Textiles & garments trades,541,10.18,11.04,8.89,23881,13295,16,6,5
"Textiles, garments & related trades n.e.c.",5419,9.49,9.83,8.94,,,,,5
Therapy professionals,222,18.74,17.05,19,30216,26397,27,100,2
Therapy professionals n.e.c.,2229,19.3,20.46,19.21,32724,26390,,15,2
Train & tram drivers,8231,30.13,30.13,30.13,56560,55076,25,,8
Transport & distribution clerks & assistants,4134,11.87,12.09,11.15,26269,20767,38,22,4
Travel agents,6212,9.91,11.54,9.6,22919,,7,21,6
Typists & related keyboard occupations,4217,10.2,10.64,10.14,21121,16297,6,13,4
"Undertakers, mortuary & crematorium assistants",6148,11.29,11.64,10.44,23678,20810,9,6,6
Upholsterers,5412,11.39,12.19,8.93,25318,,6,,5
Van drivers,8212,9.58,9.7,8.59,20792,,280,20,8
Vehicle & parts salespersons & advisers,7115,10.4,10.5,9.97,23958,,13,,7
"Vehicle technicians, mechanics & electricians",5231,12.44,12.44,10.99,27830,,133,,5
Vehicle trades,523,12.56,12.58,12.08,27990,,179,,5
Vehicle valeters & cleaners,9236,8.48,8.47,8.47,17764,,13,,9
Veterinarians,2216,19.66,18.4,21.09,36658,35248,9,14,2
Vocational & industrial trainers & instructors,3563,14.98,15.51,14.63,28749,25471,55,70,3
Waiters & waitresses,9273,8.21,8.21,8.21,,7823,63,144,9
Web design & development professionals,2137,16.33,16.35,15.83,32149,28797,38,12,2
"Weighers, graders & sorters",8134,10.02,10.33,9.6,,,,,8
Welding trades,5215,12.11,12.14,9.95,27432,,48,,5
Welfare & housing associate professionals,323,12.81,12.89,12.8,24052,21101,69,225,3
Welfare & housing associate professionals n.e.c.,3239,12.27,12.41,12.2,23419,20074,27,90,3
Welfare professionals,244,18.07,17.04,18.54,27031,30690,66,123,2
Welfare professionals n.e.c.,2449,16.99,17.03,16.68,,28447,,14,2
Youth & community workers,3231,12.77,12.51,12.85,23820,20717,25,59,3
