LANAME,LACODE,Year,Rate Females
Daventry                                          ,E07000151,2015-2017,117.9507547
East Northamptonshire                             ,E07000152,2015-2017,122.4005128
Kettering                                         ,E07000153,2015-2017,136.3254284
Northampton                                       ,E07000154,2015-2017,156.0222152
South Northamptonshire                            ,E07000155,2015-2017,109.1199045
Wellingborough                                    ,E07000156,2015-2017,171.7877812
Craven                                            ,E07000163,2015-2017,104.4798933
Hambleton                                         ,E07000164,2015-2017,104.428803
Harrogate                                         ,E07000165,2015-2017,116.2298904
Richmondshire                                     ,E07000166,2015-2017,119.1502444
Ryedale                                           ,E07000167,2015-2017,93.72536205
Scarborough                                       ,E07000168,2015-2017,143.8543292
Selby                                             ,E07000169,2015-2017,130.9588659
Ashfield                                          ,E07000170,2015-2017,156.6918206
Bassetlaw                                         ,E07000171,2015-2017,166.2407216
Broxtowe                                          ,E07000172,2015-2017,127.2990967
Gedling                                           ,E07000173,2015-2017,128.621213
Mansfield                                         ,E07000174,2015-2017,179.2918051
Newark and Sherwood                               ,E07000175,2015-2017,141.5657946
Rushcliffe                                        ,E07000176,2015-2017,99.27643989
Cherwell                                          ,E07000177,2015-2017,119.4989369
Oxford                                            ,E07000178,2015-2017,136.908734
South Oxfordshire                                 ,E07000179,2015-2017,83.02473334
Vale of White Horse                               ,E07000180,2015-2017,90.50236168
West Oxfordshire                                  ,E07000181,2015-2017,103.6335598
Mendip                                            ,E07000187,2015-2017,116.1093194
Sedgemoor                                         ,E07000188,2015-2017,117.8701413
South Somerset                                    ,E07000189,2015-2017,112.5483102
Taunton Deane                                     ,E07000190,2015-2017,112.9549607
West Somerset                                     ,E07000191,2015-2017,152.2971135
Cannock Chase                                     ,E07000192,2015-2017,169.6657022
East Staffordshire                                ,E07000193,2015-2017,168.0911117
Lichfield                                         ,E07000194,2015-2017,124.2477058
Newcastle-under-Lyme                              ,E07000195,2015-2017,155.9529696
South Staffordshire                               ,E07000196,2015-2017,124.616732
Stafford                                          ,E07000197,2015-2017,132.9170922
Staffordshire Moorlands                           ,E07000198,2015-2017,125.2664958
Tamworth                                          ,E07000199,2015-2017,167.339758
Babergh                                           ,E07000200,2015-2017,102.1277907
Forest Heath                                      ,E07000201,2015-2017,115.8438667
Ipswich                                           ,E07000202,2015-2017,129.600205
Mid Suffolk                                       ,E07000203,2015-2017,105.6704377
St Edmundsbury                                    ,E07000204,2015-2017,119.2521507
Suffolk Coastal                                   ,E07000205,2015-2017,99.67776346
Waveney                                           ,E07000206,2015-2017,150.4209168
Elmbridge                                         ,E07000207,2015-2017,93.11578964
Epsom and Ewell                                   ,E07000208,2015-2017,99.50812438
Guildford                                         ,E07000209,2015-2017,106.0106211
Mole Valley                                       ,E07000210,2015-2017,89.86727143
Reigate and Banstead                              ,E07000211,2015-2017,112.6342935
Runnymede                                         ,E07000212,2015-2017,123.0711719
Spelthorne                                        ,E07000213,2015-2017,116.6703787
Surrey Heath                                      ,E07000214,2015-2017,115.8889962
Tandridge                                         ,E07000215,2015-2017,104.3439926
Waverley                                          ,E07000216,2015-2017,91.59225454
Woking                                            ,E07000217,2015-2017,126.9372259
North Warwickshire                                ,E07000218,2015-2017,127.9930104
Nuneaton and Bedworth                             ,E07000219,2015-2017,169.2990906
Rugby                                             ,E07000220,2015-2017,142.071678
Stratford-on-Avon                                 ,E07000221,2015-2017,115.307437
Warwick                                           ,E07000222,2015-2017,113.2295325
Adur                                              ,E07000223,2015-2017,114.2789271
Arun                                              ,E07000224,2015-2017,134.8860495
Chichester                                        ,E07000225,2015-2017,109.8107518
Crawley                                           ,E07000226,2015-2017,143.2787252
Horsham                                           ,E07000227,2015-2017,105.1793082
Mid Sussex                                        ,E07000228,2015-2017,99.33343182
Worthing                                          ,E07000229,2015-2017,123.7389745
Bromsgrove                                        ,E07000234,2015-2017,104.630556
Malvern Hills                                     ,E07000235,2015-2017,111.7820193
Redditch                                          ,E07000236,2015-2017,136.8901916
Worcester                                         ,E07000237,2015-2017,135.274503
Wychavon                                          ,E07000238,2015-2017,106.3906225
Wyre Forest                                       ,E07000239,2015-2017,146.11387
St Albans                                         ,E07000240,2015-2017,105.7075166
Welwyn Hatfield                                   ,E07000241,2015-2017,110.430222
East Hertfordshire                                ,E07000242,2015-2017,91.01748298
Stevenage                                         ,E07000243,2015-2017,154.2601759
Bolton                                            ,E08000001,2015-2017,175.0831574
Bury                                              ,E08000002,2015-2017,173.5157289
Manchester                                        ,E08000003,2015-2017,256.4116404
Oldham                                            ,E08000004,2015-2017,194.0906736
Rochdale                                          ,E08000005,2015-2017,210.1788415
Salford                                           ,E08000006,2015-2017,195.3177192
Stockport                                         ,E08000007,2015-2017,151.7870035
Tameside                                          ,E08000008,2015-2017,198.1651559
Trafford                                          ,E08000009,2015-2017,135.4202156
Wigan                                             ,E08000010,2015-2017,175.4522115
Knowsley                                          ,E08000011,2015-2017,219.1776242
Liverpool                                         ,E08000012,2015-2017,219.4647789
St. Helens                                        ,E08000013,2015-2017,170.7663514
Sefton                                            ,E08000014,2015-2017,157.2771767
Wirral                                            ,E08000015,2015-2017,173.6085677
Barnsley                                          ,E08000016,2015-2017,160.7353892
Doncaster                                         ,E08000017,2015-2017,160.6896989
Rotherham                                         ,E08000018,2015-2017,163.0964454
Sheffield                                         ,E08000019,2015-2017,152.8893396
Newcastle upon Tyne                               ,E08000021,2015-2017,188.7433682
North Tyneside                                    ,E08000022,2015-2017,177.7186138
South Tyneside                                    ,E08000023,2015-2017,178.1340108
Sunderland                                        ,E08000024,2015-2017,177.1978491
Birmingham                                        ,E08000025,2015-2017,160.7662787
Coventry                                          ,E08000026,2015-2017,155.8598192
Dudley                                            ,E08000027,2015-2017,151.3094453
Sandwell                                          ,E08000028,2015-2017,173.9888253
Solihull                                          ,E08000029,2015-2017,123.1664875
Walsall                                           ,E08000030,2015-2017,173.532351
Wolverhampton                                     ,E08000031,2015-2017,167.9284372
Bradford                                          ,E08000032,2015-2017,154.0409576
Calderdale                                        ,E08000033,2015-2017,158.0916508
Kirklees                                          ,E08000034,2015-2017,137.8251764
Leeds                                             ,E08000035,2015-2017,158.2399797
Wakefield                                         ,E08000036,2015-2017,160.6128058
Gateshead                                         ,E08000037,2015-2017,180.962886
Barking and Dagenham                              ,E09000002,2015-2017,142.9020024
Barnet                                            ,E09000003,2015-2017,93.22234039
Bexley                                            ,E09000004,2015-2017,123.1733247
Brent                                             ,E09000005,2015-2017,107.4462546
Bromley                                           ,E09000006,2015-2017,95.52868826
Camden                                            ,E09000007,2015-2017,113.1582505
Croydon                                           ,E09000008,2015-2017,117.8387904
Ealing                                            ,E09000009,2015-2017,117.8566008
Enfield                                           ,E09000010,2015-2017,103.1463132
Greenwich                                         ,E09000011,2015-2017,149.7026843
"Hackney, City of London                                           ",E09000012,2015-2017,155.6
Hammersmith and Fulham                            ,E09000013,2015-2017,144.6330142
Haringey                                          ,E09000014,2015-2017,117.4134231
Harrow                                            ,E09000015,2015-2017,97.74378796
Havering                                          ,E09000016,2015-2017,116.736633
Hillingdon                                        ,E09000017,2015-2017,120.7389263
Hounslow                                          ,E09000018,2015-2017,123.2993896
Islington                                         ,E09000019,2015-2017,160.5747312
Kensington and Chelsea                            ,E09000020,2015-2017,102.4482651
Kingston upon Thames                              ,E09000021,2015-2017,108.6178779
Lambeth                                           ,E09000022,2015-2017,137.8571225
Lewisham                                          ,E09000023,2015-2017,141.4051097
Merton                                            ,E09000024,2015-2017,110.9992745
Newham                                            ,E09000025,2015-2017,130.5096675
Redbridge                                         ,E09000026,2015-2017,104.5550477
Richmond upon Thames                              ,E09000027,2015-2017,107.1621677
Southwark                                         ,E09000028,2015-2017,137.8492096
Sutton                                            ,E09000029,2015-2017,113.443615
Tower Hamlets                                     ,E09000030,2015-2017,150.8065474
Waltham Forest                                    ,E09000031,2015-2017,136.5203797
Wandsworth                                        ,E09000032,2015-2017,129.1541498
Westminster                                       ,E09000033,2015-2017,96.32233238
Isle of Anglesey                                  ,W06000001,2015-2017,139.9744572
Gwynedd                                           ,W06000002,2015-2017,141.8352809
Conwy                                             ,W06000003,2015-2017,168.6687629
Denbighshire                                      ,W06000004,2015-2017,158.970618
Flintshire                                        ,W06000005,2015-2017,163.4442082
Wrexham                                           ,W06000006,2015-2017,170.0039872
Ceredigion                                        ,W06000008,2015-2017,129.0103165
Pembrokeshire                                     ,W06000009,2015-2017,143.4115326
Carmarthenshire                                   ,W06000010,2015-2017,148.8179929
Swansea                                           ,W06000011,2015-2017,174.4877889
Neath Port Talbot                                 ,W06000012,2015-2017,187.269674
Bridgend                                          ,W06000013,2015-2017,179.328041
Vale of Glamorgan                                 ,W06000014,2015-2017,122.6266386
Cardiff                                           ,W06000015,2015-2017,147.6754141
Rhondda Cynon Taf                                 ,W06000016,2015-2017,189.8418927
Caerphilly                                        ,W06000018,2015-2017,175.0200858
Blaenau Gwent                                     ,W06000019,2015-2017,177.9114415
Torfaen                                           ,W06000020,2015-2017,175.9677506
Monmouthshire                                     ,W06000021,2015-2017,134.291005
Newport                                           ,W06000022,2015-2017,162.3330479
Powys                                             ,W06000023,2015-2017,120.2331116
Merthyr Tydfil                                    ,W06000024,2015-2017,196.3345659
