LANAME,LACODE,Year,Rate Males
Oadby and Wigston                                 ,E07000135,2015-2017,230.8592938
Boston                                            ,E07000136,2015-2017,248.0483653
East Lindsey                                      ,E07000137,2015-2017,263.2639225
Lincoln                                           ,E07000138,2015-2017,303.4900006
North Kesteven                                    ,E07000139,2015-2017,165.6639396
South Holland                                     ,E07000140,2015-2017,238.9591468
South Kesteven                                    ,E07000141,2015-2017,192.6940879
West Lindsey                                      ,E07000142,2015-2017,189.706655
Breckland                                         ,E07000143,2015-2017,192.4225242
Broadland                                         ,E07000144,2015-2017,171.0935499
Great Yarmouth                                    ,E07000145,2015-2017,284.4446
King's Lynn and West Norfolk                      ,E07000146,2015-2017,211.1111803
North Norfolk                                     ,E07000147,2015-2017,198.0597333
Norwich                                           ,E07000148,2015-2017,289.8390847
South Norfolk                                     ,E07000149,2015-2017,158.6441702
Corby                                             ,E07000150,2015-2017,319.4094201
Daventry                                          ,E07000151,2015-2017,190.011961
East Northamptonshire                             ,E07000152,2015-2017,206.3196331
Kettering                                         ,E07000153,2015-2017,216.4435137
Northampton                                       ,E07000154,2015-2017,259.9100177
South Northamptonshire                            ,E07000155,2015-2017,173.8753725
Wellingborough                                    ,E07000156,2015-2017,241.217104
Craven                                            ,E07000163,2015-2017,178.9390459
Hambleton                                         ,E07000164,2015-2017,179.7963403
Harrogate                                         ,E07000165,2015-2017,197.7128252
Richmondshire                                     ,E07000166,2015-2017,168.3869736
Ryedale                                           ,E07000167,2015-2017,217.1713572
Scarborough                                       ,E07000168,2015-2017,254.7140333
Selby                                             ,E07000169,2015-2017,191.9450217
Ashfield                                          ,E07000170,2015-2017,256.335296
Bassetlaw                                         ,E07000171,2015-2017,235.1759068
Broxtowe                                          ,E07000172,2015-2017,199.0245773
Gedling                                           ,E07000173,2015-2017,201.527968
Mansfield                                         ,E07000174,2015-2017,285.0239842
Newark and Sherwood                               ,E07000175,2015-2017,204.0955709
Rushcliffe                                        ,E07000176,2015-2017,172.4963825
Cherwell                                          ,E07000177,2015-2017,203.4227611
Oxford                                            ,E07000178,2015-2017,215.3466387
South Oxfordshire                                 ,E07000179,2015-2017,141.803855
Vale of White Horse                               ,E07000180,2015-2017,154.5018747
West Oxfordshire                                  ,E07000181,2015-2017,176.0865333
Mendip                                            ,E07000187,2015-2017,192.9761776
Sedgemoor                                         ,E07000188,2015-2017,205.2817266
South Somerset                                    ,E07000189,2015-2017,200.8829355
Taunton Deane                                     ,E07000190,2015-2017,209.9247501
West Somerset                                     ,E07000191,2015-2017,183.2213352
Cannock Chase                                     ,E07000192,2015-2017,247.5526328
East Staffordshire                                ,E07000193,2015-2017,247.7595686
Lichfield                                         ,E07000194,2015-2017,183.9412932
Newcastle-under-Lyme                              ,E07000195,2015-2017,267.8377352
South Staffordshire                               ,E07000196,2015-2017,201.7762851
Stafford                                          ,E07000197,2015-2017,202.7850528
Staffordshire Moorlands                           ,E07000198,2015-2017,210.8247594
Tamworth                                          ,E07000199,2015-2017,233.3716837
