occupation,code,earningsa,earningsm,earningsf,earningsannm,earningsannf,jobsm,jobsf,hierarchy
"  Journalists, newspaper and periodical editors",2471,19.27,20.14,17.23,39407,31791,29,15,2
  Public relations professionals,2472,16.47,16.38,16.46,32385,31564,15,17,2
  Advertising accounts managers and creative directors,2473,19.89,21.91,17.52,,35232,15,9,2
  Laboratory technicians,3111,10.19,10.51,10.04,21952,19372,26,29,3
  Engineering technicians,3113,16.37,16.56,15.18,36233,30143,66,9,3
  Quality assurance technicians,3115,13.18,13.35,12.92,26628,25093,22,9,3
"  Planning, process and production technicians",3116,14.56,15.72,13.9,32035,,20,11,3
"  Science, engineering and production technicians n.e.c.",3119,12.92,13.2,11.61,28074,22084,113,19,3
  Architectural and town planning technicians,3121,14.82,14.98,14.51,30606,29000,10,6,3
  Draughtspersons,3122,14.65,15.04,12.51,30314,25278,28,,3
  IT operations technicians,3131,15.19,15.33,14.77,31117,29021,81,27,3
  IT user support technicians,3132,15.03,15.34,13.44,31143,27005,98,28,3
  Paramedics,3213,18.18,18.51,17.07,38675,35985,16,9,3
  Pharmaceutical technicians,3217,11.6,12.11,11.57,23034,22660,,12,3
  Medical and dental technicians,3218,13.23,14.26,12.92,28654,23883,10,9,3
  Health associate professionals n.e.c.,3219,12.04,12.06,11.94,25114,22712,,6,3
  Youth and community workers,3231,13.44,13.11,13.45,25381,25066,15,31,3
  Child and early years officers,3233,12.69,12.14,12.77,23370,22964,6,20,3
  Housing officers,3234,14.29,14.62,14.17,27854,26169,12,25,3
  Counsellors,3235,13.67,11.31,14.89,20701,,,,3
  Welfare and housing associate professionals n.e.c.,3239,12.03,12,12.04,24299,23896,20,51,3
  Police officers (sergeant and below),3312,19.23,19.42,18.76,42417,38606,181,69,3
  Fire service officers (watch manager and below),3313,15.26,15.28,14.96,34447,35036,39,6,3
  Prison service officers (below principal officer),3314,13.94,14.56,12.92,29619,26257,25,9,3
  Police community support officers,3315,14.04,14.12,13.74,27239,26526,9,7,3
  Protective service associate professionals n.e.c.,3319,15.99,16.18,15.58,33461,32168,13,7,3
  Artists,3411,14.25,14.49,13.48,26905,29080,,,3
