AREACD,AREANM,All,Male,Female
E07000169,Selby                                             ,13.5,17.6186,9.5
E08000016,Barnsley                                          ,18.2,18.99,17.4
E08000017,Doncaster                                         ,19.7,19.4614,20.0
E08000018,Rotherham                                         ,16.2,18.5998,13.9
E08000019,Sheffield                                         ,17.0,19.7715,14.3
E08000032,Bradford                                          ,18.9,22.5271,15.3
E08000033,Calderdale                                        ,17.1,17.2826,16.8
E08000034,Kirklees                                          ,17.1,20.2129,13.9
E08000035,Leeds                                             ,16.7,17.0429,16.4
E08000036,Wakefield                                         ,17.9,17.1695,18.7
E06000015,Derby                                             ,18.9,20.4995,17.4
E06000016,Leicester                                         ,17.7,21.858,13.9
E06000017,Rutland                                           ,9.3,9.9339,8.6
E06000018,Nottingham                                        ,19.4,21.7525,17.2
E07000032,Amber Valley                                      ,15.2,14.8768,15.6
E07000033,Bolsover                                          ,16.7,17.9669,15.4
E07000034,Chesterfield                                      ,17.5,18.1933,16.7
E07000035,Derbyshire Dales                                  ,10.4,12.8591,8.1
E07000036,Erewash                                           ,15.4,18.0074,13.3
E07000037,High Peak                                         ,15.8,19.7566,12.3
E07000038,North East Derbyshire                             ,15.9,20.6801,11.3
E07000039,South Derbyshire                                  ,13.0,13.6205,12.3
E07000129,Blaby                                             ,12.5,10.8021,14.4
E07000130,Charnwood                                         ,13.5,13.0817,13.8
E07000131,Harborough                                        ,10.6,8.4846,12.8
E07000132,Hinckley and Bosworth                             ,11.9,14.7494,9.3
E07000133,Melton                                            ,14.7,11.6064,17.6
E07000134,North West Leicestershire                         ,12.0,13.977,10.2
E07000135,Oadby and Wigston                                 ,7.5,10.1219,5.3
E07000136,Boston                                            ,20.5,26.8705,14.1
E07000137,East Lindsey                                      ,16.8,19.8975,14.0
E07000138,Lincoln                                           ,17.6,13.8717,21.2
E07000139,North Kesteven                                    ,15.7,16.1099,15.3
E07000140,South Holland                                     ,15.6,18.6241,13.1
E07000141,South Kesteven                                    ,14.5,16.0441,12.9
E07000142,West Lindsey                                      ,15.4,16.9255,14.0
E07000150,Corby                                             ,16.0,16.1173,15.8
E07000151,Daventry                                          ,12.8,11.0351,14.4
E07000152,East Northamptonshire                             ,14.4,20.065,9.2
E07000153,Kettering                                         ,18.5,26.4178,11.0
E07000154,Northampton                                       ,21.5,26.5794,16.5
E07000155,South Northamptonshire                            ,9.2,10.5751,7.8
E07000156,Wellingborough                                    ,10.1,5.5125,14.0
E07000170,Ashfield                                          ,15.7,16.4106,15.1
E07000171,Bassetlaw                                         ,19.6,21.7923,17.7
E07000172,Broxtowe                                          ,18.7,16.9966,20.2
E07000173,Gedling                                           ,12.6,12.4565,12.8
E07000174,Mansfield                                         ,18.6,18.1528,19.1
E07000175,Newark and Sherwood                               ,12.2,9.6265,14.5
E07000176,Rushcliffe                                        ,9.7,9.9041,9.5
E06000019,"Herefordshire, County of                          ",12.2,13.4378,11.0
E06000020,Telford and Wrekin                                ,16.5,17.0531,15.9
E06000021,Stoke-on-Trent                                    ,18.9,20.6177,17.1
E06000051,Shropshire                                        ,14.0,14.4825,13.6
E07000192,Cannock Chase                                     ,16.4,16.8727,16.1
E07000193,East Staffordshire                                ,15.5,14.4258,16.5
E07000194,Lichfield                                         ,9.7,11.2896,8.1
E07000195,Newcastle-under-Lyme                              ,18.6,20.4642,16.7
E07000196,South Staffordshire                               ,11.2,17.2941,5.5
E07000197,Stafford                                          ,8.5,11.2538,5.5
E07000198,Staffordshire Moorlands                           ,11.1,12.9549,9.5
E07000199,Tamworth                                          ,18.5,26.9664,10.4
E07000218,North Warwickshire                                ,5.7,5.3574,6.1
E07000219,Nuneaton and Bedworth                             ,16.4,20.051,12.6
E07000220,Rugby                                             ,14.0,17.1733,11.3
E07000221,Stratford-on-Avon                                 ,9.8,10.7798,8.8
E07000222,Warwick                                           ,13.9,19.0534,9.0
E07000234,Bromsgrove                                        ,12.6,13.043,12.2
E07000235,Malvern Hills                                     ,10.6,14.0463,7.5
E07000236,Redditch                                          ,24.8,22.1166,27.5
E07000237,Worcester                                         ,11.0,11.793,10.1
E07000238,Wychavon                                          ,15.5,17.6935,13.4
E07000239,Wyre Forest                                       ,14.2,15.6525,12.8
E08000025,Birmingham                                        ,13.7,16.999,10.6
E08000026,Coventry                                          ,15.9,19.394,12.3
E08000027,Dudley                                            ,13.7,16.7283,10.8
E08000028,Sandwell                                          ,17.4,18.8714,16.0
E08000029,Solihull                                          ,10.5,11.8558,9.2
E08000030,Walsall                                           ,14.5,15.4144,13.6
E08000031,Wolverhampton                                     ,14.4,15.7639,13.1
E06000031,Peterborough                                      ,17.6,20.4866,14.8
E06000032,Luton                                             ,14.3,19.1292,9.5
E06000033,Southend-on-Sea                                   ,18.0,19.6875,16.4
E06000034,Thurrock                                          ,17.7,22.1753,13.5
E06000055,Bedford                                           ,16.2,17.2609,15.1
E06000056,Central Bedfordshire                              ,15.8,16.9796,14.7
E07000008,Cambridge                                         ,17.0,20.8439,12.6
E07000009,East Cambridgeshire                               ,15.3,13.5366,17.2
E07000010,Fenland                                           ,16.3,20.8566,12.4
E07000011,Huntingdonshire                                   ,14.0,15.2327,12.7
E07000012,South Cambridgeshire                              ,11.3,11.4708,11.1
E07000066,Basildon                                          ,16.7,19.2628,14.3
E07000067,Braintree                                         ,17.2,19.6885,14.4
E07000068,Brentwood                                         ,6.5,9.8615,3.4
E07000069,Castle Point                                      ,21.5,20.395,22.6
E07000070,Chelmsford                                        ,12.0,10.4097,13.6
E07000071,Colchester                                        ,16.0,18.6627,13.4
E07000072,Epping Forest                                     ,7.8,12.4729,3.9
E07000073,Harlow                                            ,14.8,14.5482,15.0
E07000074,Maldon                                            ,5.3,7.0519,3.9
E07000075,Rochford                                          ,11.0,15.225,7.4
E07000076,Tendring                                          ,16.7,18.1725,15.5
E07000077,Uttlesford                                        ,12.3,13.3455,11.3
E07000095,Broxbourne                                        ,20.5,26.2103,15.4
E07000096,Dacorum                                           ,9.1,12.8963,5.5
E07000098,Hertsmere                                         ,17.7,22.6889,13.4
E07000099,North Hertfordshire                               ,10.9,12.3305,9.5
E07000102,Three Rivers                                      ,11.8,19.2189,4.8
E07000103,Watford                                           ,13.3,11.519,15.1
E07000143,Breckland                                         ,17.6,19.9335,15.3
E07000144,Broadland                                         ,9.4,11.099,7.8
E07000145,Great Yarmouth                                    ,15.1,21.9815,8.0
E07000146,King's Lynn and West Norfolk                      ,15.5,18.901,12.1
E07000147,North Norfolk                                     ,10.5,12.0638,9.1
E07000148,Norwich                                           ,16.1,15.8616,16.2
E07000149,South Norfolk                                     ,11.4,12.4687,10.5
E07000200,Babergh                                           ,7.3,7.7757,6.8
E07000201,Forest Heath                                      ,22.5,26.959,18.4
E07000202,Ipswich                                           ,20.0,22.6104,17.6
E07000203,Mid Suffolk                                       ,7.4,8.6044,6.2
E07000204,St Edmundsbury                                    ,12.9,14.9495,10.9
E07000205,Suffolk Coastal                                   ,9.3,12.9536,5.9
E07000206,Waveney                                           ,18.3,21.2467,15.6
E07000240,St Albans                                         ,10.1,8.4526,11.8
E07000241,Welwyn Hatfield                                   ,14.5,10.8392,17.7
E07000242,East Hertfordshire                                ,9.5,13.2751,5.9
E07000243,Stevenage                                         ,14.9,17.3963,12.8
E09000001,City of London                                    ,z,z,z
E09000002,Barking and Dagenham                              ,18.7,22.5094,15.1
E09000003,Barnet                                            ,17.3,22.0857,12.8
E09000004,Bexley                                            ,11.7,13.2212,10.3
E09000005,Brent                                             ,15.8,22.5137,8.7
E09000006,Bromley                                           ,13.8,14.0879,13.5
E09000007,Camden                                            ,16.4,21.5329,11.0
E09000008,Croydon                                           ,12.0,13.799,10.4
E09000009,Ealing                                            ,11.0,16.8282,5.1
E09000010,Enfield                                           ,14.9,18.0641,12.1
E09000011,Greenwich                                         ,16.9,20.1059,13.7
E09000012,Hackney                                           ,21.4,26.2248,16.9
E09000013,Hammersmith and Fulham                            ,13.6,14.1146,13.1
E09000014,Haringey                                          ,15.6,19.9714,11.2
E09000015,Harrow                                            ,9.0,12.9755,5.4
E09000016,Havering                                          ,13.5,14.6406,12.4
E09000017,Hillingdon                                        ,11.6,12.1749,11.1
E09000018,Hounslow                                          ,12.6,14.9321,10.1
E09000019,Islington                                         ,20.1,24.8021,15.3
E09000020,Kensington and Chelsea                            ,13.2,16.0466,10.5
E09000021,Kingston upon Thames                              ,15.5,17.3494,13.6
E09000022,Lambeth                                           ,14.6,18.9545,10.2
E09000023,Lewisham                                          ,15.5,15.1649,15.8
E09000024,Merton                                            ,11.5,15.1046,8.0
E09000025,Newham                                            ,19.1,25.108,12.3
E09000026,Redbridge                                         ,12.1,16.5872,7.7
E09000027,Richmond upon Thames                              ,9.8,12.5675,7.4
E09000028,Southwark                                         ,12.2,15.1467,9.4
E09000029,Sutton                                            ,12.8,13.7163,12.0
E09000030,Tower Hamlets                                     ,19.7,25.7416,13.1
E09000031,Waltham Forest                                    ,16.4,22.1328,10.4
E09000032,Wandsworth                                        ,13.2,17.4422,9.3
E09000033,Westminster                                       ,14.1,15.3275,12.8
E06000035,Medway                                            ,17.6,20.1117,15.2
E06000036,Bracknell Forest                                  ,13.3,16.2049,10.5
E06000037,West Berkshire                                    ,13.1,16.2496,9.9
E06000038,Reading                                           ,13.6,17.3567,9.9
E06000039,Slough                                            ,16.6,20.8926,12.4
E06000040,Windsor and Maidenhead                            ,11.2,13.4673,9.0
E06000041,Wokingham                                         ,8.1,10.397,6.0
E06000042,Milton Keynes                                     ,13.3,16.5148,10.2
E06000043,Brighton and Hove                                 ,18.0,20.4772,15.5
E06000044,Portsmouth                                        ,15.2,16.1084,14.3
E06000045,Southampton                                       ,17.4,19.1075,15.5
E06000046,Isle of Wight                                     ,14.1,13.6357,14.5
E07000004,Aylesbury Vale                                    ,9.0,7.1974,10.8
E07000005,Chiltern                                          ,6.4,5.4208,7.3
E07000006,South Bucks                                       ,8.9,11.3546,6.8
E07000007,Wycombe                                           ,12.0,17.4126,6.8
E07000061,Eastbourne                                        ,12.3,14.4668,10.1
E07000062,Hastings                                          ,22.2,17.6413,26.5
E07000063,Lewes                                             ,13.3,9.3605,17.3
E07000064,Rother                                            ,16.9,16.4535,17.4
E07000065,Wealden                                           ,8.8,8.6775,8.9
E07000084,Basingstoke and Deane                             ,16.9,16.8614,16.9
E07000085,East Hampshire                                    ,7.7,6.5622,8.8
E07000086,Eastleigh                                         ,13.8,14.6459,13.0
E07000087,Fareham                                           ,8.7,8.5169,8.8
E07000088,Gosport                                           ,19.6,25.7931,14.0
E07000089,Hart                                              ,7.8,11.0912,4.5
E07000090,Havant                                            ,21.4,27.0414,16.7
E07000091,New Forest                                        ,15.7,17.1179,14.5
E07000092,Rushmoor                                          ,18.4,20.009,16.9
E07000093,Test Valley                                       ,11.0,11.2659,10.7
E07000094,Winchester                                        ,15.5,18.7037,12.5
E07000105,Ashford                                           ,18.1,19.0066,17.3
E07000106,Canterbury                                        ,14.8,16.0983,13.6
E07000107,Dartford                                          ,10.2,10.8122,9.6
E07000108,Dover                                             ,18.7,18.0622,19.3
E07000109,Gravesham                                         ,18.3,21.3703,15.5
E07000110,Maidstone                                         ,17.1,20.1104,14.3
E07000111,Sevenoaks                                         ,12.0,11.4052,12.6
E07000112,Shepway                                           ,16.5,19.6095,13.6
E07000113,Swale                                             ,17.9,19.8264,16.2
E07000114,Thanet                                            ,23.7,24.3784,23.1
E07000115,Tonbridge and Malling                             ,11.6,10.885,12.2
E07000116,Tunbridge Wells                                   ,15.0,17.7687,12.2
E07000177,Cherwell                                          ,11.6,12.4344,10.8
E07000178,Oxford                                            ,9.0,5.2065,12.6
E07000179,South Oxfordshire                                 ,10.4,9.7211,11.0
E07000180,Vale of White Horse                               ,9.7,11.3073,8.2
E07000181,West Oxfordshire                                  ,13.7,16.7424,10.6
E07000207,Elmbridge                                         ,10.9,11.1306,10.6
E07000208,Epsom and Ewell                                   ,9.2,12.859,5.8
E07000209,Guildford                                         ,11.0,16.3053,5.4
E07000210,Mole Valley                                       ,11.2,10.3714,12.0
E07000211,Reigate and Banstead                              ,9.5,11.9226,7.3
E07000212,Runnymede                                         ,14.6,17.4807,12.2
E07000213,Spelthorne                                        ,16.8,19.4148,14.3
E07000214,Surrey Heath                                      ,9.6,12.9712,6.4
E07000215,Tandridge                                         ,11.7,19.6365,3.7
E07000216,Waverley                                          ,8.3,7.7309,8.9
E07000217,Woking                                            ,9.1,9.9611,8.1
E07000223,Adur                                              ,11.9,14.0657,9.8
E07000224,Arun                                              ,17.0,23.5616,11.0
E07000225,Chichester                                        ,10.7,15.8229,6.4
E07000226,Crawley                                           ,11.0,16.2934,5.7
E07000227,Horsham                                           ,9.0,5.4671,12.1
E07000228,Mid Sussex                                        ,17.5,19.4929,15.6
E07000229,Worthing                                          ,9.8,8.3546,11.3
E06000022,Bath and North East Somerset                      ,13.4,15.336,11.5
E06000023,"Bristol, City of                                  ",11.1,11.2996,11.0
E06000024,North Somerset                                    ,11.1,11.7369,10.4
E06000025,South Gloucestershire                             ,10.5,12.0283,9.0
E06000026,Plymouth                                          ,18.4,20.9915,15.9
E06000027,Torbay                                            ,14.8,15.1911,14.3
E06000028,Bournemouth                                       ,13.8,14.007,13.7
E06000029,Poole                                             ,13.7,15.4227,12.2
E06000030,Swindon                                           ,17.3,19.2749,15.4
E06000052,Cornwall                                          ,14.8,17.5842,12.3
E06000053,Isles of Scilly                                   ,z,z,z
E06000054,Wiltshire                                         ,14.0,14.8539,13.3
E07000040,East Devon                                        ,9.2,9.8596,8.6
E07000041,Exeter                                            ,12.4,15.6653,9.4
E07000042,Mid Devon                                         ,16.9,20.0718,13.9
E07000043,North Devon                                       ,15.3,13.7716,16.6
E07000044,South Hams                                        ,16.2,16.6411,15.8
E07000045,Teignbridge                                       ,16.3,15.3184,17.1
E07000046,Torridge                                          ,15.4,15.3996,15.4
E07000047,West Devon                                        ,4.9,0,9.4
E07000048,Christchurch                                      ,4.6,7.8777,1.8
E07000049,East Dorset                                       ,10.3,14.2919,6.5
E07000050,North Dorset                                      ,13.7,14.849,12.6
E07000051,Purbeck                                           ,14.8,14.8656,14.7
E07000052,West Dorset                                       ,8.5,11.0267,6.1
E07000053,Weymouth and Portland                             ,17.7,18.3458,17.2
E07000078,Cheltenham                                        ,10.5,10.9788,10.1
E07000079,Cotswold                                          ,9.8,8.8616,10.7
E07000080,Forest of Dean                                    ,15.2,17.279,13.2
E07000081,Gloucester                                        ,21.3,22.5924,20.1
E07000082,Stroud                                            ,12.0,13.5008,10.5
E07000083,Tewkesbury                                        ,15.9,15.3853,16.4
E07000187,Mendip                                            ,13.5,16.8279,10.2
E07000188,Sedgemoor                                         ,16.4,16.2642,16.5
E07000189,South Somerset                                    ,11.9,12.1954,11.7
E07000190,Taunton Deane                                     ,16.1,15.5261,16.6
E07000191,West Somerset                                     ,12.9,15.1606,11.3
S12000005,Clackmannanshire                                  ,17.5,19.0256,16.0
S12000006,Dumfries and Galloway                             ,17.3,18.3381,16.3
S12000008,East Ayrshire                                     ,18.8,20.274,17.4
S12000010,East Lothian                                      ,13.4,14.226,12.7
S12000011,East Renfrewshire                                 ,9.4,10.8009,8.2
S12000013,Na h-Eileanan Siar                                ,13.1,17.9465,8.4
S12000014,Falkirk                                           ,17.9,19.848,16.2
S12000015,Fife                                              ,14.7,15.1061,14.3
S12000017,Highland                                          ,13.4,15.2984,11.7
S12000018,Inverclyde                                        ,18.2,18.3149,18.1
S12000019,Midlothian                                        ,15.5,19.1356,12.3
S12000020,Moray                                             ,16.9,18.8795,15.0
S12000021,North Ayrshire                                    ,16.4,17.0571,15.8
S12000023,Orkney Islands                                    ,6.3,7.7545,4.8
S12000024,Perth and Kinross                                 ,11.7,11.9897,11.4
S12000026,Scottish Borders                                  ,15.9,16.3926,15.4
S12000027,Shetland Islands                                  ,12.7,15.004,10.5
S12000028,South Ayrshire                                    ,15.4,17.5653,13.4
S12000029,South Lanarkshire                                 ,17.9,20.6048,15.4
S12000030,Stirling                                          ,12.8,14.3815,11.3
S12000033,Aberdeen City                                     ,16.5,18.7753,14.4
S12000034,Aberdeenshire                                     ,15.1,16.9169,13.5
S12000035,Argyll and Bute                                   ,14.9,16.1021,13.8
S12000036,City of Edinburgh                                 ,12.0,12.5659,11.6
S12000038,Renfrewshire                                      ,16.1,16.4937,15.8
S12000039,West Dunbartonshire                               ,17.1,20.5295,14.2
S12000040,West Lothian                                      ,15.1,14.8859,15.3
S12000041,Angus                                             ,16.1,17.3039,14.9
S12000042,Dundee City                                       ,20.8,23.1112,18.7
S12000044,North Lanarkshire                                 ,20.9,20.7081,21.1
S12000045,East Dunbartonshire                               ,8.8,10.2702,7.5
S12000046,Glasgow City                                      ,22.8,26.7686,19.3
W06000001,Isle of Anglesey                                  ,17.3,17.2135,17.5
W06000002,Gwynedd                                           ,16.0,18.3692,13.8
W06000003,Conwy                                             ,17.1,18.4389,15.9
W06000004,Denbighshire                                      ,18.0,20.2138,15.8
W06000005,Flintshire                                        ,12.9,15.0157,10.9
W06000006,Wrexham                                           ,17.0,19.0373,14.9
W06000008,Ceredigion                                        ,17.0,20.0717,13.8
W06000009,Pembrokeshire                                     ,16.1,16.6318,15.5
W06000010,Carmarthenshire                                   ,15.4,14.8634,15.9
W06000011,Swansea                                           ,14.8,16.7568,12.8
W06000012,Neath Port Talbot                                 ,19.2,19.5331,18.8
W06000013,Bridgend                                          ,17.7,18.5896,16.8
W06000014,Vale of Glamorgan                                 ,14.6,14.8749,14.3
W06000015,Cardiff                                           ,14.7,18.9873,10.8
W06000016,Rhondda Cynon Taf                                 ,16.8,16.1477,17.5
W06000018,Caerphilly                                        ,18.0,17.8349,18.2
W06000019,Blaenau Gwent                                     ,19.9,19.4456,20.4
W06000020,Torfaen                                           ,16.4,17.3647,15.4
W06000021,Monmouthshire                                     ,10.5,11.5144,9.5
W06000022,Newport                                           ,16.8,16.9003,16.7
W06000023,Powys                                             ,14.1,14.5509,13.6
W06000024,Merthyr Tydfil                                    ,22.3,21.9191,22.7
