CountryName,CountryId,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018
Slovenia,SI,600,563,497,317,444,701,954,879,997,1465,517,1458,1580,3943,1476,1133,1402,2976,678,770
Spain,ES,50084,51449,64274,60591,86845,126419,202455,221729,251298,353462,310728,291527,277889,248933,206616,189216,158665,196520,217343,201372
Sweden,SE,40336,59267,53570,42135,49461,64057,82314,87016,90421,108703,90259,101107,105048,99296,96918,95124,89975,96108,109409,100535
Iceland,IS,648,977,1030,858,1583,2933,4613,6837,18725,11189,13875,5798,2921,3222,3162,3196,4132,4128,686,1220
Liechtenstein,LI,799,982,731,728,858,512,609,809,1009,835,838,596,877,606,511,673,670,702,641,777
Norway,NO,14278,19125,17785,19452,22752,31854,42529,54958,64177,106150,42586,45220,44794,52037,48239,43649,46533,51243,56473,61535
Switzerland,CH,126318,174821,146543,144985,165936,164570,179243,168963,304468,358058,261099,331068,368802,311439,294721,280692,286734,359484,338903,351860
Russia,RU,3523,4231,7441,8256,11599,16639,38189,36408,54881,56928,38675,43782,41305,44280,65263,49538,34928,37507,34545,38474
Turkey,TR,5688,7278,7458,8747,6763,21326,15435,19428,25438,29878,30048,40081,36769,46264,43048,44656,43502,46987,41224,39387
Brazil,BR,7380,9798,12117,9706,9274,12084,15218,19510,28983,26169,35447,71452,89217,95754,70800,64687,67358,45488,36592,43564
Canada,CA,26459,44547,47195,50994,43216,56420,80766,108251,141671,222868,155741,177130,156853,151120,134718,161818,132072,169877,176453,208840
Chile,CL,2371,2987,3716,3940,3700,4739,6146,3095,3453,4018,3607,5950,6057,8685,28573,7052,7748,5847,6828,6559
Mexico,MX,9551,9112,10209,8148,8209,11243,17203,14712,14752,16898,13047,18115,25040,25471,29209,28405,30692,32919,30968,34899
United States,US,688118,635702,723447,668372,797864,1148087,1474019,1752550,2091999,3444775,2545959,2911792,3393427,2875674,2653139,3008997,3026040,3230813,3291304,3293170
China,CN,4536,5335,6300,7362,7475,9899,13119,16569,34249,26350,31086,40235,43485,43783,64408,65770,66692,83476,103482,107300
Hong Kong,HK,29729,35200,38239,30018,34907,47195,65303,77919,86208,102504,81619,111867,122068,126176,162457,175043,169883,231404,225285,242704
India,IN,5094,4992,6001,5525,7376,10386,15452,18438,38380,33028,37288,53051,44093,41842,42897,39649,50680,55381,59350,66482
Israel,IL,1376,1604,1640,2311,2414,2943,3135,3953,3994,6115,6111,9586,9879,8730,9845,9972,9672,11866,12626,11746
Japan,JP,234140,258948,214479,220449,220747,287214,320756,300760,324046,433004,343725,472924,564990,612825,596889,500349,434092,574455,483952,527148
Malaysia,MY,4759,5916,5515,5591,5606,7226,7794,8192,9116,7499,6409,9456,11865,12443,16486,15256,14951,11875,12010,11527
Saudi Arabia,SA,5299,6302,5445,5316,5223,4784,6893,6642,12721,16731,14355,17594,16993,14328,17264,18797,22621,31080,28623,33532
Singapore,SG,32259,31042,43767,36604,40745,41771,44739,45601,63517,101408,60127,90895,144389,101940,110874,134126,129592,129700,127171,195626
Taiwan,TW,7039,5632,8446,6017,11984,21276,25902,22392,22358,16565,20090,33195,29369,27369,42764,34636,31870,37180,44734,40700
Thailand,TH,2498,2915,3182,4124,4735,5102,5514,5817,6414,5845,5368,8573,7243,7994,8720,9520,10541,10334,13616,12608
Australia,AU,35895,36468,46729,51578,56303,83240,101080,109219,134833,179431,147053,198391,196845,196771,197859,214884,194349,236372,192075,210565
New Zealand,NZ,6259,5616,5293,6612,6042,8899,7454,7909,8825,12568,10089,11428,12126,10610,15298,7599,9505,10113,8987,9658
South Africa,ZA,14569,12016,11897,18989,21481,29013,36147,28358,30736,41284,40007,42819,40657,45699,39447,43076,52524,48627,52191,46018
Worlddata,W1,2568325,3160366,3318485,3337040,3753406,4961461,5997958,6557875,8238230,11515796,8889300,10196122,11059890,10444296,9642695,10216201,9590459,11027732,10811600,10997257
