occupation,code,earningsa,earningsm,earningsf,earningsannm,earningsannf,jobsm,jobsf,hierarchy
 Higher education teaching professionals,2311,24.69,26.06,24.32,,,17,19,2
 Further education teaching professionals,2312,20.46,21.11,20.41,,14124,20,26,2
 Secondary education teaching professionals,2314,24.21,26.25,23.39,28366,21276,38,86,2
 Primary and nursery education teaching professionals,2315,22.68,21.33,22.78,,19953,18,117,2
 Special needs education teaching professionals,2316,23.08,26.55,22.65,,,,10,2
 Senior professionals of educational establishments,2317,40.46,41.42,39.42,58490,45521,8,14,2
 Teaching and other educational professionals n.e.c.,2319,20.3,20.31,20.25,,8703,16,33,2
 Chartered and certified accountants,2421,18.4,17.21,18.9,,19202,,10,2
 Management consultants and business analysts,2423,18.81,18.71,19.23,,21578,6,9,2
 Business and financial project management professionals,2424,20.09,20,20.9,,,10,12,2
 Business and related research professionals,2426,15.95,14.92,16.92,,19712,,10,2
" Business, research and administrative professionals n.e.c.",2429,17.67,17.32,17.64,,23282,,7,2
 Social workers,2442,18.34,19.33,18.04,,20490,,21,2
 Clergy,2444,15.59,15.27,16.08,,,9,,2
 Laboratory technicians,3111,10.41,10.34,10.15,,12081,,9,3
" Science, engineering and production technicians n.e.c.",3119,10.13,9.83,10.17,,,,6,3
 IT operations technicians,3131,11.14,9.74,13.56,,,,,3
 Medical and dental technicians,3218,14.46,14.05,14.36,14714,16960,,,3
 Health associate professionals n.e.c.,3219,12.3,11.6,12.85,,,,,3
 Youth and community workers,3231,11.22,11.25,11.17,,11766,6,25,3
 Child and early years officers,3233,9.87,12.87,9.54,,12479,,11,3
 Housing officers,3234,12.88,13.68,12.42,,12877,,6,3
 Counsellors,3235,15.24,13.12,15.24,,,,7,3
 Welfare and housing associate professionals n.e.c.,3239,11.68,11.67,11.62,,12405,5,29,3
 Prison service officers (below principal officer),3314,12.06,14.56,10.23,15136,13079,,,3
 Protective service associate professionals n.e.c.,3319,16.17,8.67,16.76,,,,,3
" Arts officers, producers and directors",3416,15.91,16.41,15.16,,,,,3
 Graphic designers,3421,13.11,14.37,13.03,,13973,,,3
" Sports coaches, instructors and officials",3442,12.5,12.33,12.63,,,19,24,3
 Fitness instructors,3443,10.81,9.39,11.26,,,8,14,3
 Financial and accounting technicians,3537,15.25,15.22,15.23,,,,6,3
 Business and related associate professionals n.e.c.,3539,11.89,15.13,11.73,,13277,,24,3
 Business sales executives,3542,8.71,8.68,8.72,,9767,11,17,3
 Marketing associate professionals,3543,12,9.07,12.81,,14871,,19,3
 Estate agents and auctioneers,3544,11.08,12.5,10.39,,,,7,3
 Sales accounts and business development managers,3545,15.59,17.48,15.05,,16595,6,25,3
 Conference and exhibition managers and organisers,3546,9.45,9.6,9.07,,,,10,3
 Vocational and industrial trainers and instructors,3563,13.24,11.83,13.47,,13960,6,18,3
 Careers advisers and vocational guidance specialists,3564,13.43,13.77,13.3,,,,,3
 National government administrative occupations,4112,10.8,10.58,10.8,13228,13182,4,23,4
 Local government administrative occupations,4113,11.18,12.62,11.04,,12189,,15,4
" Book-keepers, payroll managers and wages clerks",4122,11.26,11.69,11.22,8880,11148,9,87,4
 Bank and post office clerks,4123,11.05,10.96,11.03,,11780,,26,4
 Financial administrative occupations n.e.c.,4129,9.5,8.75,9.75,,10512,6,30,4
 Records clerks and assistants,4131,10,9.93,10,,11318,4,32,4
 Stock control clerks and assistants,4133,8.8,8.78,8.77,10333,10085,4,8,4
 Transport and distribution clerks and assistants,4134,10.26,9.62,10.68,,13735,,5,4
 Library clerks and assistants,4135,9.35,9.26,9.36,,8990,,15,4
 Human resources administrative occupations,4138,9.84,8.28,9.95,,9976,,6,4
 Other administrative occupations n.e.c.,4159,10.15,10,10.19,9113,9997,69,421,4
 Office managers,4161,12.06,9.8,12.26,11584,14403,3,27,4
 Office supervisors,4162,10.41,10.57,10.27,,13297,,5,4
 Personal assistants and other secretaries,4215,10,8.94,10.12,,9000,8,99,4
 Receptionists,4216,8.69,8.6,8.7,9589,9626,10,137,4
 Horticultural trades,5112,7.83,7.73,8.51,,9592,,,5
 Metal machining setters and setter-operators,5221,9.47,11.53,8.24,,,,,5
 Metal working production and maintenance fitters,5223,9.66,10,8.13,12359,9249,12,,5
 Bakers and flour confectioners,5432,8.31,7.84,8.43,,,,,5
 Chefs,5434,8,7.89,8.4,9360,10341,40,18,5
 Cooks,5435,8.37,7.85,8.46,9313,,6,33,5
 Catering and bar managers,5436,9.39,9.38,9.36,,,,8,5
 Nursery nurses and assistants,6121,8.35,7.99,8.35,,8941,,85,6
 Childminders and related occupations,6122,9.5,5.32,9.55,,9314,,14,6
 Playworkers,6123,8.43,8.19,8.46,,4990,,33,6
 Teaching assistants,6125,9.17,9.75,9.14,10438,10378,13,188,6
 Educational support assistants,6126,9.08,8.79,9.11,11010,10058,7,90,6
 Animal care services occupations n.e.c.,6139,8.02,6.85,8.3,,,,10,6
 Nursing auxiliaries and assistants,6141,10.15,10.15,10.15,11503,11386,18,143,6
 Ambulance staff (excluding paramedics),6142,10.05,9.19,10.47,,,,,6
 Care workers and home carers,6145,9.21,9.21,9.21,9863,9773,49,331,6
 Senior care workers,6146,9.27,10.08,9.25,,,,15,6
 Care escorts,6147,8.49,8.8,8.48,7799,6522,,7,6
" Undertakers, mortuary and crematorium assistants",6148,9.32,10.1,8.98,,,,,6
 Sports and leisure assistants,6211,8.45,8.14,8.56,,,21,19,6
 Travel agents,6212,8.84,8.5,8.84,,11476,,10,6
 Air travel assistants,6214,9.61,10.09,9.12,,9860,,10,6
 Rail travel assistants,6215,10.15,9.99,10.23,,,,,6
 Leisure and travel service occupations n.e.c.,6219,9.33,8.95,9.64,,,8,4,6
 Hairdressers and barbers,6221,7.89,7.83,7.97,,7897,5,32,6
 Beauticians and related occupations,6222,8.45,7.98,8.49,,,,19,6
 Housekeepers and related occupations,6231,8.39,7.97,8.44,,9389,,19,6
 Caretakers,6232,8.87,8.88,8.75,8230,7819,18,6,6
 Cleaning and housekeeping managers and supervisors,6240,8.59,8.76,8.57,,,,18,6
 Sales and retail assistants,7111,8,8.01,8,8528,8057,228,565,7
 Retail cashiers and check-out operators,7112,8.69,8.7,8.69,9360,8765,27,98,7
 Telephone salespersons,7113,8.98,8.84,9.04,,,,,7
 Pharmacy and other dispensing assistants,7114,8.36,8.02,8.4,,9375,,23,7
" Debt, rent and other cash collectors",7122,9.45,9.21,9.74,12444,,,,7
 Sales related occupations n.e.c.,7129,9.17,9.04,9.19,,,,6,7
 Sales supervisors,7130,8.55,8.46,8.71,12135,11223,4,11,7
 Call and contact centre occupations,7211,8.95,8.57,9.08,11152,10995,,12,7
 Telephonists,7213,8.61,7.84,8.84,11730,,,4,7
 Communication operators,7214,11.52,10.4,11.63,,14365,,,7
 Market research interviewers,7215,10.65,10.92,10.48,,,,4,7
 Customer service occupations n.e.c.,7219,8.75,8.5,8.95,9847,10296,37,98,7
 Customer service managers and supervisors,7220,9.18,8.66,9.51,,12831,4,8,7
" Food, drink and tobacco process operatives",8111,8.25,8.36,8.09,14393,8806,11,9,8
 Textile process operatives,8113,7.83,8.32,7.83,,,,,8
 Routine inspectors and testers,8133,11.37,12.34,9.87,,12858,,,8
" Weighers, graders and sorters",8134,8.58,8.07,8.91,,,,,8
 Assemblers and routine operatives n.e.c.,8139,8,7.97,8.15,,,6,6,8
 Construction operatives n.e.c.,8149,8.75,8.78,8.3,10014,,14,,8
 Van drivers,8212,8.29,8.3,8,9360,8362,69,8,8
 Bus and coach drivers,8213,9.47,9.52,9.29,10392,,20,,8
 Taxi and cab drivers and chauffeurs,8214,7.99,7.99,7.83,,,6,,8
 Farm workers,9111,7.83,7.83,8.03,,,6,,9
 Fishing and other elementary agriculture occupations n.e.c.,9119,8.75,9.5,7.83,,,,,9
 Elementary construction occupations,9120,8,8,7.83,,,8,,9
" Packers, bottlers, canners and fillers",9134,8,8.08,7.88,,,5,8,9
 Elementary process plant occupations n.e.c.,9139,7.95,7.83,7.96,,9281,6,5,9
" Postal workers, mail sorters, messengers and couriers",9211,11.75,11.75,11.75,16146,13014,24,19,9
 Elementary administration occupations n.e.c.,9219,8,7.83,8.03,,7750,6,10,9
 Cleaners and domestics,9233,8.09,8,8.12,6869,6332,84,353,9
" Launderers, dry cleaners and pressers",9234,7.85,7.83,7.85,8563,,,6,9
 Vehicle valeters and cleaners,9236,7.83,7.83,7.88,,,5,,9
 Security guards and related occupations,9241,8.78,8.67,9.19,,,19,5,9
 School midday and crossing patrol occupations,9244,8.48,8.45,8.48,3185,2683,6,97,9
 Elementary security occupations n.e.c.,9249,9.48,10,8.7,,,4,,9
 Shelf fillers,9251,8.47,8.7,8.02,9305,8850,19,20,9
 Elementary sales occupations n.e.c.,9259,8.54,8.47,8.58,9023,10830,,,9
 Elementary storage occupations,9260,8.5,8.54,8.41,11524,10566,43,25,9
 Kitchen and catering assistants,9272,7.83,7.67,7.91,6656,7072,131,259,9
 Waiters and waitresses,9273,7.69,7.5,7.73,,5194,48,117,9
 Bar staff,9274,7.83,7.83,7.83,,6036,48,72,9
 Leisure and theme park attendants,9275,8.23,8.58,7.83,,,15,11,9
 Other elementary services occupations n.e.c.,9279,8.02,8.22,7.96,,,5,4,9
