AREACD,AREANM,male,female
E07000006,NHS Fareham and Gosport,130182.6008,5417.665366
E07000007,NHS Fylde & Wyre,92017.3367,4211.93592
E07000008,NHS Gateshead,113335.0747,5474.413608
E07000009,NHS Gloucestershire,61981.17966,2620.614084
E07000010,NHS Great Yarmouth & Waveney,40032.26378,1688.231503
E07000011,NHS Greater Huddersfield,55778.2604,2443.262359
E07000012,NHS Greater Preston,78866.84372,3336.417886
E07000026,NHS Greenwich,34173.77867,1332.256717
E07000027,NHS Guildford and Waverley,28341.52304,1190.27514
E07000028,NHS Halton,31609.72297,1278.133196
E07000029,"NHS Hambleton, Richmondshire and Whitby",27030.24505,1087.881941
E07000030,NHS Hammersmith and Fulham,43684.52936,1612.088495
E07000031,NHS Hardwick,52956.29657,2087.554349
E07000032,NHS Haringey,38598.16808,1626.1438
E07000033,NHS Harrogate and Rural District,28210.12133,1184.391809
E07000034,NHS Harrow,34965.33449,1511.298346
E07000035,NHS Hartlepool and Stockton-on-Tees,56907.11131,2213.247795
E07000036,NHS Hastings & Rother,35116.36253,1575.163803
E07000037,NHS Havering,43935.16171,1806.041086
E07000038,NHS Herefordshire,39606.45293,1678.827448
E07000039,NHS Herts Valleys,39943.47395,1726.896783
E07000040,"NHS Heywood, Middleton & Rochdale",62813.74517,2605.389255
E07000041,NHS High Weald Lewes Havens,58736.14162,2704.002499
E07000042,NHS Hillingdon,51661.2929,2111.703
E07000043,NHS Horsham and Mid Sussex,51741.79153,2130.639705
E07000044,NHS Hounslow,68727.38371,2825.162724
E07000045,NHS Hull,56106.92206,2370.822047
E07000046,NHS Ipswich and East Suffolk,49167.29093,1982.818672
E07000047,NHS Isle of Wight,53050.5767,2104.69083
E07000048,NHS Islington,82419.13775,3587.555036
E07000049,NHS Kernow,79110.82869,3215.650224
E07000050,NHS Kingston,60076.29179,2454.373499
E07000051,NHS Knowsley,74044.20569,3123.018715
E07000052,NHS Lambeth,65639.75254,2729.186612
E07000053,NHS Lancashire North,52584.43005,2373.946415
E07000061,NHS Leeds North,61482.5196,2922.032389
E07000062,NHS Leeds South and East,48532.59466,2310.264666
E07000063,NHS Leeds West,77633.13096,3371.54968
E07000064,NHS Leicester City,64562.59178,2800.199015
E07000065,NHS Lewisham,74484.39181,3213.017836
E07000066,NHS Lincolnshire East,72419.51957,3347.934751
E07000067,NHS Lincolnshire West,63578.24133,2881.974048
E07000068,NHS Liverpool,104046.3735,4649.318865
E07000069,NHS Luton,70521.91409,3129.236532
E07000070,NHS Mansfield & Ashfield,78105.4117,3703.890902
E07000071,NHS Medway,58930.13241,2748.978572
E07000072,NHS Merton,110546.5026,4982.887456
E07000073,NHS Mid Essex,71005.3556,3311.470987
E07000074,NHS Milton Keynes,66767.67018,2916.110633
E07000075,NHS Nene,74251.20843,3304.327653
E07000076,NHS Newark & Sherwood,49380.62966,2212.765267
E07000077,NHS Newbury and District,85348.43884,3528.526008
E07000078,NHS Newcastle North and East,62567.38647,2877.380153
E07000079,NHS Newcastle West,75235.74093,2914.235285
E07000080,NHS Newham,45085.26049,1863.054899
E07000081,NHS North & West Reading,42656.12902,2047.558597
E07000082,NHS North Derbyshire,58366.88364,2509.249061
E07000083,NHS North Durham,56828.98898,2473.015772
E07000084,NHS North East Essex,73154.12616,3294.964295
E07000085,NHS North East Hampshire and Farnham,84276.91556,3544.781692
E07000086,NHS North East Lincolnshire,66178.14243,3058.880757
E07000087,NHS North Hampshire,63989.39895,2939.278372
E07000088,NHS North Kirklees,47601.50332,2301.81458
E07000089,NHS North Lincolnshire,91683.14568,4006.328014
E07000090,NHS North Manchester,61696.96798,2746.549617
E07000091,NHS North Norfolk,76682.9178,3338.019701
E07000092,NHS North Somerset,72628.28445,3590.863584
E07000093,NHS North Staffordshire,69540.67515,3010.08646
E07000094,NHS North Tyneside,91993.98353,3909.709691
E07000095,NHS North West Surrey,87502.37193,4219.570527
E07000096,"NHS North, East, West Devon",98695.34506,4600.840936
E07000098,NHS Northumberland,119968.7006,5453.843672
E07000099,NHS Norwich,84053.03231,3877.667396
E07000102,NHS Nottingham City,122892.2016,5418.354508
E07000103,NHS Nottingham North & East,99999.66613,5224.50704
E07000105,NHS Nottingham West,61087.76599,2700.04872
E07000106,NHS Oldham,68514.09137,3110.337768
E07000107,NHS Oxfordshire,76782.00805,3688.667583
E07000108,NHS Portsmouth,52695.38436,2309.86901
E07000109,NHS Redbridge,67794.98686,3072.480471
E07000110,NHS Redditch and Bromsgrove,67120.48524,3130.356443
E07000111,NHS Richmond,96588.23277,4139.014252
E07000112,NHS Rotherham,55428.76319,2425.199192
E07000113,NHS Rushcliffe,56291.13639,2516.557104
E07000114,NHS Salford,52177.96546,2323.396107
E07000115,NHS Sandwell and West Birmingham,79608.41579,3506.678053
E07000116,NHS Scarborough and Ryedale,91102.51687,4007.918048
E07000117,NHS Sheffield,20711.85711,837.630282
E07000118,NHS Shropshire,37550.35663,1578.85476
E07000119,NHS Slough,42892.23372,1817.847902
E07000120,NHS Solihull,24974.68298,975.6783957
E07000121,NHS Somerset,36403.83902,1592.84891
E07000122,NHS South Cheshire,24799.3201,985.3080959
E07000123,NHS South Devon and Torbay,31402.8795,1369.809466
E07000124,NHS South East Staffs and Seisdon and Peninsular,47808.93998,1844.226644
E07000125,NHS South Eastern Hampshire,30619.39068,1197.615829
E07000126,NHS South Gloucestershire,36886.1769,1619.935084
E07000127,NHS South Kent Coast,40055.43899,1673.03976
E07000128,NHS South Lincolnshire,34462.30455,1512.922116
E07000129,NHS South Manchester,46885.05018,2052.807719
E07000130,NHS South Norfolk,45427.98666,1994.189476
E07000131,NHS South Reading,55983.92365,2345.220835
E07000132,NHS South Sefton,43123.22586,1887.652349
E07000133,NHS South Tees,46487.49176,1966.582328
E07000134,NHS South Tyneside,40314.99705,1734.995231
E07000135,NHS South Warwickshire,45440.74026,2035.532409
E07000136,NHS South West Lincolnshire,33394.89551,1391.723177
E07000137,NHS South Worcestershire,36793.07078,1470.12113
E07000138,NHS Southampton,34382.72404,1583.461029
E07000139,NHS Southend,40700.77518,1679.092245
E07000140,NHS Southern Derbyshire,39530.15659,1589.86632
E07000141,NHS Southport and Formby,42097.84892,1799.391045
E07000142,NHS Southwark,33677.12073,1381.076321
E07000143,NHS St Helens,47971.10948,1983.669177
E07000144,NHS Stafford and Surrounds,54722.80566,2315.957915
E07000145,NHS Stockport,35495.32885,1628.727396
E07000146,NHS Stoke on Trent,46658.3626,1916.835858
E07000147,NHS Sunderland,54642.27047,2237.645069
E07000148,NHS Surrey Downs,48454.62626,2367.143376
E07000149,NHS Surrey Heath,55259.65653,2284.408594
E07000150,NHS Sutton,35840.32467,1583.919257
E07000151,NHS Swale,56464.8586,2315.117771
E07000152,NHS Swindon,44720.42038,1919.565627
E07000153,NHS Tameside and Glossop,40444.36019,1774.897194
E07000154,NHS Telford & Wrekin,44369.70056,2045.09249
E07000155,NHS Thanet,64776.51572,2734.457163
E07000156,NHS Thurrock,41322.6907,1819.368757
E07000163,NHS Tower Hamlets,48244.27632,1885.814834
E07000164,NHS Trafford,51773.81129,2089.925899
E07000165,NHS Vale of York,62566.17675,2578.803404
E07000166,NHS Vale Royal,46979.544,1794.829919
E07000167,NHS Wakefield,49866.51673,1882.315719
E07000168,NHS Walsall,36867.23127,1566.893797
E07000169,NHS Waltham Forest,42957.66313,1761.603565
E07000170,NHS Wandsworth,30407.89811,1316.850053
E07000171,NHS Warrington,32308.02167,1352.027395
E07000172,NHS Warwickshire North,39049.45027,1712.164462
E07000173,NHS West Cheshire,38689.82725,1709.928833
E07000174,NHS West Essex,28796.46417,1277.623861
E07000175,NHS West Hampshire,38929.19325,1629.18751
E07000176,NHS West Kent,56004.34691,2370.827229
E07000177,NHS West Lancashire,71017.23873,3097.432626
E07000178,NHS West Leicestershire,103032.6494,4891.592027
E07000179,"NHS West London (Kensington and Chelsea, Queen's Park and Paddington)",95964.09337,4112.114756
E07000180,NHS West Norfolk,78382.08779,3434.189899
E07000181,NHS West Suffolk,78690.19544,3354.017126
E07000187,NHS Wigan Borough,57400.4051,2421.078505
E07000188,NHS Wiltshire,45386.10487,1963.697766
E07000189,"NHS Windsor, Ascot and Maidenhead",49099.66222,2026.808635
E07000190,NHS Wirral,50081.56641,2152.530269
E07000191,NHS Wokingham,50535.65475,2050.090439
E07000192,NHS Wolverhampton,35927.29518,1618.990907
E07000193,NHS Wyre Forest,37866.99412,1685.477559
E07000194,"NHS Airedale, Wharfedale and Craven",51513.9594,2217.260125
E07000195,NHS Ashford,32126.86373,1417.567
E07000196,NHS Aylesbury Vale,45795.72247,2028.987023
E07000197,NHS Barking & Dagenham,42560.49898,1828.99504
E07000198,NHS Barnet,37072.03028,1611.236995
E07000199,NHS Barnsley,40763.57081,1866.724743
E07000200,NHS Basildon and Brentwood,60422.00095,2501.607867
E07000201,NHS Bassetlaw,50800.08919,2161.356604
E07000202,NHS Bath and North East Somerset,42445.54416,2029.113725
E07000203,NHS Bedfordshire,56488.73655,2299.201516
E07000204,NHS Bexley,59696.59525,2568.833056
E07000205,NHS Birmingham CrossCity,59901.90896,2508.676777
E07000206,NHS Birmingham South and Central,40541.60397,1813.613697
E07000207,NHS Blackburn with Darwen,139218.0933,6114.965668
E07000208,NHS Blackpool,113811.7063,5333.481445
E07000209,NHS Bolton,108361.7232,4876.929913
E07000210,NHS Bracknell and Ascot,114499.444,5043.602865
E07000211,NHS Bradford City,100207.0437,4563.905821
E07000212,NHS Bradford Districts,99985.36156,4650.311012
E07000213,NHS Brent,101564.9869,4791.217764
E07000214,NHS Brighton & Hove,92314.54012,4162.743012
E07000215,NHS Bristol,100322.565,4314.138378
E07000216,NHS Bromley,107099.8544,4601.073077
E07000217,NHS Bury,101992.3304,4800.132252
E07000218,NHS Calderdale,43693.90619,1910.568819
E07000219,NHS Cambridgeshire and Peterborough,36525.81473,1624.368058
E07000220,NHS Camden,48186.39543,2080.736285
E07000221,NHS Cannock Chase,69622.1194,2854.440081
E07000222,NHS Canterbury and Coastal,71957.48881,3167.151152
E07000223,"NHS Castle Point, Rayleigh and Rochford",79349.46653,3615.550686
E07000224,NHS Central London (Westminster),71074.05018,3118.736041
E07000225,NHS Central Manchester,88040.89385,3653.268014
E07000226,NHS Chiltern,74202.62357,3505.369754
E07000227,NHS Chorley and South Ribble,92648.07675,3954.971566
E07000228,NHS City and Hackney,88489.48454,3917.461149
E07000229,NHS Coastal West Sussex,73078.81939,3440.7364
E07000234,NHS Corby,56188.05717,2390.214537
E07000235,NHS Coventry and Rugby,57920.32758,2312.820977
E07000236,NHS Crawley,43378.78295,1942.507868
E07000237,NHS Croydon,45803.16442,2082.456679
E07000238,NHS Cumbria,56072.93625,2290.059885
E07000239,NHS Darlington,40532.61412,1798.469244
E07000240,"NHS Dartford, Gravesham and Swanley",127893.1839,5836.090025
E07000241,NHS Doncaster,95718.11324,4367.374418
E07000242,NHS Dorset,96196.71823,4401.86342
E07000243,NHS Dudley,68959.13906,3163.042569
E08000001,"NHS Durham Dales, Easington and Sedgefield",30959.72947,1332.69326
E08000002,NHS Ealing,36852.99826,1579.334744
E08000003,NHS East and North Hertfordshire,40329.46232,1940.634993
E08000004,NHS East Lancashire,30972.55336,1324.85574
E08000005,NHS East Leicestershire and Rutland,30282.10184,1300.792876
E08000006,NHS East Riding of Yorkshire,36123.11261,1690.467672
E08000007,NHS East Staffordshire,48873.3322,2158.077228
E08000008,NHS East Surrey,33380.38823,1442.217265
E08000009,"NHS Eastbourne, Hailsham and Seaford",58390.06014,2556.730325
E08000010,NHS Eastern Cheshire,28973.86641,1282.262871
E08000011,NHS Enfield,26095.57812,1202.962337
E08000012,NHS Erewash,27491.21682,1244.861923
E08000013,NHS Fareham and Gosport,28638.21764,1261.947131
E08000014,NHS Fylde & Wyre,34648.78994,1493.474031
E08000015,NHS Gateshead,33700.5794,1480.678814
E08000016,NHS Gloucestershire,27795.40161,1197.847078
E08000017,NHS Great Yarmouth & Waveney,27992.8987,1219.474769
E08000018,NHS Greater Huddersfield,29650.32235,1305.359593
E08000019,NHS Greater Preston,36967.92897,1689.795848
E08000021,NHS Greenwich,38191.63742,1713.67771
E08000022,NHS Guildford and Waverley,36779.12219,1676.513741
E08000023,NHS Halton,29929.7388,1318.625163
E08000024,"NHS Hambleton, Richmondshire and Whitby",26691.17093,1162.818601
E08000025,NHS Hammersmith and Fulham,39553.52364,1837.356294
E08000026,NHS Hardwick,39214.39211,1833.094004
E08000027,NHS Haringey,36992.58366,1676.749834
E08000028,NHS Harrogate and Rural District,31328.30765,1430.923475
E08000029,NHS Harrow,58026.19809,2588.550108
E08000030,NHS Hartlepool and Stockton-on-Tees,34419.9179,1566.709396
E08000031,NHS Hastings & Rother,30973.93466,1428.350478
E08000032,NHS Havering,31997.0615,1433.331181
E08000033,NHS Herefordshire,34156.24576,1449.711744
E08000034,NHS Herts Valleys,35373.00331,1491.564009
E08000035,"NHS Heywood, Middleton & Rochdale",42170.51921,1920.226887
E08000036,NHS High Weald Lewes Havens,33031.35583,1426.693927
E08000037,NHS Hillingdon,32172.08628,1405.398463
E09000001,NHS Horsham and Mid Sussex,338833.1797,17371.45931
E09000002,NHS Hounslow,79446.55403,3994.365328
E09000003,NHS Hull,137573.9254,6668.092607
E09000004,NHS Ipswich and East Suffolk,82500.11063,4223.108092
E09000005,NHS Isle of Wight,138105.7344,7093.368078
E09000006,NHS Islington,109168.4024,5066.451599
E09000007,NHS Kernow,254302.6836,12670.78873
E09000008,NHS Kingston,94648.08199,4653.310942
E09000009,NHS Knowsley,131357.5669,6813.584544
E09000010,NHS Lambeth,107993.5313,5327.794056
E09000011,NHS Lancashire North,107397.4838,5433.77078
E09000012,NHS Leeds North,167310.8037,8563.581834
E09000013,NHS Leeds South and East,217282.4999,10718.30367
E09000014,NHS Leeds West,145490.6182,7100.621572
E09000015,NHS Leicester City,116316.7052,5768.337719
E09000016,NHS Lewisham,86069.6436,4185.334
E09000017,NHS Lincolnshire East,112057.0407,5430.12844
E09000018,NHS Lincolnshire West,114915.3497,5968.569329
E09000019,NHS Liverpool,200093.8491,9729.588476
E09000020,NHS Luton,398560.6622,19438.68546
E09000021,NHS Mansfield & Ashfield,125553.8728,6351.958253
E09000022,NHS Medway,157947.5752,8437.323342
E09000023,NHS Merton,126447.0869,6295.975538
E09000024,NHS Mid Essex,131401.5003,6804.52723
E09000025,NHS Milton Keynes,100429.7104,4965.170269
E09000026,NHS Nene,101063.8387,4956.845918
E09000027,NHS Newark & Sherwood,174835.6474,8175.028171
E09000028,NHS Newbury and District,165118.7665,8782.248847
E09000029,NHS Newcastle North and East,99210.97345,5059.074938
E09000030,NHS Newcastle West,172564.5605,8545.454215
E09000031,NHS Newham,116313.8544,6014.221133
E09000032,NHS North & West Reading,188114.2519,9661.253729
E09000033,NHS North Derbyshire,324834.3614,16245.93939
W06000001,NHS North Durham,36015.55493,1435.616676
W06000002,NHS North East Essex,33918.22381,1378.063972
W06000003,NHS North East Hampshire and Farnham,37078.24743,1522.009607
W06000004,NHS North East Lincolnshire,34575.45795,1441.500923
W06000005,NHS North Hampshire,36209.62269,1539.192642
W06000006,NHS North Kirklees,34868.74744,1434.057981
W06000008,NHS North Lincolnshire,36974.40281,1331.48531
W06000009,NHS North Manchester,36443.98552,1388.683894
W06000010,NHS North Norfolk,28383.5507,1103.281803
W06000011,NHS North Somerset,32297.85225,1394.620414
W06000012,NHS North Staffordshire,21937.89014,983.9443202
W06000013,NHS North Tyneside,30220.0602,1345.300369
W06000014,NHS North West Surrey,44425.53764,1906.807671
W06000015,"NHS North, East, West Devon",46638.43398,2160.916536
W06000016,NHS Northumberland,22253.63168,991.114767
W06000018,NHS Norwich,25799.96314,1161.996326
W06000019,NHS Nottingham City,18835.48005,777.3679667
W06000020,NHS Nottingham North & East,29442.40176,1291.070444
W06000021,NHS Nottingham West,47965.59921,1956.193508
W06000022,NHS Oldham,33181.57278,1473.768373
W06000023,NHS Oxfordshire,36978.57026,1428.257645
W06000024,NHS Portsmouth,20020.34087,917.0762162
